"EC_number","Cofactor","Organism","LigandID","Commentary","Literature"
"1.1.1.1","NAD+","Chlamydomonas moewusii",7,"",285624
"1.1.1.1","NAD+","Petroselinum crispum",7,"",285627
"1.1.1.1","NAD+","Camellia sinensis",7,"",285628
"1.1.1.1","NAD+","Brassica napus",7,"",285629
"1.1.1.1","NAD+","Triticum turgidum",7,"",285632
"1.1.1.1","NAD+","Triticum monococcum",7,"",285633
"1.1.1.1","NAD+","Hordeum vulgare",7,"",285634
"1.1.1.1","NAD+","Avena sativa",7,"",285635
"1.1.1.1","NAD+","Citrullus lanatus",7,"",285635
"1.1.1.1","NAD+","Glycine max",7,"","285626, 285635"
"1.1.1.1","NAD+","Oryza sativa",7,"","285561, 285635"
"1.1.1.1","NAD+","Pisum sativum",7,"",285635
"1.1.1.1","NAD+","Triticum aestivum",7,"",285635
"1.1.1.1","NAD+","Aspergillus nidulans",7,"",285636
"1.1.1.1","NAD+","Candida sp.",7,"",285637
"1.1.1.1","NAD+","Euglena longa",7,"",285638
"1.1.1.1","NAD+","Sporotrichum pulverulentum",7,"",285639
"1.1.1.1","NAD+","Meyerozyma guilliermondii",7,"",285640
"1.1.1.1","NAD+","Schizosaccharomyces pombe",7,"",285646
"1.1.1.1","NAD+","Mesocricetus auratus",7,"","285602, 285650"
"1.1.1.1","NAD+","Zea mays",7,"","285630, 285631, 285635, 285652"
"1.1.1.1","NAD+","Desulfovibrio gigas",7,"",285654
"1.1.1.1","NAD+","Entamoeba histolytica",7,"",285655
"1.1.1.1","NAD+","Alligator mississippiensis",7,"",285656
"1.1.1.1","NAD+","Crocus sativus",7,"",654140
"1.1.1.1","NAD+","Geobacillus stearothermophilus",7,"dependent on, cofactor binding mechanism and conformation from crystal structure analysis",654751
"1.1.1.1","NAD+","Acetobacter pasteurianus",7,"dependent on",655058
"1.1.1.1","NAD+","Rhodococcus ruber",7,"dependent on",655082
"1.1.1.1","NAD+","Thermomicrobium roseum",7,"",655262
"1.1.1.1","NAD+","Saccharomyces cerevisiae",7,"cofactor binding mode",655649
"1.1.1.1","NAD+","Pelophylax perezi",7,"activity with mutants G223D/T224I and G223D/T224I/H225N",656168
"1.1.1.1","NAD+","Geobacillus stearothermophilus",7,"dependent on",656475
"1.1.1.1","NAD+","Aeropyrum pernix",7,"the monomer consists of a catalytic and a cofactor-binding domain, the cofactor is bound between 2 domains in a cleft",656525
"1.1.1.1","NAD+","Entamoeba histolytica",7,"dependent on",656604
"1.1.1.1","NAD+","Pseudomonas aeruginosa",7,"",657302
"1.1.1.1","NAD+","Scaptodrosophila lebanonensis",7,"","285563, 285593, 285616, 657317"
"1.1.1.1","NAD+","Escherichia coli",7,"strongly preferred as cofactor",660650
"1.1.1.1","NAD+","Hafnia alvei",7,"strongly preferred as cofactor",660650
"1.1.1.1","NAD+","Klebsiella oxytoca",7,"strongly preferred as cofactor",660650
"1.1.1.1","NAD+","Klebsiella pneumoniae",7,"strongly preferred as cofactor",660650
"1.1.1.1","NAD+","Pseudomonas aeruginosa",7,"strongly preferred as cofactor",660650
"1.1.1.1","NAD+","Mucor circinelloides",7,"",667237
"1.1.1.1","NAD+","Leifsonia sp.",7,"",667255
"1.1.1.1","NAD+","Flavobacterium frigidimaris",7,"specific for NAD+, no activity with NADP+, pro-R stereospecificity for hydrogen transfer",668532
"1.1.1.1","NAD+","Malus domestica",7,"",669022
"1.1.1.1","NAD+","Brevibacterium sp.",7,"",669540
"1.1.1.1","NAD+","Pseudomonas putida",7,"",678779
"1.1.1.1","NAD+","Sulfolobus solfataricus",7,"dependent","678116, 678121, 680428"
"1.1.1.1","NAD+","Sulfolobus sp.",7,"dependent",680428
"1.1.1.1","NAD+","Sulfolobus solfataricus",7,"",681629
"1.1.1.1","NAD+","Sulfolobus solfataricus",7,"","285611, 285621, 285625, 677301, 679816, 679883, 681372, 681763, 682627, 682630"
"1.1.1.1","NAD+","Thermus thermophilus",7,"strict requirement for NAD(H) as the coenzyme. Critical role of the D37 residue in discriminating NAD(H) from NADP(H)",684583
"1.1.1.1","NAD+","Neurospora crassa",7,"ADH3 does not react with NADP+",684614
"1.1.1.1","NAD+","Neurospora crassa",7,"ADH1 preferrs NAD+ 205fold better than NADP+ as cofactor",684614
"1.1.1.1","NAD+","Thermoanaerobacter ethanolicus",7,"",695536
"1.1.1.1","NAD+","Thermus sp.",7,"dependent on",695811
"1.1.1.1","NAD+","Equus caballus",7,"the binding of NAD+ is kinetically limited by a unimolecular isomerization (corresponding to the conformational change) that is controlled by deprotonation of the catalytic zinc-water to produce a negatively-charged zinc-hydroxide, which can attract the positively-charged nicotinamide ring",695889
"1.1.1.1","NAD+","Saccharomyces carlsbergensis",7,"",697267
"1.1.1.1","NAD+","Equus caballus",7,"","285582, 285583, 285584, 285585, 285586, 285587, 285588, 285590, 285591, 285592, 285594, 285595, 285596, 285609, 285610, 285641, 285647, 285648, 285653, 285657, 654743, 655206, 668487, 697215, 697660, 697669"
"1.1.1.1","NAD+","Thermoanaerobacter brockii",7,"","655735, 697669"
"1.1.1.1","NAD+","Anastrepha fraterculus",7,"",698114
"1.1.1.1","NAD+","Anastrepha obliqua",7,"",698114
"1.1.1.1","NAD+","Saccharomyces cerevisiae",7,"","285558, 285641, 285642, 285643, 285644, 285645, 285646, 285649, 655735, 667307, 669148, 695705, 697267, 697658, 697669, 699019"
"1.1.1.1","NAD+","Geobacillus thermoglucosidasius",7,"dependent on",699071
"1.1.1.1","NAD+","Euglena gracilis",7,"specific for NAD+",699249
"1.1.1.1","NAD+","Mus musculus",7,"","285564, 285603, 654730, 667832, 697214, 699982"
"1.1.1.1","NAD+","Thermoplasma acidophilum",7,"shows NAD+ as the preferred co-factor over NADP+",700124
"1.1.1.1","NAD+","Homo sapiens",7,"",701322
"1.1.1.1","NAD+","Geobacillus thermodenitrificans",7,"NAD+ is prefered over NADP+",712962
"1.1.1.1","NAD+","Geobacillus thermodenitrificans",7,"NADP+ is prefered over NAD+",712962
"1.1.1.1","NAD+","Sulfolobus tokodaii",7,"",718627
"1.1.1.1","NAD+","Sulfolobus acidocaldarius",7,"strict requirement for NAD(H) as the coenzyme, no activity with NADP+. The specificity constant value is 6fold higher for NADH than NAD+",718681
"1.1.1.1","NAD+","Sulfolobus acidocaldarius",7,"the enzyme transfers the deuteride to the Si-face of NAD+",719428
"1.1.1.1","NAD+","Sulfolobus solfataricus",7,"","697839, 720145, 720330"
"1.1.1.1","NAD+","Ogataea angusta",7,"",721388
"1.1.1.1","NAD+","Oenococcus oeni",7,"Adh3 is strictly dependent on NAD+/NADH, and shows no activity with NADP+/NADPH as cofactor",721395
"1.1.1.1","NAD+","Candida maris",7,"",721868
"1.1.1.1","NAD+","Carboxydothermus hydrogenoformans",7,"",721911
"1.1.1.1","NAD+","Columba livia",7,"",722012
"1.1.1.1","NAD+","Homo sapiens",7,"","285565, 285566, 285567, 285568, 285569, 285570, 285571, 285572, 285573, 285574, 285575, 285576, 285577, 285578, 285608, 285651, 655197, 655206, 656058, 686331, 691867, 697802, 722073"
"1.1.1.1","NAD+","Pyrococcus furiosus",7,"",722203
"1.1.1.1","NAD+","Bombyx mori",7,"",722337
"1.1.1.1","NAD+","Rhodococcus ruber",7,"",722888
"1.1.1.1","NAD+","Glycine max",7,"",723437
"1.1.1.1","NAD+","Haloferax volcanii",7,"exclusively NAD+ dependent",726769
"1.1.1.1","NADH","Cricetulus griseus",8,"",285556
"1.1.1.1","NADH","Ctenopharyngodon idella",8,"",285557
"1.1.1.1","NADH","Kluyveromyces marxianus",8,"",285558
"1.1.1.1","NADH","Vicia faba",8,"",285559
"1.1.1.1","NADH","Suncus murinus",8,"",285560
"1.1.1.1","NADH","Najas marina",8,"",285562
"1.1.1.1","NADH","Drosophila funebris",8,"",285563
"1.1.1.1","NADH","Drosophila immigrans",8,"",285563
"1.1.1.1","NADH","Saimiri sciureus",8,"",285579
"1.1.1.1","NADH","Macaca mulatta",8,"",285580
"1.1.1.1","NADH","Equus caballus",8,"kinetics of coenzyme binding in the pH range 10-12",285581
"1.1.1.1","NADH","Equus caballus",8,"preferred coenzyme",285597
"1.1.1.1","NADH","Gallus gallus",8,"",285599
"1.1.1.1","NADH","Oryctolagus cuniculus",8,"","285600, 285601"
"1.1.1.1","NADH","Rattus norvegicus",8,"","285565, 285604, 285605, 285606"
"1.1.1.1","NADH","Saara hardwickii",8,"",285607
"1.1.1.1","NADH","Naja naja",8,"",285612
"1.1.1.1","NADH","Oncorhynchus mykiss",8,"",285614
"1.1.1.1","NADH","Coturnix coturnix",8,"",285615
"1.1.1.1","NADH","Scaptodrosophila lebanonensis",8,"","285563, 285593, 285616"
"1.1.1.1","NADH","Drosophila simulans",8,"","285563, 285618, 285619"
"1.1.1.1","NADH","Drosophila virilis",8,"","285563, 285619"
"1.1.1.1","NADH","Drosophila melanogaster",8,"","285563, 285598, 285613, 285617, 285618, 285619, 285620"
"1.1.1.1","NADH","Chlamydomonas moewusii",8,"",285624
"1.1.1.1","NADH","Petroselinum crispum",8,"",285627
"1.1.1.1","NADH","Camellia sinensis",8,"",285628
"1.1.1.1","NADH","Brassica napus",8,"",285629
"1.1.1.1","NADH","Triticum turgidum",8,"",285632
"1.1.1.1","NADH","Triticum monococcum",8,"",285633
"1.1.1.1","NADH","Hordeum vulgare",8,"",285634
"1.1.1.1","NADH","Avena sativa",8,"",285635
"1.1.1.1","NADH","Citrullus lanatus",8,"",285635
"1.1.1.1","NADH","Glycine max",8,"","285626, 285635"
"1.1.1.1","NADH","Oryza sativa",8,"","285561, 285635"
"1.1.1.1","NADH","Pisum sativum",8,"",285635
"1.1.1.1","NADH","Triticum aestivum",8,"",285635
"1.1.1.1","NADH","Aspergillus nidulans",8,"",285636
"1.1.1.1","NADH","Candida sp.",8,"",285637
"1.1.1.1","NADH","Euglena longa",8,"",285638
"1.1.1.1","NADH","Sporotrichum pulverulentum",8,"",285639
"1.1.1.1","NADH","Meyerozyma guilliermondii",8,"",285640
"1.1.1.1","NADH","Schizosaccharomyces pombe",8,"",285646
"1.1.1.1","NADH","Saccharomyces cerevisiae",8,"","285558, 285641, 285642, 285643, 285644, 285645, 285646, 285649"
"1.1.1.1","NADH","Mesocricetus auratus",8,"","285602, 285650"
"1.1.1.1","NADH","Zea mays",8,"","285630, 285631, 285635, 285652"
"1.1.1.1","NADH","Desulfovibrio gigas",8,"",285654
"1.1.1.1","NADH","Alligator mississippiensis",8,"",285656
"1.1.1.1","NADH","Equus caballus",8,"","285582, 285583, 285584, 285585, 285586, 285587, 285588, 285589, 285590, 285591, 285592, 285594, 285595, 285596, 285609, 285610, 285641, 285647, 285648, 285653, 285657"
"1.1.1.1","NADH","Crocus sativus",8,"",654140
"1.1.1.1","NADH","Acetobacter pasteurianus",8,"dependent on",655058
"1.1.1.1","NADH","Rhodococcus ruber",8,"dependent on",655082
"1.1.1.1","NADH","Thermomicrobium roseum",8,"",655262
"1.1.1.1","NADH","Saccharomyces cerevisiae",8,"cofactor binding mode",655649
"1.1.1.1","NADH","Entamoeba histolytica",8,"","285655, 655804"
"1.1.1.1","NADH","Homo sapiens",8,"","285565, 285566, 285567, 285568, 285569, 285570, 285571, 285572, 285573, 285574, 285575, 285576, 285577, 285578, 285608, 285651, 656058"
"1.1.1.1","NADH","Pelophylax perezi",8,"activity with mutants G223D/T224I and G223D/T224I/H225N",656168
"1.1.1.1","NADH","Pseudomonas aeruginosa",8,"",657302
"1.1.1.1","NADH","Rhodococcus erythropolis",8,"",658321
"1.1.1.1","NADH","Zygosaccharomyces rouxii",8,"",658565
"1.1.1.1","NADH","Acinetobacter calcoaceticus",8,"",659674
"1.1.1.1","NADH","Neurospora crassa",8,"",659773
"1.1.1.1","NADH","Leifsonia sp.",8,"",667255
"1.1.1.1","NADH","Zymomonas mobilis",8,"","285622, 285623, 667340"
"1.1.1.1","NADH","Brevibacterium sp.",8,"",669540
"1.1.1.1","NADH","Cucumis melo",8,"",670572
"1.1.1.1","NADH","Sulfolobus solfataricus",8,"dependent",678363
"1.1.1.1","NADH","Sulfolobus solfataricus",8,"","285611, 285621, 285625, 679816, 679883, 681372, 681763"
"1.1.1.1","NADH","Thermus thermophilus",8,"strict requirement for NAD(H) as the coenzyme. Critical role of the D37 residue in discriminating NAD(H) from NADP(H)",684583
"1.1.1.1","NADH","Mus musculus",8,"","285564, 285603, 654730, 697214"
"1.1.1.1","NADH","Geobacillus thermodenitrificans",8,"",712962
"1.1.1.1","NADH","Sulfolobus tokodaii",8,"",718627
"1.1.1.1","NADH","Sulfolobus acidocaldarius",8,"strict requirement for NAD(H) as the coenzyme, no activity with NADPH. The specificity constant value is 6fold higher for NADH than NAD+",718681
"1.1.1.1","NADH","Sulfolobus acidocaldarius",8,"the specificity constant value is 21-fold higher for NADH than NAD+. No activity with NADP(H)",719428
"1.1.1.1","NADH","Ogataea angusta",8,"",721388
"1.1.1.1","NADH","Oenococcus oeni",8,"Adh3 is strictly dependent on NAD+/NADH, and shows no activity with NADP+/NADPH as cofactor",721395
"1.1.1.1","NADH","Candida maris",8,"required",721868
"1.1.1.1","NADH","Carboxydothermus hydrogenoformans",8,"",721911
"1.1.1.1","NADH","Bombyx mori",8,"",722337
"1.1.1.1","NADH","Rhodococcus ruber",8,"",722888
"1.1.1.1","NADH","Glycine max",8,"",723437
"1.1.1.1","NADP+","Equus caballus",10,"also utilized as coenzyme by the SS isoenzyme",285583
"1.1.1.1","NADP+","Oryctolagus cuniculus",10,"no activity as coenzyme",285600
"1.1.1.1","NADP+","Mesocricetus auratus",10,"no activity as coenzyme",285602
"1.1.1.1","NADP+","Chlamydomonas moewusii",10,"no activity as coenzyme",285624
"1.1.1.1","NADP+","Aspergillus nidulans",10,"no activity as coenzyme",285636
"1.1.1.1","NADP+","Desulfovibrio gigas",10,"at 1.5% of the activity with NAD+",285654
"1.1.1.1","NADP+","Saccharomyces cerevisiae",10,"",655735
"1.1.1.1","NADP+","Thermoanaerobacter brockii",10,"",655735
"1.1.1.1","NADP+","Pelophylax perezi",10,"specific for, residues Gly223, Thr224, His225, Leu200, and Lys228 are involved in cofactor binding pocket formation",656168
"1.1.1.1","NADP+","Geobacillus thermodenitrificans",10,"NAD+ is prefered over NADP+",712962
"1.1.1.1","NADP+","Geobacillus thermodenitrificans",10,"NADP+ is prefered over NAD+",712962
"1.1.1.1","NADPH","Equus caballus",5,"also utilized as coenzyme by the SS isoenzyme",285583
"1.1.1.1","NADPH","Aspergillus nidulans",5,"no activity as coenzyme",285636
"1.1.1.1","NADPH","Desulfovibrio gigas",5,"at 1.6% of the activity with NADH",285654
"1.1.1.1","NADPH","Pelophylax perezi",5,"specific for, residues Gly223, Thr224, His225, Leu200, and Lys228 are involved in cofactor binding pocket formation",656168
"1.1.1.1","NADPH","Leifsonia sp.",5,"weak activity",667255
"1.1.1.1","NADPH","Cucumis melo",5,"about 20% of the activity with NADH",670572
"1.1.1.1","NADPH","Geobacillus thermodenitrificans",5,"",712962
"1.1.1.2","3-acetylpyridine adenine dinucleotide phosphate","Homo sapiens",6727,"",286149
"1.1.1.2","NAD+","Thermococcus litoralis",7,"",286198
"1.1.1.2","NAD+","Lactobacillus brevis",7,"",675348
"1.1.1.2","NAD+","Synechocystis sp.",7,"",698623
"1.1.1.2","NADH","Homo sapiens",8,"aldehyde reductase I",286187
"1.1.1.2","NADH","Lactobacillus brevis",8,"maximal activity with 0.7 micromol/min/mg",671506
"1.1.1.2","NADH","Brevibacillus brevis",8,"",672042
"1.1.1.2","NADH","Lactobacillus brevis",8,"",675348
"1.1.1.2","NADH","Persicaria odorata",8,"final content of heptanol formed with the addition of NADH as the coenzyme is much more than twice that with NADPH",696854
"1.1.1.2","NADH","Synechocystis sp.",8,"; the enzyme can use both NADPH and NADH as electron donors, although NADPH is preferred to NADH",698623
"1.1.1.2","NADP+","Escherichia coli",10,"",656549
"1.1.1.2","NADP+","Thermoanaerobacter brockii",10,"dependent on",668040
"1.1.1.2","NADP+","Thermoanaerobacter sp.",10,"",668054
"1.1.1.2","NADP+","Lactobacillus brevis",10,"",675348
"1.1.1.2","NADP+","Lactobacillus brevis",10,"dependent on","668040, 685631"
"1.1.1.2","NADP+","Marinobacter hydrocarbonoclasticus VT8",10,"",695771
"1.1.1.2","NADP+","Pyrococcus furiosus",10,"",697833
"1.1.1.2","NADP+","Thermococcus sp.",10,"",697837
"1.1.1.2","NADP+","Synechocystis sp.",10,"affinity for NADP+ is higher than that for NAD+ as an alcohol oxidant",698623
"1.1.1.2","NADP+","Pyrococcus furiosus",10,"",722173
"1.1.1.2","NADP+","Pyrococcus furiosus",10,"kcat/Km for NAD+ is 1900fold lower compared to NADP+",722498
"1.1.1.2","NADP+","Haloferax volcanii",10,"","722209, 728289"
"1.1.1.2","NADPH","Homo sapiens",5,"aldehyde reductase II utilizes only NADPH as cofactor","286186, 286187"
"1.1.1.2","NADPH","Rattus norvegicus",5,"aldehyde reductase II utilizes only NADPH as cofactor",286192
"1.1.1.2","NADPH","Sporidiobolus salmonicolor",5,"highly specific for NADPH",286194
"1.1.1.2","NADPH","Bos taurus",5,"","286164, 286196"
"1.1.1.2","NADPH","Canis lupus familiaris",5,"",286196
"1.1.1.2","NADPH","Homo sapiens",5,"",286196
"1.1.1.2","NADPH","Thermococcus sp.",5,"","286202, 286205"
"1.1.1.2","NADPH","Vigna radiata",5,"",286205
"1.1.1.2","NADPH","Mus musculus",5,"",667168
"1.1.1.2","NADPH","Lactobacillus brevis",5,"dependent on",668040
"1.1.1.2","NADPH","Thermoanaerobacter brockii",5,"dependent on",668040
"1.1.1.2","NADPH","Thermoanaerobacter sp.",5,"",668054
"1.1.1.2","NADPH","Lactobacillus brevis",5,"maximal activity with 6.5 micromol/min/mg",671506
"1.1.1.2","NADPH","Brevibacillus brevis",5,"",672042
"1.1.1.2","NADPH","Lactobacillus brevis",5,"",675348
"1.1.1.2","NADPH","Sporidiobolus salmonicolor",5,"","672730, 676759"
"1.1.1.2","NADPH","Mus musculus",5,"",677193
"1.1.1.2","NADPH","Escherichia coli",5,"dependent on",687794
"1.1.1.2","NADPH","Marinobacter hydrocarbonoclasticus VT8",5,"",695771
"1.1.1.2","NADPH","Sus scrofa",5,"","669787, 675283, 695864"
"1.1.1.2","NADPH","Persicaria odorata",5,"",696854
"1.1.1.2","NADPH","Saccharomyces cerevisiae",5,"prefered",698097
"1.1.1.2","NADPH","Synechocystis sp.",5,"NADPH is preferred to NADH as the reductant for aldehydes; the enzyme can use both NADPH and NADH as electron donors, although NADPH is preferred to NADH",698623
"1.1.1.2","NADPH","Pyrococcus furiosus",5,"",722173
"1.1.1.2","NADPH","Haloferax volcanii",5,"",722209
"1.1.1.2","NADPH","Pyrococcus furiosus",5,"",722498
"1.1.1.B3","more","Thermus thermophilus",2,"the enzyme shows no activity with NADP(H)",684583
"1.1.1.B3","more","Nocardia fusca AKU 2123",2,"NADPH cannot substitute for NADH",685643
"1.1.1.3","NAD+","Thermophilic bacterium",7,"low activity",246392
"1.1.1.B3","NAD+","Thermus thermophilus",7,"critical role of the D37 residue in discriminating NAD(H) from NADP(H)",684583
"1.1.1.B3","NAD+","Candida parapsilosis",7,"",685641
"1.1.1.B3","NAD+","Nocardia fusca AKU 2123",7,"",685643
"1.1.1.B3","NAD+","Candida viswanathii",7,"",689823
"1.1.1.B3","NAD+","Saccharomyces carlsbergensis",7,"",697267
"1.1.1.B3","NAD+","Saccharomyces cerevisiae",7,"",697267
"1.1.1.B3","NAD+","Sulfolobus solfataricus",7,"",697839
"1.1.1.B3","NAD+","Thermus thermophilus",7,"",701031
"1.1.1.B3","NAD+","Thermoanaerobacter ethanolicus",7,"",723841
"1.1.1.B3","NAD+","Rhodotorula sp.",7,"",725726
"1.1.1.3","NADH","Hordeum vulgare",8,"",246382
"1.1.1.3","NADH","Pisum sativum",8,"",246382
"1.1.1.3","NADH","Pisum sativum",8,"threonine sensitive isozyme can use NADPH or NADH, threonine insensitive isozyme can use NADPH only",246388
"1.1.1.3","NADH","Ricinus communis",8,"threonine sensitive isozyme can use NADPH or NADH, threonine insensitive isozyme can use NADPH only",246388
"1.1.1.3","NADH","Triticum aestivum",8,"threonine sensitive isozyme can use NADPH or NADH, threonine insensitive isozyme can use NADPH only",246388
"1.1.1.3","NADH","Saccharomyces cerevisiae",8,"","246396, 654955"
"1.1.1.3","NADH","Glycine max",8,"GmHSD displays a 1.6fold preference for NADPH over NADH as the cofactor in the oxidation reaction. In the reduction reaction NADP+ is favored nearly 4fold as the cofactor",712490
"1.1.1.B3","NADH","Thermus thermophilus",8,"critical role of the D37 residue in discriminating NAD(H) from NADP(H)",684583
"1.1.1.B3","NADH","Candida parapsilosis",8,"",685641
"1.1.1.B3","NADH","Nocardia fusca AKU 2123",8,"",685643
"1.1.1.B3","NADH","Candida viswanathii",8,"",689823
"1.1.1.B3","NADH","Thermus thermophilus",8,"",701031
"1.1.1.B3","NADH","Thermoanaerobacter ethanolicus",8,"",723841
"1.1.1.B3","NADH","Scheffersomyces stipitis",8,"preferred over NADPH",724568
"1.1.1.3","NADP+","Escherichia coli",10,"",246387
"1.1.1.3","NADP+","Pisum sativum",10,"",246391
"1.1.1.3","NADP+","Thermophilic bacterium",10,"preferred",246392
"1.1.1.3","NADP+","Arabidopsis thaliana",10,"",657018
"1.1.1.3","NADP+","Saccharomyces cerevisiae",10,"",657018
"1.1.1.3","NADP+","Streptomyces clavuligerus",10,"",688167
"1.1.1.3","NADPH","Hordeum vulgare",5,"preferred",246382
"1.1.1.3","NADPH","Pisum sativum",5,"preferred",246382
"1.1.1.3","NADPH","Zea mays",5,"",246385
"1.1.1.3","NADPH","Escherichia coli",5,"",246387
"1.1.1.3","NADPH","Pisum sativum",5,"threonine sensitive isozyme can use NADPH or NADH, threonine insensitive isozyme can use NADPH only",246388
"1.1.1.3","NADPH","Ricinus communis",5,"threonine sensitive isozyme can use NADPH or NADH, threonine insensitive isozyme can use NADPH only",246388
"1.1.1.3","NADPH","Triticum aestivum",5,"threonine sensitive isozyme can use NADPH or NADH, threonine insensitive isozyme can use NADPH only",246388
"1.1.1.3","NADPH","Pisum sativum",5,"",246391
"1.1.1.3","NADPH","Saccharomyces cerevisiae",5,"","246396, 654955"
"1.1.1.3","NADPH","Arabidopsis thaliana",5,"",657018
"1.1.1.3","NADPH","Lactobacillus plantarum",5,"",670165
"1.1.1.3","NADPH","Streptomyces clavuligerus",5,"",688167
"1.1.1.3","NADPH","Glycine max",5,"GmHSD displays a 1.6fold preference for NADPH over NADH as the cofactor in the oxidation reaction. In the reduction reaction NADP+ is favored nearly 4fold as the cofactor",712490
"1.1.1.B3","NADPH","Scheffersomyces stipitis",5,"about 10% of the activity with NADH",724568
"1.1.1.4","more","Paenibacillus polymyxa",2,"no activity with NADP+ or NADPH as the coenzyme, respectively",722559
"1.1.1.B4","more","Thermus thermophilus",2,"the enzyme shows no activity with NADP(H)",684583
"1.1.1.B4","more","Burkholderia sp.",2,"no cofactor: NADP+",687864
"1.1.1.4","NAD+","Bacillus sp.",7,"",246404
"1.1.1.4","NAD+","Brevibacillus sp.",7,"",246404
"1.1.1.4","NAD+","Enterobacter sp.",7,"",246404
"1.1.1.4","NAD+","Micrococcus sp.",7,"",246404
"1.1.1.4","NAD+","Pseudomonas sp.",7,"",246404
"1.1.1.4","NAD+","Paracoccus denitrificans",7,"",246406
"1.1.1.4","NAD+","Aeromonas hydrophila",7,"",246407
"1.1.1.4","NAD+","Bacillus subtilis",7,"",246407
"1.1.1.4","NAD+","Gluconobacter oxydans",7,"",246407
"1.1.1.4","NAD+","Enterobacter aerogenes",7,"no activity with NADP+ as cofactor",246412
"1.1.1.4","NAD+","Saccharomyces cerevisiae",7,"no activity with NADP+ as cofactor","246409, 246413"
"1.1.1.4","NAD+","Pyrococcus furiosus",7,"can use NAD(H) and NADP(H) as cofactor, clear preference for NADH",667266
"1.1.1.4","NAD+","Paenibacillus polymyxa",7,"",721345
"1.1.1.4","NAD+","Mycobacterium sp.",7,"",721872
"1.1.1.4","NAD+","Paenibacillus polymyxa",7,"","246407, 722559"
"1.1.1.B4","NAD+","Thermus thermophilus",7,"critical role of the D37 residue in discriminating NAD(H) from NADP(H)",684583
"1.1.1.B4","NAD+","Burkholderia sp.",7,"",687864
"1.1.1.B4","NAD+","Candida parapsilosis",7,"",688747
"1.1.1.B4","NAD+","Saccharomyces carlsbergensis",7,"",697267
"1.1.1.B4","NAD+","Saccharomyces cerevisiae",7,"",697267
"1.1.1.B4","NAD+","Sulfolobus solfataricus",7,"",697839
"1.1.1.B4","NAD+","Thermoanaerobacter ethanolicus",7,"",723841
"1.1.1.B4","NAD+","Microbacterium oxydans",7,"",725726
"1.1.1.4","NADH","Aeromonas hydrophila",8,"",246407
"1.1.1.4","NADH","Bacillus subtilis",8,"",246407
"1.1.1.4","NADH","Gluconobacter oxydans",8,"",246407
"1.1.1.4","NADH","Pyrococcus furiosus",8,"can use NAD(H) and NADP(H) as cofactor, clear preference for NADH",667266
"1.1.1.4","NADH","Saccharomyces cerevisiae",8,"",695776
"1.1.1.4","NADH","Saccharomyces cerevisiae",8,"",696883
"1.1.1.4","NADH","Paenibacillus polymyxa",8,"",721345
"1.1.1.4","NADH","Mycobacterium sp.",8,"",721872
