"EC_number","Organism","LigandID","Literature"
"1.1.1.27","Lactobacillus plantarum",295,286430
"1.1.1.27","Lactobacillus salivarius",295,286430
"1.1.1.27","Lactobacillus vermiforme",295,286430
"1.1.1.27","Lactococcus raffinolactis",295,286430
"1.1.1.27","Mycoplasma sp.",295,286430
"1.1.1.27","Pediococcus acidilactici",295,286430
"1.1.1.27","Pediococcus damnosus",295,286430
"1.1.1.27","Pediococcus inopinatus",295,286430
"1.1.1.27","Pediococcus pentosaceus",295,286430
"1.1.1.27","Rothia dentocariosa",295,286430
"1.1.1.27","Selenomonas ruminantium",295,286430
"1.1.1.27","Staphylococcus aureus",295,286430
"1.1.1.27","Streptococcus acidominimus",295,286430
"1.1.1.27","Streptococcus agalactiae",295,286430
"1.1.1.27","Streptococcus equinus",295,286430
"1.1.1.27","Streptococcus milleri",295,286430
"1.1.1.27","Streptococcus mitior",295,286430
"1.1.1.27","Streptococcus mutans",295,286430
"1.1.1.27","Streptococcus salivarius",295,286430
"1.1.1.27","Streptococcus sanguinis",295,286430
"1.1.1.27","Streptococcus thermophilus",295,286430
"1.1.1.27","Streptococcus uberis",295,286430
"1.1.1.27","Tetragenococcus halophilus",295,286430
"1.1.1.27","Weissella confusa",295,286430
"1.1.1.27","Weissella viridescens",295,286430
"1.1.1.27","Streptococcus uberis",295,286431
"1.1.1.27","Lactococcus lactis subsp. cremoris",295,"286430, 286433"
"1.1.1.27","Staphylococcus epidermidis",295,286435
"1.1.1.27","Cupriavidus necator",295,286440
"1.1.1.27","Thermus caldophilus",295,286443
"1.1.1.27","Lactobacillus casei",295,"286434, 286448"
"1.1.1.27","Lactobacillus curvatus",295,"286430, 286448"
"1.1.1.27","Enterococcus faecalis",295,286449
"1.1.1.27","Lactococcus lactis",295,286451
"1.1.1.27","Staphylococcus epidermidis",295,"286430, 286452"
"1.1.1.27","Lactococcus lactis",295,"286430, 286454"
"1.1.1.27","Bifidobacterium longum",295,286467
"1.1.1.27","Thermoanaerobacter ethanolicus",295,286468
"1.1.1.27","Thermus caldophilus",3817,286443
"1.1.1.27","Lactococcus lactis subsp. cremoris",4817,286433
"1.1.1.27","Thermus caldophilus",4817,286443
"1.1.1.27","Champsocephalus gunnari",2,688389
"1.1.1.27","Deinococcus radiodurans",2,688389
"1.1.1.27","Thermus thermophilus",2,688389
"1.1.1.27","Staphylococcus aureus",2,690058
"1.1.1.27","Rhizopus delemar",2,697662
"1.1.1.27","Rhizopus oryzae NRRL 395",2,697662
"1.1.1.27","Rattus norvegicus",2,698332
"1.1.1.27","Thermus caldophilus",16,286443
"1.1.1.27","Lactococcus lactis subsp. cremoris",30428,286433
"1.1.1.27","Thermoanaerobacter ethanolicus",61,711181
"1.1.1.27","Thermoanaerobacter ethanolicus",116,711181
"1.1.1.28","Enterococcus faecium",63,286500
"1.1.1.28","Enterococcus faecium",47,286500
"1.1.1.28","Pythium debaryanum",295,286484
"1.1.1.28","Pythium undulatum",295,286484
"1.1.1.28","Sapromyces elongatus",295,286484
"1.1.1.28","Streptococcus equinus",295,286486
"1.1.1.28","Enterococcus faecium",16,286500
"1.1.1.30","Zoogloea ramigera I-16-M",63,286534
"1.1.1.30","Acidovorax sp.",3600,656326
"1.1.1.30","Zoogloea ramigera I-16-M",45,286534
"1.1.1.30","Acidovorax sp.",45,656326
"1.1.1.30","Zoogloea ramigera I-16-M",21,286534
"1.1.1.30","Acidovorax sp.",135,656326
"1.1.1.30","Zoogloea ramigera I-16-M",161,286534
"1.1.1.30","Acidovorax sp.",1219,656326
"1.1.1.30","Ralstonia pickettii",2,695653
"1.1.1.30","Bos taurus",215,286514
"1.1.1.30","Staphylococcus xylosus",215,286515
"1.1.1.30","Homo sapiens",215,"286512, 286513, 286519"
"1.1.1.30","Bos taurus",215,286522
"1.1.1.30","Rattus norvegicus",215,286522
"1.1.1.30","Paracoccus denitrificans",215,"286524, 286526"
"1.1.1.30","Rhodobacter sphaeroides",215,"286523, 286531"
"1.1.1.30","Zoogloea ramigera I-16-M",215,286534
"1.1.1.30","Paucimonas lemoignei",215,"286532, 286537"
"1.1.1.30","Mycobacterium phlei",215,286539
"1.1.1.30","Cavia porcellus",215,286540
"1.1.1.30","Rattus norvegicus",215,"286516, 286518, 286520, 286521, 286529, 286533, 286536, 286540"
"1.1.1.30","Bacillus cereus",215,286541
"1.1.1.30","Bos taurus",215,"286513, 286516, 286517, 286521, 286525, 286527, 286528, 286530, 286535, 286538, 286540, 286542, 286543"
"1.1.1.30","Camelus dromedarius",845,655261
"1.1.1.30","Zoogloea ramigera I-16-M",593,286534
"1.1.1.30","Acidovorax sp.",58,656326
"1.1.1.31","Bacillus cereus",2,695710
"1.1.1.34","Hevea brasiliensis",45,286568
"1.1.1.34","Ipomoea batatas",2,655032
"1.1.1.34","Solanum tuberosum",2,655032
"1.1.1.34","Hortaea werneckii",2,686736
"1.1.1.34","Homo sapiens",2,695855
"1.1.1.34","Catharanthus roseus",2,700852
"1.1.1.34","Homo sapiens",876,655507
"1.1.1.34","Arabidopsis thaliana",5340,700682
"1.1.1.34","Rattus norvegicus",123221,654375
"1.1.1.34","Arabidopsis thaliana",3534,700682
"1.1.1.34","Hevea brasiliensis",2763,286568
"1.1.1.35","Mus musculus",25464,695470
"1.1.1.36","Methylobacterium extorquens",820,286622
"1.1.1.36","Methylobacterium extorquens",4,286622
"1.1.1.36","Methylobacterium extorquens",131,286622
"1.1.1.36","Bos taurus",18,286615
"1.1.1.36","Rattus norvegicus",18,286615
"1.1.1.36","Methylobacterium extorquens",279,286622
"1.1.1.36","Bos taurus",2214,286615
"1.1.1.36","Rattus norvegicus",2214,286615
"1.1.1.37","Mycobacterium phlei",63,286635
"1.1.1.37","Corynebacterium glutamicum",131,656320
"1.1.1.37","Mycobacterium phlei",153,286635
"1.1.1.37","Anthocidaris crassispina",45,286652
"1.1.1.37","Mycobacterium phlei",44,286635
"1.1.1.37","Corynebacterium glutamicum",279,656320
"1.1.1.37","Comamonas testosteroni",247,286630
"1.1.1.37","Sus scrofa",247,"286629, 286630"
"1.1.1.37","Escherichia coli",2,685734
"1.1.1.37","Malassezia pachydermatis",2,691578
"1.1.1.37","Streptomyces coelicolor",2,711519
"1.1.1.37","Streptomyces aureofaciens",42,286672
"1.1.1.37","Anthocidaris crassispina",2986,286652
"1.1.1.38","Escherichia coli",221,286689
"1.1.1.38","Escherichia coli W",30651,286694
"1.1.1.38","Escherichia coli",724,286688
"1.1.1.38","Citrobacter freundii",724,286692
"1.1.1.38","Erwinia aroidea",724,286692
"1.1.1.38","Escherichia coli B",724,286692
"1.1.1.38","Escherichia coli K-12",724,286692
"1.1.1.38","Escherichia coli W",724,286692
"1.1.1.38","Proteus vulgaris",724,286692
"1.1.1.38","Urochloa panicoides",4,286683
"1.1.1.38","Escherichia coli W",48871,286694
"1.1.1.38","Atriplex spongiosa",18,286683
"1.1.1.38","Urochloa panicoides",18,286683
"1.1.1.38","Escherichia coli W",634,286694
"1.1.1.38","Ascaris suum",170,286693
"1.1.1.38","Homo sapiens",170,695884
"1.1.1.38","Mus musculus",170,695884
"1.1.1.38","Rattus norvegicus",170,695884
"1.1.1.38","Escherichia coli W",97,286694
"1.1.1.38","Escherichia coli W",97,286697
"1.1.1.38","Escherichia coli",49,286689
"1.1.1.38","Sinorhizobium meliloti",54,286677
"1.1.1.38","Escherichia coli",43,286689
"1.1.1.38","Saccharomyces cerevisiae",51,286696
"1.1.1.38","Rattus norvegicus",58,286698
"1.1.1.38","Urochloa panicoides",65,286683
"1.1.1.39","Crassula argentea",104251,286707
"1.1.1.39","Arabidopsis thaliana",34,712417
"1.1.1.39","Arabidopsis thaliana",29,712417
"1.1.1.39","Bradyrhizobium japonicum",105367,286720
"1.1.1.39","Sinorhizobium meliloti",13,286706
"1.1.1.39","Bradyrhizobium japonicum",107,286720
"1.1.1.39","Crassula argentea",30,286707
"1.1.1.39","Sinorhizobium meliloti",724,286706
"1.1.1.39","Sinorhizobium meliloti",4,286706
"1.1.1.39","Arabidopsis thaliana",18,712417
"1.1.1.39","Brassica oleracea",534,286704
"1.1.1.39","Solanum tuberosum",534,286704
"1.1.1.39","Crassula argentea",534,286707
"1.1.1.39","Amaranthus edulis",534,286713
"1.1.1.39","Atriplex spongiosa",534,286713
"1.1.1.39","Panicum miliaceum",534,286713
"1.1.1.39","Arabidopsis thaliana",106,712417
"1.1.1.39","Bradyrhizobium japonicum",87,286720
"1.1.1.39","Bradyrhizobium japonicum",105,286720
"1.1.1.39","Sinorhizobium meliloti",1755,286706
"1.1.1.39","Crassula argentea",1755,286707
"1.1.1.39","Bradyrhizobium japonicum",1755,286720
"1.1.1.39","Sinorhizobium meliloti",170,286706
"1.1.1.39","Crassula argentea",170,286707
"1.1.1.39","Ascaris suum",170,654720
"1.1.1.39","Homo sapiens",170,657362
"1.1.1.39","Arabidopsis thaliana",170,712417
"1.1.1.39","Azorhizobium caulinodans",170,721353
"1.1.1.39","Sinorhizobium sp.",170,721353
"1.1.1.39","Bradyrhizobium japonicum",49075,286720
"1.1.1.39","Bradyrhizobium japonicum",106272,286720
"1.1.1.39","Bradyrhizobium japonicum",389,286720
"1.1.1.39","Ascaris suum",247,654720
"1.1.1.39","Arabidopsis thaliana",2,712417
"1.1.1.39","Arabidopsis thaliana",57,712417
"1.1.1.39","Crassula argentea",51,286707
"1.1.1.39","Arabidopsis thaliana",51,712417
"1.1.1.39","Atriplex spongiosa",245,286713
"1.1.1.39","Sinorhizobium meliloti",58,286706
"1.1.1.39","Bradyrhizobium japonicum",58,286720
"1.1.1.39","Azorhizobium caulinodans",58,721353
"1.1.1.39","Sinorhizobium sp.",58,721353
"1.1.1.39","Bradyrhizobium japonicum",107464,286720
"1.1.1.B40","Anguilla japonica",61093,668426
"1.1.1.40","Ricinus communis",123222,654369
"1.1.1.40","Ricinus communis",29,286742
"1.1.1.40","Ricinus communis",29,654369
"1.1.1.40","Populus trichocarpa",29,723150
"1.1.1.40","Nicotiana tabacum",724,689506
"1.1.1.40","Arabidopsis thaliana",724,689565
"1.1.1.40","Ricinus communis",4,654369
"1.1.1.40","Ricinus communis",131,654369
"1.1.1.40","Zea mays",131,656619
"1.1.1.40","Ricinus communis",18,286742
"1.1.1.40","Ricinus communis",18,654369
"1.1.1.40","Nicotiana tabacum",18,689506
"1.1.1.40","Arabidopsis thaliana",18,689565
"1.1.1.40","Populus trichocarpa",105,723150
"1.1.1.B40","Homo sapiens",1159,687961
"1.1.1.40","Homo sapiens",170,286734
"1.1.1.40","Solanum lycopersicum",170,286737
"1.1.1.40","Arabidopsis thaliana",170,689565
"1.1.1.40","Arabidopsis thaliana",170,697911
"1.1.1.40","Zea mays",170,700772
"1.1.1.40","Arabidopsis thaliana",170,723442
"1.1.1.40","Trypanosoma brucei",97,712042
"1.1.1.40","Trypanosoma cruzi",97,712042
"1.1.1.40","Ricinus communis",41,654369
"1.1.1.40","Ricinus communis",76,654369
"1.1.1.40","Sulfolobus solfataricus",83,724897
"1.1.1.40","Trichomonas vaginalis",2,655672
"1.1.1.40","Zea mays",2,656619
"1.1.1.40","Aptenia cordifolia",2,657103
"1.1.1.40","Oryza sativa",2,685731
"1.1.1.40","Hydrilla verticillata",2,689392
"1.1.1.40","Nicotiana tabacum",2,689506
"1.1.1.40","Oryza sativa",2,689557
"1.1.1.40","Zea mays",2,700772
"1.1.1.40","Triticum aestivum",2,721778
"1.1.1.B40","Anguilla japonica",2,668426
"1.1.1.B40","Homo sapiens",2,700178
"1.1.1.B40","Mus musculus",2,700178
"1.1.1.40","Pseudomonas aeruginosa",54,286716
"1.1.1.40","Corynebacterium glutamicum",54,286739
"1.1.1.40","Ricinus communis",128,286742
"1.1.1.40","Ricinus communis",128,654369
"1.1.1.B40","Homo sapiens",913,693380
"1.1.1.40","Homo sapiens",58,286734
"1.1.1.40","Solanum lycopersicum",58,286737
"1.1.1.40","Ricinus communis",58,286742
"1.1.1.40","Ricinus communis",58,654369
"1.1.1.40","Zea mays",58,656619
"1.1.1.40","Arabidopsis thaliana",58,689565
"1.1.1.40","Arabidopsis thaliana",58,697911
"1.1.1.40","Zea mays",58,700772
"1.1.1.40","Arabidopsis thaliana",58,723442
"1.1.1.40","Ricinus communis",26,654369
"1.1.1.40","Aptenia cordifolia",64,657103
"1.1.1.41","Sus scrofa",13,286775
"1.1.1.41","Homo sapiens",13,656189
"1.1.1.41","Homo sapiens",13,685154
"1.1.1.41","Homo sapiens",13,712440
"1.1.1.41","Saccharomyces cerevisiae",30,"286749, 286772"
"1.1.1.41","Phycomyces blakesleeanus",30,286776
"1.1.1.41","Saccharomyces cerevisiae",30,654652
"1.1.1.41","Yarrowia lipolytica",30,654783
"1.1.1.41","Saccharomyces cerevisiae",30,656052
"1.1.1.41","Saccharomyces cerevisiae",30,656118
"1.1.1.41","Saccharomyces cerevisiae",30,721433
"1.1.1.41","Saccharomyces cerevisiae",30,721650
"1.1.1.41","Saccharomyces cerevisiae",177,721650
"1.1.1.41","Pisum sativum",2,654843
"1.1.1.41","Zea mays",2,654914
"1.1.1.41","Saccharomyces cerevisiae",7,667647
"1.1.1.42","Sus scrofa",751,656180
"1.1.1.42","Mus musculus",13,656247
"1.1.1.42","Spirodela polyrhiza",1230,656616
"1.1.1.42","Spirodela polyrhiza",131,656616
"1.1.1.42","Sus scrofa",701,656180
"1.1.1.42","Pisum sativum",297,654914
"1.1.1.42","Zea mays",297,654914
"1.1.1.42","Spirodela polyrhiza",297,656616
"1.1.1.42","Spirodela polyrhiza",279,656616
"1.1.1.42","Saccharomyces cerevisiae",2,654367
"1.1.1.42","Pisum sativum",2,654843
"1.1.1.42","Pisum sativum",2,654914
"1.1.1.42","Zea mays",2,654914
"1.1.1.42","Plasmodium falciparum",2,655456
"1.1.1.42","Saccharomyces cerevisiae",2,656233
"1.1.1.42","Spirodela polyrhiza",2,656616
"1.1.1.42","Mycobacterium tuberculosis",42,668080
"1.1.1.42","Pisum sativum",4072,670638
"1.1.1.42","Sus scrofa",249,656180
"1.1.1.42","Pisum sativum",2759,654914
"1.1.1.42","Zea mays",2759,654914
"1.1.1.43","Candida tropicalis",13,286818
"1.1.1.43","Candida tropicalis",30,286818
"1.1.1.43","Candida tropicalis",4,286818
"1.1.1.43","Candida tropicalis",105,286818
"1.1.1.43","Rattus norvegicus",2,688042
"1.1.1.43","Candida tropicalis",51,286818
"1.1.1.44","Rattus norvegicus",745,655737
"1.1.1.44","Nicotiana tabacum",689,286866
"1.1.1.44","Homo sapiens",144118,688050
"1.1.1.44","Homo sapiens",25462,688050
"1.1.1.44","Ovis aries",391,286903
"1.1.1.44","Brevibacterium flavum",13,286885
"1.1.1.44","Phormidium sp.",30,286882
"1.1.1.44","Brevibacterium flavum",4,286885
"1.1.1.44","Brevibacterium flavum",671,286885
"1.1.1.44","Cyberlindnera jadinii",87,286893
"1.1.1.44","Enterococcus faecalis",698,286885
"1.1.1.44","Corynebacterium glutamicum",4525,696574
"1.1.1.44","Dictyostelium discoideum",1301,286825
"1.1.1.44","Brevibacterium flavum",97,286885
"1.1.1.44","Brevibacterium flavum",349,286885
"1.1.1.44","Brevibacterium flavum",119,286885
"1.1.1.44","Rattus norvegicus",123223,657143
"1.1.1.44","Oryza sativa",2,656766
"1.1.1.44","Azospirillum brasilense",2,700784
"1.1.1.45","Sus scrofa",153,286905
"1.1.1.B46","Methanocaldococcus jannaschii",106,728123
"1.1.1.47","Bacillus sp.",13,639123
"1.1.1.47","Bacillus sp.",30,639123
"1.1.1.47","Bacillus sp.",4,639123
"1.1.1.47","Bacillus sp.",1443,639123
"1.1.1.47","Lysinibacillus sphaericus",21,711501
"1.1.1.47","Haloferax mediterranei",2,654400
"1.1.1.47","Bacillus sp.",7,639123
"1.1.1.47","Bacillus sp.",8,639123
"1.1.1.47","Thermoproteus tenax",10,639097
"1.1.1.47","Bacillus sp.",10,639123
"1.1.1.47","Bacillus sp.",5,639123
"1.1.1.49","Homo sapiens",17287,688050
"1.1.1.49","Homo sapiens",144119,688050
"1.1.1.49","Homo sapiens",2822,696962
"1.1.1.49","Homo sapiens",259,688050
"1.1.1.49","Arabidopsis thaliana",152014,697951
"1.1.1.49","Rattus norvegicus",18934,695426
"1.1.1.49","Homo sapiens",626,696962
"1.1.1.49","Homo sapiens",63155,696962
"1.1.1.49","Homo sapiens",45,696962
"1.1.1.49","Azotobacter vinelandii",2841,287003
"1.1.1.49","Homo sapiens",135,696962
"1.1.1.49","Brugia malayi",88497,723340
"1.1.1.49","Phragmites australis",22,700844
"1.1.1.49","Homo sapiens",524,696152
"1.1.1.49","Homo sapiens",13613,696152
"1.1.1.49","Homo sapiens",178,696962
"1.1.1.49","Homo sapiens",13666,656387
"1.1.1.49","Solanum tuberosum",2,657060
"1.1.1.49","Homo sapiens",2,696962
"1.1.1.49","Arabidopsis thaliana",2,697951
"1.1.1.49","Nicotiana tabacum",2,701015
"1.1.1.49","Arabidopsis thaliana",2,701432
"1.1.1.49","Brugia malayi",49,723340
"1.1.1.49","Solanum tuberosum",4072,657060
"1.1.1.49","Homo sapiens",152015,696962
"1.1.1.49","Homo sapiens",14247,696152
"1.1.1.49","Fragaria x ananassa",12088,704148
"1.1.1.49","Escherichia coli",148,722577
"1.1.1.49","Homo sapiens",2358,656387
"1.1.1.49","Arabidopsis thaliana",55,700801
"1.1.1.49","Homo sapiens",587,696962
"1.1.1.49","Rattus norvegicus",6033,675105
"1.1.1.50","Comamonas testosteroni",36590,674981
"1.1.1.50","Comamonas testosteroni",69447,674981
"1.1.1.50","Homo sapiens",4645,654626
"1.1.1.50","Homo sapiens",2,654626
"1.1.1.50","Comamonas testosteroni",2,674981
"1.1.1.50","Homo sapiens",2,689076
"1.1.1.50","Comamonas testosteroni",2,697268
"1.1.1.52","Escherichia sp.",2,287082
"1.1.1.53","Oncorhynchus masou rhodurus",13026,287104
"1.1.1.53","Oncorhynchus mykiss",13026,287104
"1.1.1.53","Gallus gallus",3109,668684
"1.1.1.53","Oncorhynchus masou rhodurus",569,287104
"1.1.1.53","Oncorhynchus mykiss",569,287104
"1.1.1.53","Oncorhynchus masou rhodurus",32410,287104
"1.1.1.53","Oncorhynchus mykiss",32410,287104
"1.1.1.53","Anguilla japonica",32410,287111
"1.1.1.56","Enterobacter aerogenes",1771,287123
"1.1.1.57","Escherichia coli",63,287128
"1.1.1.57","Escherichia coli",21,287128
"1.1.1.62","Mus musculus",152016,699221
"1.1.1.62","Homo sapiens",49338,287197
