,EC_number,Compound,Organism_inh,UniqueOrganisms_Ki,Organism_act,UniqueOrganisms_Act
75,1.1.1.205,ADP,10.0,"Candida albicans,Cryptosporidium parvum,Homo sapiens,Tritrichomonas suis",0.0,0
76,1.1.1.205,AMP,3.0,"Homo sapiens,Rattus norvegicus,Sus scrofa",0.0,0
77,1.1.1.205,Curcumin,1.0,Mus musculus,0.0,0
78,1.1.1.205,GMP,7.0,"Enterobacter aerogenes,Escherichia coli,Homo sapiens,Leishmania donovani,Rattus norvegicus,Sus scrofa,Vigna unguiculata",0.0,0
79,1.1.1.205,IMP,1.0,Toxoplasma gondii,0.0,0
80,1.1.1.205,Icosadienoic acid,2.0,"Homo sapiens,Mus musculus",0.0,0
81,1.1.1.205,NADH,6.0,"Homo sapiens,Rattus norvegicus",0.0,0
82,1.1.1.205,Xanthosine 5'-phosphate,11.0,"Bacillus anthracis,Homo sapiens,Leishmania donovani,Rattus norvegicus,Sus scrofa",0.0,0
83,1.1.1.21,Aurantio-obtusin,1.0,Rattus norvegicus,0.0,0
84,1.1.1.21,Clofibric acid,1.0,Homo sapiens,0.0,0
85,1.1.1.21,Ellagic acid,2.0,"Homo sapiens,Rattus norvegicus",0.0,0
86,1.1.1.21,Emodin,1.0,Rattus norvegicus,0.0,0
87,1.1.1.21,Fenofibrate,1.0,Homo sapiens,0.0,0
88,1.1.1.21,Sulindac,1.0,Homo sapiens,0.0,0
89,1.1.1.21,Zopolrestat,2.0,"Homo sapiens,Rattus norvegicus",0.0,0
90,1.1.1.213,"(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate",1.0,Rattus norvegicus,0.0,0
91,1.1.1.213,Alprostadil,1.0,Rattus norvegicus,0.0,0
92,1.1.1.213,Androstenedione,2.0,Rattus norvegicus,0.0,0
93,1.1.1.213,Arachidonate,2.0,Rattus norvegicus,0.0,0
94,1.1.1.213,Aspirin,1.0,Rattus norvegicus,0.0,0
95,1.1.1.213,Cortisol,1.0,Rattus norvegicus,0.0,0
96,1.1.1.213,Cortisone,1.0,Rattus norvegicus,0.0,0
97,1.1.1.213,Dexamethasone,1.0,Rattus norvegicus,0.0,0
98,1.1.1.213,Hexestrol,2.0,Mesocricetus auratus,0.0,0
99,1.1.1.213,Indomethacin,4.0,Rattus norvegicus,0.0,0
100,1.1.1.213,NADH,1.0,Rattus norvegicus,0.0,0
101,1.1.1.213,Prednisolone,1.0,Rattus norvegicus,0.0,0
102,1.1.1.213,Prednisone,1.0,Rattus norvegicus,0.0,0
103,1.1.1.213,Prostaglandin A2,1.0,Rattus norvegicus,0.0,0
104,1.1.1.213,Prostaglandin F1alpha,1.0,Rattus norvegicus,0.0,0
105,1.1.1.213,Salicylate,1.0,Rattus norvegicus,0.0,0
106,1.1.1.22,Gallate,2.0,Homo sapiens,0.0,0
107,1.1.1.22,Quercetin,2.0,Homo sapiens,0.0,0
108,1.1.1.22,UDP-D-xylose,4.0,"Arabidopsis thaliana,Saccharum spp.",0.0,0
109,1.1.1.22,UDP-glucuronate,1.0,Saccharum spp.,0.0,0
110,1.1.1.22,p-Chloromercuribenzoate,1.0,Glycine max,0.0,0
111,1.1.1.248,Salutaridine,1.0,Papaver bracteatum,0.0,0
112,1.1.1.252,"7,4'-Dihydroxyflavone",1.0,Curvularia lunata,0.0,0
113,1.1.1.252,Acacetin,1.0,Curvularia lunata,0.0,0
114,1.1.1.252,Apigenin,1.0,Curvularia lunata,0.0,0
115,1.1.1.252,Baicalein,1.0,Curvularia lunata,0.0,0
116,1.1.1.252,Biochanin A,1.0,Curvularia lunata,0.0,0
117,1.1.1.252,Chrysin,1.0,Curvularia lunata,0.0,0
118,1.1.1.252,Chrysoeriol,1.0,Curvularia lunata,0.0,0
119,1.1.1.252,Diosmetin,1.0,Curvularia lunata,0.0,0
120,1.1.1.252,Flavone,1.0,Curvularia lunata,0.0,0
121,1.1.1.252,Kaempferol,1.0,Curvularia lunata,0.0,0
122,1.1.1.252,Luteolin,1.0,Curvularia lunata,0.0,0
123,1.1.1.252,Naringenin,1.0,Curvularia lunata,0.0,0
124,1.1.1.252,Quercetin,1.0,Curvularia lunata,0.0,0
125,1.1.1.252,Scutellarein,1.0,Curvularia lunata,0.0,0
126,1.1.1.267,1-Deoxy-D-xylulose 5-phosphate,1.0,Mycobacterium tuberculosis,0.0,0
127,1.1.1.267,FR 900098,2.0,"Synechocystis sp.,Toxoplasma gondii",0.0,0
128,1.1.1.268,(S)-2-Hydroxypropyl-CoM,1.0,Xanthobacter sp.,0.0,0
129,1.1.1.268,Coenzyme M,1.0,Xanthobacter sp.,0.0,0
130,1.1.1.268,Methanesulfonic acid,1.0,Xanthobacter sp.,1.0,Xanthobacter autotrophicus
131,1.1.1.27,Gossypol,8.0,"Homo sapiens,Plasmodium falciparum,Plasmodium malariae,Plasmodium ovale,Plasmodium vivax",0.0,0
132,1.1.1.27,Methylmalonate,1.0,Rattus norvegicus,0.0,0
133,1.1.1.27,NADPH,1.0,Thermoanaerobacter ethanolicus,0.0,0
134,1.1.1.27,Pyruvate,6.0,"Gadus morhua,Geobacillus stearothermophilus,Plasmodium berghei,Plasmodium falciparum",0.0,0
135,1.1.1.27,"beta-D-Fructose 1,6-bisphosphate",3.0,"Rhizopus delemar,Rhizopus oryzae NRRL 395",59.0,"Actinomyces viscosus,Bacillus caldolyticus,Bacillus megaterium,Bacillus subtilis,Bifidobacterium bifidum,Bifidobacterium longum,Butyrivibrio fibrisolvens,Cupriavidus necator,Enterococcus faecalis,Enterococcus faecium,Geobacillus stearothermophilus,Lactobacillus acidophilus,Lactobacillus brevis,Lactobacillus buchneri,Lactobacillus casei,Lactobacillus curvatus,Lactobacillus dextrinicus,Lactobacillus fermentum,Lactobacillus helveticus,Lactobacillus mesenteroides,Lactobacillus plantarum,Lactobacillus salivarius,Lactobacillus vermiforme,Lactococcus lactis,Lactococcus lactis subsp. cremoris,Lactococcus raffinolactis,Mycoplasma sp.,Pediococcus acidilactici,Pediococcus damnosus,Pediococcus inopinatus,Pediococcus pentosaceus,Rothia dentocariosa,Selenomonas ruminantium,Staphylococcus aureus,Staphylococcus epidermidis,Streptococcus acidominimus,Streptococcus agalactiae,Streptococcus equinus,Streptococcus milleri,Streptococcus mitior,Streptococcus mutans,Streptococcus salivarius,Streptococcus sanguinis,Streptococcus thermophilus,Streptococcus uberis,Tetragenococcus halophilus,Thermoanaerobacter ethanolicus,Thermus caldophilus,Weissella confusa,Weissella viridescens"
136,1.1.1.271,GDP,1.0,Escherichia coli,0.0,0
137,1.1.1.276,Hydroxymalonate,2.0,Agrobacterium tumefaciens,0.0,0
138,1.1.1.276,Malonate,2.0,Agrobacterium tumefaciens,0.0,0
139,1.1.1.276,Methylmalonate,2.0,Agrobacterium tumefaciens,0.0,0
140,1.1.1.278,"5alpha-Pregnane-3,20-dione",2.0,Homo sapiens,0.0,0
141,1.1.1.278,Progesterone,2.0,Homo sapiens,0.0,0
142,1.1.1.28,Formate,2.0,Lactobacillus pentosus,0.0,0
143,1.1.1.28,Oxalate,1.0,Rhodopseudomonas palustris,0.0,0
144,1.1.1.28,Oxamate,2.0,Lactobacillus pentosus,0.0,0
145,1.1.1.284,Decanoic acid,1.0,Homo sapiens,0.0,0
146,1.1.1.284,Dodecanedioic acid,1.0,Homo sapiens,0.0,0
147,1.1.1.284,Dodecanoic acid,5.0,"Homo sapiens,Solanum lycopersicum",0.0,0
148,1.1.1.284,Glutathione,1.0,Homo sapiens,0.0,0
149,1.1.1.284,Glutathione disulfide,1.0,Homo sapiens,0.0,0
150,1.1.1.284,Nonanoic acid,1.0,Homo sapiens,0.0,0
151,1.1.1.284,Octanoic acid,1.0,Homo sapiens,0.0,0
152,1.1.1.284,S-Methyl GSH,1.0,Homo sapiens,0.0,0
153,1.1.1.284,Sebacic acid,1.0,Homo sapiens,0.0,0
154,1.1.1.284,Undecanoic acid,1.0,Homo sapiens,0.0,0
155,1.1.1.286,Hydrochloric acid,1.0,Saccharomyces cerevisiae,0.0,0
156,1.1.1.286,NADH,1.0,Saccharomyces cerevisiae,0.0,0
157,1.1.1.286,Potassium acetate,1.0,Saccharomyces cerevisiae,0.0,0
158,1.1.1.290,(R)-2-Hydroxyglutarate,2.0,Escherichia coli,0.0,0
159,1.1.1.30,"2,4-Dichlorophenoxyacetate",2.0,Jaculus orientalis,0.0,0
160,1.1.1.30,2-Hydroxybutanoic acid,1.0,Pseudomonas fragi,0.0,0
161,1.1.1.30,Cacodylate,1.0,Pseudomonas fragi,0.0,0
162,1.1.1.30,Lactate,1.0,Pseudomonas fragi,1.0,Acidovorax sp.
163,1.1.1.30,Malonate,1.0,Pseudomonas fragi,0.0,0
164,1.1.1.300,9-cis-Retinoic acid,1.0,Homo sapiens,0.0,0
165,1.1.1.304,Diacetyl,1.0,Staphylococcus aureus,0.0,0
166,1.1.1.307,ATP,1.0,Candida tenuis,0.0,0
167,1.1.1.307,NADH,5.0,"Candida intermedia,Candida tenuis",0.0,0
168,1.1.1.307,NADPH,1.0,Candida intermedia,0.0,0
169,1.1.1.312,Reactive blue 2,2.0,Pseudomonas straminea,0.0,0
170,1.1.1.316,Ascorbate,2.0,Spinacia oleracea,0.0,0
171,1.1.1.334,Ecgonine methyl ester,1.0,Erythroxylum coca,0.0,0
172,1.1.1.334,NADPH,1.0,Erythroxylum coca,0.0,0
173,1.1.1.34,Atorvastatin,2.0,Homo sapiens,0.0,0
174,1.1.1.34,Cerivastatin,2.0,Homo sapiens,0.0,0
175,1.1.1.34,Pravastatin,2.0,Homo sapiens,0.0,0
176,1.1.1.358,"Dihydro-4,4-dimethyl-2,3-furandione",1.0,Candida parapsilosis,0.0,0
177,1.1.1.359,NADPH,1.0,Sulfolobus solfataricus,0.0,0
178,1.1.1.360,ATP,1.0,Picrophilus torridus,0.0,0
179,1.1.1.363,ADP,1.0,Leuconostoc mesenteroides,0.0,0
180,1.1.1.363,AMP,1.0,Leuconostoc mesenteroides,0.0,0
181,1.1.1.363,ATP,2.0,Leuconostoc mesenteroides,0.0,0
182,1.1.1.363,Acetyl-CoA,1.0,Leuconostoc mesenteroides,0.0,0
183,1.1.1.363,Adenosine,1.0,Leuconostoc mesenteroides,0.0,0
184,1.1.1.363,Adenosine 2'-phosphate,1.0,Leuconostoc mesenteroides,0.0,0
185,1.1.1.363,CoA,1.0,Leuconostoc mesenteroides,0.0,0
186,1.1.1.363,Malonyl-CoA,1.0,Leuconostoc mesenteroides,0.0,0
187,1.1.1.363,NADPH,2.0,Leuconostoc mesenteroides,1.0,Leuconostoc mesenteroides
188,1.1.1.363,Nicotinamide,1.0,Leuconostoc mesenteroides,0.0,0
189,1.1.1.363,Pyridoxal phosphate,1.0,Leuconostoc mesenteroides,0.0,0
190,1.1.1.363,ortho-Vanadate,1.0,Leuconostoc mesenteroides,0.0,0
191,1.1.1.37,(S)-Malate,3.0,"Archaeoglobus fulgidus,Beggiatoa leptomitiformis,Streptomyces coelicolor",2.0,"Comamonas testosteroni,Sus scrofa"
192,1.1.1.37,"3',5'-Cyclic AMP",1.0,Sus scrofa,0.0,0
193,1.1.1.37,ADP,1.0,Sus scrofa,0.0,0
194,1.1.1.37,AMP,1.0,Sus scrofa,0.0,0
195,1.1.1.37,ATP,1.0,Sus scrofa,0.0,0
196,1.1.1.37,Arsenic acid,2.0,Taenia solium,0.0,0
197,1.1.1.37,Oxaloacetate,10.0,"Aptenia cordifolia,Mesembryanthemum crystallinum,Phytophthora infestans,Streptomyces avermitilis,Streptomyces coelicolor,Vulcanithermus mediatlanticus",0.0,0
198,1.1.1.37,Zinc cation,2.0,"Beggiatoa leptomitiformis,Vulcanithermus mediatlanticus",0.0,0
199,1.1.1.379,(S)-Mandelate,1.0,Rhodotorula graminis,0.0,0
200,1.1.1.39,"(R,R)-Tartaric acid",2.0,Arabidopsis thaliana,0.0,0
201,1.1.1.39,AMP,2.0,Arabidopsis thaliana,1.0,Crassula argentea
202,1.1.1.39,CO2,2.0,Arabidopsis thaliana,0.0,0
203,1.1.1.39,D-Fructose 6-phosphate,1.0,Rhodopseudomonas palustris,1.0,Bradyrhizobium japonicum
204,1.1.1.39,L-Aspartate,2.0,Ascaris suum,1.0,Sinorhizobium meliloti
205,1.1.1.39,NADH,2.0,Arabidopsis thaliana,0.0,0
206,1.1.1.39,Oxalate,1.0,Ascaris suum,0.0,0
207,1.1.1.39,Oxaloacetate,1.0,Rhodopseudomonas palustris,1.0,Arabidopsis thaliana
208,1.1.1.39,Pyruvate,2.0,Arabidopsis thaliana,0.0,0
209,1.1.1.40,(S)-Malate,2.0,"Columba sp.,Zea mays",0.0,0
210,1.1.1.40,AMP,2.0,Zea mays,0.0,0
211,1.1.1.40,ATP,10.0,Homo sapiens,1.0,Ricinus communis
212,1.1.1.40,Adenosine 2'-phosphate,2.0,Zea mays,0.0,0
213,1.1.1.40,CO2,2.0,Ricinus communis,0.0,0
214,1.1.1.40,NADPH,2.0,Ricinus communis,0.0,0
215,1.1.1.40,Oxalate,2.0,Zea mays,0.0,0
216,1.1.1.40,Pyruvate,3.0,"Ricinus communis,Zea mays",0.0,0
217,1.1.1.41,NADH,2.0,"Pisum sativum,Yarrowia lipolytica",0.0,0
218,1.1.1.41,NADPH,1.0,Pisum sativum,0.0,0
219,1.1.1.42,2-Oxoglutarate,4.0,"Fomitopsis palustris,Pisum sativum,Rattus norvegicus",0.0,0
220,1.1.1.42,Fe2+,1.0,Rattus norvegicus,0.0,0
221,1.1.1.42,Glutathione,1.0,Rattus norvegicus,0.0,0
222,1.1.1.42,Isocitrate,2.0,Pisum sativum,1.0,Spirodela polyrhiza
223,1.1.1.42,NADH,2.0,Pisum sativum,0.0,0
224,1.1.1.42,NADPH,3.0,"Mycobacterium tuberculosis,Pisum sativum",0.0,0
225,1.1.1.42,Oxaloacetate,1.0,Chlorobium limicola,0.0,0
226,1.1.1.42,Phosphoenolpyruvate,1.0,Escherichia coli,0.0,0
227,1.1.1.43,Meloxicam,1.0,Homo sapiens,0.0,0
228,1.1.1.43,Methotrexate,1.0,Homo sapiens,0.0,0
229,1.1.1.43,Metoclopramide,1.0,Homo sapiens,0.0,0
230,1.1.1.43,Ritodrine,1.0,Homo sapiens,0.0,0
231,1.1.1.44,4-Phospho-D-erythronate,5.0,"Ovis aries,Trypanosoma brucei",0.0,0
232,1.1.1.44,Amoxicillin,1.0,Homo sapiens,0.0,0
233,1.1.1.44,D-Arabinose 5-phosphate,2.0,"Ovis aries,Trypanosoma brucei",0.0,0
234,1.1.1.44,D-Erythrose 4-phosphate,2.0,"Ovis aries,Trypanosoma brucei",0.0,0
235,1.1.1.44,Dorzolamide,1.0,Homo sapiens,0.0,0
236,1.1.1.44,Imipenem,1.0,Homo sapiens,0.0,0
237,1.1.1.44,NADPH,11.0,"Ovis aries,Rattus norvegicus",0.0,0
238,1.1.1.49,6-Phospho-D-gluconate,1.0,Taenia crassiceps,0.0,0
239,1.1.1.49,ATP,2.0,"Brugia malayi,Meleagris gallopavo",0.0,0
240,1.1.1.49,Ammonia,1.0,Oncorhynchus mykiss,0.0,0
241,1.1.1.49,Amoxicillin,1.0,Chalcalburnus tarischii,0.0,0
242,1.1.1.49,Bupivacaine,1.0,Oncorhynchus mykiss,0.0,0
243,1.1.1.49,Cadmium,1.0,Oncorhynchus mykiss,0.0,0
244,1.1.1.49,Ciprofloxacin,1.0,Chalcalburnus tarischii,0.0,0
245,1.1.1.49,Cobalt ion,1.0,Aspergillus aculeatus,0.0,0
246,1.1.1.49,Cypermethrin,1.0,Oncorhynchus mykiss,0.0,0
247,1.1.1.49,D-Glucosamine 6-phosphate,2.0,Taenia crassiceps,1.0,Azotobacter vinelandii
248,1.1.1.49,D-Glucose 6-phosphate,1.0,Trypanosoma cruzi,0.0,0
249,1.1.1.49,Dehydroepiandrosterone,4.0,"Trypanosoma brucei,Trypanosoma cruzi",0.0,0
250,1.1.1.49,Deltamethrin,1.0,Oncorhynchus mykiss,0.0,0
251,1.1.1.49,Epiandrosterone,2.0,Trypanosoma brucei,0.0,0
252,1.1.1.49,Fe2+,1.0,Oncorhynchus mykiss,0.0,0
253,1.1.1.49,Lead,1.0,Oncorhynchus mykiss,0.0,0
254,1.1.1.49,Mercury(2+),1.0,Oncorhynchus mykiss,0.0,0
255,1.1.1.49,NADH,1.0,Meleagris gallopavo,0.0,0
256,1.1.1.49,NADPH,19.0,"Arabidopsis thaliana,Aspergillus aculeatus,Brugia malayi,Canis lupus familiaris,Escherichia coli,Hordeum vulgare,Meleagris gallopavo,Nicotiana tabacum,Taenia crassiceps,Thermotoga maritima",0.0,0
257,1.1.1.49,Pentobarbital sodium,1.0,Oncorhynchus mykiss,0.0,0
258,1.1.1.49,Propoxur,1.0,Oncorhynchus mykiss,0.0,0
259,1.1.1.49,Sulfanilamide,1.0,Chalcalburnus tarischii,0.0,0
260,1.1.1.49,Zinc cation,2.0,"Aspergillus aculeatus,Oncorhynchus mykiss",0.0,0
261,1.1.1.50,Diazepam,3.0,Homo sapiens,0.0,0
262,1.1.1.50,NADH,10.0,Comamonas testosteroni,0.0,0
263,1.1.1.50,Nitrazepam,2.0,Homo sapiens,0.0,0
264,1.1.1.50,Ursodiol,4.0,Homo sapiens,0.0,0
265,1.1.1.51,9-cis-Retinoic acid,1.0,Rattus norvegicus,0.0,0
266,1.1.1.51,Estradiol-17beta,1.0,Homo sapiens,0.0,0
267,1.1.1.51,Ethynyl estradiol,1.0,Homo sapiens,0.0,0
268,1.1.1.6,Glycerone,1.0,Cellulomonas sp.,0.0,0
269,1.1.1.6,Hydroxyacetone,1.0,Cellulomonas sp.,0.0,0
270,1.1.1.6,NADH,1.0,Pichia membranifaciens,0.0,0
271,1.1.1.62,"2-(m-Chlorophenyl)-2-(p-chlorophenyl)-1,1-dichloroethane",1.0,Homo sapiens,0.0,0
272,1.1.1.62,3beta-Hydroxy-5-androsten-16-one,1.0,Homo sapiens,0.0,0
273,1.1.1.62,"5-Androstene-3beta,16beta-diol",1.0,Homo sapiens,0.0,0
274,1.1.1.62,Benzyl alcohol,1.0,Homo sapiens,0.0,0
275,1.1.1.62,Cyclohexanol,1.0,Homo sapiens,0.0,0
276,1.1.1.62,Cyclopentanol,1.0,Homo sapiens,0.0,0
277,1.1.1.62,"Estra-1,3,5(10)-triene-3,16beta-diol",1.0,Homo sapiens,0.0,0
278,1.1.1.62,Estradiol-17beta,1.0,Homo sapiens,0.0,0
279,1.1.1.62,Estrone,2.0,Homo sapiens,0.0,0
280,1.1.1.62,Nafoxidine,1.0,Homo sapiens,0.0,0
281,1.1.1.62,Phenol,1.0,Homo sapiens,0.0,0
282,1.1.1.64,19-Norandrostenedione,1.0,Canis lupus familiaris,0.0,0
283,1.1.1.64,"5-Androstene-3,17-dione",1.0,Canis lupus familiaris,0.0,0
284,1.1.1.64,Bis(2-butoxyethyl)phthalate,4.0,"Homo sapiens,Rattus norvegicus",0.0,0
285,1.1.1.64,Dicyclohexyl phthalate,4.0,"Homo sapiens,Rattus norvegicus",0.0,0
286,1.1.1.67,ADP,2.0,Aspergillus fumigatus,0.0,0
287,1.1.1.67,AMP,2.0,Aspergillus fumigatus,0.0,0
288,1.1.1.67,D-Fructose,1.0,Saccharomyces cerevisiae,0.0,0
289,1.1.1.67,L-Glucitol,1.0,Saccharomyces cerevisiae,0.0,0
290,1.1.1.67,Mannitol,2.0,"Saccharomyces cerevisiae,Thermotoga maritima",0.0,0
291,1.1.1.67,NADH,3.0,Pseudomonas fluorescens,0.0,0
292,1.1.1.72,NADPH,1.0,Gluconobacter oxydans,0.0,0
293,1.1.1.76,Mercaptoethanol,2.0,Corynebacterium glutamicum,0.0,0
294,1.1.1.79,4-Hydroxybutanoic acid,2.0,Arabidopsis thaliana,0.0,0
295,1.1.1.79,Glycolate,2.0,Arabidopsis thaliana,0.0,0
296,1.1.1.8,Epigallocatechin 3-gallate,1.0,Oryctolagus cuniculus,0.0,0
297,1.1.1.86,"2,3-Dihydroxy-3-methylbutanoate",4.0,Spinacia oleracea,0.0,0
298,1.1.1.86,Ethylene glycol,2.0,Oryza sativa,0.0,0
299,1.1.1.86,NADPH,5.0,Escherichia coli,0.0,0
300,1.1.1.88,3-Hydroxy-3-methylglutarate,1.0,Pseudomonas mevalonii,0.0,0
301,1.1.1.88,4-Hydroxybutanoic acid,1.0,Pseudomonas mevalonii,0.0,0
302,1.1.1.88,Acetoacetate,1.0,Pseudomonas mevalonii,0.0,0
303,1.1.1.88,Lovastatin,4.0,Pseudomonas mevalonii,0.0,0
304,1.1.1.90,NADH,1.0,Pseudomonas putida,0.0,0
305,1.1.1.91,4-Hydroxy-3-methoxy-benzaldehyde,1.0,Phanerochaete chrysosporium,0.0,0
306,1.1.1.91,5-Hydroxymethyl-2-furaldehyde,1.0,Phanerochaete chrysosporium,0.0,0
307,1.1.1.91,Aromatic aldehyde,1.0,Phanerochaete chrysosporium,0.0,0
308,1.1.1.91,Cinnamaldehyde,1.0,Phanerochaete chrysosporium,0.0,0
309,1.1.1.91,Veratraldehyde,1.0,Phanerochaete chrysosporium,0.0,0
310,1.1.1.94,ADP,2.0,Escherichia coli,0.0,0
311,1.1.1.94,AMP,2.0,Escherichia coli,0.0,0
312,1.1.1.94,ATP,1.0,Escherichia coli,0.0,0
313,1.1.1.94,DL-Glycerol 1-phosphate,2.0,Escherichia coli,0.0,0
314,1.1.1.95,3-Phosphonooxypyruvate,6.0,Mycobacterium tuberculosis,0.0,0
315,1.1.1.95,Potassium dibasic phosphate,2.0,Sulfolobus tokodaii,1.0,Sulfolobus tokodaii
316,1.1.1.B20,Mercaptoethanol,1.0,Klebsiella pneumoniae,0.0,0
