,Type,Key,EC_number,LigandID,Compound,TotalEntries,Entropy,Summary,URL,NullEntropy,NullSummary,Literature,NumReferences,DeltaEntropy
ki:3.4.21.26:3275,ki,"('3.4.21.26', '3275')",3.4.21.26,3275,SUAM-1221,7,0.2050581591442045,Animalia:6;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.4.21.26#INHIBITORS,0.11546820793884953,Animalia:514;Bacteria:69;Plantae:6;Archaea:5,"650521;683926;683926,709476;683926,709476,731752;709476",5,0.08958995120535497
ki:2.5.1.16:1862,ki,"('2.5.1.16', '1862')",2.5.1.16,1862,Cyclohexylamine,7,0.33474749101802548,Animalia:3;Bacteria:3;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.16#INHIBITORS,0.22264267349327738,Animalia:64;Bacteria:18;Plantae:12;Fungi:1,"489867,639702,661303;639688;639702;639710;661768",5,0.1121048175247481
ki:3.4.21.26:2,ki,"('3.4.21.26', '2')",3.4.21.26,2,more,9,0.35361898238600714,Animalia:4;Bacteria:3;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=3.4.21.26#INHIBITORS,0.11546820793884953,Animalia:514;Bacteria:69;Plantae:6;Archaea:5,651524;653873;671021;683228;683337;81323;81330;81341;81346,9,0.2381507744471576
ki:1.3.5.1:57,ki,"('1.3.5.1', '57')",1.3.5.1,57,oxaloacetate,8,0.33022208578733053,Bacteria:3;Plantae:2;Animalia:2;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.5.1#INHIBITORS,0.20781621270204723,Animalia:84;Bacteria:59;Fungi:8;Plantae:5;Archaea:3,"2877;348059,391153;391095;391114;679618;685357;726316",7,0.12240587308528331
ki:2.3.3.13:4474,ki,"('2.3.3.13', '4474')",2.3.3.13,4474,2-Oxo-isohexanoate,7,0.2050581591442045,Bacteria:6;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.3.13#INHIBITORS,0.25665106589570008,Bacteria:32;Fungi:9;Archaea:5;Plantae:4,"636512;636517,636518;636532",3,-0.051592906751495582
ki:2.7.11.19:10751,ki,"('2.7.11.19', '10751')",2.7.11.19,10751,Phenothiazin,7,0.0,Animalia:7,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.11.19#INHIBITORS,0.062125418694815436,Animalia:108;Fungi:3,492101,1,-0.062125418694815436
ki:3.2.1.20:317,ki,"('3.2.1.20', '317')",3.2.1.20,317,Tris,13,0.35263514156789116,Plantae:6;Bacteria:4;Animalia:3,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.20#INHIBITORS,0.2506265202663393,Fungi:241;Animalia:138;Bacteria:110;Plantae:107;Archaea:20;Protozoa:15,"393268,393276;393277;393281;393285;393288;393289;393299;393303;393306;393310;393325;393341;393351",13,0.10200862130155186
ki:2.3.2.2:839,ki,"('2.3.2.2', '839')",2.3.2.2,839,6-diazo-5-oxo-L-norleucine,10,0.31444946410967972,Animalia:5;Bacteria:4;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.2.2#INHIBITORS,0.1731406795745514,Animalia:169;Bacteria:61;Plantae:12;Archaea:6;Fungi:1,"487916;487930;487930,487931;487935;487944;487946;658567;672686;676991",9,0.14130878453512832
ki:1.3.3.4:12133,ki,"('1.3.3.4', '12133')",1.3.3.4,12133,"2-{4-chloro-5-[(3-chlorobenzyl)oxy]-2-fluorophenyl}-3-ethoxy-2,3,4,5,6,7-hexahydro-1H-isoindol-1-one",7,0.0,Plantae:7,http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.3.4#INHIBITORS,0.23270499333373523,Plantae:468;Animalia:203;Bacteria:56;Fungi:18,711472,1,-0.23270499333373523
ki:4.2.1.1:168,ki,"('4.2.1.1', '168')",4.2.1.1,168,nitrite,8,0.32477158428978314,Animalia:4;Fungi:3;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=4.2.1.1#INHIBITORS,0.1584869498754119,Animalia:1322;Bacteria:204;Fungi:136;Plantae:69;Archaea:54;Chromista:21,679413;696639;696649;696695;699246;714462;727132,7,0.16628463441437125
ki:4.6.1.2:2,ki,"('4.6.1.2', '2')",4.6.1.2,2,more,9,0.17441604792151597,Animalia:8;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=4.6.1.2#INHIBITORS,0.05724545618070867,Animalia:220;Bacteria:6;Plantae:2,653598;664098;691340;691656;693831,5,0.1171705917408073
ki:2.3.1.41:1438,ki,"('2.3.1.41', '1438')",2.3.1.41,1438,cerulenin,12,0.34272795311097526,Plantae:5;Bacteria:5;Animalia:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.41#INHIBITORS,0.29559656255687788,Bacteria:25;Plantae:9;Animalia:5,"285669;486920;486935;486939;486941;486942;486946;486948;658746,659442;659451;661000",11,0.047131390554097374
ki:4.2.1.1:965,ki,"('4.2.1.1', '965')",4.2.1.1,965,topiramate,8,0.33022208578733053,Animalia:3;Fungi:2;Bacteria:2;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=4.2.1.1#INHIBITORS,0.1584869498754119,Animalia:1322;Bacteria:204;Fungi:136;Plantae:69;Archaea:54;Chromista:21,"678614;678676;696740;699561;702655;705027,705034",6,0.17173513591191863
ki:1.3.3.4:8885,ki,"('1.3.3.4', '8885')",1.3.3.4,8885,"ethyl 2-[2-chloro-5-(1,3-dioxooctahydro-2H-isoindol-2-yl)-4-fluorophenoxy]propanoate",8,0.18838508062821838,Plantae:7;Animalia:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.3.4#INHIBITORS,0.23270499333373523,Plantae:468;Animalia:203;Bacteria:56;Fungi:18,711472,1,-0.044319912705516856
ki:2.7.7.6:12068,ki,"('2.7.7.6', '12068')",2.7.7.6,12068,etnangien methyl ester,7,0.2050581591442045,Bacteria:6;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.7.6#INHIBITORS,0.14060747254386058,Bacteria:98;Animalia:14;Fungi:6;Plantae:3;Archaea:1,702625,1,0.06445068660034392
ki:3.1.3.26:23,ki,"('3.1.3.26', '23')",3.1.3.26,23,Co2+,7,0.2050581591442045,Plantae:6;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.26#INHIBITORS,0.25243818371817955,Plantae:112;Bacteria:43;Animalia:8,651559;682314;693595;94779;94788;94789,6,-0.047380024573975055
ki:2.2.1.6:4296,ki,"('2.2.1.6', '4296')",2.2.1.6,4296,imazaquin,9,0.26485309952882724,Plantae:7;Bacteria:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.2.1.6#INHIBITORS,0.23619617133459805,Bacteria:199;Plantae:110;Fungi:73;Archaea:12;Protozoa:6,395908;395913;697656;699740;700782,5,0.028656928194229186
ki:1.14.11.2:23,ki,"('1.14.11.2', '23')",1.14.11.2,23,Co2+,7,0.26543721339127102,Animalia:5;Bacteria:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.11.2#INHIBITORS,0.18948358972087889,Animalia:244;Plantae:40;Bacteria:13,439240;695593,2,0.075953623670392129
ki:3.6.3.14:13,ki,"('3.6.3.14', '13')",3.6.3.14,13,ADP,7,0.31925856486653476,Animalia:3;Bacteria:2;Plantae:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.6.3.14#INHIBITORS,0.2016912536859449,Animalia:48;Bacteria:47;Fungi:16;Plantae:9;Archaea:5;Protozoa:2;Chromista:1,"210233,210235;210233,210254;210233,673318;210238;210241;674396;685315",7,0.11756731118058986
ki:1.3.3.4:12130,ki,"('1.3.3.4', '12130')",1.3.3.4,12130,"2-{4-chloro-2-fluoro-5-[(3-fluorobenzyl)oxy]phenyl}-3-hydroxy-2,3,4,5,6,7-hexahydro-1H-isoindol-1-one",7,0.0,Plantae:7,http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.3.4#INHIBITORS,0.23270499333373523,Plantae:468;Animalia:203;Bacteria:56;Fungi:18,711472,1,-0.23270499333373523
ki:3.4.22.38:2533,ki,"('3.4.22.38', '2533')",3.4.22.38,2533,odanacatib,7,0.0,Animalia:7,http://www.brenda-enzymes.org/enzyme.php?ecno=3.4.22.38#INHIBITORS,0.0,Animalia:972,696654;707615,2,0.0
ki:4.1.1.50:5857,ki,"('4.1.1.50', '5857')",4.1.1.50,5857,Genz-644131,9,0.28541220867614492,Bacteria:4;Plantae:2;Fungi:1;Archaea:1;Animalia:1,http://www.brenda-enzymes.org/enzyme.php?ecno=4.1.1.50#INHIBITORS,0.23099156876136781,Animalia:122;Bacteria:60;Plantae:42;Fungi:15;Archaea:12;Protozoa:6,701731;703505,2,0.054420639914777108
ki:1.1.1.34:2239,ki,"('1.1.1.34', '2239')",1.1.1.34,2239,lovastatin,8,0.30008535042284562,Animalia:5;Archaea:2;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.34#INHIBITORS,0.11031494215363695,Animalia:142;Plantae:10;Fungi:7;Archaea:4;Bacteria:1,286573;286575;286578;286584;654546;657007;712189;722189,8,0.18977040826920866
ki:1.14.11.2:14,ki,"('1.14.11.2', '14')",1.14.11.2,14,Zn2+,9,0.22791296861625118,Animalia:7;Bacteria:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.11.2#INHIBITORS,0.18948358972087889,Animalia:244;Plantae:40;Bacteria:13,"439148,439180,439186;439187;439217,689464;439236;439240;695593",6,0.03842937889537229
ki:3.2.1.18:19,ki,"('3.2.1.18', '19')",3.2.1.18,19,Cu2+,11,0.31158996595275978,Animalia:5;Bacteria:5;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.18#INHIBITORS,0.26358523493397246,Bacteria:124;Animalia:113;Protozoa:6,171113;171147;171149;171151;171173;171183;171185;656893;665540;703999;729295,11,0.048004731018787328
ki:3.4.24.15:21,ki,"('3.4.24.15', '21')",3.4.24.15,21,EDTA,7,0.2050581591442045,Animalia:6;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.4.24.15#INHIBITORS,0.12054415649642235,Animalia:129;Bacteria:9,"37053;37053,37057,37059;37055;37057;37060;37063;37066",7,0.084514002647782152
ki:3.1.2.20:299,ki,"('3.1.2.20', '299')",3.1.2.20,299,diisopropylfluorophosphate,8,0.33022208578733053,Bacteria:3;Fungi:2;Animalia:2;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.2.20#INHIBITORS,0.21086377672029749,Animalia:110;Bacteria:34;Protozoa:11;Plantae:9;Fungi:6,646119;646143;646145;646168;646179;646180;646181;646199,8,0.11935830906703304
ki:2.5.1.54:618,ki,"('2.5.1.54', '618')",2.5.1.54,618,Tyr,9,0.22791296861625118,Bacteria:7;Fungi:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.54#INHIBITORS,0.16765474929881297,Bacteria:115;Plantae:18;Archaea:5;Fungi:5,639745;639746;639759;639760;639761;639766;639778;639794,8,0.060258219317438216
ki:4.2.1.1:582,ki,"('4.2.1.1', '582')",4.2.1.1,582,N3-,15,0.30878616288316652,Animalia:6;Plantae:5;Bacteria:3;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=4.2.1.1#INHIBITORS,0.1584869498754119,Animalia:1322;Bacteria:204;Fungi:136;Plantae:69;Archaea:54;Chromista:21,"33531,33576;33533;33534;33545;33554;33561,33597;33579;33584;651081;651093;666801;682665;714446;714606;729374",15,0.15029921300775462
ki:3.6.3.14:2150,ki,"('3.6.3.14', '2150')",3.6.3.14,2150,oligomycin,7,0.31856663037084476,Animalia:4;Bacteria:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.6.3.14#INHIBITORS,0.2016912536859449,Animalia:48;Bacteria:47;Fungi:16;Plantae:9;Archaea:5;Protozoa:2;Chromista:1,"210231;210231,210234;210234,210237;210234,210237,712401;674212;698308;718971",7,0.11687537668489986
ki:1.4.1.14:2,ki,"('1.4.1.14', '2')",1.4.1.14,2,more,7,0.31925856486653476,Plantae:3;Bacteria:2;Fungi:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.4.1.14#INHIBITORS,0.23897219290091135,Plantae:37;Bacteria:24;Fungi:12;Animalia:2;Protozoa:2,391472;391474;391477;391482;391484;391485;689483,7,0.08028637196562341
ki:2.1.2.1:2,ki,"('2.1.2.1', '2')",2.1.2.1,2,more,11,0.28285581302494173,Animalia:5;Plantae:2;Bacteria:2;Fungi:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.1.2.1#INHIBITORS,0.23068986721050189,Animalia:81;Bacteria:35;Plantae:27;Protozoa:11;Fungi:9;Archaea:3,441398;441401;441403;441407;441409;441410;441412;441413;441416;674993;718775,11,0.05216594581443984
ki:1.1.1.27:31,ki,"('1.1.1.27', '31')",1.1.1.27,31,pyruvate,7,0.29913479429262863,Animalia:5;Bacteria:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.27#INHIBITORS,0.30651185984871626,Animalia:143;Bacteria:88;Plantae:25,286454;286461;286469;286471;655068;656389;684519,7,-0.0073770655560876364
ki:2.3.1.37:34,ki,"('2.3.1.37', '34')",2.3.1.37,34,2-oxoglutarate,9,0.2872649242426551,Animalia:5;Bacteria:2;Fungi:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.37#INHIBITORS,0.26908797473594098,Animalia:82;Bacteria:60;Plantae:12;Fungi:10,486820,1,0.018176949506714113
ki:1.3.5.2:446,ki,"('1.3.5.2', '446')",1.3.5.2,446,Orotate,7,0.29913479429262863,Animalia:5;Bacteria:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.5.2#INHIBITORS,0.087584844218305882,Animalia:138;Bacteria:7;Fungi:2,390918;390925;390930;391224,4,0.21154995007432276
ki:3.2.1.55:33,ki,"('3.2.1.55', '33')",3.2.1.55,33,Hg2+,14,0.25297892425401985,Bacteria:10;Plantae:3;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.55#INHIBITORS,0.20592757527549607,Bacteria:63;Plantae:12;Fungi:4,"288809,288811,288812,288843;288811,288812,288814,288830,288832,288834,288837,288840;288811,288812,288814,288837;288820;288827;288832,288840;288834,288840,288849;288840;288849;654273;666636;677763;677785;695816",14,0.047051348978523783
ki:1.1.1.100:2,ki,"('1.1.1.100', '2')",1.1.1.100,2,more,15,0.12246501339731766,Bacteria:14;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.100#INHIBITORS,0.1393846858842937,Bacteria:46;Plantae:4,285668;703163;704843;706142,4,-0.01691967248697604
ki:2.5.1.54:817,ki,"('2.5.1.54', '817')",2.5.1.54,817,Trp,9,0.26485309952882724,Bacteria:7;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.54#INHIBITORS,0.16765474929881297,Bacteria:115;Plantae:18;Archaea:5;Fungi:5,"639743;639760;639767;639769;639778;639779,639781;639782;639790;639795",9,0.097198350230014274
ki:3.1.1.4:5353,ki,"('3.1.1.4', '5353')",3.1.1.4,5353,4-bromophenacyl bromide,8,0.18838508062821838,Animalia:7;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.4#INHIBITORS,0.074483723790823742,Animalia:614;Bacteria:25;Plantae:11;Archaea:6,649793;650431;650739;652966;709227;710634;716965;731034,8,0.11390135683739464
ki:3.1.1.53:244,ki,"('3.1.1.53', '244')",3.1.1.53,244,diisopropyl fluorophosphate,7,0.0,Animalia:7,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.53#INHIBITORS,0.0,Animalia:37,"94408;94415;94415,94418;94418",4,0.0
ki:2.4.1.1:13,ki,"('2.4.1.1', '13')",2.4.1.1,13,ADP,8,0.30325189149497606,Plantae:4;Animalia:2;Fungi:1;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.4.1.1#INHIBITORS,0.21258932224312188,Animalia:363;Plantae:120;Bacteria:75;Fungi:35;Archaea:1,488226;488229;488246;488255;488295;488298;671229;690141,8,0.090662569251854175
ki:2.7.1.105:131,ki,"('2.7.1.105', '131')",2.7.1.105,131,citrate,7,0.26543721339127102,Animalia:5;Fungi:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.105#INHIBITORS,0.28396506793422299,Animalia:38;Plantae:17;Bacteria:8;Fungi:6,"640286;640288;640298;640310;640312,640314;640321;94936",7,-0.018527854542951971
ki:3.2.1.24:11,ki,"('3.2.1.24', '11')",3.2.1.24,11,Mn2+,7,0.31925856486653476,Plantae:3;Fungi:2;Bacteria:1;Animalia:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.24#INHIBITORS,0.26220428284476271,Plantae:95;Animalia:66;Fungi:22;Bacteria:15;Archaea:12,135956;135966;135975;135980;135981;135985;135992,7,0.05705428202177204
ki:6.4.1.2:3922,ki,"('6.4.1.2', '3922')",6.4.1.2,3922,soraphen A,9,0.36620409622270317,Animalia:3;Fungi:3;Plantae:3,http://www.brenda-enzymes.org/enzyme.php?ecno=6.4.1.2#INHIBITORS,0.12148408626968388,Animalia:609;Plantae:102;Bacteria:24;Archaea:17;Fungi:9;Chromista:5,660969;662830;664564,3,0.24472000995301929
ki:1.14.18.1:74,ki,"('1.14.18.1', '74')",1.14.18.1,74,L-cysteine,11,0.20005535771988189,Plantae:9;Animalia:1;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.18.1#INHIBITORS,0.33348988440934663,Plantae:239;Animalia:147;Bacteria:75,636373;636383;636391;636399;675164;686845;687243;688046;688438;712619;713387,11,-0.13343452668946473
ki:1.1.1.42:34,ki,"('1.1.1.42', '34')",1.1.1.42,34,2-oxoglutarate,10,0.29931524161892659,Bacteria:6;Animalia:3;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.42#INHIBITORS,0.25097826708970694,Bacteria:67;Animalia:53;Plantae:16;Fungi:1,286781;286784;286786;286799;654843;655094;656740;670236;721687,9,0.048336974529219645
ki:1.14.18.1:21,ki,"('1.14.18.1', '21')",1.14.18.1,21,EDTA,9,0.31229610251300532,Plantae:5;Bacteria:3;Animalia:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.18.1#INHIBITORS,0.33348988440934663,Plantae:239;Animalia:147;Bacteria:75,636443;686841;686845;687875;695821;697463;698038;699628;713387,9,-0.021193781896341302
ki:1.6.5.8:1947,ki,"('1.6.5.8', '1947')",1.6.5.8,1947,capsaicin,12,0.35918544235560029,Animalia:5;Bacteria:4;Plantae:3,http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.8#INHIBITORS,0.24517387342137378,Bacteria:148;Animalia:33;Plantae:18,671351,1,0.11401156893422651
