Reaction,EC,Metabolite,Mode,KI,CheBi
TRYPTOPHAN-5-MONOOXYGENASE-RXN,1.14.16.4,FE+2,+,,29033
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,FE+2,+,,29033
RXN66-241,2.1.1.28,FE+2,-,,29033
RXN66-241,2.1.1.28,FE+2,-,,29033
TYROSINE-3-MONOOXYGENASE-RXN,1.14.16.2,FE+2,+,,29033
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,FE+3,-,,29034
3.1.3.46-RXN,3.1.3.46,FRUCTOSE-6P,-,,57634
MEVALONATE-KINASE-RXN,2.7.1.36,GERANYL-PP,-,,58057
RXN-7668,2.4.1.11,GLC-6-P,+,,58247
1.5.1.8-RXN,1.5.1.8,GLT,-,,29985
RXN-14116,1.2.1.88,GLT,-,15200,29985
GLUTCYSLIG-RXN,6.3.2.2,GLUTATHIONE,-,,57925
S-FORMYLGLUTATHIONE-HYDROLASE-RXN,3.1.2.12,GLUTATHIONE,-,,57925
RXN-6601,2.3.2.2,GLUTATHIONE,-,,57925
DOPAMINE-BETA-MONOOXYGENASE-RXN,1.14.17.1,GLUTATHIONE,-,,57925
DOPAMINE-BETA-MONOOXYGENASE-RXN,1.14.17.1,GLUTATHIONE,-,,57925
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,2.6.1.16,GMP,-,,58115
RXN-7607,3.1.3.5,GTP,+,,37565
AMP-DEPHOSPHORYLATION-RXN,3.1.3.5,GTP,+,,37565
GLUTAMATE-DEHYDROGENASE-NADP+-RXN,1.4.1.3,GTP,-,,37565
1.5.1.8-RXN,1.5.1.8,HG+2,-,,16793
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,HG+2,-,,16793
S-FORMYLGLUTATHIONE-HYDROLASE-RXN,3.1.2.12,HG+2,-,,16793
RXN-7909,1.5.1,HG+2,-,,16793
GLUTATHIONE-PEROXIDASE-RXN,1.11.1.9,HG+2,-,,16793
ARGINASE-RXN,3.5.3.1,HOMOARGININE,-,,24605
1.5.1.8-RXN,1.5.1.8,HYDROXYLAMINE,-,,15429
ARGINASE-RXN,3.5.3.1,ILE,-,,58045
2.6.1.7-RXN,2.6.1.7,INDOLE_ACETATE_AUXIN,-,,30854
2.6.1.7-RXN,2.6.1.7,INDOLE_LACTATE,-,,17282
2.6.1.7-RXN,2.6.1.7,INDOLE_PYRUVATE,-,,17640
RXN-10955,3.1.3,INOSITOL-1-3-4-TRIPHOSPHATE,+,,58414
RXN-14116,1.2.1.88,IODOACETAMIDE,-,,103838
ACETYL-COA-ACETYLTRANSFER-RXN,2.3.1.9,K+,+,,29103
RXN-12752,5.1.99.6,K+,+,,29103
METHYLACETOACETYLCOATHIOL-RXN,2.3.1.9,K+,+,,29103
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,KYNURENATE,-,,18344
ORNCARBAMTRANSFER-RXN,2.1.3.3,L-2-AMINOPENTANOIC-ACID,-,,18314
ARGINASE-RXN,3.5.3.1,L-2-AMINOPENTANOIC-ACID,-,,18314
ARGINASE-RXN,3.5.3.1,L-ARGININO-SUCCINATE,-,,7098
ARGINASE-RXN,3.5.3.1,L-CITRULLINE,-,,16349
1.5.1.8-RXN,1.5.1.8,L-ORNITHINE,-,,46911
ARGINASE-RXN,3.5.3.1,L-ORNITHINE,+,,46911
1.5.1.8-RXN,1.5.1.8,L-PIPECOLATE,-,,61185
ARGINASE-RXN,3.5.3.1,LEU,-,,57427
RXN0-5408,3.1.3.25,LI+,-,,49713
ARGINASE-RXN,3.5.3.1,LYS,-,,32551
2.7.7.34-RXN,2.7.7.34,MANNOSE-1P,-,,58409
ARGSUCCINSYN-RXN,6.3.4.5,MG+2,+,,18420
6.3.4.16-RXN,6.3.4.16,MG+2,+,,18420
1.5.1.8-RXN,1.5.1.8,MG+2,-,,18420
PHOSPHOGLUCMUT-RXN,5.4.2.5,MG+2,+,,18420
PHOSPHOGLUCMUT-RXN,5.4.2.5,MG+2,+,,18420
4.2.3.12-RXN,4.2.3.12,MG+2,+,,18420
2.7.11.19-RXN,2.7.11.19,MG+2,+,,18420
2.7.11.19-RXN,2.7.11.19,MG+2,+,,18420
IPPISOM-RXN,5.3.3.2,MG+2,+,,18420
2.7.1.154-RXN,2.7.1.154,MG+2,+,,18420
2.7.8.11-RXN,2.7.8.11,MG+2,+,,18420
RXN-8730,3.1.3.56,MG+2,+,,18420
RXN-10954,3.1.3.25,MG+2,+,,18420
RXN-10953,3.1.3.25,MG+2,+,,18420
RXN-10952,3.1.3.25,MG+2,+,,18420
RXN0-5408,3.1.3.25,MG+2,+,,18420
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN,3.1.3.25,MG+2,+,,18420
RXN-10036,3.1.3.86,MG+2,+,,18420
PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN,3.1.3.36,MG+2,+,,18420
RXN-10774,3.6.1.60,MG+2,+,,18420
RXN-10964,3.6.1.52,MG+2,+,,18420
RXN-10965,3.6.1.52,MG+2,+,,18420
RXN-10967,3.6.1.60,MG+2,+,,18420
RXN-12116,3.1.4.54,MG+2,+,,18420
2.1.1.57-RXN,2.1.1.57,MG+2,+,,18420
RXN6666-7,2.1.1.6,MG+2,+,,18420
RXN66-241,2.1.1.28,MG+2,-,,18420
RXN66-241,2.1.1.28,MG+2,-,,18420
1.5.1.8-RXN,1.5.1.8,MN+2,-,,29035
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN,2.7.1.137,MN+2,+,,29035
2.7.8.11-RXN,2.7.8.11,MN+2,+,,29035
GUANINE-DEAMINASE-RXN,3.5.4.3,MN+2,+,,29035
RXN-10964,3.6.1.52,MN+2,+,,29035
ADENOSINE-TETRAPHOSPHATASE-RXN,3.6.1.14,MN+2,+,,29035
RXN-10970,3.6.1.14,MN+2,+,,29035
RXN-10774,3.6.1.60,MN+2,+,,29035
RXN-10967,3.6.1.60,MN+2,+,,29035
RXN-10967,3.6.1.60,MN+2,+,,29035
RXN-10774,3.6.1.60,MN+2,+,,29035
RXN-10970,3.6.1.14,MN+2,+,,29035
ADENOSINE-TETRAPHOSPHATASE-RXN,3.6.1.14,MN+2,+,,29035
RXN-10965,3.6.1.52,MN+2,+,,29035
RXN-10964,3.6.1.52,MN+2,+,,29035
ARGINASE-RXN,3.5.3.1,MN+2,+,,29035
NITRIC-OXIDE-SYNTHASE-RXN,1.14.13.39,N-METHYLARGININE,-,,114953
NITRIC-OXIDE-SYNTHASE-RXN,1.14.13.39,N-NITROARGININE,-,,477219
NITRIC-OXIDE-SYNTHASE-RXN,1.14.13.39,N-NITROARGININE,-,,477219
ACETYL-COA-ACETYLTRANSFER-RXN,2.3.1.9,NA+,+,,29101
RXN-14116,1.2.1.88,NADH,-,63,57945
TYROSINE-3-MONOOXYGENASE-RXN,1.14.16.2,NI+2,-,,49786
3.1.3.16-RXN,3.1.3.16,OXIDIZED-GLUTATHIONE,-,,58297
RXN-6601,2.3.2.2,OXIDIZED-GLUTATHIONE,-,,58297
PHENYLALANINE-4-MONOOXYGENASE-RXN,1.14.16.1,PHE,+,,58095
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,PICOLINATE,-,,38184
2.7.8.11-RXN,2.7.8.11,PPI,-,,33019
ARGINASE-RXN,3.5.3.1,PRO,-,,60039
ACETATE--COA-LIGASE-RXN,6.2.1.1,PROPIONATE,-,,17272
KYNURENINE-3-MONOOXYGENASE-RXN,1.14.13.9,PYRIDOXAL_PHOSPHATE,-,,597326
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,QUINOLINATE,-,,29959
1.5.1.8-RXN,1.5.1.8,S-2-AMINOETHYL-L-CYSTEINE,-,,497734
1.5.1.8-RXN,1.5.1.8,SACCHAROPINE,-,,57951
SQUALENE-MONOOXYGENASE-RXN,1.14.13.132,SELENITE,-,,18212
SQUALENE-MONOOXYGENASE-RXN,1.14.13.132,SELENITE,-,,18212
2.7.1.68-RXN,2.7.1.68,SPERMINE,+,,45725
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,2.6.1.16,TMP,-,,26999
LACTASE-RXN,3.2.1.108,TRIS,-,,46097
2.6.1.7-RXN,2.6.1.7,TRIS,-,,46097
RXN-14116,1.2.1.88,TRIS,-,,46097
TRYPTOPHAN-5-MONOOXYGENASE-RXN,1.14.16.4,TRP,NIL,,57912
2.6.1.7-RXN,2.6.1.7,TRP,-,,57912
DCMP-DEAMINASE-RXN,3.5.4.12,TTP,-,,37568
RXN-7668,2.4.1.11,UDP,-,,58223
RXN-7667,2.4.1.186,UDP,-,,58223
GLYCOGENIN-GLUCOSYLTRANSFERASE-RXN,2.4.1.186,UDP,-,,58223
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,2.6.1.16,UDP-N-ACETYL-D-GLUCOSAMINE,-,,57705
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,2.6.1.16,UMP,-,,57865
RXN-7667,2.4.1.186,UTP,-,,46398
GLYCOGENIN-GLUCOSYLTRANSFERASE-RXN,2.4.1.186,UTP,-,,46398
ARGINASE-RXN,3.5.3.1,VAL,-,,57762
GABATRANSAM-RXN,2.6.1.19,VIGABATRIN,-,,63638
ORNCARBAMTRANSFER-RXN,2.1.3.3,ZN+2,-,,29105
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,ZN+2,-,,29105
4.2.3.12-RXN,4.2.3.12,ZN+2,+,,29105
1.13.11.6-RXN,1.13.11.6,ZN+2,-,,29105
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,ZN+2,-,,29105
2.7.8.11-RXN,2.7.8.11,ZN+2,-,,29105
GLUTATHIONE-PEROXIDASE-RXN,1.11.1.9,ZN+2,-,,29105
TYROSINE-3-MONOOXYGENASE-RXN,1.14.16.2,ZN+2,-,,29105
