reaction,galactose,acetate,pyruvate,fumarate,succinate,glucosamine,glycerol,mannose,xylose,glucose,fructose
EX_ala_B_e,0,0,0,0,0,0,0,0,0,0,0
EX_ala_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_ala_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_alaala_e,0,0,0,0,0,0,0,0,0,0,0
EX_all_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_alltn_e,0,0,0,0,0,0,0,0,0,0,0
EX_amp_e,0,0,0,0,0,0,0,0,0,0,0
EX_anhgm_e,0,0,0,0,0,0,0,0,0,0,0
EX_arab_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_arbt_e,0,0,0,0,0,0,0,0,0,0,0
EX_arbtn_e,0,0,0,0,0,0,0,0,0,0,0
EX_arbtn_fe3_e,0,0,0,0,0,0,0,0,0,0,0
EX_arg_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_ascb_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_asn_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_aso3_e,0,0,0,0,0,0,0,0,0,0,0
EX_asp_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_btn_e,0,0,0,0,0,0,0,0,0,0,0
EX_but_e,0,0,0,0,0,0,0,0,0,0,0
EX_butso3_e,0,0,0,0,0,0,0,0,0,0,0
EX_ca2_e,0,0,0,0,0,0,0,0,0,0,0
EX_cbi_e,0,0,0,0,0,0,0,0,0,0,0
EX_cbl1_e,0,0,0,0,0,0,0,0,0,0,0
EX_cd2_e,0,0,0,0,0,0,0,0,0,0,0
EX_cgly_e,0,0,0,0,0,0,0,0,0,0,0
EX_chol_e,0,0,0,0,0,0,0,0,0,0,0
EX_chtbs_e,0,0,0,0,0,0,0,0,0,0,0
EX_cit_e,0,0,0,0,0,0,0,0,0,0,0
EX_cl_e,0,0,0,0,0,0,0,0,0,0,0
EX_cm_e,0,0,0,0,0,0,0,0,0,0,0
EX_cmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_co2_e,0.0015915636,0.0018027656,0.0030947172,0.0032949212,0.0030339121,0.0026445556,0.0017342419,0.0027003745,0.0031227787,0.0032811802,0.0036507839
EX_cobalt2_e,0,0,0,0,0,0,0,0,0,0,0
EX_colipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_colipap_e,0,0,0,0,0,0,0,0,0,0,0
EX_cpgn_e,0,0,0,0,0,0,0,0,0,0,0
EX_cpgn_un_e,0,0,0,0,0,0,0,0,0,0,0
EX_crn_e,0,0,0,0,0,0,0,0,0,0,0
EX_crn_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_csn_e,0,0,0,0,0,0,0,0,0,0,0
EX_cu_e,0,0,0,0,0,0,0,0,0,0,0
EX_cu2_e,0,0,0,0,0,0,0,0,0,0,0
EX_cyan_e,0,0,0,0,0,0,0,0,0,0,0
EX_cynt_e,0,0,0,0,0,0,0,0,0,0,0
EX_cys_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_cys_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_cytd_e,0,0,0,0,0,0,0,0,0,0,0
EX_dad_2_e,0,0,0,0,0,0,0,0,0,0,0
EX_damp_e,0,0,0,0,0,0,0,0,0,0,0
EX_dca_e,0,0,0,0,0,0,0,0,0,0,0
EX_dcmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_dcyt_e,0,0,0,0,0,0,0,0,0,0,0
EX_ddca_e,0,0,0,0,0,0,0,0,0,0,0
EX_dgmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_dgsn_e,0,0,0,0,0,0,0,0,0,0,0
EX_dha_e,0,0,0,0,0,0,0,0,0,0,0
EX_dimp_e,0,0,0,0,0,0,0,0,0,0,0
EX_din_e,0,0,0,0,0,0,0,0,0,0,0
EX_dms_e,0,0,0,0,0,0,0,0,0,0,0
EX_dmso_e,0,0,0,0,0,0,0,0,0,0,0
EX_dopa_e,0,0,0,0,0,0,0,0,0,0,0
EX_doxrbcn_e,0,0,0,0,0,0,0,0,0,0,0
EX_dtmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_dump_e,0,0,0,0,0,0,0,0,0,0,0
EX_duri_e,0,0,0,0,0,0,0,0,0,0,0
EX_eca4colipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_enlipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_enter_e,0,0,0,0,0,0,0,0,0,0,0
EX_etha_e,0,0,0,0,0,0,0,0,0,0,0
EX_ethso3_e,0,0,0,0,0,0,0,0,0,0,0
EX_etoh_e,0,0,0,0,0,0,0,0,0,0,0
EX_f6p_e,0,0,0,0,0,0,0,0,0,0,0
EX_fald_e,0,0,0,0,0,0,0,0,0,0,0
EX_fe2_e,0,0,0,0,0,0,0,0,0,0,0
EX_fe3_e,0,0,0,0,0,0,0,0,0,0,0
EX_fe3dcit_e,0,0,0,0,0,0,0,0,0,0,0
EX_fe3dhbzs_e,0,0,0,0,0,0,0,0,0,0,0
EX_fe3hox_e,0,0,0,0,0,0,0,0,0,0,0
EX_fe3hox_un_e,0,0,0,0,0,0,0,0,0,0,0
EX_fecrm_e,0,0,0,0,0,0,0,0,0,0,0
EX_fecrm_un_e,0,0,0,0,0,0,0,0,0,0,0
EX_feenter_e,0,0,0,0,0,0,0,0,0,0,0
EX_feoxam_e,0,0,0,0,0,0,0,0,0,0,0
EX_feoxam_un_e,0,0,0,0,0,0,0,0,0,0,0
EX_for_e,0,0,0,0,0,0,0,0,0,0,0
EX_fru_e,0,0,0,0,0,0,0,0,0,0,-0.0018787788
EX_frulys_e,0,0,0,0,0,0,0,0,0,0,0
EX_fruur_e,0,0,0,0,0,0,0,0,0,0,0
EX_fuc_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_fum_e,0,0,0,-0.0011333634,0,0,0,0,0,0,0
EX_fusa_e,0,0,0,0,0,0,0,0,0,0,0
EX_g1p_e,0,0,0,0,0,0,0,0,0,0,0
EX_g3pc_e,0,0,0,0,0,0,0,0,0,0,0
EX_g3pe_e,0,0,0,0,0,0,0,0,0,0,0
EX_g3pg_e,0,0,0,0,0,0,0,0,0,0,0
EX_g3pi_e,0,0,0,0,0,0,0,0,0,0,0
EX_g3ps_e,0,0,0,0,0,0,0,0,0,0,0
EX_g6p_e,0,0,0,0,0,0,0,0,0,0,0
EX_gal_e,0,0,0,0,0,0,0,0,0,0,0
EX_gal_bD_e,0,0,0,0,0,0,0,0,0,0,0
EX_gal1p_e,0,0,0,0,0,0,0,0,0,0,0
EX_galct_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_galctn_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_galctn_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_galt_e,0,0,0,0,0,0,0,0,0,0,0
EX_galur_e,0,0,0,0,0,0,0,0,0,0,0
EX_gam_e,0,0,0,0,0,-0.0013397513,0,0,0,0,0
EX_gam6p_e,0,0,0,0,0,0,0,0,0,0,0
EX_gbbtn_e,0,0,0,0,0,0,0,0,0,0,0
EX_gdp_e,0,0,0,0,0,0,0,0,0,0,0
EX_glc_e,0,0,0,0,0,0,0,0,0,-0.001680375,0
EX_glcn_e,0,0,0,0,0,0,0,0,0,0,0
EX_glcr_e,0,0,0,0,0,0,0,0,0,0,0
EX_glcur_e,0,0,0,0,0,0,0,0,0,0,0
EX_glcur1p_e,0,0,0,0,0,0,0,0,0,0,0
EX_gln_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_glu_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_gly_e,0,0,0,0,0,0,0,0,0,0,0
EX_glyald_e,0,0,0,0,0,0,0,0,0,0,0
EX_glyb_e,0,0,0,0,0,0,0,0,0,0,0
EX_glyc_e,0,0,0,0,0,0,-0.0020741997,0,0,0,0
EX_glyc_R_e,0,0,0,0,0,0,0,0,0,0,0
EX_glyc2p_e,0,0,0,0,0,0,0,0,0,0,0
EX_glyc3p_e,0,0,0,0,0,0,0,0,0,0,0
EX_glyclt_e,0,0,0,0.000000078,8.17666666666593E-08,0,0,0,0,0,0
EX_gmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_gsn_e,0,0,0,0,0,0,0,0,0,0,0
EX_gthox_e,0,0,0,0,0,0,0,0,0,0,0
EX_gthrd_e,0,0,0,0,0,0,0,0,0,0,0
EX_gtp_e,0,0,0,0,0,0,0,0,0,0,0
EX_gua_e,0,0,0,0,0,0,0,0,0,0,0
EX_h_e,0.0007056695,0.000814234,0,0,0,0.0012484921,0.0012756333,0.0012756333,0.0014927623,0.0015741857,0.0017641737
EX_h2_e,0,0,0,0,0,0,0,0,0,0,0
EX_h2o_e,0.0034989354,0.0040035793,0.0049434901,0.0041093334,0.0056646263,0.0046793853,0.007256383,0.0061483159,0.0071576037,0.0075360867,0.0084192135
EX_h2o2_e,0,0,0,0,0,0,0,0,0,0,0
EX_h2s_e,0,0,0,0,0,0,0,0,0,0,0
EX_hacolipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_halipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_hdca_e,0,0,0,0,0,0,0,0,0,0,0
EX_hdcea_e,0,0,0,0,0,0,0,0,0,0,0
EX_hg2_e,0,0,0,0,0,0,0,0,0,0,0
EX_his_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_hom_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_hxa_e,0,0,0,0,0,0,0,0,0,0,0
EX_hxan_e,0,0,0,0,0,0,0,0,0,0,0
EX_idon_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_ile_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_imp_e,0,0,0,0,0,0,0,0,0,0,0
EX_indole_e,0,0,0,0,0,0,0,0,0,0,0
EX_inost_e,0,0,0,0,0,0,0,0,0,0,0
EX_ins_e,0,0,0,0,0,0,0,0,0,0,0
EX_isetac_e,0,0,0,0,0,0,0,0,0,0,0
EX_k_e,0,0,0,0,0,0,0,0,0,0,0
EX_kdo2lipid4_e,0,0,0,0,0,0,0,0,0,0,0
EX_lac_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_lac_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_lcts_e,0,0,0,0,0,0,0,0,0,0,0
EX_leu_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_lipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_lipa_cold_e,0,0,0,0,0,0,0,0,0,0,0
EX_lipoate_e,0,0,0,0,0,0,0,0,0,0,0
EX_lys_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_lyx_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_mal_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_mal_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_malt_e,0,0,0,0,0,0,0,0,0,0,0
EX_malthx_e,0,0,0,0,0,0,0,0,0,0,0
EX_maltpt_e,0,0,0,0,0,0,0,0,0,0,0
EX_malttr_e,0,0,0,0,0,0,0,0,0,0,0
EX_maltttr_e,0,0,0,0,0,0,0,0,0,0,0
EX_man_e,0,0,0,0,0,0,0,-0.0013685977,0,0,0
EX_man6p_e,0,0,0,0,0,0,0,0,0,0,0
EX_manglyc_e,0,0,0,0,0,0,0,0,0,0,0
EX_melib_e,0,0,0,0,0,0,0,0,0,0,0
EX_meoh_e,1.44444444444444E-10,1.66666666666667E-10,2.22222222222222E-10,2.33333333333333E-10,2.44444444444444E-10,2.55555555555556E-10,2.61111111111111E-10,2.61111111111111E-10,3.05555555555556E-10,3.22222222222222E-10,3.61111111111111E-10
EX_met_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_met_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_metsox_R_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_metsox_S_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_mg2_e,0,0,0,0,0,0,0,0,0,0,0
EX_mincyc_e,0,0,0,0,0,0,0,0,0,0,0
EX_minohp_e,0,0,0,0,0,0,0,0,0,0,0
EX_mmet_e,0,0,0,0,0,0,0,0,0,0,0
EX_mn2_e,0,0,0,0,0,0,0,0,0,0,0
EX_mnl_e,0,0,0,0,0,0,0,0,0,0,0
EX_mobd_e,0,0,0,0,0,0,0,0,0,0,0
EX_mso3_e,0,0,0,0,0,0,0,0,0,0,0
EX_n2o_e,0,0,0,0,0,0,0,0,0,0,0
EX_na1_e,0,0,0,0,0,0,0,0,0,0,0
EX_nac_e,0,0,0,0,0,0,0,0,0,0,0
EX_nh4_e,0,0,0,0,0,0,0,0,0,0,0
EX_ni2_e,0,0,0,0,0,0,0,0,0,0,0
EX_nmn_e,0,0,0,0,0,0,0,0,0,0,0
EX_no_e,0,0,0,0,0,0,0,0,0,0,0
EX_no2_e,0,0,0,0,0,0,0,0,0,0,0
EX_no3_e,0,0,0,0,0,0,0,0,0,0,0
EX_novbcn_e,0,0,0,0,0,0,0,0,0,0,0
EX_o16a4colipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_o2_e,0,0,0,0,0,0,0,0,0,0,0
EX_o2s_e,0,0,0,0,0,0,0,0,0,0,0
EX_ocdca_e,0,0,0,0,0,0,0,0,0,0,0
EX_ocdcea_e,0,0,0,0,0,0,0,0,0,0,0
EX_octa_e,0,0,0,0,0,0,0,0,0,0,0
EX_orn_e,0,0,0,0,0,0,0,0,0,0,0
EX_orot_e,0,0,0,0,0,0,0,0,0,0,0
EX_pacald_e,0,0,0,0,0,0,0,0,0,0,0
EX_peamn_e,0,0,0,0,0,0,0,0,0,0,0
EX_phe_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_pheme_e,0,0,0,0,0,0,0,0,0,0,0
EX_pi_e,0,0,0,0,0,0,0,0,0,0,0
EX_pnto_R_e,0,0,0,0,0,0,0,0,0,0,0
EX_ppa_e,0,0,0,0,0,0,0,0,0,0,0
EX_ppal_e,0,0,0,0,0,0,0,0,0,0,0
EX_pppn_e,0,0,0,0,0,0,0,0,0,0,0
EX_ppt_e,0,0,0,0,0,0,0,0,0,0,0
EX_pro_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_progly_e,0,0,0,0,0,0,0,0,0,0,0
EX_psclys_e,0,0,0,0,0,0,0,0,0,0,0
EX_pser_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_ptrc_e,0,0,0,0,0,0,0,0,0,0,0
EX_pydam_e,0,0,0,0,0,0,0,0,0,0,0
EX_pydx_e,0,0,0,0,0,0,0,0,0,0,0
EX_pydxn_e,0,0,0,0,0,0,0,0,0,0,0
EX_pyr_e,0,0,-0.0010856453,0,0,0,0,0,0,0,0
EX_quin_e,0,0,0,0,0,0,0,0,0,0,0
EX_r5p_e,0,0,0,0,0,0,0,0,0,0,0
EX_rfamp_e,0,0,0,0,0,0,0,0,0,0,0
EX_rib_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_rmn_e,0,0,0,0,0,0,0,0,0,0,0
EX_sbt_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_sel_e,0,0,0,0,0,0,0,0,0,0,0
EX_ser_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_ser_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_skm_e,0,0,0,0,0,0,0,0,0,0,0
EX_slnt_e,0,0,0,0,0,0,0,0,0,0,0
EX_so2_e,0,0,0,0,0,0,0,0,0,0,0
EX_so3_e,0,0,0,0,0,0,0,0,0,0,0
EX_so4_e,0,0,0,0,0,0,0,0,0,0,0
EX_spmd_e,0,0,0,0,0,0,0,0,0,0,0
EX_succ_e,0,0,0,0,-0.0005971458,0,0,0,0,0,0
EX_sucr_e,0,0,0,0,0,0,0,0,0,0,0
EX_sulfac_e,0,0,0,0,0,0,0,0,0,0,0
EX_tartr_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_tartr_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_taur_e,0,0,0,0,0,0,0,0,0,0,0
EX_tcynt_e,0,0,0,0,0,0,0,0,0,0,0
EX_thm_e,0,0,0,0,0,0,0,0,0,0,0
EX_thr_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_thrp_e,0,0,0,0,0,0,0,0,0,0,0
EX_thym_e,0,0,0,0,0,0,0,0,0,0,0
EX_thymd_e,0,0,0,0,0,0,0,0,0,0,0
EX_tma_e,0,0,0,0,0,0,0,0,0,0,0
EX_tmao_e,0,0,0,0,0,0,0,0,0,0,0
EX_tre_e,0,0,0,0,0,0,0,0,0,0,0
EX_trp_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_tsul_e,0,0,0,0,0,0,0,0,0,0,0
EX_ttdca_e,0,0,0,0,0,0,0,0,0,0,0
EX_ttdcea_e,0,0,0,0,0,0,0,0,0,0,0
EX_ttrcyc_e,0,0,0,0,0,0,0,0,0,0,0
EX_tungs_e,0,0,0,0,0,0,0,0,0,0,0
EX_tym_e,0,0,0,0,0,0,0,0,0,0,0
EX_tyr_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_tyrp_e,0,0,0,0,0,0,0,0,0,0,0
EX_uacgam_e,0,0,0,0,0,0,0,0,0,0,0
EX_udpacgal_e,0,0,0,0,0,0,0,0,0,0,0
EX_udpg_e,0,0,0,0,0,0,0,0,0,0,0
EX_udpgal_e,0,0,0,0,0,0,0,0,0,0,0
EX_udpglcur_e,0,0,0,0,0,0,0,0,0,0,0
EX_ump_e,0,0,0,0,0,0,0,0,0,0,0
EX_ura_e,0,0,0,0,0,0,0,0,0,0,0
EX_urea_e,0,0,0,0,0,0,0,0,0,0,0
EX_uri_e,0,0,0,0,0,0,0,0,0,0,0
EX_val_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_xan_e,0,0,0,0,0,0,0,0,0,0,0
EX_xmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_xtsn_e,0,0,0,0,0,0,0,0,0,0,0
EX_xyl_D_e,0,0,0,0,0,0,0,0,0,0,0
EX_xylu_L_e,0,0,0,0,0,0,0,0,0,0,0
EX_zn2_e,0,0,0,0,0,0,0,0,0,0,0
12DGR120tipp,0,0,0,0,0,0,0,0,0,0,0
12DGR140tipp,0,0,0,0,0,0,0,0,0,0,0
12DGR141tipp,0,0,0,0,0,0,0,0,0,0,0
12DGR160tipp,0,0,0,0,0,0,0,0,0,0,0
12DGR161tipp,0,0,0,0,0,0,0,0,0,0,0
12DGR180tipp,0,0,0,0,0,0,0,0,0,0,0
12DGR181tipp,0,0,0,0,0,0,0,0,0,0,0
12PPDRtex,0,0,0,0,0,0,0,0,0,0,0
12PPDRtpp,0,0,0,0,0,0,0,0,0,0,0
12PPDStex,0,0,0,0,0,0,0,0,0,0,0
12PPDStpp,0,0,0,0,0,0,0,0,0,0,0
14GLUCANabcpp,0,0,0,0,0,0,0,0,0,0,0
14GLUCANtexi,0,0,0,0,0,0,0,0,0,0,0
23CAMPtex,0,0,0,0,0,0,0,0,0,0,0
23CCMPtex,0,0,0,0,0,0,0,0,0,0,0
23CGMPtex,0,0,0,0,0,0,0,0,0,0,0
23CUMPtex,0,0,0,0,0,0,0,0,0,0,0
23DAPPAt2pp,0,0,0,0,0,0,0,0,0,0,0
23DAPPAtex,0,0,0,0,0,0,0,0,0,0,0
23PDE2pp,0,0,0,0,0,0,0,0,0,0,0
23PDE4pp,0,0,0,0,0,0,0,0,0,0,0
23PDE7pp,0,0,0,0,0,0,0,0,0,0,0
23PDE9pp,0,0,0,0,0,0,0,0,0,0,0
26DAHtex,0,0,0,0,0,0,0,0,0,0,0
2AGPA120tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPA140tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPA141tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPA160tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPA161tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPA180tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPA181tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPE120tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPE140tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPE141tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPE160tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPE161tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPE180tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPE181tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPEAT120,0,0,0,0,0,0,0,0,0,0,0
2AGPEAT140,0,0,0,0,0,0,0,0,0,0,0
2AGPEAT141,0,0,0,0,0,0,0,0,0,0,0
2AGPEAT160,0,0,0,0,0,0,0,0,0,0,0
2AGPEAT161,0,0,0,0,0,0,0,0,0,0,0
2AGPEAT180,0,0,0,0,0,0,0,0,0,0,0
2AGPEAT181,0,0,0,0,0,0,0,0,0,0,0
2AGPG120tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPG140tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPG141tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPG160tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPG161tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPG180tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPG181tipp,0,0,0,0,0,0,0,0,0,0,0
2AGPGAT120,0,0,0,0,0,0,0,0,0,0,0
2AGPGAT140,0,0,0,0,0,0,0,0,0,0,0
2AGPGAT141,0,0,0,0,0,0,0,0,0,0,0
2AGPGAT160,0,0,0,0,0,0,0,0,0,0,0
2AGPGAT161,0,0,0,0,0,0,0,0,0,0,0
2AGPGAT180,0,0,0,0,0,0,0,0,0,0,0
2AGPGAT181,0,0,0,0,0,0,0,0,0,0,0
2DGULRGx,0,0,0,0,0,0,0,0,0,0,0
2DGULRGy,0,0,0,0,0,0,0,0,0,0,0
2DGULRx,0,0,0,0,0,0,0,0,0,0,0
2DGULRy,0,0,0,0,0,0,0,0,0,0,0
2MAHMP,0,0,0,0,0,0,0,0,0,0,0
34dhpactex,0,0,0,0,0,0,0,0,0,0,0
3AMACHYD,0,0,0,0,0,0,0,0,0,0,0
3AMPtex,0,0,0,0,0,0,0,0,0,0,0
3CMPtex,0,0,0,0,0,0,0,0,0,0,0
3GMPtex,0,0,0,0,0,0,0,0,0,0,0
3HAD100,0,0,0,0,0,0,0,0,0,0,0
3HAD120,0,0,0,0,0,0,0,0,0,0,0
3HAD121,0,0,0,0,0,0,0,0,0,0,0
3HAD140,0,0,0,0,0,0,0,0,0,0,0
3HAD141,0,0,0,0,0,0,0,0,0,0,0
3HAD160,0,0,0,0,0,0,0,0,0,0,0
3HAD161,0,0,0,0,0,0,0,0,0,0,0
3HAD180,0,0,0,0,0,0,0,0,0,0,0
3HAD181,0,0,0,0,0,0,0,0,0,0,0
3HAD40,0,0,0,0,0,0,0,0,0,0,0
3HAD60,0,0,0,0,0,0,0,0,0,0,0
3HAD80,0,0,0,0,0,0,0,0,0,0,0
3HCINNMH,0,0,0,0,0,0,0,0,0,0,0
3HPPPNH,0,0,0,0,0,0,0,0,0,0,0
3HPPtex,0,0,0,0,0,0,0,0,0,0,0
3HPPtpp,0,0,0,0,0,0,0,0,0,0,0
3KGK,0,0,0,0,0,0,0,0,0,0,0
