"EC_number","LigandID","Commentary"
"1.3.1.12",274,"at low concentrations of prephenate"
"1.3.1.12",274,"formation of an enzyme-albumin complex with MW of 150000"
"1.3.1.38",2,"no flavoprotein"
"1.3.3.11",69448,"consists of a cytosolic fraction, activating factor ActF enhances pyrroloquinoline quinone synthesis in the presence of NAD(P)H"
"1.3.3.11",45,"0.1 mM enhances pyrroloquinoline quinone production"
"1.3.3.11",40,"NAD(P)H enhances pyrroloquinoline quinone production in the presence of activating factor ActF"
"1.3.3.11",139389,"the complete TrxAB system enhance the pyrroloquinoline quinone production"
"1.3.5.1",4,"activation"
"1.3.5.1",4,""
"1.3.5.1",17,"activation"
"1.3.5.1",45,"required for activity"
"1.3.5.1",733,"activation"
"1.3.5.1",238,"activation"
"1.3.5.1",2357,"activation"
"1.4.1.4",30,"slight activation up to 1 mM"
"1.4.1.4",4,"at 2 mM, 50% activation"
"1.4.1.4",65,"activates up to 70%"
"1.4.3.16",97,"substrate activation above 1.0 mM"
"1.4.99.6",174821,"catalytically active histidine triad nucleotide binding protein 1 is necessary for enzyme activity"
"1.5.1.30",8,""
"1.5.1.30",5,""
"1.6.1.1",13,"75.5% activation at 2 mM"
"1.6.1.1",30,"71.8% activation at 2 mM"
"1.6.1.1",4,"53.4% activation at 2 mM"
"1.6.1.2",5267,"10fold stimulation of partially purified enzyme"
"1.6.1.2",813,"10fold stimulation of partially purified enzyme with Escherichia coli cardiolipin"
"1.6.1.2",1929,"5fold stimulation of partially purified enzyme"
"1.6.1.2",845,"approx. 15fold stimulation of partially purified enzyme with crude Escherichia coli lipid fraction"
"1.6.5.3",5267,""
"1.6.5.3",6517,"strong stimulation of activity"
"1.6.5.3",12984,"required at 0.02% for optimum activity"
"1.6.5.10",166105,"25fold induction"
"1.6.5.11",10644,"most effective lipid activator. Maximal activation at pH 7 and at 0°C"
"1.6.5.11",681,"most effective lipid activator. Maximal activation at pH 7 and 0°C"
"1.6.5.11",148,"enzyme optimally activated by phospholipids is additionally activated 2fold"
"1.6.5.11",61,"enzyme is inactive in absence of detergent or phospholipid. Triton X-100 gives optimal activity"
"1.7.1.4",7,"activation of hydroxylamine reduction at low concentrations"
"1.7.1.4",7,"enzyme from crude extracts and purified enzyme requires NAD+ for full activity, maximal activation at 1 mM"
"1.7.1.6",75857,"0.5 mM, increase in expression of azoR mRNA relative to the expression at zero time before stress is applied, at 10 min 46.0, at 20 min 129.1"
"1.7.1.6",156,"6 mM, increase in expression of azoR mRNA relative to the expression at zero time before stress is applied, at 10 min 15.6, at 20 min 31.9"
"1.7.1.6",2482,"1 mM, increase in expression of azoR mRNA relative to the expression at zero time before stress is applied, at 10 min 11.4, at 20 min 8.1"
"1.7.1.6",56,""
"1.7.1.6",22,"1 mM, increase in expression of azoR mRNA relative to the expression at zero time before stress is applied, at 10 min 0.9, at 20 min 0.6, 10 mM, 10 min 3.0, 20 min 1.9"
"1.7.1.6",240,"0.3 mM, increase in expression of azoR mRNA relative to the expression at zero time before stress is applied, at 10 min 25.5, at 20 min 13.3"
"1.7.1.15",7,"the apparent maximum velocity with NADH as varied substrate increases as the NAD+ concentration increases from 0.05 to 0.7 mM with 1 mM nitrite or 100 mM hydroxylamine as oxidized substrate"
"1.7.1.15",7,"at 0.5 mM NAD+, the apparent maximum velocity is 2.3times higher for 0.1 mM cytochrome c as substrate than for 100 mM hydroxylamine"
"1.7.2.2",15,""
"1.7.2.3",2,"the enzyme is induced in the presence of trimethylamine oxide mainly during exponential phase"
"1.7.2.3",135779,""
"1.7.2.3",135780,"at 42°C and in the absence of TorD TorA is poorly matured and almost completely degraded"
"1.7.99.1",159,"stimulates at concentrations above 5 mM"
"1.7.99.4",132,"enzyme as prepared is slowly activated at pH 7.2 over 250% of the original activity, dependent on ferricyanide concentration, little activation at pH 9.5"
"1.8.1.9",153,"part of the active site"
"1.8.1.9",153,"1 redox-active disulfide per subunit"
"1.8.1.9",153,"2 pairs of cysteine residues, C32, C35 and C135, C138"
"1.8.1.9",161,""
"1.8.1.9",16,"2fold activation"
"1.8.4.8",3530,"required, reverses enzyme inhibition by oxidized glutathione, glutathione together with glutaredoxin exhibits regulatory function in vivo"
"1.8.4.11",2,"MsrA expression and enzyme formation is induced in the stationary growth phase or on starvation for amino acids, glucose, or nitrogen"
"1.8.4.11",2,"gene msrA is induced during biofilm formation"
"1.8.4.11",2,"starvation induces the expression of MsrA"
"1.11.1.5",144096,"expression of cytochrome c peroxidase is dependent on the combination of FNR protein and OxyR protein under conditions of oxygen starvation"
"1.11.1.5",144097,"expression of cytochrome c peroxidase is dependent on the combination of FNR protein and OxyR protein under conditions of oxygen starvation"
"1.11.1.6",75852,""
"1.11.1.6",1063,"stimulation"
"1.11.1.6",470,"2fold activation at 10 mM"
"1.11.1.6",38551,""
"1.11.1.6",317,"stimulation at 10 mM"
"1.12.1.2",144098,"maturation of the [NiFe] hydrogenase involves assembly of nonproteinaceous ligands on the large subunit by accessory proteins encoded by the hyp operon, HypE is an essential accessory protein and participates in the synthesis of two cyano groups found in the large subunit"
"1.12.99.6",156156,"accessory protein HypB is necessary for the production of active hydrogenase"
"1.14.11.17",94,"50% increase in activity at 0.2-0.8 mM"
"1.14.11.46",94,"required"
"1.14.12.17",822,"maximal activity at 0.001 mM"
"1.14.13.59",29959,"stimulates, but remains unchanged"
"1.14.13.59",96421,"stimulates, but remains unchanged"
"1.14.13.59",885,"stimulates, but remains unchanged"
"1.14.13.59",30263,"stimulates, but remains unchanged"
"1.14.13.149",2,"maltose-binding protein-tagged PaaD added separately does not affect the specific activity of PaaABCE significantly"
"1.14.14.9",2,"enzyme is induced by 4-hydroxyphenylacetate, requiring NAD(P)H-flavin oxidoreductase HpaC for delivering of sufficient amounts of FADH2"
"1.16.1.1",2763,"exogenous thiols are required for catalytic reduction of Hg(II) to Hg2+, due to prevention or reversal of formation of an abortive complex of Hg(II) with the thiol/thiolate pair of two-electron reduced enzyme"
"1.16.1.8",1484,"under anaerobic growth conditions, oxidized ferredoxin (flavodoxin):NADP+ oxidoreductase accepts a hydride from NADPH and transfers the electron to flavodoxin, generating primarily flavodoxin semiquinone. Under anaerobic conditions the decarboxylation of pyruvate is coupled to reduction of flavodoxin, forming the flavodoxin hydroquinone. These reduced forms of flavodoxin bind to inactive cob(II)alamin enzyme, leading to a conformational change that is coupled with dissociation of His759 and protonation of the His759-Asp757-Ser810 triad. Although NADPH oxidation ultimately produces 2 equivalent of flavodoxin semiquinone, only one electron is transferred to methionine synthase during reductive methylation"
"1.17.1.8",2,"no flavins"
"1.17.1.8",8,""
"1.17.1.8",5,"similar affinity as NADH"
"1.17.4.1",4,"stimulation of CDP reduction; stimulation of UDP reduction"
"1.17.4.1",4,"ATP is an allosteric effector"
"1.17.4.1",4,""
"1.17.4.1",4,"activation by ATP has a regulatory function"
"1.17.4.1",140,"stimulation of CDP and UDP reduction"
"1.17.4.1",140,""
"1.17.4.1",179,"stimulation of UDP reduction"
"1.17.4.1",219,"stimulation of ADP reduction; stimulation of GDP reduction"
"1.17.4.1",219,"stimulation of ADP reduction; stimulation of tubercidin diphosphate reduction"
"1.17.4.1",219,"stimulation of ADP reduction"
"1.17.4.1",219,""
"1.17.4.1",145,"stimulation of ADP reduction; stimulation of CDP reduction; stimulation of GDP reduction; stimulation of UDP reduction"
"1.17.4.1",145,"stimulation of 2,6-diaminopurine riboside reduction; stimulation of 2-aminopurineriboside diphosphate reduction; stimulation of benzimidazoleriboside diphosphate reduction; stimulation of CDP reduction; stimulation of GDP reduction; stimulation of purine riboside diphosphate reduction; stimulation of UDP reduction"
"1.17.4.1",145,"stimulation of GDP reduction"
"1.17.4.1",145,"stimulation of CDP reduction; stimulation of UDP reduction"
"1.17.4.1",145,""
"1.17.4.1",22,"activation"
"1.17.4.1",2,"ribonucleoside effectors are exclusively bound at effector binding sites on subunit B1 controlling substrate specificity and activity"
"1.17.4.1",2,"overview: stimulation of various enzymes; stimulation by effector nucleotides; stimulation with various substrates"
"1.17.4.1",2,"enzyme activation mechanism and kinetics, overview"
"1.17.4.1",2,"mechanism for the activation of peroxy intermediates in binuclear non-heme iron enzymes for reactivity"
"1.17.4.1",85563,"is an essential player in Escherichia coli class Ib RNR cluster assembly, overview. Preparation of recombinant N-terminally His6-tagged NrdI"
"1.17.4.1",85563,"involved in binding of FMN. Whereas FeIII 2-tyrosyl radical can self-assemble from FeII 2-NrdF and O2, activation of MnII 2-NrdF requires a reduced flavoprotein, NrdI, proposed to form the oxidant for cofactor assembly by reduction of O2. Lys260 is involved in a hydrogen bond network with the strictly conserved residues Tyr256 and NrdI Glu110, mechanism of MnII 2-NrdF activation by NrdIhq and O2, overview"
"1.17.99.6",971,"stimulates"
"1.18.1.2",1054,"stimulates about 2fold the reduction of NADP+"
"1.20.4.1",142,"required"
"1.20.4.1",142,"glutathione is not effective as electron donor"
"1.20.4.1",142,"the enzyme uses GSH with glutaredoxin as electron donor"
"1.97.1.4",2,"contains a covalently bound chromophoric factor which has an optical absorptiion peak at 388 nm"
"2.1.1.10",153,""
"2.1.1.10",747,"induces reaction"
"2.1.1.10",5553,""
"2.1.1.10",46234,""
"2.1.1.13",4514,"supports methyltransferase in extracts of animal tissues and Escherichia coli"
"2.1.1.13",39,"at 67 mM 1.4 fold activity"
"2.1.1.13",152,"at 67 mM, 1.3fold activity"
"2.1.1.13",59,"at 67 mM 1.5 fold activity"
"2.1.1.13",54,"at 67 mM 1.5 fold activity"
"2.1.1.13",24,"required"
"2.1.1.13",404,"at about 0.0001 mM"
"2.1.1.13",107635,"at 67 mM 1.2 fold activity"
"2.1.1.33",63,"activates"
"2.1.1.33",2,"not activated by spermine"
"2.1.1.35",63,"activates"
"2.1.1.35",45,"activates"
"2.1.1.35",44,"activates"
"2.1.1.35",155,"activates, inhibitory at optimal Mg2+ concentration"
"2.1.1.35",148,"slight activation at 20 mM in presence of 50 mM ammonium acetate"
"2.1.1.35",148,"activates, inhibitory at optimal Mg2+ concentration"
"2.1.1.35",197,"slight activation"
"2.1.1.45",2535,"absolute requirement for a thiol, synthetase shows greatly dimished activity in absence"
"2.1.1.45",45,""
"2.1.1.45",161,""
"2.1.1.60",125,""
"2.1.1.60",107816,"defective in Ca-binding, cannot be methylated by the enzyme"
"2.1.1.61",2,"no activation by putrescine or spermidine"
"2.1.1.61",54,""
"2.1.1.64",45,"the optimum ratio of dithiothreitol to divalent metal ion is about 10:1. The maximal methyltransferase activity is achieved at 10 mM dithiothreitol and 1 mM Zn2+"
"2.1.1.72",156182,"more than 200% activity in the presence of 0.015 mM 5'-S-(propionic acid)5'-deoxy-9-(1'-beta-D-ribofuranosyl)1,3-dideazaadenine"
"2.1.1.79",1136,"required. CFA synthase isolated and assayed in potassium bicarbonate buffer displayes more than 3-fold higher activity than in HEPES buffer"
"2.1.1.170",2,"activity of rsmGp slightly increases by fourfold when cells are grown in minimal media supplemented with glycerol instead of glucose"
"2.1.1.193",148,"in the presence of spermidine, Mg2+ is not required for activity. Activity could be restored up to 60% of that with Mg2+ by addition of spermidine at 30 mM"
"2.1.1.266",2,"YhiR by itself, without any additional proteins, is able to modify 23S rRNA"
"2.1.2.1",95,"stabilizes the dimeric form of the enzyme"
"2.1.2.9",2,"not stimulated by ATP or GTP"
"2.1.3.2",122,"very weak activation"
"2.1.3.2",4,""
"2.1.3.2",4,"allosteric effector, increases the apparent rate of unliganded T-state to substrate-bound R-state"
"2.1.3.2",4,"ATP enhances ATCase activity. Experimentally driven, statistical modeling approach (high-dimensional model representation, RS-HDMR) to investigate regulation of ATCase in response to varying concentrations of its nucleotide regulators ATP, CTP, GTP, and UTP (at fixed substrate concentrations)"
"2.1.3.2",4,"addition of ATP along with the substrates increases the rate of the transition from the low activity T to the high activity R state and also decreases the duration of the R-state steady-state phase"
"2.1.3.2",4,"the effects of binding of nucleotides are monitored in a series of 1H-13C methyl TROSY spectroscopy spectra recorded on the 300 kDa aspartate transcarbamoylase holoenzyme in both the absence and the presence of saturating amounts of ATP or CTP. No changes in shifts of methyl probes of the catalytic chains that include the active sites are observed, consistent with a lack of structural changes. Results indicate that the mechanism of action of ATP and CTP can be explained fully by the Monod-Wyman-Changeux model"
"2.1.3.2",60,"allosteric effector, slightly shifts the dynamical equilibrium during steady state toward unliganded T-state"
"2.1.3.2",60,"the effects of binding of nucleotides are monitored in a series of 1H-13C methyl TROSY spectroscopy spectra recorded on the 300 kDa aspartate transcarbamoylase holoenzyme in both the absence and the presence of saturating amounts of ATP or CTP. No changes in shifts of methyl probes of the catalytic chains that include the active sites are observed, consistent with a lack of structural changes. Results indicate that the mechanism of action of ATP and CTP can be explained fully by the Monod-Wyman-Changeux model"
"2.1.3.2",247,"activation in presence of excess carbamoyl phosphate and limiting L-aspartate"
"2.1.3.2",30174,"activation in presence of excess carbamoyl phosphate and limiting L-aspartate"
"2.1.3.2",9833,"PALA, a bisubstrate transition state analogue, and shows also ability of PALA to enhance the activity of ATCase at low concentrations of aspartate, in the presence of a saturating concentration of carbamoyl phosphate. Interactions between the side chain of Gln137 and the backbone carbonyl oxygen of Pro266 to the amino group on the tetrahedral carbon and the side chain of Arg54 with the ester oxygen between the phosphorus and the tetrahedral carbon"
"2.1.3.2",9833,"i.e. PALA, a bisubstrate analogue, the binding of PALA is able to stabilize the enzyme in the high-activity, high-affinity R state because its structure mimics the reaction's transition state structure. The concerted transition to the R state allows a majority of active sites free to react with substrates and release products while a minority of active sites bound with PALA are inactive but stabilize the enzyme in the R state. Therefore, at low concentrations of PALA the activity increases; however, as the concentration of PALA is increased more and more of the active sites are filled by the non-hydrolyzable bisubstrate analog and the activity drops. At high concentrations of Asp and a saturating concentration of carbamoyl phosphate, no PALA activation is observed"
"2.1.3.2",58,"activation in presence of excess carbamoyl phosphate and limiting L-aspartate"
"2.1.3.2",65,"allosteric effector, makes steady state vanishingly short"
"2.2.1.1",1126,"oxidative stress increases tktA expression. Induces tktA at 1 h treatment, while an increase in marRAB operon expression occurs only after 3 h exposure"
"2.2.1.1",2,"the host strain producing the greatest amount of transketolase activity is Escherichia coli strain XL10-gold, which produces 2.3fold more transketolase than the JM107 strain"
"2.2.1.1",2,"positive transcriptional regulation of the talA-tktB operon by ppGpp; positive transcriptional regulation of the talA-tktB operon by ppGpp. Activation of tktB transcription by ppGpp occurs both through the modulation of RpoS levels and independent of RpoS"
"2.2.1.5",96999,""
"2.2.1.9",91,"required, Km: 0.0024 mM"
"2.3.1.8",2,"not significant efects: NADH, ATP, phosphoenol pyruvate and aspartate, even at concentrations as high as 10 mM"
"2.3.1.8",31,""
"2.3.1.8",31,"156% of activation at 5 mM"
"2.3.1.15",4,"activation of acyltransferase in isolated membrane preparations"
"2.3.1.15",274,"alleviates detergent effect of palmitoyl-CoA"
"2.3.1.15",274,"activation at 1 mg/ml"
"2.3.1.15",274,"alleviates detergent effect of palmitoyl-CoA; alleviates detergent effect of palmitoyl-CoA and oleoyl-CoA; not necessary with acyl-ACP derivatives or mixed micellar samples"
"2.3.1.15",2,"not activated by 1,2-diacyl glycerol 3-phosphate"
"2.3.1.15",513,"seems to be required for optimal activity"
"2.3.1.15",513,"inefficient, pH-dependent"
"2.3.1.15",681,"1.5 mM, 30-40fold activation of solubilized enzyme, inhibiton above"
"2.3.1.15",681,"required for activation and stabilization"
"2.3.1.15",681,""
"2.3.1.15",845,"activation, e.g. phosphatidylglycerol and cardiolipin, i.e. diphosphatidyl glycerol, ratio 2/1, protect against inhibition by palmitoyl-CoA; reconstituted activity of Triton X-100-solubilized enzyme, maximal reconstitution at a phospholipid/Triton X-100 ratio of 20/1"
"2.3.1.15",845,"solubilization and reconstitution in phospholipids activates latent glycerol 3-phosphate activity"
"2.3.1.15",845,""
"2.3.1.15",845,"absolutely required; bilayers required for activity: phosphatidylethanolamine/-glycerol, ratio 4/1, phosphatidylethanolamine/cardiolipin, ratio 4/1"
"2.3.1.15",845,"phosphatidylethanolamine/phosphatidylglycerol/cardiolipin, ratio 6/1/1"
"2.3.1.15",845,"absolutely required"
"2.3.1.29",221,""
"2.3.1.29",67,"not"
"2.3.1.29",49,""
"2.3.1.29",686,""
"2.3.1.39",45,"stimulates"
"2.3.1.40",2,"no stimulation by coenzyme A, ATP, GTP, UTP, glucosamine 1-phosphate, UDP-N-acetylglucosamine, Triton X-100, lipid A, alkaline treated lipid A or alkaline treated lipid A annealed with Escherichia coli phospholipids"
"2.3.1.41",63,"activation"
"2.3.1.41",63,"required in high concentration, 0.5 M"
"2.3.1.41",63,"required"
"2.3.1.41",45,"activation"
"2.3.1.41",45,"activation; can replace 2-mercaptoethanol"
"2.3.1.41",45,"activation; required"
"2.3.1.41",45,"required"
"2.3.1.41",21,"7 mM, stimulates"
"2.3.1.41",21,"activation"
"2.3.1.41",16,"activation, 0.2 M"
"2.3.1.54",169,""
"2.3.1.54",825,""
"2.3.1.54",825,"obligatory component of the activation reaction"
"2.3.1.54",31,"obligatory component of the activation reaction"
"2.3.1.54",404,""
"2.3.1.54",404,"obligatory component of the activation reaction"
"2.3.1.54",11238,"; autonomous glycyl radical cofactor, reconstituting the catalytic center of oxygen-fragmented enzyme"
"2.3.1.60",2,"N-methylmaleimide and DTT have no effect on activity"
"2.3.1.181",10685,"100 mM, slight activation"
"2.3.1.181",33208,"100 mM, slight activation"
"2.3.1.191",2,"LpxD does not require the presence of a detergent for catalytic activity because the critical micelle concentrations of its substrates are likely to be above 0.1 mM"
"2.3.1.241",61,"greatly enhances the activity of the enzyme at lower concentrations, but the activity declines only gradually as the concentration of detergent increases"
"2.3.1.241",61,"in the presence of 1 or 5 mM MgCl2, the enzyme shows a dependence on added detergen. With Triton X-100, the highest activity is observed between 0.1 and 0.2% (w/v). At higher Triton X-100 concentrations, the activity dropps off, presumably because of surface dilution of the substrate in mixed micelles. At 5 mM MgCl2, the Triton X-100 optimum is considerably broader"
"2.3.2.6",2,"no increase of activity by addition of GTP"
"2.3.2.6",2,"not dependent on added GTP or mRNA"
"2.3.2.12",39,"reaction is completely dependent upon potassium ions"
"2.3.2.12",39,"stimulation not so marked as that caused by NH4+ ions"
"2.3.2.12",83,"optimal concentration: 45-50%"
"2.3.2.12",9229,"both stimulatory and inhibitory effects at the kinetic phase in the presence of the factors washable from ribosomes, depending on ligand concentration"
"2.3.2.12",32930,"both stimulatory and inhibitory effects at the kinetic phase in the presence of the factors washable from ribosomes, depending on ligand concentration"
"2.3.2.12",1108,"both stimulatory and inhibitory effects at the kinetic phase in the presence of the factors washable from ribosomes, depending on ligand concentration"
"2.3.2.12",54,"reaction is completely dependent upon ammonium ions"
"2.3.2.12",54,""
"2.3.2.12",54,"combination of NH4+ ions with spermine produces an additive activity increase"
"2.3.2.12",109796,""
"2.4.1.1",236,"activation; in both directions"
"2.4.1.1",16071,"slight activation"
"2.4.1.1",2,"not activated by 2'-AMP, 3'-AMP, ADP, adenosine; not activated by ATP, cAMP"
"2.4.1.1",733,"activation"
"2.4.1.21",98643,"EC 2.4.1.18, stimulation of unprimed reaction"
"2.4.1.21",1058,""
"2.4.1.21",9410,"activation of unprimed reaction"
"2.4.1.21",31181,"activation of unprimed reaction"
"2.4.1.21",131,""
"2.4.1.21",1730,"activation of unprimed reaction"
"2.4.1.21",2510,"activation of unprimed reaction"
"2.4.1.21",235,"500 mM, strong activation of unprimed reaction"
"2.4.1.21",4087,"activation of unprimed reaction"
"2.4.1.21",5207,"500 mM, strong activation of unprimed reaction"
"2.4.1.21",1803,"500 mM, strong activation of unprimed reaction"
"2.4.1.58",650,"activates, minimal activity in absence"
"2.4.1.B64",61,"activity increases as the Triton X-100 concentration is increased from 0 to 0.2%. Higher concentrations of detergent are inhibitory"
"2.4.1.69",2,"the enzyme exhibits full activity when 10 mM EDTA is present"
"2.4.1.129",348,"stimulation, in the presence of 15% methanol, not at higher methanol concentrations or in the presence of deoxycholate"
"2.4.1.129",985,"activation, in the absence of methanol, inhibits in the presence of 0.05% sarkosyl"
"2.4.1.129",21,"stimulation in the presence of high concentrations of methanol and detergents"
"2.4.1.129",384,"stimulation, in the presence of 15% methanol, not at higher methanol concentrations or in the presence of deoxycholate"
"2.4.1.129",2,"no activation by cephalexin, nocardicin A or mecillinam"
"2.4.1.129",156198,"RodA is required for isoform PBP2 activity"
"2.4.1.129",15959,"activation"
"2.4.1.129",45913,"stimulation in the presence of high concentrations of methanol and detergents"
"2.4.1.129",549,"0.05-0.1%, activation"
"2.4.1.129",61,"activation, 0.05%; inhibits at 0.1%"
"2.4.1.129",61,""
"2.4.1.182",2,"no requirement for detergent"
"2.4.1.182",61,"between 0 and 0.5 mM Triton X-100 increases the apparent specific activity 5fold"
"2.4.1.227",15,""
"2.4.1.227",813,"the activity of MurG is increased in the presence of cardiolipin"
"2.4.1.227",1217,""
"2.4.1.227",896,"high concentration (35%) of dimethylsulfoxide is necessary for maximal enzyme activity"
"2.4.1.227",6,""
"2.4.1.303",2,"detergents in the assay do not increase glycosyl transfer"
"2.4.2.7",2771,"effect is strongly influenced by pH, inhibition at pH 7.1: ATP, GMP, activation at pH 7.1: GTP, UMP, UTP, CMP, CTP, IMP, no effect at pH 7.1: AMP, inhibition at pH 8.0: AMP, ATP, GMP, GTP, UTP, CTP, IMP, no effect at pH 8.0: UMP, CMP"
"2.4.2.8",47,"slightly activating"
"2.4.2.9",37,"effect is pH-dependent, pH 7.5: lowers Km value for 5-phospho-alpha-D-ribose 1-diphosphate and increases Vmax 2fold, no effect on Km for uracil, pH 8.0: no effect"
"2.4.2.9",37,"about 5-7fold increase of Km for 5-phosphoribose 1-diphosphate, unaltered Vmax; highly activating at low 5-phosphoribose 1-diphosphate concentration, e.g. 0.2 mM, by modification of the structure from dimer/trimer to pentamer/hexamer; kinetics"
"2.4.2.9",37,"activation of wild-type and mutant P131D, maximal at 0.08 mM"
"2.4.2.9",111994,"activates in the same range as GTP"
"2.4.2.14",31050,"no glutamine-binding site in the absence of Mg-phosphoribosyldiphosphate"
"2.4.2.14",111659,"3-4fold activation of glutaminase activity in the presence of phosphate or diphosphate"
"2.4.99.B6",61,"the enzymatic activity is dependent upon the presence of Triton X-100. At concentrations greater than 0.1% Triton X-100, the transferase activity is inhibited"
"2.4.99.12",61,"stimulates activity"
"2.4.99.13",61,"stimulates activity"
