ReactionID,EC,RegID,Metabolite,Mode,KI,Mechanism,Chebi
"ISOCHORSYN-RXN","5.4.4.2","REG0-9212","2-MERCAPTOETHANOL","NIL","NaN","NaN",41218
"PYRUVDEH-RXN","1.2.1","REG0-6993","2-OXOBUTANOATE","-","NaN","COMPETITIVE",16763
"DLACTDEHYDROGNAD-RXN","1.1.1.28","REG0-7197","2-OXOBUTANOATE","+","NaN","NaN",16763
"ACETOLACTSYN-RXN","2.2.1.6","REG0-8655","2-OXOBUTANOATE","-","NaN","NaN",16763
"RXN0-5260","1.1.5.3","REG0-11448","2-PG","-","NaN","COMPETITIVE",58289
"DAHPSYN-RXN","2.5.1.54","REG0-7431","2-PG","-","NaN","COMPETITIVE",58289
"DIAMINOPIMDECARB-RXN","4.1.1.20","REG0-8053","23-DIMERCAPTOPROPAN-1-OL","+","NaN","NaN",64198
"DAHPSYN-RXN","2.5.1.54","REG0-10127","23-DIPHOSPHOGLYCERATE","-","NaN","COMPETITIVE",58248
"THREODEHYD-RXN","1.1.1.103","REG0-7510","23-PENTANEDIONE","-","NaN","NaN",52774
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9692","3-4-DIHYDROXYBENZOATE","-","NaN","COMPETITIVE",36241
"GLUTDECARBOX-RXN","4.1.1.15","REG0-9715","3-4-DIHYDROXYBENZOATE","-","NaN","COMPETITIVE",36241
"1.8.4.8-RXN","1.8.4.8","REG0-8207","3-5-ADP","-","4","COMPETITIVE",58343
"3.1.13.3-RXN","3.1.13.3","REG0-9536","3-5-ADP","-","NaN","NaN",58343
"DAHPSYN-RXN","2.5.1.54","REG0-9627","3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P","-","NaN","NaN",58394
"3-DEHYDROQUINATE-SYNTHASE-RXN","4.2.3.4","REG0-9826","3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P","-","NaN","COMPETITIVE",58394
"2.5.1.19-RXN","2.5.1.19","REG0-7854","3-ENOLPYRUVYL-SHIKIMATE-5P","-","NaN","NaN",57701
"RXN-16701","1.1.1","REG-15075","3-P-HYDROXYPYRUVATE","-","NaN","COMPETITIVE",18110
"KETOGLUTREDUCT-RXN","1.1.1","REG0-8922","3-P-HYDROXYPYRUVATE","-","NaN","COMPETITIVE",18110
"ORNDECARBOX-RXN","4.1.1.17","REG0-8770","3-P-SERINE","-","NaN","NONCOMPETITIVE",57524
"PHENYLALANINE--TRNA-LIGASE-RXN","6.1.1.20","REG0-10616","3-PHENYLPROPIONATE","-","NaN","COMPETITIVE",51057
"ASNSYNB-RXN","6.3.5.4","REG0-12330","3-SULFINOALANINE","-","5400","COMPETITIVE",61085
"CHORPYRLY-RXN","4.1.3.40","REG0-11546","4-HYDROXYBENZALDEHYDE","-","NaN","COMPETITIVE",17597
"P-PANTOCYSLIG-RXN","6.3.2.5","REG0-7483","4-P-PANTOTHENATE","-","NaN","NaN",10986
"THRESYN-RXN","4.2.3.1","REG0-9919","4-PHOSPHONOOXY-THREONINE","-","NaN","NaN",58452
"ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN","3.2.2.9","REG0-8646","5-ETHYLTHIOADENOSINE","-","NaN","COMPETITIVE",74046
"FOLYLPOLYGLUTAMATESYNTH-RXN","6.3.2.17","REG0-9671","5-METHYL-THF","-","NaN","NaN",18608
"ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN","3.2.2.9","REG0-8650","5-METHYLTHIOTUBERCIDIN","-","NaN","NaN",665251
"METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN","3.2.2.16","REG0-10279","5-N-PROPYLTHIOADENOSINE","-","NaN","NaN",663476
"ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN","3.2.2.9","REG0-8645","5-N-PROPYLTHIOADENOSINE","-","NaN","COMPETITIVE",663476
"GLYRIBONUCSYN-RXN","6.3.4.13","REG0-7972","5-P-BETA-D-RIBOSYL-AMINE","-","NaN","COMPETITIVE",58681
"AIRS-RXN","6.3.3.1","REG0-7060","5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE","-","NaN","NaN",28843
"H2PTEROATESYNTH-RXN","2.5.1.15","REG0-7683","7-8-DIHYDROPTEROATE","-","NaN","COMPETITIVE",17839
"FOLYLPOLYGLUTAMATESYNTH-RXN","6.3.2.17","REG0-7767","7-8-DIHYDROPTEROATE","-","NaN","NaN",17839
"DAPASYN-RXN","2.6.1.62","REG0-10036","8-AMINO-7-OXONONANOATE","-","NaN","COMPETITIVE",57532
"GLYCDEH-RXN","1.1.1.6","REG0-6882","8-HYDROXYQUINOLINE","-","NaN","NaN",48981
"THIOSULFATE-SULFURTRANSFERASE-RXN","2.8.1.1","REG0-11332","ACET","-","NaN","NaN",30089
"3-DEHYDROQUINATE-DEHYDRATASE-RXN","4.2.1.10","REG0-11782","ACET","-","NaN","COMPETITIVE",30089
"R524-RXN","4.2.1.104","REG0-7823","ACET","-","NaN","COMPETITIVE",30089
"NAG6PDEACET-RXN","3.5.1.25","REG0-7842","ACET","-","NaN","COMPETITIVE",30089
"ACETYLORNDEACET-RXN","3.5.1.16","REG0-8081","ACET","-","NaN","COMPETITIVE",30089
"KDGALDOL-RXN","4.1.2.20","REG0-8706","ACET","-","NaN","NaN",30089
"BADH-RXN","1.2.1.8","REG0-10198","ACETALD","-","NaN","COMPETITIVE",15343
"RXN-13990","4.1.3.42","REG0-8864","ACETALD","-","NaN","COMPETITIVE",15343
"ACETYL-COA-ACETYLTRANSFER-RXN","2.3.1.9","REG0-7500","ACETOACETYL-COA","-","NaN","NaN",57286
"ACETOACETYL-COA-TRANSFER-RXN","2.8.3","REG0-11728","ACETYL-COA","-","NaN","COMPETITIVE",57288
"CITSYN-RXN","2.3.3.16","REG0-6743","ACETYL-COA","+","NaN","ALLOSTERIC",57288
"MALONYL-COA-ACP-TRANSACYL-RXN","2.3.1.86","REG0-7082","ACETYL-COA","-","NaN","COMPETITIVE",57288
"PEPCARBOX-RXN","4.1.1.31","REG0-7273","ACETYL-COA","+","NaN","ALLOSTERIC",57288
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7410","ACETYL-COA","-","NaN","NONCOMPETITIVE",57288
"MALIC-NADP-RXN","1.1.1.40","REG0-7612","ACETYL-COA","-","NaN","ALLOSTERIC",57288
"1.1.1.39-RXN","1.1.1.38","REG0-7671","ACETYL-COA","-","NaN","ALLOSTERIC",57288
"RXN0-1382","2.8.3.16","REG0-9397","ACETYL-COA","-","NaN","UNCOMPETITIVE",57288
"MALIC-NADP-RXN","1.1.1.40","REG0-11303","ACETYL-P","+","NaN","NaN",22191
"THI-P-SYN-RXN","2.5.1.3","REG0-9102","ACETYL-P","-","NaN","NaN",22191
"DAPASYN-RXN","2.6.1.62","REG0-8274","ADENINE","-","NaN","NONCOMPETITIVE",16708
"RXN-12458","2.1.1.228","REG0-11691","ADENOSINE","-","34.7    ","COMPETITIVE",16335
"RXN-16165","6.1.1.10","REG0-12186","ADENOSINE","-","NaN","NaN",16335
"NAD-SYNTH-NH3-RXN","6.3.1.5","REG0-7920","ADENOSINE","-","NaN","NaN",16335
"DEOXYGUANPHOSPHOR-RXN","2.4.2.1","REG0-8066","ADENOSINE","-","NaN","COMPETITIVE",16335
"DAPASYN-RXN","2.6.1.62","REG0-8272","ADENOSINE","-","NaN","COMPETITIVE",16335
"ACETALD-DEHYDROG-RXN","1.2.1.10","REG0-8147","ADENOSINE_DIPHOSPHATE_RIBOSE","-","NaN","NaN",57967
"METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN","3.2.2.16","REG0-10277","ADENOSYL-HOMO-CYS","-","NaN","NaN",57856
"2.8.1.6-RXN","2.8.1.6","REG0-10860","ADENOSYL-HOMO-CYS","-","NaN","NaN",57856
"RXN0-1342","2.4.99.17","REG0-10880","ADENOSYL-HOMO-CYS","-","NaN","COMPETITIVE",57856
"2.1.1.72-RXN","2.1.1.72","REG0-12281","ADENOSYL-HOMO-CYS","-","7","COMPETITIVE",57856
"RXN-12458","2.1.1.228","REG0-6809","ADENOSYL-HOMO-CYS","-","6","COMPETITIVE",57856
"DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN","2.1.1.37","REG0-7563","ADENOSYL-HOMO-CYS","-","NaN","COMPETITIVE",57856
"2.1.1.79-RXN","2.1.1.79","REG0-7657","ADENOSYL-HOMO-CYS","-","NaN","COMPETITIVE",57856
"RXN0-2441","2.1.1.144","REG0-8070","ADENOSYL-HOMO-CYS","-","NaN","NaN",57856
"CHER-RXN","2.1.1.80","REG0-8539","ADENOSYL-HOMO-CYS","-","NaN","COMPETITIVE",57856
"GLUTDECARBOX-RXN","4.1.1.15","REG0-7161","ADIPATE","-","NaN","COMPETITIVE",17128
"GLUTDECARBOX-RXN","4.1.1.15","REG0-8563","ADIPATE","-","NaN","COMPETITIVE",17128
"PEPSYNTH-RXN","2.7.9.2","REG0-10568","ADP","-","NaN","NaN",456216
"PRPPAMIDOTRANS-RXN","2.4.2.14","REG0-11364","ADP","-","NaN","NaN",456216
"RXN0-3741","3.1.3.89","REG0-11832","ADP","-","NaN","NaN",456216
"GLYCEROL-KIN-RXN","2.7.1.30","REG0-11843","ADP","-","NaN","NONCOMPETITIVE",456216
"SUCCCOASYN-RXN","6.2.1.5","REG0-11849","ADP","+","NaN","NaN",456216
"MALATE-DEHYDROGENASE-ACCEPTOR-RXN","1.1.5.4","REG0-11969","ADP","-","NaN","COMPETITIVE",456216
"3.4.21.53-RXN","3.4.21.53","REG0-12301","ADP","-","NaN","NaN",456216
"ADENYLATECYC-RXN","4.6.1.1","REG0-6676","ADP","-","NaN","NONCOMPETITIVE",456216
"F16BDEPHOS-RXN","3.1.3.11","REG0-6846","ADP","-","NaN","NaN",456216
"5.1.3.20-RXN","5.1.3.20","REG0-6854","ADP","-","NaN","NaN",456216
"GLYCOGENSYN-RXN","2.4.1.21","REG0-6887","ADP","-","NaN","COMPETITIVE",456216
"THI-P-KIN-RXN","2.7.4.16","REG0-7009","ADP","-","NaN","NaN",456216
"AIRS-RXN","6.3.3.1","REG0-7057","ADP","-","NaN","COMPETITIVE",456216
"AIRS-RXN","6.3.3.1","REG0-7058","ADP","-","NaN","NaN",456216
"GLYCEROL-KIN-RXN","2.7.1.30","REG0-7095","ADP","-","NaN","COMPETITIVE",456216
"1PFRUCTPHOSN-RXN","2.7.1.56","REG0-7119","ADP","-","NaN","COMPETITIVE",456216
"POLYPHOSPHATE-KINASE-RXN","2.7.4.1","REG0-7280","ADP","-","NaN","COMPETITIVE",456216
"RXN0-4621","2.7.1.170","REG0-7292","ADP","-","NaN","NaN",456216
"6PFRUCTPHOS-RXN","2.7.1.11","REG0-7474","ADP","+","NaN","ALLOSTERIC",456216
"N-ACETYLGLUCOSAMINE-KINASE-RXN","2.7.1.59","REG0-7549","ADP","-","NaN","NaN",456216
"DEPHOSICITDEHASE-RXN","3.1.3","REG0-7604","ADP","+","NaN","NaN",456216
"PHOSICITDEHASE-RXN","2.7.11.5","REG0-7699","ADP","-","NaN","NaN",456216
"RXN0-6274","2.5.1.75","REG0-7838","ADP","-","NaN","COMPETITIVE",456216
"NAD-SYNTH-NH3-RXN","6.3.1.5","REG0-7923","ADP","-","NaN","NaN",456216
"GLUTKIN-RXN","2.7.2.11","REG0-8154","ADP","-","60","COMPETITIVE",456216
"PHOSACETYLTRANS-RXN","2.3.1.8","REG0-8211","ADP","-","NaN","NONCOMPETITIVE",456216
"DETHIOBIOTIN-SYN-RXN","6.3.3.3","REG0-8221","ADP","-","NaN","COMPETITIVE",456216
"NUCLEOSIDE-DIP-KIN-RXN","2.7.4.6","REG0-8479","ADP","-","NaN","COMPETITIVE",456216
"GTP-CYCLOHYDRO-I-RXN","3.5.4.16","REG0-8726","ADP","-","10","COMPETITIVE",456216
"GLUTAMIN-RXN","3.5.1.38","REG0-8748","ADP","-","NaN","NaN",456216
"GUANOSINEKIN-RXN","2.7.1.73","REG0-8828","ADP","-","NaN","OTHER",456216
"THI-P-SYN-RXN","2.5.1.3","REG0-9106","ADP","-","NaN","NaN",456216
"MANNOSE-ISOMERASE-RXN","5.3.1.7","REG0-9434","ADP","-","NaN","NaN",456216
"5.1.3.20-RXN","5.1.3.20","REG0-6855","ADP-D-GLUCOSE","-","NaN","NaN",57498
"GLYCOPHOSPHORYL-RXN","2.4.1.1","REG0-8439","ADP-D-GLUCOSE","-","NaN","COMPETITIVE",57498
"UDPSUGARHYDRO-RXN","3.6.1.45","REG0-8839","ADP-D-GLUCOSE","-","NaN","COMPETITIVE",57498
"FUMHYDR-RXN","4.2.1.2","REG0-11459","AG+","-","NaN","NaN",49468
"GLUTAMIN-RXN","3.5.1.38","REG0-7401","AG+","-","NaN","NaN",49468
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7406","ALPHA-GLUCOSE-16-BISPHOSPHATE","-","NaN","COMPETITIVE",58392
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7418","ALPHA-GLUCOSE-16-BISPHOSPHATE","+","NaN","NaN",58392
"AKBLIG-RXN","2.3.1.29","REG0-6688","AMINOMALONATE","-","NaN","COMPETITIVE",58158
"ASNSYNA-RXN","6.3.1.1","REG0-6725","AMMONIA","-","NaN","COMPETITIVE",16134
"UDPMANNACADEHYDROG-RXN","1.1.1.336","REG0-11788","AMMONIUM","+","NaN","NaN",28938
"F16ALDOLASE-RXN","4.1.2.13","REG0-12168","AMMONIUM","+","NaN","NaN",28938
"RXN0-5144","2.1.1.61","REG0-6645","AMMONIUM","+","NaN","NaN",28938
"DTMPKI-RXN","2.7.4.12","REG0-6780","AMMONIUM","-","NaN","NaN",28938
"GLYCDEH-RXN","1.1.1.6","REG0-6886","AMMONIUM","+","NaN","NaN",28938
"THI-P-KIN-RXN","2.7.4.16","REG0-7011","AMMONIUM","+","NaN","NaN",28938
"CARBPSYN-RXN","6.3.5.5","REG0-7382","AMMONIUM","+","NaN","ALLOSTERIC",28938
"IMP-DEHYDROG-RXN","1.1.1.205","REG0-7391","AMMONIUM","+","NaN","NaN",28938
"MALIC-NADP-RXN","1.1.1.40","REG0-7616","AMMONIUM","+","NaN","NaN",28938
"THIKIN-RXN","2.7.1.89","REG0-7904","AMMONIUM","+","NaN","NaN",28938
"ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN","1.2.1.11","REG0-8119","AMMONIUM","-","NaN","NaN",28938
"3.1.13.5-RXN","3.1.13.5","REG0-8298","AMMONIUM","+","NaN","NaN",28938
"GUANYL-KIN-RXN","2.7.4.8","REG0-8381","AMMONIUM","+","NaN","NaN",28938
"UDPNACETYLMURAMATEDEHYDROG-RXN","1.3.1.98","REG0-8596","AMMONIUM","+","NaN","NaN",28938
"ACETATE--COA-LIGASE-RXN","6.2.1.1","REG0-11564","AMP","-","NaN","NaN",456215
"PRPPSYN-RXN","2.7.6.1","REG0-11841","AMP","-","NaN","UNCOMPETITIVE",456215
"MALATE-DEHYDROGENASE-ACCEPTOR-RXN","1.1.5.4","REG0-11968","AMP","-","NaN","COMPETITIVE",456215
"ARGININE--TRNA-LIGASE-RXN","6.1.1.19","REG0-11999","AMP","-","1600","NONCOMPETITIVE",456215
"NADPH-DEHYDROGENASE-FLAVIN-RXN","1.5.1.30","REG0-12181","AMP","-","NaN","NaN",456215
"PYRIDOXKIN-RXN","2.7.1.35","REG0-12349","AMP","-","1300","COMPETITIVE",456215
"ASNSYNA-RXN","6.3.1.1","REG0-6727","AMP","-","NaN","COMPETITIVE",456215
"2.7.9.3-RXN","2.7.9.3","REG0-6817","AMP","-","170","COMPETITIVE",456215
"RIB5PISOM-RXN","5.3.1.6","REG0-6999","AMP","-","NaN","NaN",456215
"THI-P-KIN-RXN","2.7.4.16","REG0-7004","AMP","-","NaN","NONCOMPETITIVE",456215
"RXN0-5515","2.7.7.41","REG0-7067","AMP","+","NaN","NaN",456215
"PRPPAMIDOTRANS-RXN","2.4.2.14","REG0-7202","AMP","-","NaN","COMPETITIVE",456215
"ADENPRIBOSYLTRAN-RXN","2.4.2.7","REG0-7230","AMP","-","NaN","COMPETITIVE",456215
"FMNREDUCT-RXN","1.5.1.39","REG0-7353","AMP","-","NaN","COMPETITIVE",456215
"FMNREDUCT-RXN","1.5.1.39","REG0-7358","AMP","-","NaN","NONCOMPETITIVE",456215
"DEPHOSICITDEHASE-RXN","3.1.3","REG0-7603","AMP","+","NaN","NaN",456215
"PHOSICITDEHASE-RXN","2.7.11.5","REG0-7698","AMP","-","NaN","NaN",456215
"NAD-SYNTH-NH3-RXN","6.3.1.5","REG0-7922","AMP","-","NaN","NaN",456215
"ACETALD-DEHYDROG-RXN","1.2.1.10","REG0-8145","AMP","-","NaN","COMPETITIVE",456215
"ACETALD-DEHYDROG-RXN","1.2.1.10","REG0-8148","AMP","-","NaN","NaN",456215
"GUANYL-KIN-RXN","2.7.4.8","REG0-8379","AMP","-","NaN","NaN",456215
"PEPSYNTH-RXN","2.7.9.2","REG0-8398","AMP","-","NaN","NaN",456215
"GLYCOPHOSPHORYL-RXN","2.4.1.1","REG0-8454","AMP","+","NaN","NaN",456215
"PEPDEPHOS-RXN","2.7.1.40","REG0-8715","AMP","+","NaN","ALLOSTERIC",456215
"GLUTAMIN-RXN","3.5.1.38","REG0-8757","AMP","+","NaN","NaN",456215
"F16BDEPHOS-RXN","3.1.3.11","REG0-8812","AMP","-","NaN","NONCOMPETITIVE",456215
"GLUTAMINESYN-RXN","6.3.1.2","REG0-8901","AMP","-","NaN","NaN",456215
"GLUC1PADENYLTRANS-RXN","2.7.7.27","REG0-8911","AMP","-","NaN","ALLOSTERIC",456215
"ATPPHOSPHORIBOSYLTRANS-RXN","2.4.2.17","REG0-9061","AMP","-","NaN","COMPETITIVE",456215
"IGPSYN-RXN","4.1.1.48","REG0-8423","ANTHRANILATE","-","NaN","NaN",16567
"ADENYLYLSULFKIN-RXN","2.7.1.25","REG0-7620","APS","-","NaN","COMPETITIVE",58243
"RIB5PISOM-RXN","5.3.1.6","REG0-11199","ARABINOSE-5P","-","NaN","NaN",57693
"RXN0-313","4.1.2","REG0-6831","ARABINOSE-5P","-","NaN","COMPETITIVE",57693
"TRANSALDOL-RXN","2.2.1.2","REG0-7424","ARABINOSE-5P","-","NaN","COMPETITIVE",57693
"1TRANSKETO-RXN","2.2.1.1","REG0-7712","ARABINOSE-5P","-","NaN","COMPETITIVE",57693
"N-ACETYLTRANSFER-RXN","2.3.1.1","REG0-6950","ARG","-","NaN","NaN",32682
"AGMATIN-RXN","3.5.3.11","REG0-8420","ARG","-","NaN","COMPETITIVE",32682
"ABC-27-RXN","3.6.3.27","REG0-11647","ARSENATE","-","23","COMPETITIVE",48597
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-11764","ARSENATE","-","NaN","COMPETITIVE",48597
"METHGLYSYN-RXN","4.2.3.3","REG0-6941","ARSENATE","-","NaN","NaN",48597
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-7370","ARSENATE","-","NaN","COMPETITIVE",48597
"GSDEADENYLATION-RXN","2.7.7.89","REG0-7728","ARSENATE","+","NaN","NaN",48597
"GAPOXNPHOSPHN-RXN","1.2.1.12","REG0-7896","ARSENATE","+","NaN","NaN",48597
"RXN0-299","1.14.11.17","REG0-6793","ASCORBATE","+","NaN","NaN",38290
"ASPARAGHYD-RXN","3.5.1.38","REG0-11262","ASN","+","NaN","ALLOSTERIC",58048
"ASNSYNA-RXN","6.3.1.1","REG0-6726","ASN","-","NaN","COMPETITIVE",58048
"RXN0-6277","1","REG0-6789","ATABRINE","-","NaN","NaN",8711
"RXN0-5462","3.6.5.1","REG0-10218","ATP","-","NaN","NaN",30616
"DEPHOSICITDEHASE-RXN","3.1.3","REG0-10270","ATP","+","NaN","NaN",30616
"GUANOSINEKIN-RXN","2.7.1.73","REG0-10640","ATP","+","NaN","NaN",30616
"INOSINEKIN-RXN","2.7.1.73","REG0-10641","ATP","+","NaN","NaN",30616
"RXN-14126","3.1.3.6","REG0-11815","ATP","-","NaN","NaN",30616
"RXN0-3741","3.1.3.89","REG0-11833","ATP","-","NaN","NaN",30616
"MALATE-DEHYDROGENASE-ACCEPTOR-RXN","1.1.5.4","REG0-11963","ATP","-","NaN","COMPETITIVE",30616
"TRNA-S-TRANSFERASE-RXN","2.8.1.4","REG0-12028","ATP","+","NaN","NaN",30616
"F16BDEPHOS-RXN","3.1.3.11","REG0-12215","ATP","-","NaN","NaN",30616
"RXN0-7192","6.3.4.15","REG0-12399","ATP","+","NaN","NaN",30616
"RXN0-5073","3.6.1","REG0-6661","ATP","-","NaN","COMPETITIVE",30616
"ADENYLATECYC-RXN","4.6.1.1","REG0-6673","ATP","-","NaN","ALLOSTERIC",30616
"CITSYN-RXN","2.3.3.16","REG0-6737","ATP","-","NaN","COMPETITIVE",30616
"DTMPKI-RXN","2.7.4.12","REG0-6781","ATP","-","NaN","NaN",30616
"RXN0-2941","3.1.21","REG0-6848","ATP","-","NaN","NaN",30616
"6PFRUCTPHOS-RXN","2.7.1.11","REG0-6967","ATP","-","NaN","ALLOSTERIC",30616
"GLYCEROL-KIN-RXN","2.7.1.30","REG0-7102","ATP","+","NaN","NaN",30616
"DLACTDEHYDROGNAD-RXN","1.1.1.28","REG0-7195","ATP","-","NaN","NaN",30616
"PEPCARBOXYKIN-RXN","4.1.1.49","REG0-7200","ATP","-","NaN","NaN",30616
"PPGPPSYN-RXN","3.1.7.2","REG0-7303","ATP","+","NaN","NaN",30616
"THYKI-RXN","2.7.1.145","REG0-7497","ATP","+","NaN","ALLOSTERIC",30616
"RXN-9952","1.1.1.44","REG0-7502","ATP","-","NaN","COMPETITIVE",30616
"LYXK-RXN","2.7.1.53","REG0-7578","ATP","-","NaN","NaN",30616
"1.1.1.39-RXN","1.1.1.38","REG0-7674","ATP","-","NaN","NaN",30616
"RIBONUCLEOSIDE-DIP-REDUCTI-RXN","1.17.4.1","REG0-7707","ATP","+","NaN","NaN",30616
"ASPCARBTRANS-RXN","2.1.3.2","REG0-7801","ATP","+","NaN","ALLOSTERIC",30616
"METHYLENETHFDEHYDROG-NADP-RXN","1.5.1.5","REG0-7802","ATP","-","NaN","COMPETITIVE",30616
"RXN0-6274","2.5.1.75","REG0-7839","ATP","-","NaN","COMPETITIVE",30616
"PEPDEPHOS-RXN","2.7.1.40","REG0-8166","ATP","-","NaN","NaN",30616
"PHOSACETYLTRANS-RXN","2.3.1.8","REG0-8212","ATP","-","NaN","NONCOMPETITIVE",30616
"BIOTINLIG-RXN","6.3.4.15","REG0-8315","ATP","+","NaN","NaN",30616
"GMP-REDUCT-RXN","1.7.1.7","REG0-8658","ATP","-","NaN","NaN",30616
"GTP-CYCLOHYDRO-I-RXN","3.5.4.16","REG0-8732","ATP","-","0.25    ","COMPETITIVE",30616
"GLUTAMIN-RXN","3.5.1.38","REG0-8749","ATP","-","NaN","NaN",30616
"HOMOSERDEHYDROG-RXN","1.1.1.3","REG0-8975","ATP","+","NaN","NaN",30616
"THI-P-SYN-RXN","2.5.1.3","REG0-9107","ATP","-","NaN","NaN",30616
"MANNONOXIDOREDUCT-RXN","1.1.1.57","REG0-9371","ATP","-","NaN","COMPETITIVE",30616
"MANNOSE-ISOMERASE-RXN","5.3.1.7","REG0-9435","ATP","-","NaN","NaN",30616
"GLYRIBONUCSYN-RXN","6.3.4.13","REG0-7973","B-ALANINE","-","NaN","COMPETITIVE",57966
"DIHYDROFOLATEREDUCT-RXN","1.5.1.3","REG0-12160","BA+2","-","NaN","NaN",37136
"HYPOXANPRIBOSYLTRAN-RXN","2.4.2.8","REG0-7025","BA+2","-","NaN","NaN",37136
"ADENPRIBOSYLTRAN-RXN","2.4.2.7","REG0-7233","BA+2","-","NaN","NaN",37136
"BADH-RXN","1.2.1.8","REG0-10200","BENZALDEHYDE","-","NaN","COMPETITIVE",17169
"ACETALD-DEHYDROG-RXN","1.2.1.10","REG0-8146","BENZALDEHYDE","-","NaN","COMPETITIVE",17169
"RXN0-301","1.5.3.2","REG0-8500","BENZOATE","-","NaN","COMPETITIVE",16150
