,EC_number,bigg.metabolite,Commentary,Literature
148,1.7.2.2,ca2_c,,671934
149,2.4.1.227,ca2_c,,488971
150,1.7.99.1,cyan_c,stimulates at concentrations above 5 mM,394266
151,1.14.13.59,23dappa_c,"stimulates, but remains unchanged",207904
152,1.17.4.1,datp_c,stimulation of CDP and UDP reduction,437913
153,1.17.4.1,datp_c,,"437976, 714184"
154,3.1.11.5,datp_c,nearly as effective as ATP,133995
155,1.17.4.1,dctp_c,stimulation of UDP reduction,437918
156,2.7.1.21,dctp_c,activation,"641123, 641132"
157,3.1.11.5,dctp_c,less effective than ATP,133998
158,1.17.4.1,dgtp_c,stimulation of ADP reduction; stimulation of GDP reduction,437913
159,1.17.4.1,dgtp_c,stimulation of ADP reduction; stimulation of tubercidin diphosphate reduction,437918
160,1.17.4.1,dgtp_c,stimulation of ADP reduction,437937
161,1.17.4.1,dgtp_c,,437976
162,2.7.4.22,dgtp_c,lower affinity or extent of activation than GTP,663997
163,2.7.4.22,dgtp_c,,674896
164,1.17.4.1,dttp_c,stimulation of ADP reduction; stimulation of CDP reduction; stimulation of GDP reduction; stimulation of UDP reduction,437913
165,1.17.4.1,dttp_c,"stimulation of 2,6-diaminopurine riboside reduction; stimulation of 2-aminopurineriboside diphosphate reduction; stimulation of benzimidazoleriboside diphosphate reduction; stimulation of CDP reduction; stimulation of GDP reduction; stimulation of purine riboside diphosphate reduction; stimulation of UDP reduction",437918
166,1.17.4.1,dttp_c,stimulation of GDP reduction,437937
167,1.17.4.1,dttp_c,stimulation of CDP reduction; stimulation of UDP reduction,437938
168,1.17.4.1,dttp_c,,437976
169,1.17.99.6,cbl1_c,stimulates,730810
170,1.20.4.1,gthrd_c,required,"639364, 639365"
171,1.20.4.1,gthrd_c,glutathione is not effective as electron donor,639366
172,1.20.4.1,gthrd_c,the enzyme uses GSH with glutaredoxin as electron donor,639367
173,2.7.7.38,gthrd_c,,645226
174,6.3.4.21,gthrd_c,activation,637748
175,2.1.1.13,na1_c,at 67 mM 1.5 fold activity,441179
176,2.1.1.13,amet_c,required,659993
177,2.8.1.6,amet_c,"two molecules of S-adenosyl-L-methionine are used to synthesize one molecule of biotin, one from dethiobiotin to the intermediate, and a second from the intermediate to biotin",645594
178,2.8.1.6,amet_c,required,"645583, 645585, 645593, 645595, 645605"
179,2.8.1.6,amet_c,one molecule S-adenosyl-L-methionine is required to form one molecule of biotin,645608
180,2.8.1.6,amet_c,,"645597, 645598, 645612"
181,3.1.21.3,amet_c,"stimulates, not required",134241
182,3.1.21.3,amet_c,required,134249
183,3.1.21.3,amet_c,,134250
184,2.1.1.13,amet_c,at about 0.0001 mM,441179
185,2.3.1.54,amet_c,,"14936, 487219, 487222, 487230"
186,2.3.1.54,amet_c,obligatory component of the activation reaction,"487218, 487221, 487239"
187,2.5.1.6,amet_c,enhances tripolyphosphatase activity,639056
188,2.8.1.10,amet_c,strong stimulation,715465
189,3.1.11.5,amet_c,less effective than ATP,133998
190,2.1.1.35,ptrc_c,"activates, inhibitory at optimal Mg2+ concentration",441365
191,3.1.13.1,ptrc_c,can replace missing Mg2+ to a small extent,134049
192,2.1.3.2,adn_c,very weak activation,485837
193,2.7.7.89,adn_c,"activation by nucleotides, most efficient in presence of two different nucleotides",81112
194,3.1.11.5,adn_c,less effective than ATP,133998
195,2.1.3.2,ctp_c,"allosteric effector, slightly shifts the dynamical equilibrium during steady state toward unliganded T-state",662646
196,2.1.3.2,ctp_c,"the effects of binding of nucleotides are monitored in a series of 1H-13C methyl TROSY spectroscopy spectra recorded on the 300 kDa aspartate transcarbamoylase holoenzyme in both the absence and the presence of saturating amounts of ATP or CTP. No changes in shifts of methyl probes of the catalytic chains that include the active sites are observed, consistent with a lack of structural changes. Results indicate that the mechanism of action of ATP and CTP can be explained fully by the Monod-Wyman-Changeux model",699578
197,3.1.11.5,ctp_c,less effective than ATP,133998
198,2.1.3.2,succ_c,activation in presence of excess carbamoyl phosphate and limiting L-aspartate,485853
199,3.1.3.2,succ_c,stimulates,134731
200,3.4.24.B17,succ_c,"stimulates, antagonist of carbonyl cyanide-3-chlorophenylhydrazone",653690
201,2.2.1.1,h2o2_c,"oxidative stress increases tktA expression. Induces tktA at 1 h treatment, while an increase in marRAB operon expression occurs only after 3 h exposure",694217
202,2.2.1.9,thmpp_c,"required, Km: 0.0024 mM",685086
203,2.3.1.8,pyr_c,,487532
204,2.3.1.8,pyr_c,156% of activation at 5 mM,720217
205,2.3.1.54,pyr_c,obligatory component of the activation reaction,"487221, 487239"
206,2.7.7.27,pyr_c,activation of chimeric enzyme EA contains the N-terminus of Escherichia coli enzyme and the C-terminus of Agrobacterium tumefaciens enzyme with higher affinity than activation of chimeric enzyme AE contains the N-terminus of Agrobacterium tumefaciens enzyme and the C-terminus of Escherichia coli enzyme,643152
207,2.8.1.7,pyr_c,"increases activity of CSD towards L-selenocysteine, but not towards L-cysteine",645632
208,3.1.3.2,pyr_c,stimulates,134731
209,4.1.1.50,pyr_c,contains pyruvate,4660
210,4.1.1.50,pyr_c,cofactor; contains 1 pyruvoyl residue for each alphabeta pair,4662
211,4.1.1.50,pyr_c,each subunit contains one covalently linked pyruvate,"4668, 4672"
212,4.1.1.65,pyr_c,dependent on,4780
213,4.1.1.65,pyr_c,the small subunit contains a pyruvoyl prosthetic group,4783
214,4.1.1.65,pyr_c,the pyruvoyl residue is covalently bound to the amino terminus of one of the two nonidentical subunits,4785
215,4.1.1.65,pyr_c,dependent on; the pyruvate prosthetic group is in amide linkage to the amino terminus of the alpha-subunit. The prosthetic group is derived from Ser through a post-tranlational cleavage of a proenzyme,4790
216,4.4.1.16,pyr_c,,645632
217,2.3.1.54,oxam_c,,487222
218,2.3.1.54,oxam_c,obligatory component of the activation reaction,"487221, 487239"
219,2.3.1.181,ac_c,"100 mM, slight activation",663308
220,2.3.2.12,meoh_c,optimal concentration: 45-50%,487804
221,4.1.1.98,meoh_c,strong stimulation,729319
222,2.4.1.1,amp_c,activation; in both directions,488238
223,3.1.11.5,amp_c,less effective than ATP,133998
224,2.4.1.21,ac_c,"500 mM, strong activation of unprimed reaction",488914
225,2.7.7.6,ac_c,activates,702224
226,2.4.1.21,ac_c,"500 mM, strong activation of unprimed reaction",488914
227,2.4.99.17,ac_c,100% activity in the presence of 750 mM sodium acetate,719812
228,2.4.1.129,dmso_c,"activation, in the absence of methanol, inhibits in the presence of 0.05% sarkosyl",488534
229,3.4.21.53,dmso_c,activation,29358
230,4.3.1.1,dmso_c,activates,6001
231,2.4.1.227,dmso_c,,488978
232,2.4.1.227,dmso_c,high concentration (35%) of dimethylsulfoxide is necessary for maximal enzyme activity,703764
233,2.4.1.227,mg2_c,,"488971, 488973, 488974, 488976, 488978"
234,2.7.1.73,mg2_c,enzyme requires both Mg2+ and K+,641925
235,3.1.3.1,mg2_c,,652838
236,3.1.27.10,mg2_c,strong decrease of efficiency of oligonucleotide hybridization,666509
237,2.4.2.8,ac_c,slightly activating,638391
238,3.1.3.2,ac_c,stimulates,134731
239,6.3.2.10,ac_c,activation of mutant K202A,651110
240,2.4.2.9,gtp_c,"effect is pH-dependent, pH 7.5: lowers Km value for 5-phospho-alpha-D-ribose 1-diphosphate and increases Vmax 2fold, no effect on Km for uracil, pH 8.0: no effect",638362
241,2.4.2.9,gtp_c,"about 5-7fold increase of Km for 5-phosphoribose 1-diphosphate, unaltered Vmax; highly activating at low 5-phosphoribose 1-diphosphate concentration, e.g. 0.2 mM, by modification of the structure from dimer/trimer to pentamer/hexamer; kinetics",638369
242,2.4.2.9,gtp_c,"activation of wild-type and mutant P131D, maximal at 0.08 mM",638372
243,2.7.1.21,gtp_c,activation,641123
244,2.7.4.22,gtp_c,"activates only the wild-type, not the mutant D201N",663997
245,2.7.4.22,gtp_c,most effective at pH 8 and a high (1 mM) UMP concentration,665362
246,2.7.4.22,gtp_c,"0.5 mM, reverses the inhibition of excess UMP, it increases the affinity for ATP",674896
247,2.7.4.22,gtp_c,"; allosteric activator, the GTP-binding site, situated at 15 A from the UMP-binding site and at 24 A from the ATP-binding site, is delineated by two contiguous dimers. movements induced by binding GTP, overview. UTP and GTP are tightly coupled in both wild-type enzyme and N140A variant",698858
248,2.7.4.22,gtp_c,,"663998, 665637, 703708"
249,2.7.7.89,gtp_c,"activation by nucleotides, most efficient in presence of two different nucleotides",81112
250,3.1.11.5,gtp_c,less effective than ATP,133998
251,3.4.21.53,gtp_c,"activation; hydrolysis at 113% the rate of ATP, supports proteolysis with 14% the efficiency of ATP",29339
252,3.4.21.53,gtp_c,not,29348
253,3.4.21.53,gtp_c,activation; less efficient than ATP,"29340, 29343, 29360"
254,3.6.5.4,gtp_c,GTP binding to both the SRP and SR is a prerequisite for the formation of the SRP-SR complex in which GTP hydrolysis is activated in a composite active site,686249
255,4.1.1.31,gtp_c,activates,4286
256,6.3.4.2,gtp_c,required as an allosteric effector to promote glutamine hydrolysis,648962
257,6.3.4.2,gtp_c,"required as allosteric effector to promote reaction with glutamine as substrate, GTP functions by stabilizing the protein conformation that binds the tetrahedral intermediate(s) formed during glutamine hydrolysis",648963
258,6.3.4.2,gtp_c,activates enzyme-catalyzed glutamine hydrolysis,661241
259,6.3.4.2,gtp_c,"0.1 mM guanosine, kact: 10.3/sec, KA: 0.088 mM, Ki: 0.22 mM; 0.2 mM guanosine, kact: 8.2/sec, KA: 0.078 mM, Ki: 0.12 mM; 0 mM guanosine, kact: 10.6/sec, KA: 0.081 mM, Ki: 0.28 mM; allosteric effector, structural requirements for activation are stringent, but requirements for inhibition are lax. GTP promotes Gln hydrolysis but inhibits Gln-dependent CTP formation at concentrations of over 0.15 mM",674909
260,6.3.4.2,gtp_c,"required, activates",690817
261,6.3.4.2,gtp_c,"GTP acts a positive allosteric effector for Gln-dependent CTP formation. However, at concentrations exceeding 0.15 mM, GTP inhibits Gln-dependent CTP formation. Moreover, GTP is an inhibitor of NH3-dependent CTP formation at all concentrations",702613
262,6.3.5.5,gtp_c,enhances activity,1731
263,2.4.2.14,prpp_c,3-4fold activation of glutaminase activity in the presence of phosphate or diphosphate,489747
264,2.6.1.85,4abz_c,,644230
265,2.7.1.11,gdp_c,activation,640489
266,2.7.1.11,gdp_c,,"640490, 722736"
267,2.7.1.21,dcdp_c,activation,641132
268,2.7.1.40,fdp_c,"heterotropic activator of PK1, the modulation of oligomeric state by the allosteric effector D-fructose 1,6-bisphosphate does not occur at a concentration of 10 nM or above",707589
269,2.7.7.27,fdp_c,allosteric activator,643127
270,2.7.7.27,fdp_c,allosteric activator; most important in vivo,643144
271,2.7.7.27,fdp_c,"mainly Escherichia coli and chimeric enzyme AE containing the N-terminus of Agrobacterium tumefaciens enzyme and the C-terminus of Escherichia coli enzyme, not chimeric enzyme EA containing the N-terminus of Escherichia coli enzyme and the C-terminus of Agrobacterium tumefaciens enzyme, C-terminus of Escherichia coli is relavant for the selectivity",643152
272,2.7.7.27,fdp_c,,"643141, 643146, 643150, 643161, 643164, 661743, 663026"
273,2.7.7.27,fdp_c,"50% activation at 0.0364 mM for wild-type, at 0.0523 mM for mutant lacking N-terminal 3 amino acids, at 0.0887 mM for mutant lacking N-terminal 7 amino acids",671752
274,2.7.1.40,fdp_c,activation,641557
275,2.7.7.27,fdp_c,50% of maximal activation at 0.059 for wild-type,674737
276,2.7.1.40,g6p_c,isozyme PK II,641557
277,2.7.7.27,g6p_c,activation,643141
278,2.7.7.27,g6p_c,,643164
279,2.7.1.40,r5p_c,activation; isozyme PK II,641557
280,2.7.1.40,r5p_c,,641610
281,2.7.7.27,r5p_c,D-fructose 6-phosphate analog,643144
282,2.7.1.40,pep_c,"homotropic activator of PK1, the modulation of oligomeric state by the allosteric effector phosphoenolpyruvate does not occur at a concentration of 10 nM or above",707589
283,2.7.3.9,pep_c,"physiological concentrations of phosphoenolpyruvate and Mg2+ increase the amount of dimeric, active dephospho-enzyme I",663326
284,2.7.7.27,pep_c,activation; less effective than fructose bisphosphate,643144
285,2.7.7.27,pep_c,,661743
286,3.1.3.11,pep_c,,651666
287,3.1.3.11,pep_c,up to 300% activation,665719
288,3.1.3.11,pep_c,activates,680756
289,4.1.2.13,pep_c,"enhances D-fructose 1,6-bisphosphate-cleavage activity, fructose 1-phosphate-cleavage activity is unaffected",4914
290,2.7.1.107,ocdca_c,activates only in presence of Triton X-100,640361
291,2.7.4.1,so4_c,,645111
292,2.7.4.1,so4_c,"activation, up to 100 mM, inhibition at higher concentrations",645115
293,2.7.4.1,so4_c,"40 mM, approx. 14fold activation of ATP synthesis",645125
294,3.6.1.11,so4_c,"50 mM, stimulates",209844
295,2.7.4.22,35cgmp_c,lower affinity or extent of activation than GTP,663997
296,2.7.4.22,gmp_c,lower affinity or extent of activation than GTP,663997
297,2.7.4.22,gsn_c,lower affinity or extent of activation than GTP,663997
298,2.7.4.22,itp_c,,674896
299,2.7.7.89,itp_c,"activation by nucleotides, most efficient in presence of two different nucleotides",81112
300,6.3.4.2,itp_c,"0 mM guanosine, kact: 5.2/sec, KA: 2.9 mM, Ki: 4.5 mM; the GTP analogue is capable of activating Gln-dependent CTP formation",674909
301,6.3.5.5,itp_c,enhances activity,1731
302,2.7.4.22,xtp_c,,674896
303,2.7.7.6,k_c,activates,702224
304,2.7.7.19,camp_c,slight stimulation,642956
305,2.7.7.27,2ddg6p_c,"activation; fructose 6-phosphate and pyruvate analog, less effective than fructose bisphosphate",643144
306,2.7.7.27,2obut_c,"slight activation, pyruvate analog",643144
307,2.7.7.27,3pg_c,activation,"643114, 643141"
308,2.7.7.27,3pg_c,activation; pH-dependent,643144
309,2.7.7.27,3pg_c,,643164
310,2.7.7.27,f6p_c,activation,"643131, 643141, 643144"
311,2.7.7.27,f6p_c,"mainly Agrobacterium tumefaciens and chimeric enzyme AE containing the N-terminus of Agrobacterium tumefaciens enzyme and the C-terminus of Escherichia coli enzyme, not chimeric enzyme EA containing the N-terminus of Escherichia coli enzyme and the C-terminus of Agrobacterium tumefaciens enzyme",643152
312,2.7.7.27,f6p_c,,"643161, 643164"
313,2.7.7.27,2dr5p_c,"activation, D-fructose 6-phosphate analog",643144
314,2.7.7.27,g3p_c,less effective than fructose bisphosphate,643144
315,2.7.7.27,hpyr_c,"slight activation, pyruvate analog",643144
316,2.7.7.27,s17bp_c,activation; isosteric analog of fructose bisphosphate,643144
317,2.7.7.42,akg_c,0.02 mM,672242
318,2.7.7.42,akg_c,"1 mM; regulates both adenylyltransferase and adenylyl-removing reaction, acts through its binding to signal transduction protein PII and signal transduction protein PII-UMP does not alter the binding of signal transduction protein PII or signal transduction protein PII-UMP to the enzyme, adenylyltransferase assay with 0.05 mM and adenylyl-removing assay with 1 mM alpha-ketoglutarate",672243
319,2.7.7.59,akg_c,"at low concentration, required for PII uridylylation",643544
320,2.7.7.89,akg_c,activation,81112
321,4.1.2.13,akg_c,"enhances D-fructose 1,6-bisphosphate-cleavage activity, fructose 1-phosphate-cleavage activity is unaffected",4914
322,2.7.7.65,o2_c,,702355
323,2.7.13.3,fum_c,effector of DcuS,705553
324,2.8.1.6,fdp_c,,645593
325,2.8.1.7,pydx5p_c,,661771
326,3.1.1.1,cobalt2_c,150% activation of recombinant BioHe at 5-10 mM,709496
327,3.1.3.1,zn2_c,"stimulation of mutant enzymes, in presence or absence of a phosphoryl group acceptor in the reaction, except for mutnat H412Y, whose activity is reduced in presence of phosphoryl group acceptor and 0.1 mM Zn2+",652838
328,3.1.3.11,k_c,slightly increases activity by 20%,693243
329,3.1.11.3,k_c,stimulates at 20 mM,133981
330,3.5.1.88,k_c,"2fold increase within 0-0.5 M, beyond 0.5 M smaller extend of increase",393806
331,3.6.1.11,k_c,150-300 mM,669880
332,3.1.3.11,so4_c,up to 300% activation,665719
333,3.1.11.6,so4_c,stimulates,700496
334,3.1.3.18,cl_c,"the activity is 11fold increased, cooperative effect of Cl- and Mg2+",651727
335,4.1.1.15,cl_c,activates,3973
336,3.1.11.5,camp_c,less effective than ATP,133998
337,3.1.11.5,ade_c,less effective than ATP,133998
338,3.2.2.20,ade_c,,646850
339,3.1.11.5,na1_c,ATP molecules hydrolyzed per base pair unwound slightly increased,134010
340,3.1.11.5,dttp_c,less effective than ATP,133998
341,3.1.13.1,15dap_c,can replace missing Mg2+ to a small extent,134049
342,3.1.21.3,amet_c,stimulates DNA cleavage activity,700022
343,3.4.23.49,urea_c,"optimal concentration: 4-5 M, inclusion bodies from Escherichia coli as substrate",29799
