,EC_number,subsystem,dG0_prime,dG0_prime_std,dGm_prime,log10(RI),formula
acoad3f,1.3.99.3,Membrane Lipid Metabolism,49.18,3.23,49.18,4.31,C00016 + C01944 <=> C01352 + C05276
acoad4f,1.3.99.3,Membrane Lipid Metabolism,49.18,3.23,49.18,4.31,C00016 + C05274 <=> C01352 + C05275
acoad5f,1.3.99.3,Membrane Lipid Metabolism,49.18,3.23,49.18,4.31,C00016 + C01832 <=> C01352 + C03221
acoad6f,1.3.99.3,Membrane Lipid Metabolism,49.18,3.23,49.18,4.31,C00016 + C02593 <=> C01352 + C05273
acoad7f,1.3.99.3,Membrane Lipid Metabolism,51.32,3.57,51.32,4.5,C00016 + C00154 <=> C01352 + C05272
acoad8f,,Membrane Lipid Metabolism,49.18,3.23,49.18,4.31,C00016 + C00412 <=> C01352 + C16218
acoda,3.5.1.16,Arginine and Proline Metabolism,0.24,3.41,-16.87,-1.97,C00001 + C00437 <=> C00033 + C00077
aconis,5.3.3.7,Unassigned,3.69,2.78,3.69,0.65,C02341 <=> C00417
aconmt,2.1.1.144,Unassigned,58.89,100000.0,58.89,5.16,C00019 + C02341 <=> C00021 + C11514
aconta,4.2.1.3,Citric Acid Cycle,8.32,1.14,8.32,1.46,C00158 <=> C00001 + C00417
acontb,4.2.1.3,Citric Acid Cycle,-0.69,1.15,-0.69,-0.12,C00001 + C00417 <=> C00311
acs,6.2.1.1,Pyruvate Metabolism,-5.84,0.41,-5.84,-0.34,C00002 + C00010 + C00033 <=> C00013 + C00020 + C00024
adcl,4.1.3.38,Cofactor and Prosthetic Group Biosynthesis,-63.41,6.66,-80.52,-9.41,C11355 <=> C00022 + C00568
adk1,2.7.4.3,Nucleotide Salvage Pathway,-1.33,0.16,-1.33,-0.12,C00002 + C00020 <=> 2 C00008
adk3,2.7.4.4,Nucleotide Salvage Pathway,1.17,1.35,1.17,0.1,C00020 + C00044 <=> C00008 + C00035
adk4,,Nucleotide Salvage Pathway,-5.05,1.48,-5.05,-0.44,C00020 + C00081 <=> C00008 + C00104
admdc,4.1.1.50,Arginine and Proline Metabolism,-21.01,3.11,-38.12,-4.45,C00019 <=> C00011 + C01137
adncyc,4.6.1.1,Nucleotide Salvage Pathway,5.91,1.0,-11.2,-1.31,C00002 <=> C00013 + C00575
adnk1,2.7.1.74,Nucleotide Salvage Pathway,-13.23,1.44,-13.23,-1.16,C00002 + C00212 <=> C00008 + C00020
adocbik,2.7.1.156,Cofactor and Prosthetic Group Biosynthesis,-32.36,0.0,-32.36,-2.84,C00002 + C06508 <=> C00008 + C06509
adocbls,2.7.8.26,Cofactor and Prosthetic Group Biosynthesis,-88.72,0.0,-88.72,-7.78,C05775 + C06510 <=> C00144 + C00194
adprdp,3.6.1.13,Nucleotide Salvage Pathway,-28.34,3.3,-45.46,-5.31,C00001 + C00301 <=> C00020 + C03736
adpt,2.4.2.8,Nucleotide Salvage Pathway,-16.91,1.35,-16.91,-1.48,C00119 + C00147 <=> C00013 + C00020
adsk,2.7.1.25,Cysteine Metabolism,-16.36,5.86,-16.36,-1.43,C00002 + C00224 <=> C00008 + C00053
adsl1r,4.3.2.2,Purine and Pyrimidine Biosynthesis,11.74,1.39,-5.37,-0.63,C03794 <=> C00020 + C00122
adsl2r,4.3.2.2,Purine and Pyrimidine Biosynthesis,15.1,2.96,-2.01,-0.24,C04823 <=> C00122 + C04677
agdc,3.5.1.25,Alternate Carbon Metabolism,-7.08,3.81,-24.2,-2.83,C00001 + C00357 <=> C00033 + C00352
agmhe,5.1.3.20,Lipopolysaccharide Biosynthesis / Recycling,0.0,0.0,0.0,0.0,C06397 <=> C06398
agmt,3.5.3.11,Arginine and Proline Metabolism,-57.68,5.59,-74.79,-8.74,C00001 + C00179 <=> C00086 + C00134
agpr,1.2.1.38,Arginine and Proline Metabolism,3.36,1.6,20.48,1.44,C00006 + C00009 + C01250 <=> C00005 + C04133
aicart,2.1.2.3,Purine and Pyrimidine Biosynthesis,8.21,2.96,8.21,0.72,C00234 + C04677 <=> C00101 + C04734
airc2,6.3.4.18,Purine and Pyrimidine Biosynthesis,-65.32,5.46,-65.32,-3.82,C00002 + C00288 + C03373 <=> C00008 + C00009 + C15667
airc3,5.4.99.18,Purine and Pyrimidine Biosynthesis,-38.14,5.45,-38.14,-6.69,C04751 <=> C15667
akgdh,2.3.1.61,Citric Acid Cycle,-28.77,3.92,-28.77,-1.68,C00003 + C00010 + C00026 <=> C00004 + C00011 + C00091
alcd19,1.1.1.72,Alternate Carbon Metabolism,-37.07,2.03,-37.07,-3.25,C00004 + C00577 <=> C00003 + C00116
alcd2x,1.1.1.71,Pyruvate Metabolism,19.17,0.33,19.17,1.68,C00003 + C00469 <=> C00004 + C00084
aldd19xr,1.2.1.5,Alternate Carbon Metabolism,22.7,2.01,22.7,1.99,C00001 + C00003 + C00601 <=> C00004 + C00548
aldd2x,1.2.1.5,Alternate Carbon Metabolism,-51.58,1.31,-51.58,-4.52,C00001 + C00003 + C00084 <=> C00004 + C00033
aldd2y,1.2.1.5,Alternate Carbon Metabolism,-51.4,1.33,-51.4,-4.5,C00001 + C00006 + C00084 <=> C00005 + C00033
aldd3y,,Alternate Carbon Metabolism,-53.8,2.61,-53.8,-4.72,C00001 + C00006 + C00479 <=> C00005 + C00163
aldd4,,Alternate Carbon Metabolism,-46.35,3.91,-46.35,-4.06,C00001 + C00003 + C01412 <=> C00004 + C00246
alltn,3.5.2.5,Nitrogen Metabolism,-57.69,9.46,-57.69,-10.11,C00001 + C01551 <=> C00499
alr2,1.1.1.-,Methylglyoxal Metabolism,-18.13,1.72,-18.13,-1.59,C00005 + C00546 <=> C00006 + C05235
altrh,4.2.1.7,Alternate Carbon Metabolism,-37.43,3.71,-37.43,-6.56,C00817 <=> C00001 + C00204
amanaper,5.1.3.9,Alternate Carbon Metabolism,-2.18,2.96,-2.18,-0.38,C04257 <=> C00357
amank,2.7.1.60,Alternate Carbon Metabolism,-13.97,3.06,-13.97,-1.22,C00002 + C00645 <=> C00008 + C04257
amaotr,2.6.1.62,Cofactor and Prosthetic Group Biosynthesis,-0.93,0.0,-0.93,-0.08,C00019 + C01092 <=> C01037 + C04425
ampms2,,Cofactor and Prosthetic Group Biosynthesis,-246.95,5.62,-281.18,-16.43,C00001 + C00003 + C03373 <=> C00004 + 2 C00058 + C04556
ampn,3.2.2.4,Nucleotide Salvage Pathway,-19.32,1.96,-36.43,-4.26,C00001 + C00020 <=> C00147 + C03736
anprt,2.4.2.18,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-55.05,3.41,-55.05,-4.82,C00108 + C00119 <=> C00013 + C04302
aobutds,1.1.1.381,Threonine and Lysine Metabolism,-17.16,3.11,-34.28,-4.01,C03214 <=> C00011 + C01888
ap4ah,3.6.1.41,Nucleotide Salvage Pathway,-38.58,9.32,-55.7,-6.51,C00001 + C01260 <=> 2 C00008
ap4as,2.7.7,Nucleotide Salvage Pathway,-0.74,9.33,-0.74,-0.06,2 C00002 <=> C00013 + C01260
ap5ah,3.6.1.61,Nucleotide Salvage Pathway,-0.9,0.0,-18.02,-2.11,C00001 + C04058 <=> C00002 + C00008
apcs,2.5.1.16,Arginine and Proline Metabolism,15.99,100000.0,15.99,1.4,C01137 + C01672 <=> C00170 + C16565
appldhr,2.3.1.37,Threonine and Lysine Metabolism,-17.52,0.98,-17.52,-1.54,C00004 + C01888 <=> C00003 + C05771
apraur,1.1.1.193,Cofactor and Prosthetic Group Biosynthesis,-24.14,1.52,-24.14,-2.12,C00005 + C01268 <=> C00006 + C04454
arbtptspp,,"Transport, Inner Membrane",-39.05,1.29,-39.05,-3.42,C00074 + C06186 <=> C00022 + C06187
asad,1.2.1.11,Threonine and Lysine Metabolism,-18.4,1.71,-1.29,-0.09,C00006 + C00009 + C00441 <=> C00005 + C03082
ascbpl,3.1.1.-,Alternate Carbon Metabolism,-95.29,100000.0,-95.29,-16.7,C00001 + C16186 <=> C14899
atpm,3.6.4.9,Unassigned,-27.09,0.31,-44.2,-5.17,C00001 + C00002 <=> C00008 + C00009
atpprt,2.4.2.17,Histidine Metabolism,-48.74,0.0,-48.74,-4.27,C00002 + C00119 <=> C00013 + C02739
atps4rpp,3.6.3.14,Oxidative Phosphorylation,27.09,0.31,44.2,5.17,C00008 + C00009 <=> C00001 + C00002
betaldhx,1.2.1.8,Unassigned,-39.99,1.12,-39.99,-3.5,C00001 + C00003 + C00576 <=> C00004 + C00719
betaldhy,1.2.1.8,Unassigned,-39.8,1.14,-39.8,-3.49,C00001 + C00006 + C00576 <=> C00005 + C00719
bpnt,3.1.3.7,Cysteine Metabolism,-8.74,3.07,-25.85,-3.02,C00001 + C00054 <=> C00009 + C00020
butct,2.8.3.8,Alternate Carbon Metabolism,4.11,3.29,4.11,0.36,C00024 + C00246 <=> C00033 + C00136
cat,1.11.1.6,Unassigned,-193.07,6.81,-175.95,-20.56,2 C00027 <=> 2 C00001 + C00007
cdgr,1.7.1.13,Cofactor and Prosthetic Group Biosynthesis,3.56,70710.68,3.56,0.21,2 C00005 + C15996 <=> 2 C00006 + C16675
cdpmek,2.7.1.148,Cofactor and Prosthetic Group Biosynthesis,-7.96,4.13,-7.96,-0.7,C00002 + C11435 <=> C00008 + C11436
chold,1.1.1.1,Unassigned,16.67,1.21,16.67,1.46,C00003 + C00114 <=> C00004 + C00576
chorm,5.4.99.5,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-21.07,4.56,-21.07,-3.69,C00251 <=> C00254
chors,4.2.3.5,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-46.56,3.64,-63.67,-7.44,C01269 <=> C00009 + C00251
chrpl,4.1.3.40,Cofactor and Prosthetic Group Biosynthesis,-87.72,6.06,-104.84,-12.25,C00251 <=> C00022 + C00156
cinndo,1.14.12.19,Alternate Carbon Metabolism,-388.54,7.51,-371.43,-26.04,C00004 + C00007 + C00423 <=> C00003 + C12622
citl,4.1.3.6,Citric Acid Cycle,5.42,0.48,-11.7,-1.37,C00158 <=> C00033 + C00036
cmpn,3.2.2.10,Nucleotide Salvage Pathway,-14.42,2.52,-31.54,-3.69,C00001 + C00055 <=> C00380 + C03736
cpmps,4.1.99.18,Cofactor and Prosthetic Group Biosynthesis,-40.82,0.0,-57.94,-6.77,C00001 + C00044 <=> C00013 + C18239
cpppgo,1.3.3.3,Cofactor and Prosthetic Group Biosynthesis,-352.54,7.68,-369.66,-25.92,C00007 + C03263 <=> 2 C00001 + 2 C00011 + C01079
cs,2.3.3.16,Citric Acid Cycle,-37.56,0.44,-37.56,-3.29,C00001 + C00024 + C00036 <=> C00010 + C00158
cyanst,2.8.1.1,Unassigned,-46.29,0.0,-46.29,-4.06,C00177 + C00320 <=> C00094 + C01755
cyanstpp,2.8.1.1,Inorganic Ion Transport and Metabolism,-46.29,0.0,-46.29,-4.06,C00177 + C00320 <=> C00094 + C01755
cytdk2,2.7.1.48,Nucleotide Salvage Pathway,-9.53,3.05,-9.53,-0.84,C00044 + C00475 <=> C00035 + C00055
cytk1,2.7.4.25,Nucleotide Salvage Pathway,-1.99,2.96,-1.99,-0.17,C00002 + C00055 <=> C00008 + C00112
cytk2,2.7.4.25,Nucleotide Salvage Pathway,-1.94,2.96,-1.94,-0.17,C00002 + C00239 <=> C00008 + C00705
dadk,2.7.4.3,Nucleotide Salvage Pathway,0.78,1.46,0.78,0.07,C00002 + C00360 <=> C00008 + C00206
dbts,6.3.3.3,Cofactor and Prosthetic Group Biosynthesis,6.37,6.42,6.37,0.37,C00002 + C00011 + C01037 <=> C00008 + C00009 + C01909
ddgalk,2.7.1.58,Alternate Carbon Metabolism,-15.35,3.37,-15.35,-1.35,C00002 + C01216 <=> C00008 + C01286
ddglk,2.7.1.45,Alternate Carbon Metabolism,-22.24,3.91,-22.24,-1.95,C00002 + C00204 <=> C00008 + C04442
ddpa,2.5.1.54,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-68.93,2.4,-68.93,-6.04,C00001 + C00074 + C00279 <=> C00009 + C04691
ddpgala,4.1.2.55,Alternate Carbon Metabolism,13.9,2.96,-3.21,-0.38,C01286 <=> C00022 + C00118
dgk1,2.7.4.8,Nucleotide Salvage Pathway,1.29,2.96,1.29,0.11,C00002 + C00362 <=> C00008 + C00361
dhad1,4.2.1.9,"Valine, Leucine, and Isoleucine Metabolism",-35.52,1.39,-35.52,-6.23,C04272 <=> C00001 + C00141
dhad2,4.2.1.9,"Valine, Leucine, and Isoleucine Metabolism",-35.52,1.39,-35.52,-6.23,C04104 <=> C00001 + C00671
dhapt,2.7.1.121,Alternate Carbon Metabolism,-40.56,2.23,-40.56,-3.55,C00074 + C00184 <=> C00022 + C00111
dhbd,1.3.1.28,Cofactor and Prosthetic Group Biosynthesis,-29.06,5.85,-29.06,-2.55,C00003 + C04171 <=> C00004 + C00196
dhbs,2.7.7.58,Cofactor and Prosthetic Group Biosynthesis,1167.96,100000.0,1167.96,102.36,C00002 + C00196 <=> C00013 + C04030
dhcind,1.3.1.87,Alternate Carbon Metabolism,-29.12,5.85,-29.12,-2.55,C00003 + C12622 <=> C00004 + C12623
dhdpry,1.3.1.26,Threonine and Lysine Metabolism,-18.29,3.56,-18.29,-1.6,C00005 + C03340 <=> C00006 + C03972
dhdps,,Threonine and Lysine Metabolism,-116.93,6.03,-99.82,-11.66,C00022 + C00441 <=> 2 C00001 + C03340
dhfr,1.5.1.3,Cofactor and Prosthetic Group Biosynthesis,-23.57,1.12,-23.57,-2.07,C00005 + C00415 <=> C00006 + C00101
dhnpa2r,4.1.2.25,Cofactor and Prosthetic Group Biosynthesis,12.04,2.31,-5.07,-0.59,C04874 <=> C00266 + C01300
dhppd,1.3.1.87,Alternate Carbon Metabolism,-29.13,5.85,-29.13,-2.55,C00003 + C11588 <=> C00004 + C04044
dhps2,2.5.1.15,Cofactor and Prosthetic Group Biosynthesis,-50.93,3.57,-50.93,-4.46,C00568 + C04807 <=> C00013 + C00921
dhptdnr,1.5.1.34,Alternate Carbon Metabolism,47.83,0.0,47.83,4.19,C00005 + C05649 <=> C00006 + C05650
dhptdnrn,1.5.1.34,Alternate Carbon Metabolism,44.59,0.0,44.59,3.91,C00004 + C05649 <=> C00003 + C05650
dhqs,4.2.3.4,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-129.75,5.02,-146.86,-17.16,C04691 <=> C00009 + C00944
dhqti,4.2.1.10,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-5.29,2.09,-5.29,-0.93,C00944 <=> C00001 + C02637
dkglcnr2x,,Alternate Carbon Metabolism,-23.2,1.17,-23.2,-2.03,C00004 + C02780 <=> C00003 + C01062
dkglcnr2y,1.1.1.215,Alternate Carbon Metabolism,-23.39,1.16,-23.39,-2.05,C00005 + C02780 <=> C00006 + C01062
dmatt,2.5.1.1,Cofactor and Prosthetic Group Biosynthesis,-73.7,2.76,-73.7,-6.46,C00129 + C00235 <=> C00013 + C00341
dmpps,1.17.1.2,Cofactor and Prosthetic Group Biosynthesis,-63.89,1.85,-63.89,-5.6,C00004 + C11811 <=> C00001 + C00003 + C00235
dnmppa,3.6.1.-,Cofactor and Prosthetic Group Biosynthesis,-14.55,2.03,-31.67,-3.7,C00001 + C05925 <=> C00009 + C04874
dntppa,3.6.1.67,Cofactor and Prosthetic Group Biosynthesis,-43.29,2.52,-60.41,-7.06,C00001 + C04895 <=> C00013 + C05925
dogulnr,1.1.1.130,Alternate Carbon Metabolism,-18.16,0.98,-18.16,-1.59,C00004 + C04575 <=> C00003 + C00618
dpcoak,2.7.1.24,Cofactor and Prosthetic Group Biosynthesis,0.78,2.96,0.78,0.07,C00002 + C00882 <=> C00008 + C00010
drpa,4.1.2.4,Alternate Carbon Metabolism,20.25,1.52,3.13,0.37,C00673 <=> C00084 + C00118
dtmpk,2.7.4.9,Nucleotide Salvage Pathway,-2.6,2.96,-2.6,-0.23,C00002 + C00364 <=> C00008 + C00363
duradx,1.3.1.1,Nucleotide Salvage Pathway,-0.77,3.73,-0.77,-0.07,C00003 + C00429 <=> C00004 + C00106
durik1,2.7.1.21,Nucleotide Salvage Pathway,-14.73,1.22,-14.73,-1.29,C00002 + C00526 <=> C00008 + C00365
duripp,2.4.2.4,Nucleotide Salvage Pathway,2.91,2.7,2.91,0.25,C00009 + C00526 <=> C00106 + C00672
dutpdp,3.6.1.23,Nucleotide Salvage Pathway,-40.45,2.52,-57.57,-6.73,C00001 + C00460 <=> C00013 + C00365
dxprii,1.1.1.267,Cofactor and Prosthetic Group Biosynthesis,-19.91,1.22,-19.91,-1.74,C00005 + C11437 <=> C00006 + C11434
dxps,2.2.1.7,Cofactor and Prosthetic Group Biosynthesis,-26.88,3.42,-26.88,-2.36,C00022 + C00118 <=> C00011 + C11437
dxylk,2.7.1,Cofactor and Prosthetic Group Biosynthesis,-13.25,1.22,-13.25,-1.16,C00002 + C06257 <=> C00008 + C11437
e4pd,1.2.1.72,Cofactor and Prosthetic Group Biosynthesis,-46.94,2.23,-46.94,-4.11,C00001 + C00003 + C00279 <=> C00004 + C03393
ecoah1,4.2.1.55,Membrane Lipid Metabolism,3.79,1.71,3.79,0.66,C01144 <=> C00001 + C00877
ecoah2,4.2.1.74,Membrane Lipid Metabolism,1.03,2.96,1.03,0.18,C05268 <=> C00001 + C05271
ecoah3,4.2.1.74,Membrane Lipid Metabolism,0.7,1.48,0.7,0.12,C05266 <=> C00001 + C05276
ecoah4,4.2.1.74,Membrane Lipid Metabolism,0.7,1.48,0.7,0.12,C05264 <=> C00001 + C05275
ecoah5,4.2.1.74,Membrane Lipid Metabolism,0.7,1.48,0.7,0.12,C05262 <=> C00001 + C03221
ecoah6,4.2.1.74,Membrane Lipid Metabolism,0.7,1.48,0.7,0.12,C05260 <=> C00001 + C05273
ecoah7,4.2.1.74,Membrane Lipid Metabolism,0.7,1.48,0.7,0.12,C05258 <=> C00001 + C05272
ecoah8,4.2.1.134,Membrane Lipid Metabolism,0.7,1.48,0.7,0.12,C16217 <=> C00001 + C16218
eda,4.1.2.55,Pentose Phosphate Pathway,16.31,2.09,-0.8,-0.09,C04442 <=> C00022 + C00118
edd,4.2.1.12,Pentose Phosphate Pathway,-43.06,2.61,-43.06,-7.55,C00345 <=> C00001 + C04442
eno,4.2.1.11,Glycolysis/Gluconeogenesis,-4.09,0.31,-4.09,-0.72,C00631 <=> C00001 + C00074
entcs,,Cofactor and Prosthetic Group Biosynthesis,-7071.63,600000.0,-7088.74,-191.16,3 C04030 + 3 C05820 <=> 6 C00020 + C05821
f6pa,,Glycolysis/Gluconeogenesis,18.62,2.25,1.51,0.18,C00085 <=> C00118 + C00184
f6pp,,Alternate Carbon Metabolism,-11.41,0.62,-28.53,-3.33,C00001 + C00085 <=> C00009 + C00095
facoae100,3.1.2.2,Cell Envelope Biosynthesis,-27.19,1.45,-44.31,-5.18,C00001 + C05274 <=> C00010 + C01571
facoae120,3.1.2.2,Cell Envelope Biosynthesis,-27.19,1.45,-44.31,-5.18,C00001 + C01832 <=> C00010 + C02679
facoae140,3.1.2.2,Cell Envelope Biosynthesis,-27.19,1.45,-44.31,-5.18,C00001 + C02593 <=> C00010 + C06424
facoae160,3.1.2.22,Cell Envelope Biosynthesis,-24.45,6.31,-41.56,-4.86,C00001 + C00154 <=> C00010 + C00249
facoae180,3.1.2.2,Cell Envelope Biosynthesis,-27.19,1.45,-44.31,-5.18,C00001 + C00412 <=> C00010 + C01530
facoae60,,Cell Envelope Biosynthesis,-27.19,1.45,-44.31,-5.18,C00001 + C05270 <=> C00010 + C01585
facoae80,,Cell Envelope Biosynthesis,-27.2,1.45,-44.31,-5.18,C00001 + C01944 <=> C00010 + C06423
facoal100t2pp,,Cell Envelope Biosynthesis,-10.8,1.47,-10.8,-0.63,C00002 + C00010 + C01571 <=> C00013 + C00020 + C05274
facoal120t2pp,,Cell Envelope Biosynthesis,-10.8,1.47,-10.8,-0.63,C00002 + C00010 + C02679 <=> C00013 + C00020 + C01832
facoal140t2pp,,Cell Envelope Biosynthesis,-10.8,1.47,-10.8,-0.63,C00002 + C00010 + C06424 <=> C00013 + C00020 + C02593
facoal160t2pp,,Cell Envelope Biosynthesis,-13.54,6.32,-13.54,-0.79,C00002 + C00010 + C00249 <=> C00013 + C00020 + C00154
facoal180t2pp,,Cell Envelope Biosynthesis,-10.8,1.47,-10.8,-0.63,C00002 + C00010 + C01530 <=> C00013 + C00020 + C00412
facoal60t2pp,,Cell Envelope Biosynthesis,-10.8,1.47,-10.8,-0.63,C00002 + C00010 + C01585 <=> C00013 + C00020 + C05270
facoal80t2pp,,Cell Envelope Biosynthesis,-10.79,1.47,-10.79,-0.63,C00002 + C00010 + C06423 <=> C00013 + C00020 + C01944
fadrx,1.5.1.45,Cofactor and Prosthetic Group Biosynthesis,-11.59,3.01,-11.59,-1.02,C00004 + C00016 <=> C00003 + C01352
fadrx2,1.5.1.45,Cofactor and Prosthetic Group Biosynthesis,-11.77,3.02,-11.77,-1.03,C00005 + C00016 <=> C00006 + C01352
fba,4.1.2.13,Glycolysis/Gluconeogenesis,21.59,0.54,4.48,0.52,C00354 <=> C00111 + C00118
fba3,4.1.2.13,Pentose Phosphate Pathway,14.06,2.87,-3.05,-0.36,C00447 <=> C00111 + C00279
fbp,3.1.3.11,Glycolysis/Gluconeogenesis,-9.37,0.7,-26.48,-3.09,C00001 + C00354 <=> C00009 + C00085
fdmo,1.14.14.5,Inorganic Ion Transport and Metabolism,-107.59,70710.68,-107.59,-6.29,C00007 + C01847 + C05123 <=> C00001 + C00061 + C00094 + C00266
