,EC_number,Cofactor,Organism,LigandID,Commentary,Literature,ChEBI,bigg.metabolite,KEGG_ID,Compound
100,1.1.1.1,NAD+,Geobacillus thermodenitrificans,7,NADP+ is prefered over NAD+,712962,,,,
101,1.1.1.1,NAD+,Sulfolobus tokodaii,7,,718627,,,,
102,1.1.1.1,NAD+,Sulfolobus acidocaldarius,7,"strict requirement for NAD(H) as the coenzyme, no activity with NADP+. The specificity constant value is 6fold higher for NADH than NAD+",718681,,,,
103,1.1.1.1,NAD+,Sulfolobus acidocaldarius,7,the enzyme transfers the deuteride to the Si-face of NAD+,719428,,,,
104,1.1.1.1,NAD+,Sulfolobus solfataricus,7,,"697839, 720145, 720330",,,,
105,1.1.1.1,NAD+,Ogataea angusta,7,,721388,,,,
106,1.1.1.1,NAD+,Oenococcus oeni,7,"Adh3 is strictly dependent on NAD+/NADH, and shows no activity with NADP+/NADPH as cofactor",721395,,,,
107,1.1.1.1,NAD+,Candida maris,7,,721868,,,,
108,1.1.1.1,NAD+,Carboxydothermus hydrogenoformans,7,,721911,,,,
109,1.1.1.1,NAD+,Columba livia,7,,722012,,,,
110,1.1.1.1,NAD+,Homo sapiens,7,,"285565, 285566, 285567, 285568, 285569, 285570, 285571, 285572, 285573, 285574, 285575, 285576, 285577, 285578, 285608, 285651, 655197, 655206, 656058, 686331, 691867, 697802, 722073",,,,
111,1.1.1.1,NAD+,Pyrococcus furiosus,7,,722203,,,,
112,1.1.1.1,NAD+,Bombyx mori,7,,722337,,,,
113,1.1.1.1,NAD+,Rhodococcus ruber,7,,722888,,,,
114,1.1.1.1,NAD+,Glycine max,7,,723437,,,,
115,1.1.1.1,NAD+,Haloferax volcanii,7,exclusively NAD+ dependent,726769,,,,
116,1.1.1.1,NADH,Cricetulus griseus,8,,285556,16908,nadh_c,C00004,NADH
117,1.1.1.1,NADH,Ctenopharyngodon idella,8,,285557,16908,nadh_c,C00004,NADH
118,1.1.1.1,NADH,Kluyveromyces marxianus,8,,285558,16908,nadh_c,C00004,NADH
119,1.1.1.1,NADH,Vicia faba,8,,285559,16908,nadh_c,C00004,NADH
120,1.1.1.1,NADH,Suncus murinus,8,,285560,16908,nadh_c,C00004,NADH
121,1.1.1.1,NADH,Najas marina,8,,285562,16908,nadh_c,C00004,NADH
122,1.1.1.1,NADH,Drosophila funebris,8,,285563,16908,nadh_c,C00004,NADH
123,1.1.1.1,NADH,Drosophila immigrans,8,,285563,16908,nadh_c,C00004,NADH
124,1.1.1.1,NADH,Saimiri sciureus,8,,285579,16908,nadh_c,C00004,NADH
125,1.1.1.1,NADH,Macaca mulatta,8,,285580,16908,nadh_c,C00004,NADH
126,1.1.1.1,NADH,Equus caballus,8,kinetics of coenzyme binding in the pH range 10-12,285581,16908,nadh_c,C00004,NADH
127,1.1.1.1,NADH,Equus caballus,8,preferred coenzyme,285597,16908,nadh_c,C00004,NADH
128,1.1.1.1,NADH,Gallus gallus,8,,285599,16908,nadh_c,C00004,NADH
129,1.1.1.1,NADH,Oryctolagus cuniculus,8,,"285600, 285601",16908,nadh_c,C00004,NADH
130,1.1.1.1,NADH,Rattus norvegicus,8,,"285565, 285604, 285605, 285606",16908,nadh_c,C00004,NADH
131,1.1.1.1,NADH,Saara hardwickii,8,,285607,16908,nadh_c,C00004,NADH
132,1.1.1.1,NADH,Naja naja,8,,285612,16908,nadh_c,C00004,NADH
133,1.1.1.1,NADH,Oncorhynchus mykiss,8,,285614,16908,nadh_c,C00004,NADH
134,1.1.1.1,NADH,Coturnix coturnix,8,,285615,16908,nadh_c,C00004,NADH
135,1.1.1.1,NADH,Scaptodrosophila lebanonensis,8,,"285563, 285593, 285616",16908,nadh_c,C00004,NADH
136,1.1.1.1,NADH,Drosophila simulans,8,,"285563, 285618, 285619",16908,nadh_c,C00004,NADH
137,1.1.1.1,NADH,Drosophila virilis,8,,"285563, 285619",16908,nadh_c,C00004,NADH
138,1.1.1.1,NADH,Drosophila melanogaster,8,,"285563, 285598, 285613, 285617, 285618, 285619, 285620",16908,nadh_c,C00004,NADH
139,1.1.1.1,NADH,Chlamydomonas moewusii,8,,285624,16908,nadh_c,C00004,NADH
140,1.1.1.1,NADH,Petroselinum crispum,8,,285627,16908,nadh_c,C00004,NADH
141,1.1.1.1,NADH,Camellia sinensis,8,,285628,16908,nadh_c,C00004,NADH
142,1.1.1.1,NADH,Brassica napus,8,,285629,16908,nadh_c,C00004,NADH
143,1.1.1.1,NADH,Triticum turgidum,8,,285632,16908,nadh_c,C00004,NADH
144,1.1.1.1,NADH,Triticum monococcum,8,,285633,16908,nadh_c,C00004,NADH
145,1.1.1.1,NADH,Hordeum vulgare,8,,285634,16908,nadh_c,C00004,NADH
146,1.1.1.1,NADH,Avena sativa,8,,285635,16908,nadh_c,C00004,NADH
147,1.1.1.1,NADH,Citrullus lanatus,8,,285635,16908,nadh_c,C00004,NADH
148,1.1.1.1,NADH,Glycine max,8,,"285626, 285635",16908,nadh_c,C00004,NADH
149,1.1.1.1,NADH,Oryza sativa,8,,"285561, 285635",16908,nadh_c,C00004,NADH
150,1.1.1.1,NADH,Pisum sativum,8,,285635,16908,nadh_c,C00004,NADH
151,1.1.1.1,NADH,Triticum aestivum,8,,285635,16908,nadh_c,C00004,NADH
152,1.1.1.1,NADH,Aspergillus nidulans,8,,285636,16908,nadh_c,C00004,NADH
153,1.1.1.1,NADH,Candida sp.,8,,285637,16908,nadh_c,C00004,NADH
154,1.1.1.1,NADH,Euglena longa,8,,285638,16908,nadh_c,C00004,NADH
155,1.1.1.1,NADH,Sporotrichum pulverulentum,8,,285639,16908,nadh_c,C00004,NADH
156,1.1.1.1,NADH,Meyerozyma guilliermondii,8,,285640,16908,nadh_c,C00004,NADH
157,1.1.1.1,NADH,Schizosaccharomyces pombe,8,,285646,16908,nadh_c,C00004,NADH
158,1.1.1.1,NADH,Saccharomyces cerevisiae,8,,"285558, 285641, 285642, 285643, 285644, 285645, 285646, 285649",16908,nadh_c,C00004,NADH
159,1.1.1.1,NADH,Mesocricetus auratus,8,,"285602, 285650",16908,nadh_c,C00004,NADH
160,1.1.1.1,NADH,Zea mays,8,,"285630, 285631, 285635, 285652",16908,nadh_c,C00004,NADH
161,1.1.1.1,NADH,Desulfovibrio gigas,8,,285654,16908,nadh_c,C00004,NADH
162,1.1.1.1,NADH,Alligator mississippiensis,8,,285656,16908,nadh_c,C00004,NADH
163,1.1.1.1,NADH,Equus caballus,8,,"285582, 285583, 285584, 285585, 285586, 285587, 285588, 285589, 285590, 285591, 285592, 285594, 285595, 285596, 285609, 285610, 285641, 285647, 285648, 285653, 285657",16908,nadh_c,C00004,NADH
164,1.1.1.1,NADH,Crocus sativus,8,,654140,16908,nadh_c,C00004,NADH
165,1.1.1.1,NADH,Acetobacter pasteurianus,8,dependent on,655058,16908,nadh_c,C00004,NADH
166,1.1.1.1,NADH,Rhodococcus ruber,8,dependent on,655082,16908,nadh_c,C00004,NADH
167,1.1.1.1,NADH,Thermomicrobium roseum,8,,655262,16908,nadh_c,C00004,NADH
168,1.1.1.1,NADH,Saccharomyces cerevisiae,8,cofactor binding mode,655649,16908,nadh_c,C00004,NADH
169,1.1.1.1,NADH,Entamoeba histolytica,8,,"285655, 655804",16908,nadh_c,C00004,NADH
170,1.1.1.1,NADH,Homo sapiens,8,,"285565, 285566, 285567, 285568, 285569, 285570, 285571, 285572, 285573, 285574, 285575, 285576, 285577, 285578, 285608, 285651, 656058",16908,nadh_c,C00004,NADH
171,1.1.1.1,NADH,Pelophylax perezi,8,activity with mutants G223D/T224I and G223D/T224I/H225N,656168,16908,nadh_c,C00004,NADH
172,1.1.1.1,NADH,Pseudomonas aeruginosa,8,,657302,16908,nadh_c,C00004,NADH
173,1.1.1.1,NADH,Rhodococcus erythropolis,8,,658321,16908,nadh_c,C00004,NADH
174,1.1.1.1,NADH,Zygosaccharomyces rouxii,8,,658565,16908,nadh_c,C00004,NADH
175,1.1.1.1,NADH,Acinetobacter calcoaceticus,8,,659674,16908,nadh_c,C00004,NADH
176,1.1.1.1,NADH,Neurospora crassa,8,,659773,16908,nadh_c,C00004,NADH
177,1.1.1.1,NADH,Leifsonia sp.,8,,667255,16908,nadh_c,C00004,NADH
178,1.1.1.1,NADH,Zymomonas mobilis,8,,"285622, 285623, 667340",16908,nadh_c,C00004,NADH
179,1.1.1.1,NADH,Brevibacterium sp.,8,,669540,16908,nadh_c,C00004,NADH
180,1.1.1.1,NADH,Cucumis melo,8,,670572,16908,nadh_c,C00004,NADH
181,1.1.1.1,NADH,Sulfolobus solfataricus,8,dependent,678363,16908,nadh_c,C00004,NADH
182,1.1.1.1,NADH,Sulfolobus solfataricus,8,,"285611, 285621, 285625, 679816, 679883, 681372, 681763",16908,nadh_c,C00004,NADH
183,1.1.1.1,NADH,Thermus thermophilus,8,strict requirement for NAD(H) as the coenzyme. Critical role of the D37 residue in discriminating NAD(H) from NADP(H),684583,16908,nadh_c,C00004,NADH
184,1.1.1.1,NADH,Mus musculus,8,,"285564, 285603, 654730, 697214",16908,nadh_c,C00004,NADH
185,1.1.1.1,NADH,Geobacillus thermodenitrificans,8,,712962,16908,nadh_c,C00004,NADH
186,1.1.1.1,NADH,Sulfolobus tokodaii,8,,718627,16908,nadh_c,C00004,NADH
187,1.1.1.1,NADH,Sulfolobus acidocaldarius,8,"strict requirement for NAD(H) as the coenzyme, no activity with NADPH. The specificity constant value is 6fold higher for NADH than NAD+",718681,16908,nadh_c,C00004,NADH
188,1.1.1.1,NADH,Sulfolobus acidocaldarius,8,the specificity constant value is 21-fold higher for NADH than NAD+. No activity with NADP(H),719428,16908,nadh_c,C00004,NADH
189,1.1.1.1,NADH,Ogataea angusta,8,,721388,16908,nadh_c,C00004,NADH
190,1.1.1.1,NADH,Oenococcus oeni,8,"Adh3 is strictly dependent on NAD+/NADH, and shows no activity with NADP+/NADPH as cofactor",721395,16908,nadh_c,C00004,NADH
191,1.1.1.1,NADH,Candida maris,8,required,721868,16908,nadh_c,C00004,NADH
192,1.1.1.1,NADH,Carboxydothermus hydrogenoformans,8,,721911,16908,nadh_c,C00004,NADH
193,1.1.1.1,NADH,Bombyx mori,8,,722337,16908,nadh_c,C00004,NADH
194,1.1.1.1,NADH,Rhodococcus ruber,8,,722888,16908,nadh_c,C00004,NADH
195,1.1.1.1,NADH,Glycine max,8,,723437,16908,nadh_c,C00004,NADH
196,1.1.1.1,NADP+,Equus caballus,10,also utilized as coenzyme by the SS isoenzyme,285583,,,,
197,1.1.1.1,NADP+,Oryctolagus cuniculus,10,no activity as coenzyme,285600,,,,
198,1.1.1.1,NADP+,Mesocricetus auratus,10,no activity as coenzyme,285602,,,,
199,1.1.1.1,NADP+,Chlamydomonas moewusii,10,no activity as coenzyme,285624,,,,
200,1.1.1.1,NADP+,Aspergillus nidulans,10,no activity as coenzyme,285636,,,,
201,1.1.1.1,NADP+,Desulfovibrio gigas,10,at 1.5% of the activity with NAD+,285654,,,,
202,1.1.1.1,NADP+,Saccharomyces cerevisiae,10,,655735,,,,
203,1.1.1.1,NADP+,Thermoanaerobacter brockii,10,,655735,,,,
204,1.1.1.1,NADP+,Pelophylax perezi,10,"specific for, residues Gly223, Thr224, His225, Leu200, and Lys228 are involved in cofactor binding pocket formation",656168,,,,
205,1.1.1.1,NADP+,Geobacillus thermodenitrificans,10,NAD+ is prefered over NADP+,712962,,,,
206,1.1.1.1,NADP+,Geobacillus thermodenitrificans,10,NADP+ is prefered over NAD+,712962,,,,
207,1.1.1.1,NADPH,Equus caballus,5,also utilized as coenzyme by the SS isoenzyme,285583,16474,nadph_c,C00005,NADPH
208,1.1.1.1,NADPH,Aspergillus nidulans,5,no activity as coenzyme,285636,16474,nadph_c,C00005,NADPH
209,1.1.1.1,NADPH,Desulfovibrio gigas,5,at 1.6% of the activity with NADH,285654,16474,nadph_c,C00005,NADPH
210,1.1.1.1,NADPH,Pelophylax perezi,5,"specific for, residues Gly223, Thr224, His225, Leu200, and Lys228 are involved in cofactor binding pocket formation",656168,16474,nadph_c,C00005,NADPH
211,1.1.1.1,NADPH,Leifsonia sp.,5,weak activity,667255,16474,nadph_c,C00005,NADPH
212,1.1.1.1,NADPH,Cucumis melo,5,about 20% of the activity with NADH,670572,16474,nadph_c,C00005,NADPH
213,1.1.1.1,NADPH,Geobacillus thermodenitrificans,5,,712962,16474,nadph_c,C00005,NADPH
214,1.1.1.2,3-acetylpyridine adenine dinucleotide phosphate,Homo sapiens,6727,,286149,,,,
215,1.1.1.2,NAD+,Thermococcus litoralis,7,,286198,,,,
216,1.1.1.2,NAD+,Lactobacillus brevis,7,,675348,,,,
217,1.1.1.2,NAD+,Synechocystis sp.,7,,698623,,,,
218,1.1.1.2,NADH,Homo sapiens,8,aldehyde reductase I,286187,16908,nadh_c,C00004,NADH
219,1.1.1.2,NADH,Lactobacillus brevis,8,maximal activity with 0.7 micromol/min/mg,671506,16908,nadh_c,C00004,NADH
220,1.1.1.2,NADH,Brevibacillus brevis,8,,672042,16908,nadh_c,C00004,NADH
221,1.1.1.2,NADH,Lactobacillus brevis,8,,675348,16908,nadh_c,C00004,NADH
222,1.1.1.2,NADH,Persicaria odorata,8,final content of heptanol formed with the addition of NADH as the coenzyme is much more than twice that with NADPH,696854,16908,nadh_c,C00004,NADH
223,1.1.1.2,NADH,Synechocystis sp.,8,"; the enzyme can use both NADPH and NADH as electron donors, although NADPH is preferred to NADH",698623,16908,nadh_c,C00004,NADH
224,1.1.1.2,NADP+,Escherichia coli,10,,656549,,,,
225,1.1.1.2,NADP+,Thermoanaerobacter brockii,10,dependent on,668040,,,,
226,1.1.1.2,NADP+,Thermoanaerobacter sp.,10,,668054,,,,
227,1.1.1.2,NADP+,Lactobacillus brevis,10,,675348,,,,
228,1.1.1.2,NADP+,Lactobacillus brevis,10,dependent on,"668040, 685631",,,,
229,1.1.1.2,NADP+,Marinobacter hydrocarbonoclasticus VT8,10,,695771,,,,
230,1.1.1.2,NADP+,Pyrococcus furiosus,10,,697833,,,,
231,1.1.1.2,NADP+,Thermococcus sp.,10,,697837,,,,
232,1.1.1.2,NADP+,Synechocystis sp.,10,affinity for NADP+ is higher than that for NAD+ as an alcohol oxidant,698623,,,,
233,1.1.1.2,NADP+,Pyrococcus furiosus,10,,722173,,,,
234,1.1.1.2,NADP+,Pyrococcus furiosus,10,kcat/Km for NAD+ is 1900fold lower compared to NADP+,722498,,,,
235,1.1.1.2,NADP+,Haloferax volcanii,10,,"722209, 728289",,,,
236,1.1.1.2,NADPH,Homo sapiens,5,aldehyde reductase II utilizes only NADPH as cofactor,"286186, 286187",16474,nadph_c,C00005,NADPH
237,1.1.1.2,NADPH,Rattus norvegicus,5,aldehyde reductase II utilizes only NADPH as cofactor,286192,16474,nadph_c,C00005,NADPH
238,1.1.1.2,NADPH,Sporidiobolus salmonicolor,5,highly specific for NADPH,286194,16474,nadph_c,C00005,NADPH
239,1.1.1.2,NADPH,Bos taurus,5,,"286164, 286196",16474,nadph_c,C00005,NADPH
240,1.1.1.2,NADPH,Canis lupus familiaris,5,,286196,16474,nadph_c,C00005,NADPH
241,1.1.1.2,NADPH,Homo sapiens,5,,286196,16474,nadph_c,C00005,NADPH
242,1.1.1.2,NADPH,Thermococcus sp.,5,,"286202, 286205",16474,nadph_c,C00005,NADPH
243,1.1.1.2,NADPH,Vigna radiata,5,,286205,16474,nadph_c,C00005,NADPH
244,1.1.1.2,NADPH,Mus musculus,5,,667168,16474,nadph_c,C00005,NADPH
245,1.1.1.2,NADPH,Lactobacillus brevis,5,dependent on,668040,16474,nadph_c,C00005,NADPH
246,1.1.1.2,NADPH,Thermoanaerobacter brockii,5,dependent on,668040,16474,nadph_c,C00005,NADPH
247,1.1.1.2,NADPH,Thermoanaerobacter sp.,5,,668054,16474,nadph_c,C00005,NADPH
248,1.1.1.2,NADPH,Lactobacillus brevis,5,maximal activity with 6.5 micromol/min/mg,671506,16474,nadph_c,C00005,NADPH
249,1.1.1.2,NADPH,Brevibacillus brevis,5,,672042,16474,nadph_c,C00005,NADPH
250,1.1.1.2,NADPH,Lactobacillus brevis,5,,675348,16474,nadph_c,C00005,NADPH
251,1.1.1.2,NADPH,Sporidiobolus salmonicolor,5,,"672730, 676759",16474,nadph_c,C00005,NADPH
252,1.1.1.2,NADPH,Mus musculus,5,,677193,16474,nadph_c,C00005,NADPH
253,1.1.1.2,NADPH,Escherichia coli,5,dependent on,687794,16474,nadph_c,C00005,NADPH
254,1.1.1.2,NADPH,Marinobacter hydrocarbonoclasticus VT8,5,,695771,16474,nadph_c,C00005,NADPH
255,1.1.1.2,NADPH,Sus scrofa,5,,"669787, 675283, 695864",16474,nadph_c,C00005,NADPH
256,1.1.1.2,NADPH,Persicaria odorata,5,,696854,16474,nadph_c,C00005,NADPH
257,1.1.1.2,NADPH,Saccharomyces cerevisiae,5,prefered,698097,16474,nadph_c,C00005,NADPH
258,1.1.1.2,NADPH,Synechocystis sp.,5,"NADPH is preferred to NADH as the reductant for aldehydes; the enzyme can use both NADPH and NADH as electron donors, although NADPH is preferred to NADH",698623,16474,nadph_c,C00005,NADPH
259,1.1.1.2,NADPH,Pyrococcus furiosus,5,,722173,16474,nadph_c,C00005,NADPH
260,1.1.1.2,NADPH,Haloferax volcanii,5,,722209,16474,nadph_c,C00005,NADPH
261,1.1.1.2,NADPH,Pyrococcus furiosus,5,,722498,16474,nadph_c,C00005,NADPH
262,1.1.1.B3,more,Thermus thermophilus,2,the enzyme shows no activity with NADP(H),684583,33206,,,
263,1.1.1.B3,more,Nocardia fusca AKU 2123,2,NADPH cannot substitute for NADH,685643,33206,,,
264,1.1.1.3,NAD+,Thermophilic bacterium,7,low activity,246392,,,,
265,1.1.1.B3,NAD+,Thermus thermophilus,7,critical role of the D37 residue in discriminating NAD(H) from NADP(H),684583,,,,
266,1.1.1.B3,NAD+,Candida parapsilosis,7,,685641,,,,
267,1.1.1.B3,NAD+,Nocardia fusca AKU 2123,7,,685643,,,,
268,1.1.1.B3,NAD+,Candida viswanathii,7,,689823,,,,
269,1.1.1.B3,NAD+,Saccharomyces carlsbergensis,7,,697267,,,,
270,1.1.1.B3,NAD+,Saccharomyces cerevisiae,7,,697267,,,,
271,1.1.1.B3,NAD+,Sulfolobus solfataricus,7,,697839,,,,
272,1.1.1.B3,NAD+,Thermus thermophilus,7,,701031,,,,
273,1.1.1.B3,NAD+,Thermoanaerobacter ethanolicus,7,,723841,,,,
274,1.1.1.B3,NAD+,Rhodotorula sp.,7,,725726,,,,
275,1.1.1.3,NADH,Hordeum vulgare,8,,246382,16908,nadh_c,C00004,NADH
