,bigg.metabolite,bigg.reaction,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,chebiID,SPL
16,2dr5p,glgc,,2-Deoxy-D-ribose 5-phosphate,2.7.7.27,C00673,,1398,deoxyribose 5-phosphate,643144,+,Escherichia coli,BRENDA,CHEBI:55513,7.0
17,2obut,achbs,isoenzyme I has lower sensitivity to inhibition than isoenzyme III,2-Oxobutanoate,2.2.1.6,C00109,,390,2-oxobutanoate,395887,-,Escherichia coli,BRENDA,CHEBI:30831,1.0
18,2obut,glgc,,2-Oxobutanoate,2.7.7.27,C00109,,371,2-oxobutyrate,643144,+,Escherichia coli,BRENDA,CHEBI:30831,5.0
19,2obut,hopntal,"pH 8.0, 25°C",2-Oxobutanoate,4.1.3.39,C00109,0.5,3288,2-ketobutanoate,702377,-,Escherichia coli,BRENDA,CHEBI:30831,3.0
20,2obut,ldh_d,ReactionID=DLACTDEHYDROGNAD-RXN,,1.1.1.28,,,2-OXOBUTANOATE,,,+,Escherichia coli,EcoCyc,CHEBI:16763,3.0
21,2obut,pdh,assay with whole enzyme complex,2-Oxobutanoate,1.2.4.1,C00109,2.25,29733,alpha-Ketobutyric acid,348956,-,Escherichia coli,BRENDA,CHEBI:30831,3.0
22,2pg,ddpa,competitive with respect to phosphoenolpyruvate,,2.5.1.54,,,750,2-phosphoglycerate,639749,-,Escherichia coli,BRENDA,CHEBI:24344,3.0
23,2pg,g3pd2,competitive inhibitor,2-Phospho-D-glycerate,1.1.1.94,C00631,,68873,glyceric acid 2-phosphate,689802,-,Escherichia coli,BRENDA,CHEBI:17835,5.0
24,2pg,mgsa,,,4.2.3.3,,,750,2-phosphoglycerate,137616,-,Escherichia coli,BRENDA,CHEBI:24344,5.0
25,2pglyc,aspt,,2-Phosphoglycolate,4.3.1.1,C00988,,1798,phosphoglycolate,6016,-,Escherichia coli,BRENDA,CHEBI:17150,5.0
26,2pglyc,mgsa,inhibits,2-Phosphoglycolate,4.2.3.3,C00988,5.8e-06,1798,phosphoglycolate,650248,+,Escherichia coli,BRENDA,CHEBI:17150,3.0
27,2pglyc,tpi,ReactionID=TRIOSEPISOMERIZATION-RXN,2-Phosphoglycolate,5.3.1.1,C00988,6.0,1317,2-Phosphoglycolate,2586,-,Escherichia coli,BRENDA,CHEBI:17150,5.0
28,3dhq,dhqti,ReactionID=3-DEHYDROQUINATE-DEHYDRATASE-RXN,3-Dehydroquinate,4.2.1.10,C00944,,DEHYDROQUINATE,,,-,Escherichia coli,EcoCyc,CHEBI:32364,1.0
29,3hpp,pants,slight,3-Hydroxypropanoate,6.3.2.1,C01013,,4480,3-hydroxypropanoate,978,-,Escherichia coli,BRENDA,CHEBI:33404,5.0
30,3mob,valta,ReactionID=BRANCHED-CHAINAMINOTRANSFERLEU-RXN,3-Methyl-2-oxobutanoic acid,2.6.1.6,C00141,,2-KETO-ISOVALERATE,,,-,Escherichia coli,EcoCyc,CHEBI:11851,1.0
31,3pg,fba,,Glycerate 3-phosphate,4.1.2.13,C00597,,194,3-phosphoglycerate,4943,-,Escherichia coli,BRENDA,CHEBI:17050,5.0
32,3pg,gdpmnp,,Glycerate 3-phosphate,3.6.1.21,C00597,,12752,3-Phosphoglyceric acid,657184,-,Escherichia coli,BRENDA,CHEBI:17050,5.0
33,3pg,glgc,,Glycerate 3-phosphate,2.7.7.27,C00597,,194,3-phosphoglycerate,"643114, 643141",+,Escherichia coli,BRENDA,CHEBI:17050,3.0
34,3pg,icl,ReactionID=ISOCIT-CLEAV-RXN,Glycerate 3-phosphate,4.1.3.1,C00597,,194,3-phosphoglycerate,33118,-,Escherichia coli,BRENDA,CHEBI:17050,5.0
35,3pg,mgsa,ReactionID=METHGLYSYN-RXN,Glycerate 3-phosphate,4.2.3.3,C00597,,194,3-phosphoglycerate,"137600, 137601",-,Escherichia coli,BRENDA,CHEBI:17050,5.0
36,3pg,pgcd,,Glycerate 3-phosphate,1.1.1.95,C00597,,194,3-phosphoglycerate,287546,-,Escherichia coli,BRENDA,CHEBI:17050,1.0
37,3pg,ppck,,Glycerate 3-phosphate,4.1.1.49,C00597,,2742,glycerate 3-phosphate,649304,-,Escherichia coli,BRENDA,CHEBI:17050,3.0
38,3pg,pthrpp,ReactionID=DEPHOSICITDEHASE-RXN,,3.1.3,,,G3P,,,+,Escherichia coli,EcoCyc,CHEBI:58272,5.0
39,3psme,pscvt,product inhibition,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,2.5.1.19,C01269,,1668,5-enolpyruvylshikimate 3-phosphate,638175,-,Escherichia coli,BRENDA,CHEBI:16257,1.0
40,3sala,asns1,ReactionID=ASNSYNB-RXN,,6.3.5.4,,5.4,3-SULFINOALANINE,,,-,Escherichia coli,EcoCyc,CHEBI:61085,5.0
41,4abut,pants,27% inhibition at 1 mM,,6.3.2.1,,,597,4-aminobutanoate,977,-,Escherichia coli,BRENDA,CHEBI:59888,5.0
42,4abz,adcs,,4-Aminobenzoate,2.6.1.85,C00568,,45809,pABA,644230,+,Escherichia coli,BRENDA,CHEBI:30753,3.0
43,4ahmmp,hmpk1,competitive inhibition,4-Amino-5-hydroxymethyl-2-methylpyrimidine,2.7.1.49,C01279,0.09,7509,2-methyl-4-amino-5-hydroxymethylpyrimidine,641658,-,Escherichia coli,BRENDA,CHEBI:16892,1.0
44,4hbz,ans,pH 7.5,4-Hydroxybenzoate,4.1.3.27,C00156,0.002,3660,p-hydroxybenzoate,650373,-,Escherichia coli,BRENDA,CHEBI:30763,3.0
45,4hbz,chrpl,product inhibition,4-Hydroxybenzoate,4.1.3.40,C00156,0.0021,365,4-hydroxybenzoate,650373,-,Escherichia coli,BRENDA,CHEBI:30763,1.0
46,4hthr,4hthrs,"marked inhibition at 5 mM, abolished by 60 mM Mg2+",,4.2.3.1,,0.006,30785,L-threo-3-hydroxyhomoserine,137551,-,Escherichia coli,BRENDA,CHEBI:60904,1.0
47,4mop,hopntal,"pH 8.0, 25°C",4-Methyl-2-oxopentanoate,4.1.3.39,C00233,6.98,722,4-methyl-2-oxopentanoate,702377,-,Escherichia coli,BRENDA,CHEBI:48430,5.0
48,4per,a5piso,best inhibitor,4-Phospho-D-erythronate,5.3.1.13,C03393,,93343,Erythronic acid 4-phosphate,2625,-,Escherichia coli,BRENDA,CHEBI:49003,7.0
49,4ppan,ppncl2,ReactionID=P-PANTOCYSLIG-RXN,,6.3.2.5,,,4-P-PANTOTHENATE,,,-,Escherichia coli,EcoCyc,CHEBI:10986,1.0
50,5mta,ahcysns,,5'-Methylthioadenosine,3.2.2.9,C00170,,400,5'-methylthioadenosine,171857,-,Escherichia coli,BRENDA,CHEBI:17509,3.0
51,5mta,apcs,W strain,5'-Methylthioadenosine,2.5.1.16,C00170,,400,5'-methylthioadenosine,392545,-,Escherichia coli,BRENDA,CHEBI:17509,1.0
52,5mthf,dhfs,ReactionID=FOLYLPOLYGLUTAMATESYNTH-RXN,,6.3.2.17,,,5-METHYL-THF,,,-,Escherichia coli,EcoCyc,CHEBI:18608,3.0
53,6hmhpt,dhnpa2r,competitive,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",4.1.2.25,C01300,,7091,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine","5103, 5104",-,Escherichia coli,BRENDA,CHEBI:44841,1.0
54,6pgc,ddpgala,ReactionID=KDPGALDOL-RXN,,4.1.2.55,,,CPD-2961,,,-,Escherichia coli,EcoCyc,CHEBI:58759,5.0
55,6pgc,kg6pdc,binding structure involving Glu33 and Asp62 and Mg2+,,4.1.1.85,,,125196,L-gulonate 6-phosphate,650143,-,Escherichia coli,BRENDA,CHEBI:43824,5.0
56,6pgc,pgi,ReactionID=PGLUCISOM-RXN,6-Phospho-D-gluconate,5.3.1.9,C00345,,391,6-phosphogluconate,"2624, 2841",-,Escherichia coli,BRENDA,CHEBI:48928,5.0
57,6pgc,rpi,,6-Phospho-D-gluconate,5.3.1.6,C00345,,391,6-phosphogluconate,2787,-,Escherichia coli,BRENDA,CHEBI:48928,3.0
58,8aonn,amaotr,competitive with adenosyl-L-methionine,,2.6.1.62,,0.025,8030,7-Keto-8-aminopelargonic acid,"637092, 637094",-,Escherichia coli,BRENDA,CHEBI:57532,1.0
59,8aonn,aoxsr2,product inhibition in vivo,,2.3.1.47,,,1494,8-Amino-7-oxononanoate,487047,-,Escherichia coli,BRENDA,CHEBI:57532,1.0
60,aacoa,acact1r,substrate inhibition above 0.105 mM,Acetoacetyl-CoA,2.3.1.9,C00332,,187,acetoacetyl-CoA,487690,-,Escherichia coli,BRENDA,CHEBI:15345,1.0
61,aacoa,pntk,,Acetoacetyl-CoA,2.7.1.33,C00332,,187,acetoacetyl-CoA,641393,-,Escherichia coli,BRENDA,CHEBI:15345,5.0
62,ac,acoda,product inhibition,Acetate,3.5.1.16,C00033,,47,acetate,171964,-,Escherichia coli,BRENDA,CHEBI:15366,1.0
63,ac,adpt,,Acetate,2.4.2.8,C00033,,47,acetate,638391,+,Escherichia coli,BRENDA,CHEBI:15366,3.0
64,ac,agdc,no inhibition,Acetate,3.5.1.25,C00033,,47,acetate,246592,-,Escherichia coli,BRENDA,CHEBI:15366,1.0
65,ac,aspct,,Acetate,2.1.3.2,C00033,,47,acetate,485853,-,Escherichia coli,BRENDA,CHEBI:15366,5.0
66,ac,cyanst,ReactionID=THIOSULFATE-SULFURTRANSFERASE-RXN,,2.8.1.1,,,ACET,,,-,Escherichia coli,EcoCyc,CHEBI:30089,5.0
67,ac,dhqti,ReactionID=3-DEHYDROQUINATE-DEHYDRATASE-RXN,Acetate,4.2.1.10,C00033,,47,acetate,"5473, 5474",-,Escherichia coli,BRENDA,CHEBI:15366,5.0
68,ac,durik1,,Acetate,2.7.1.21,C00033,,92882,CH3CO2-,641144,-,Escherichia coli,BRENDA,CHEBI:15366,3.0
69,ac,glcral,ReactionID=KDGALDOL-RXN,,4.1.2.20,,,ACET,,,-,Escherichia coli,EcoCyc,CHEBI:30089,3.0
70,ac,ugmdds,inhibition of wild-type enzyme,Acetate,6.3.2.10,C00033,,47,acetate,651110,+,Escherichia coli,BRENDA,CHEBI:15366,3.0
71,acald,acald,competitive inhibition,Acetaldehyde,1.2.1.10,C00084,265.0,90,acetaldehyde,724721,-,Escherichia coli,BRENDA,CHEBI:15343,1.0
72,acald,betaldhx,"100 mM, 83% inhibition",Acetaldehyde,1.2.1.8,C00084,5.7,90,acetaldehyde,390329,-,Escherichia coli,BRENDA,CHEBI:15343,3.0
73,acald,pdh,weak,Acetaldehyde,1.2.4.1,C00084,,90,acetaldehyde,348956,-,Escherichia coli,BRENDA,CHEBI:15343,3.0
74,accoa,3oar100,ReactionID=MALONYL-COA-ACP-TRANSACYL-RXN,,2.3.1.86,,,ACETYL-COA,,,-,Escherichia coli,EcoCyc,CHEBI:57288,3.0
75,accoa,3oas121,,Acetyl-CoA,2.3.1.41,C00024,,29,acetyl-CoA,486914,-,Escherichia coli,BRENDA,CHEBI:15351,3.0
76,accoa,cs,ReactionID=CITSYN-RXN,,2.3.3.16,,,ACETYL-COA,,,+,Escherichia coli,EcoCyc,CHEBI:57288,1.0
77,accoa,forct,ReactionID=RXN0-1382,Acetyl-CoA,2.8.3.16,C00024,,29,acetyl-CoA,692851,-,Escherichia coli,BRENDA,CHEBI:15351,3.0
78,accoa,me2,ReactionID=MALIC-NADP-RXN,,1.1.1.40,,,ACETYL-COA,,,-,Escherichia coli,EcoCyc,CHEBI:57288,3.0
79,accoa,oxcdc,,Acetyl-CoA,4.1.1.8,C00024,,92190,acetyl coenzyme A,714955,-,Escherichia coli,BRENDA,CHEBI:15351,5.0
80,accoa,pdh,reversed by CoA,Acetyl-CoA,1.2.4.1,C00024,,29,acetyl-CoA,348914,-,Escherichia coli,BRENDA,CHEBI:15351,1.0
81,accoa,pntk,,Acetyl-CoA,2.7.1.33,C00024,,29,acetyl-CoA,641393,-,Escherichia coli,BRENDA,CHEBI:15351,3.0
82,accoa,ppc,ReactionID=PEPCARBOX-RXN,,4.1.1.31,,,ACETYL-COA,,,+,Escherichia coli,EcoCyc,CHEBI:57288,3.0
83,accoa,ppck,,Acetyl-CoA,4.1.1.49,C00024,,29,acetyl-CoA,727382,+,Escherichia coli,BRENDA,CHEBI:15351,3.0
84,acgam1p,g1pact,acetyltransferase activity inhibited by its reaction product,N-Acetyl-alpha-D-glucosamine 1-phosphate,2.3.1.157,C04501,,31976,N-acetylglucosamine-1-phosphate,288685,-,Escherichia coli,BRENDA,CHEBI:16446,1.0
85,acgam1p,uacmamo,,N-Acetyl-alpha-D-glucosamine 1-phosphate,1.1.1.336,C04501,,3651,N-acetylglucosamine 1-phosphate,720374,+,Escherichia coli,BRENDA,CHEBI:16446,5.0
86,acgam6p,agdc,substrate inhibition at high concentrations,N-Acetyl-D-glucosamine 6-phosphate,3.5.1.25,C00357,,1092,N-acetyl-D-glucosamine 6-phosphate,246597,-,Escherichia coli,BRENDA,CHEBI:15784,1.0
87,acgam6p,g6pda,,N-Acetyl-D-glucosamine 6-phosphate,3.5.99.6,C00357,,1930,N-acetylglucosamine 6-phosphate,648215,+,Escherichia coli,BRENDA,CHEBI:15784,3.0
88,acglu,acgs,"25 mM, 50% inhibition",N-Acetyl-L-glutamate,2.3.1.1,C00624,,3480,N-acetylglutamate,486061,-,Escherichia coli,BRENDA,CHEBI:17533,1.0
89,acglu,cbps,,N-Acetyl-L-glutamate,6.3.5.5,C00624,,3480,N-acetylglutamate,1725,+,Escherichia coli,BRENDA,CHEBI:17533,3.0
90,acon_c,fum,,cis-Aconitate,4.2.1.2,C00417,,1230,cis-aconitate,33771,-,Escherichia coli,BRENDA,CHEBI:32805,7.0
91,acon_c,glusy,22% inhibition at 50 mM,cis-Aconitate,1.4.1.13,C00417,,1230,cis-aconitate,391438,-,Escherichia coli,BRENDA,CHEBI:32805,5.0
92,acon_c,icl,ReactionID=ISOCIT-CLEAV-RXN,,4.1.3.1,,,CIS-ACONITATE,,,-,Escherichia coli,EcoCyc,CHEBI:16383,3.0
93,acon_t,aconmt,"0.5-1 mM, when cis-aconitate is used as substrate",trans-Aconitate,2.1.1.144,C02341,,2874,trans-aconitate,288664,-,Escherichia coli,BRENDA,CHEBI:32806,1.0
94,acon_t,fum,,trans-Aconitate,4.2.1.2,C02341,,2874,trans-aconitate,33771,-,Escherichia coli,BRENDA,CHEBI:32806,7.0
95,actp,me2,ReactionID=MALIC-NADP-RXN,,1.1.1.40,,,ACETYL-P,,,+,Escherichia coli,EcoCyc,CHEBI:22191,5.0
96,actp,tmppp,"0.5 mM, 50% inhibition, uncompetitive with respect to both substrates",Acetyl phosphate,2.5.1.3,C00227,,358,acetyl phosphate,639722,-,Escherichia coli,BRENDA,CHEBI:15350,5.0
97,ade,ahcysns,poor inhibitor,Adenine,3.2.2.9,C00147,0.3,144,adenine,171854,-,Escherichia coli,BRENDA,CHEBI:16708,1.0
98,ade,amaotr,8 mM,Adenine,2.6.1.62,C00147,,144,adenine,637092,-,Escherichia coli,BRENDA,CHEBI:16708,5.0
99,ade,ctps2,,Adenine,6.3.4.2,C00147,,144,adenine,702613,-,Escherichia coli,BRENDA,CHEBI:16708,3.0
100,ade,dbts,"25°C, pH 7.8",Adenine,6.3.3.3,C00147,2.2,144,adenine,653958,-,Escherichia coli,BRENDA,CHEBI:16708,3.0
101,ade,durik1,,Adenine,2.7.1.21,C00147,,144,adenine,641132,-,Escherichia coli,BRENDA,CHEBI:16708,3.0
102,ade,orpt,not inhibitory,Adenine,2.4.2.10,C00147,,144,adenine,489719,-,Escherichia coli,BRENDA,CHEBI:16708,3.0
103,adn,ahcysns,,Adenosine,3.2.2.9,C00212,,122,adenosine,171857,-,Escherichia coli,BRENDA,CHEBI:16335,3.0
104,adn,amaotr,5 mM,Adenosine,2.6.1.62,C00212,,122,adenosine,637092,-,Escherichia coli,BRENDA,CHEBI:16335,5.0
105,adn,aspct,,Adenosine,2.1.3.2,C00212,,122,adenosine,485837,+,Escherichia coli,BRENDA,CHEBI:16335,3.0
106,adn,ctps2,,Adenosine,6.3.4.2,C00212,,122,adenosine,674909,-,Escherichia coli,BRENDA,CHEBI:16335,3.0
107,adn,cytd,"4.0 mM, 22% inhibition",Adenosine,3.5.4.5,C00212,,122,adenosine,209644,-,Escherichia coli,BRENDA,CHEBI:16335,3.0
108,adn,gmps2,,Adenosine,6.3.5.2,C00212,,12413,adenine arabinoside,1362,-,Escherichia coli,BRENDA,CHEBI:45327,3.0
109,adn,leutrs,,Adenosine,6.1.1.4,C00212,,122,adenosine,429,-,Escherichia coli,BRENDA,CHEBI:16335,3.0
110,adn,mettrs,"maximal inhibition at MgCl2 concentration from 4.0 mM to 10 mM, effective inhibition at high concentration of diphosphate",Adenosine,6.1.1.10,C00212,,122,adenosine,34,-,Escherichia coli,BRENDA,CHEBI:16335,3.0
111,adn,nads1,ReactionID=NAD-SYNTH-NH3-RXN,Adenosine,6.3.1.5,C00212,,122,adenosine,953,-,Escherichia coli,BRENDA,CHEBI:16335,3.0
112,adn,orpt,not inhibitory,Adenosine,2.4.2.10,C00212,,122,adenosine,489719,-,Escherichia coli,BRENDA,CHEBI:16335,5.0
113,adn,punp1,ReactionID=DEOXYGUANPHOSPHOR-RXN,Adenosine,2.4.2.1,C00212,,122,adenosine,489693,-,Escherichia coli,BRENDA,CHEBI:16335,1.0
114,adp,acgamk,strong competitive inhibitor,ADP,2.7.1.59,C00008,,13,ADP,641692,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
115,adp,adncyc,ReactionID=ADENYLATECYC-RXN,ADP,4.6.1.1,C00008,,13,ADP,34764,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
116,adp,adsk,"free form, reverse reaction, weak",ADP,2.7.1.25,C00008,,13,ADP,641215,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
117,adp,agmhe,ReactionID=5.1.3.20-RXN,ADP,5.1.3.20,C00008,,13,ADP,2357,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
118,adp,asnn,ReactionID=GLUTAMIN-RXN,,3.5.1.38,,,ADP,,,-,Escherichia coli,EcoCyc,CHEBI:456216,3.0
119,adp,atps4rpp,,ADP,3.6.3.14,C00008,,13,ADP,685315,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
120,adp,cdappa120,,ADP,3.6.1.26,C00008,,13,ADP,210004,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
121,adp,dbts,competitive to ATP,ADP,6.3.3.3,C00008,,13,ADP,1334,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
122,adp,dpr,competitive,ADP,1.1.1.169,C00008,1.05,13,ADP,669806,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
123,adp,fbp,ReactionID=F16BDEPHOS-RXN,ADP,3.1.3.11,C00008,,13,ADP,651666,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
124,adp,fruk,kinetics,ADP,2.7.1.56,C00008,0.28,13,ADP,641683,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
125,adp,g3pd2,"pH 7.4, 23°C, wild-type enzyme",ADP,1.1.1.94,C00008,0.8,13,ADP,669177,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
126,adp,gdpmnp,,ADP,3.6.1.21,C00008,,13,ADP,657184,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
127,adp,glcs1,ReactionID=GLYCOGENSYN-RXN,,2.4.1.21,,,ADP,,,-,Escherichia coli,EcoCyc,CHEBI:456216,1.0
128,adp,glgc,allosteric inhibitor; not,ADP,2.7.7.27,C00008,,13,ADP,643141,+,Escherichia coli,BRENDA,CHEBI:16761,3.0
129,adp,glu5k,"pH 7.0, 37°C",ADP,2.7.2.11,C00008,0.06,13,ADP,642200,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
130,adp,gluprt,ReactionID=PRPPAMIDOTRANS-RXN,ADP,2.4.2.14,C00008,,13,ADP,489747,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
131,adp,glusy,15% inhibition at 50 mM,ADP,1.4.1.13,C00008,,13,ADP,391438,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
132,adp,glyk,ReactionID=GLYCEROL-KIN-RXN,ADP,2.7.1.30,C00008,,13,ADP,"641287, 641294",-,Escherichia coli,BRENDA,CHEBI:16761,1.0
133,adp,gmps2,,ADP,6.3.5.2,C00008,,13,ADP,1362,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
134,adp,gsnk,ReactionID=GUANOSINEKIN-RXN,,2.7.1.73,,,ADP,,,-,Escherichia coli,EcoCyc,CHEBI:456216,1.0
135,adp,gtpci,competitive inhibitor,ADP,3.5.4.16,C00008,0.01,13,ADP,209546,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
136,adp,impd,,ADP,1.1.1.205,C00008,,13,ADP,347946,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
137,adp,kabcpp,,ADP,3.6.3.12,C00008,,13,ADP,289111,+,Escherichia coli,BRENDA,CHEBI:16761,1.0
138,adp,ldh_d,,ADP,1.1.1.28,C00008,,13,ADP,286430,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
139,adp,leutrs,,ADP,6.1.1.4,C00008,,13,ADP,429,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
140,adp,nads1,ReactionID=NAD-SYNTH-NH3-RXN,,6.3.1.5,,,ADP,,,-,Escherichia coli,EcoCyc,CHEBI:456216,3.0
141,adp,ndpk1,ReactionID=NUCLEOSIDE-DIP-KIN-RXN,,2.7.4.6,,,ADP,,,-,Escherichia coli,EcoCyc,CHEBI:456216,1.0
142,adp,ntd1,"0.2 mM, 21% residual activity",ADP,3.1.3.89,C00008,,13,ADP,656266,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
143,adp,ntd10,,ADP,3.1.3.5,C00008,1.3,13,ADP,656266,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
144,adp,orpt,not inhibitory,ADP,2.4.2.10,C00008,,13,ADP,489719,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
145,adp,oxcdc,,ADP,4.1.1.8,C00008,,13,ADP,714955,+,Escherichia coli,BRENDA,CHEBI:16761,5.0
146,adp,pfk,ReactionID=6PFRUCTPHOS-RXN,ADP,2.7.1.11,C00008,,13,ADP,722736,+,Escherichia coli,BRENDA,CHEBI:16761,1.0
147,adp,pntk,,ADP,2.7.1.33,C00008,,13,ADP,641393,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
148,adp,pps,ReactionID=PEPSYNTH-RXN,ADP,2.7.9.2,C00008,,13,ADP,"645472, 645473",-,Escherichia coli,BRENDA,CHEBI:16761,3.0
149,adp,prais,ReactionID=AIRS-RXN,ADP,6.3.3.1,C00008,,13,ADP,1308,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
150,adp,prpps,nonlinear competitive inhibition,ADP,2.7.6.1,C00008,0.334,13,ADP,642710,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
151,adp,pta2,ReactionID=PHOSACETYLTRANS-RXN,,2.3.1.8,,,ADP,,,-,Escherichia coli,EcoCyc,CHEBI:456216,3.0
152,adp,pthrpp,ReactionID=DEPHOSICITDEHASE-RXN,,3.1.3,,,ADP,,,+,Escherichia coli,EcoCyc,CHEBI:456216,3.0
153,adp,sucoas,adenosine 5´-tetraphosphate formation,ADP,6.2.1.5,C00008,,13,ADP,823,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
154,adp,thd2pp,,ADP,1.6.1.1,C00008,,13,ADP,725040,+,Escherichia coli,BRENDA,CHEBI:16761,3.0
155,adp,tmpk,product inhibition,ADP,2.7.4.16,C00008,,13,ADP,642545,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
156,adp,tmppp,"4 mM, 42.4% inhibition",ADP,2.5.1.3,C00008,,13,ADP,639722,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
157,adp,uamas,,ADP,6.3.2.8,C00008,,13,ADP,662701,-,Escherichia coli,BRENDA,CHEBI:16761,1.0
158,adp,uapgr,"at high concentration, competitive with respect to NADPH",ADP,1.3.1.98,C00008,,13,ADP,286065,-,Escherichia coli,BRENDA,CHEBI:16761,3.0
