"","kingdom","phylum","class","order","family","genus","species","RevisedName"
"Chaetomium erraticum",NA,NA,NA,NA,NA,NA,NA,NA
"Laceyella putida","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Anaeromyces mucronatus",NA,NA,NA,NA,NA,NA,NA,NA
"Orpinomyces sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Verticillium albo-atrum",NA,NA,NA,NA,NA,NA,NA,NA
"Populus trichocarpa x Populus deltoides",NA,NA,NA,NA,NA,NA,NA,NA
"Moritella marina","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Musca sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Achaetomium sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Borassus flabellifer","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Tetracoccosporium sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Prunus domestica subsp. insititia",NA,NA,NA,NA,NA,NA,NA,NA
"Capsicum frutescens",NA,NA,NA,NA,NA,NA,NA,NA
"Monascus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Lilium longiflorum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Burkholderia glumae","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Brassica rapa subsp. chinensis",NA,NA,NA,NA,NA,NA,NA,NA
"Xanthomonas campestris pv. campestris",NA,NA,NA,NA,NA,NA,NA,NA
"Phytophthora parasitica",NA,NA,NA,NA,NA,NA,NA,NA
"Chondrostereum purpureum",NA,NA,NA,NA,NA,NA,NA,NA
"unidentified phage",NA,NA,NA,NA,NA,NA,NA,NA
"Clostridium chauvoei","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Trypanosoma vivax",NA,NA,NA,NA,NA,NA,NA,NA
"Aeromonas sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Chilo suppressalis",NA,NA,NA,NA,NA,NA,NA,NA
"Bifidobacterium adolescentis","Bacteria","Actinobacteria",NA,"Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,NA
"Bacillus thuringiensis serovar kurstaki",NA,NA,NA,NA,NA,NA,NA,NA
"Erwinia rhapontici","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Rhizobium sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Candida wickerhamii",NA,NA,NA,NA,NA,NA,NA,NA
"Schwanniomyces etchellsii",NA,NA,NA,NA,NA,NA,NA,NA
"Thermoascus aurantiacus",NA,NA,NA,NA,NA,NA,NA,NA
"thermophilic anaerobic bacterium",NA,NA,NA,NA,NA,NA,NA,NA
"Vanilla planifolia","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Melanocarpus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Plumeria obtusa","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Thermobispora bispora","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Humicola grisea var. thermoidea",NA,NA,NA,NA,NA,NA,NA,NA
"Clostridium stercorarium","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Daldinia eschscholtzii",NA,NA,NA,NA,NA,NA,NA,NA
"Candida peltata",NA,NA,NA,NA,NA,NA,NA,NA
"Hanseniaspora vineae",NA,NA,NA,NA,NA,NA,NA,NA
"Hanseniaspora uvarum","Fungi",NA,"Saccharomycetes","Saccharomycetales","Saccharomycetaceae",NA,NA,NA
"Metschnikowia pulcherrima",NA,NA,NA,NA,NA,NA,NA,NA
"Monascus purpureus",NA,NA,NA,NA,NA,NA,NA,NA
"Thermofilum pendens","Archaea","Crenarchaeota","Thermoprotei",NA,NA,NA,NA,NA
"Pholiota adiposa",NA,NA,NA,NA,NA,NA,NA,NA
"Phlebotomus papatasi",NA,NA,NA,NA,NA,NA,NA,NA
"Paenibacillus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Stereum hirsutum",NA,NA,NA,NA,NA,NA,NA,NA
"Talaromyces flavus",NA,NA,NA,NA,NA,NA,NA,NA
"Rhodotorula javanica",NA,NA,NA,NA,NA,NA,NA,NA
"Bifidobacterium breve","Bacteria","Actinobacteria",NA,"Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,NA
"Rhizopus sp. ACCC 30795",NA,NA,NA,NA,NA,NA,NA,NA
"Pleurotus floridanus",NA,NA,NA,NA,NA,NA,NA,NA
"Bispora sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Gibberella sp.","Animalia",NA,NA,NA,NA,NA,NA,NA
"Bacteroides polypragmatus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Lactobacillus murinus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Saccharum officinarum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Lactobacillus plantarum WCFS1",NA,NA,NA,NA,NA,NA,NA,NA
"Streptococcus mitis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Lactobacillus crispatus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Alicyclobacillus acidocaldarius","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Erythrina variegata","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Turbo cornutus",NA,NA,NA,NA,NA,NA,NA,NA
"Tremella fuciformis",NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Nicotiana glauca","Plantae",NA,"Magnoliopsida","Solanales","Solanaceae",NA,NA,NA
"Phyllostachys edulis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bifidobacterium animalis subsp. lactis",NA,NA,NA,NA,NA,NA,NA,NA
"Lilium auratum",NA,NA,NA,NA,NA,NA,NA,NA
"Uromyces viciae-fabae",NA,NA,NA,NA,NA,NA,NA,NA
"Citrus unshiu",NA,NA,NA,NA,NA,NA,NA,NA
"Oxybasis rubra",NA,NA,NA,NA,NA,NA,NA,NA
"Spodoptera frugiperda","Animalia",NA,NA,NA,NA,NA,NA,NA
"Rhodotorula mucilaginosa",NA,NA,NA,NA,NA,NA,NA,NA
"Nephrops norvegicus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Palamneus gravimanus",NA,NA,NA,NA,NA,NA,NA,NA
"Hippasa partita","Animalia",NA,NA,NA,NA,NA,NA,NA
"Synanceia verrucosa","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Scytalidium thermophilum",NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces thermoviolaceus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Humicola insolens",NA,NA,NA,NA,NA,NA,NA,NA
"Bifidobacterium breve clb",NA,NA,NA,NA,NA,NA,NA,NA
"Littorina littorea","Animalia",NA,NA,NA,NA,NA,NA,NA
"Musa sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Chlamys albidus",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudocardium sachalinense",NA,NA,NA,NA,NA,NA,NA,NA
"Flavobacterium dormitator",NA,NA,NA,NA,NA,NA,NA,NA
"Lemna minor","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Silene vulgaris","Plantae",NA,"Magnoliopsida","Caryophyllales",NA,NA,NA,NA
"Fervidobacterium pennivorans","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacillus acidopullulyticus",NA,NA,NA,NA,NA,NA,NA,NA
"Thermoanaerobacter thermohydrosulfuricus","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter",NA,NA
"Mesonia algae","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Gramella sp.","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Maribacter sp.","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Haliotis sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Chamelea gallina","Animalia",NA,NA,NA,NA,NA,NA,NA
"Pecten maximus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Mycobacterium leprae","Bacteria","Actinobacteria",NA,"Actinomycetales","Mycobacteriaceae","Mycobacterium",NA,NA
"Trigonella foenum-graecum","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Palythoa caribaeorum",NA,NA,NA,NA,NA,NA,NA,NA
"Sotalia fluviatilis","Animalia","Chordata","Mammalia",NA,NA,NA,NA,NA
"Mugil cephalus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Rhipicephalus microplus",NA,NA,NA,NA,NA,NA,NA,NA
"Bipolaris sorokiniana",NA,NA,NA,NA,NA,NA,NA,NA
"Ostrinia furnacalis",NA,NA,NA,NA,NA,NA,NA,NA
"Kuraishia capsulata",NA,NA,NA,NA,NA,NA,NA,NA
"Thermomyces dupontii",NA,NA,NA,NA,NA,NA,NA,NA
"Caldicellulosiruptor saccharolyticus","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales",NA,NA,NA,NA
"Paenibacillus woosongensis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Thermobacillus xylanilyticus","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Streptomyces diastaticus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Klebsiella sp. Y1",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas amyloderamosa",NA,NA,NA,NA,NA,NA,NA,NA
"Malbranchea cinnamomea",NA,NA,NA,NA,NA,NA,NA,NA
"Rasamsonia emersonii",NA,NA,NA,NA,NA,NA,NA,NA
"Paecilomyces sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Bacillus tequilensis","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA
"Fibrobacter succinogenes subsp. succinogenes S85",NA,NA,NA,NA,NA,NA,NA,NA
"Haliotis discus hannai",NA,NA,NA,NA,NA,NA,NA,NA
"Penicillium freii",NA,NA,NA,NA,NA,NA,NA,NA
"Cellulosimicrobium sp.","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Agarivorans sp. LQ48",NA,NA,NA,NA,NA,NA,NA,NA
"Microbulbifer sp.","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Zobellia sp.","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Lactobacillus gasseri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Elizabethkingia meningoseptica","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Staphylococcus simulans","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Caldicellulosiruptor saccharolyticus DSM 8903",NA,NA,NA,NA,NA,NA,NA,NA
"Thermotoga thermarum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Fusobacterium mortiferum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Cyanea nozakii","Animalia",NA,NA,NA,NA,NA,NA,NA
"Rhodococcus equi","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Hydra magnipapillata",NA,NA,NA,NA,NA,NA,NA,NA
"Bambusa oldhamii","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Bacillus lehensis","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,NA
"Geobacillus caldoxylosilyticus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus",NA,NA
"Metallosphaera hakonensis","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae",NA,NA,NA
"Crambe hispanica subsp. abyssinica",NA,NA,NA,NA,NA,NA,NA,NA
"Lepidium sativum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Eutrema japonicum","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Aspergillus sydowii",NA,NA,NA,NA,NA,NA,NA,NA
"Brevicoryne brassicae","Animalia",NA,NA,NA,NA,NA,NA,NA
"Thermomonospora sp.","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Alteromonas agarilytica",NA,NA,NA,NA,NA,NA,NA,NA
"Scutellaria viscidula",NA,NA,NA,NA,NA,NA,NA,NA
"Paramecium bursaria Chlorella virus 1",NA,NA,NA,NA,NA,NA,NA,NA
"Mycobacterium bovis","Bacteria","Actinobacteria",NA,"Actinomycetales","Mycobacteriaceae","Mycobacterium",NA,NA
"Chenopodium album","Plantae",NA,"Magnoliopsida","Caryophyllales","Amaranthaceae",NA,NA,NA
"Saponaria officinalis","Plantae",NA,"Magnoliopsida","Caryophyllales",NA,NA,NA,NA
"Monkeypox virus",NA,NA,NA,NA,NA,NA,NA,NA
"Lupinus luteus","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Citrus jambhiri","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Euphorbia lagascae",NA,NA,NA,NA,NA,NA,NA,NA
"Malus pumila","Plantae",NA,"Magnoliopsida","Rosales","Rosaceae",NA,NA,NA
"Vicia sativa","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Lactococcus lactis subsp. lactis",NA,NA,NA,NA,NA,NA,NA,NA
"Morimus funereus",NA,NA,NA,NA,NA,NA,NA,NA
"Aneurinibacillus sp.","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Lactobacillus delbrueckii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Streptococcus gordonii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Capra aegagrus",NA,NA,NA,NA,NA,NA,NA,NA
"Lactobacillus sakei","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Colwellia psychrerythraea","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Gloydius brevicaudus",NA,NA,NA,NA,NA,NA,NA,NA
"Sphingosinicella xenopeptidilytica","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA
"Streptococcus anginosus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Struthio camelus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Neanthes virens","Animalia",NA,NA,NA,NA,NA,NA,NA
"Streptomyces sp. R61",NA,NA,NA,NA,NA,NA,NA,NA
"Paralichthys olivaceus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Scyliorhinus canicula","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Anopheles gambiae","Animalia",NA,NA,NA,NA,NA,NA,NA
"Bacillus phage phiNIT1",NA,NA,NA,NA,NA,NA,NA,NA
"Tropidechis carinatus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Pseudonaja textilis","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Oxyuranus scutellatus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Lysobacter enzymogenes","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Staphylococcus warneri","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Staphylococcus saprophyticus","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Coprinopsis clastophylla",NA,NA,NA,NA,NA,NA,NA,NA
"Paralabrax nebulifer","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Brevibacillus thermoruber","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Brevibacillus brevis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Myxococcus xanthus","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Streptomyces lividans",NA,NA,NA,NA,NA,NA,NA,NA
"Tritirachium album Limber",NA,NA,NA,NA,NA,NA,NA,NA
"Engyodontium album",NA,NA,NA,NA,NA,NA,NA,NA
"Coprothermobacter proteolyticus","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales",NA,NA,NA,NA
"Bacteroides melaninogenicus",NA,NA,NA,NA,NA,NA,NA,NA
"Bothrops atrox","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Bothrops marajoensis","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Xenorhabdus nematophila","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Carcinoscopius rotundicauda",NA,NA,NA,NA,NA,NA,NA,NA
"Tachypleus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Semliki forest virus",NA,NA,NA,NA,NA,NA,NA,NA
"Sindbis virus",NA,NA,NA,NA,NA,NA,NA,NA
"West Nile virus",NA,NA,NA,NA,NA,NA,NA,NA
"Dengue virus 2",NA,NA,NA,NA,NA,NA,NA,NA
"Daboia russelii","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Macrovipera lebetina","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Human herpesvirus 5",NA,NA,NA,NA,NA,NA,NA,NA
"Yellow fever virus",NA,NA,NA,NA,NA,NA,NA,NA
"Scomber australasicus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Bubalus bubalis","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae",NA,NA,NA
"Trichobilharzia regenti",NA,NA,NA,NA,NA,NA,NA,NA
"Artemia sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Angiostrongylus cantonensis","Animalia",NA,NA,NA,NA,NA,NA,NA
"Medicago truncatula","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Callosobruchus maculatus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Ficus glabrata",NA,NA,NA,NA,NA,NA,NA,NA
"Ficus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Phytomonas serpens",NA,NA,NA,NA,NA,NA,NA,NA
"Actinidia chinensis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Actinidia deliciosa",NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus keta","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Misgurnus mizolepis","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Fasciola gigantica","Animalia",NA,NA,NA,NA,NA,NA,NA
"Gadus chalcogrammus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Apostichopus japonicus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Trypanosoma theileri",NA,NA,NA,NA,NA,NA,NA,NA
"Decapterus maruadsi","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Agama stellio stellio",NA,NA,NA,NA,NA,NA,NA,NA
"coxsackievirus",NA,NA,NA,NA,NA,NA,NA,NA
"enterovirus",NA,NA,NA,NA,NA,NA,NA,NA
"Bromelia fastuosa",NA,NA,NA,NA,NA,NA,NA,NA
"Canavalia ensiformis","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Haemaphysalis longicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Gecarcinus lateralis","Animalia",NA,NA,NA,NA,NA,NA,NA
"unidentified adenovirus",NA,NA,NA,NA,NA,NA,NA,NA
"human adenovirus",NA,NA,NA,NA,NA,NA,NA,NA
"Opisthorchis viverrini","Animalia",NA,NA,NA,NA,NA,NA,NA
"Autographa californica multiple nucleopolyhedrovirus",NA,NA,NA,NA,NA,NA,NA,NA
"Tabernaemontana divaricata","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Autographa californica nucleopolyhedrovirus",NA,NA,NA,NA,NA,NA,NA,NA
"Tilapia sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Dermatophagoides pteronyssinus",NA,NA,NA,NA,NA,NA,NA,NA
"Norwalk virus",NA,NA,NA,NA,NA,NA,NA,NA
"Chiba virus",NA,NA,NA,NA,NA,NA,NA,NA
"Zingiber officinale","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Venezuelan equine encephalitis virus",NA,NA,NA,NA,NA,NA,NA,NA
"Lateolabrax japonicus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Monopterus albus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Sepia officinalis","Animalia",NA,NA,NA,NA,NA,NA,NA
"Mason-Pfizer monkey virus",NA,NA,NA,NA,NA,NA,NA,NA
"bovine leukemia virus",NA,NA,NA,NA,NA,NA,NA,NA
"Simian foamy virus",NA,NA,NA,NA,NA,NA,NA,NA
"Penicillium duponti",NA,NA,NA,NA,NA,NA,NA,NA
"Penicillium expansum",NA,NA,NA,NA,NA,NA,NA,NA
"Human immunodeficiency virus 2",NA,NA,NA,NA,NA,NA,NA,NA
"Erwinia pyrifoliae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA
"Methanococcus vannielii","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"Methanothermococcus thermolithotrophicus","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"Bacillus thermoproteolyticus",NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus pseudintermedius","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Vipera ammodytes ammodytes","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Leishmania sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Clostridium tetani","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Clostridium baratii","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Agkistrodon contortrix contortrix","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Ovis ammon","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis",NA,NA
"Neonectria obtusispora",NA,NA,NA,NA,NA,NA,NA,NA
"Nocardia levis",NA,NA,NA,NA,NA,NA,NA,NA
"Lupinus polyphyllus","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Rhizobium etli","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA
"Aeribacillus pallidus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,NA
"Pseudonocardia thermophila","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Helicobacter hepaticus","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Pectobacterium aroidearum",NA,NA,NA,NA,NA,NA,NA,NA
"Macaca iris",NA,NA,NA,NA,NA,NA,NA,NA
"Acidilobus saccharovorans","Archaea","Crenarchaeota","Thermoprotei",NA,NA,NA,NA,NA
"Flavobacterium peregrinum",NA,NA,NA,NA,NA,NA,NA,NA
"Sus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Aspergillus oryzae RIB40",NA,NA,NA,NA,NA,NA,NA,NA
"Brevibacillus sp.","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Bacillus cereus phage",NA,NA,NA,NA,NA,NA,NA,NA
"Colletotrichum lindemuthianum",NA,NA,NA,NA,NA,NA,NA,NA
"Entamoeba invadens",NA,NA,NA,NA,NA,NA,NA,NA
"Camellia sinensis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Shewanella algae","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Bacteroides vulgatus","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Brevibacillus laterosporus","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Pseudomonas sp. GK16",NA,NA,NA,NA,NA,NA,NA,NA
"Bacillus thuringiensis serovar kyushuensis",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas oryzihabitans","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Mycoplasma arthritidis","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Mycoplasma hominis","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Arthrobacter allantoicus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Streptococcus allantoicus",NA,NA,NA,NA,NA,NA,NA,NA
"Evernia prunastri","Fungi",NA,NA,NA,NA,NA,NA,NA
"Streptococcus criceti","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus downei","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus ratti","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Streptococcus sobrinus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA
"Lactobacillus hilgardii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Argopecten irradians concentricus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Rana sylvatica",NA,NA,NA,NA,NA,NA,NA,NA
"Scorpaena porcus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Sciaena umbra","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Equus asinus","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus",NA,NA
"Bacillusphage phiE",NA,NA,NA,NA,NA,NA,NA,NA
"bacteriophage SP8",NA,NA,NA,NA,NA,NA,NA,NA
"Porphyra crispata",NA,NA,NA,NA,NA,NA,NA,NA
"Exophiala oligosperma",NA,NA,NA,NA,NA,NA,NA,NA
"Aneurinibacillus aneurinilyticus","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA
"Hypophthalmichthys nobilis","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Natronococcus occultus","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"Trypanosoma rangeli",NA,NA,NA,NA,NA,NA,NA,NA
"Glycine soja",NA,NA,NA,NA,NA,NA,NA,NA
"Leishmania braziliensis",NA,NA,NA,NA,NA,NA,NA,NA
"Classical swine fever virus",NA,NA,NA,NA,NA,NA,NA,NA
"Escherichia coli BL21(DE3)",NA,NA,NA,NA,NA,NA,NA,NA
"Noccaea caerulescens",NA,NA,NA,NA,NA,NA,NA,NA
"Homarus americanus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Populus euphratica",NA,NA,NA,NA,NA,NA,NA,NA
"Candida versatilis",NA,NA,NA,NA,NA,NA,NA,NA
"Bifidobacterium animalis","Bacteria","Actinobacteria",NA,"Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,NA
"Propionigenium modestum","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Leishmania amazonensis",NA,NA,NA,NA,NA,NA,NA,NA
"Caloramator fervidus","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA
"Lamellidens marginalis","Animalia",NA,NA,NA,NA,NA,NA,NA
"Clibanarius vittatus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Callinectes ornatus","Animalia",NA,NA,NA,NA,NA,NA,NA
"Macrobrachium amazonicum","Animalia",NA,NA,NA,NA,NA,NA,NA
"Lobularia maritima","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Thermoanaerobacter kivui","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter",NA,NA
"Chlamydomonas sp.",NA,NA,NA,NA,NA,NA,NA,NA
