,EC_number,Organism,LigandID,KI_Value,Commentary,Literature,chebiID,bigg.metabolite,KEGG_ID,Compound
26,1.1.1.1,Escherichia coli,2464,18.26,,660650,CHEBI:5141,,C07837,Fomepizole
27,1.1.1.1,Homo sapiens,69,1470.0,"isozyme ADH3, using 1-hydroxymethylpyrene as substrate",701322,CHEBI:16236,etoh,C00469,Ethanol
28,1.1.1.2,Mus musculus,36313,-999.0,,667168,,,,
29,1.1.1.2,Mus musculus,1078,-999.0,"substrate: (2E,4E)-hexa-2,4-dienal, uncompetitive inhibition",677193,CHEBI:33140,,,
30,1.1.1.3,Glycine max,250,160.0,"pH 8.0, 25°C",712490,CHEBI:57926,thr__L,,
31,1.1.1.6,Pichia membranifaciens,8,0.025,25°C,636285,CHEBI:16908,nadh,C00004,NADH
32,1.1.1.6,Pichia membranifaciens,7,1.09,25°C,636285,CHEBI:15846,nad,C00003,NAD+
33,1.1.1.6,Cellulomonas sp.,620,11.1,,636286,CHEBI:16016,dha,C00184,Glycerone
34,1.1.1.6,Cellulomonas sp.,3210,11.6,,636286,CHEBI:27957,acetol,C05235,Hydroxyacetone
35,1.1.1.8,Oryctolagus cuniculus,2518,0.02,"substrate dihydroxyacetone phosphate, pH 7.4, 25°C; substrate NADH, pH 7.4, 25°C",713328,CHEBI:4806,,C09731,Epigallocatechin 3-gallate
36,1.1.1.8,Oryctolagus cuniculus,68872,0.2,,688958,,,,
37,1.1.1.9,Candida sp. HA 167,715,10.0,,684600,CHEBI:17140,xylu_D,C00310,D-Xylulose
38,1.1.1.10,Homo sapiens,17975,0.00037,competitive with respect to xylitol,670839,,,,
39,1.1.1.10,Homo sapiens,17975,0.00044,uncompetitive with respect to NADPH,670839,,,,
40,1.1.1.14,Ovis aries,2,-999.0,inhibition kinetics at different pH,655289,,,,
41,1.1.1.14,Rattus norvegicus,13660,0.00023,,655289,CHEBI:40157,,,
42,1.1.1.14,Homo sapiens,13660,0.00025,,655289,CHEBI:40157,,,
43,1.1.1.14,Ovis aries,15471,0.007,pH 9.9,655289,CHEBI:64198,,C02924,Dimercaprol
44,1.1.1.14,Ovis aries,986,0.0075,pH 9.9,655289,CHEBI:4659,,C01692,Disulfiram
45,1.1.1.14,Gallus gallus,8,0.01,,668325,CHEBI:16908,nadh,C00004,NADH
46,1.1.1.14,Ovis aries,11081,0.022,pH 9.9,655289,,,,
47,1.1.1.14,Ovis aries,1612,0.025,pH 9.9,655289,CHEBI:16118,,C00757,Berberine
48,1.1.1.14,Ovis aries,32000,0.026,pH 9.9,655289,,,,
49,1.1.1.14,Ovis aries,32213,0.029,pH 9.9,655289,,,,
50,1.1.1.14,Ovis aries,137,0.072,pH 9.9,655289,CHEBI:16243,,C00389,Quercetin
51,1.1.1.14,Gallus gallus,7,0.22,,668325,CHEBI:15846,nad,C00003,NAD+
52,1.1.1.14,Ovis aries,21445,0.34,pH 9.9,655289,,,,
53,1.1.1.14,Ovis aries,32090,1.7,pH 9.9,655289,,,,
54,1.1.1.14,Ovis aries,2424,4.5,pH 9.9,655289,CHEBI:39867,,C07185,Valproic acid
55,1.1.1.14,Ovis aries,4235,10.0,pH 9.9,655289,CHEBI:87623,,,
56,1.1.1.14,Ovis aries,15729,11.0,pH 9.9,655289,,,,
57,1.1.1.14,Ovis aries,2496,13.0,pH 9.9,655289,CHEBI:50868,,,
58,1.1.1.14,Ovis aries,931,22.0,pH 9.9,655289,CHEBI:29200,tcynt,C01755,Thiocyanate
59,1.1.1.14,Ovis aries,1078,28.0,pH 9.9,655289,CHEBI:33140,,,
60,1.1.1.14,Ovis aries,32060,35.0,pH 9.9,655289,CHEBI:27637,34dhoxmand,C05580,"3,4-Dihydroxymandelate"
61,1.1.1.17,Aspergillus fumigatus,8,0.002,"pH 10.0, 25°C, recombinant enzyme",722234,CHEBI:16908,nadh,C00004,NADH
62,1.1.1.17,Brochothrix thermosphacta,13,0.7,more potent inhibitor than ATP,389415,CHEBI:16761,adp,C00008,ADP
63,1.1.1.17,Brochothrix thermosphacta,4,1.6,,389415,CHEBI:15422,atp,C00002,ATP
64,1.1.1.17,Streptococcus mutans,13,2.0,"competitive inhibition with respect to NADH, noncompetitive inhibition with respect to fructose 6-phosphate",389423,CHEBI:16761,adp,C00008,ADP
65,1.1.1.17,Streptococcus mutans,4,2.2,strong inhibition of mannitol 1-phosphate oxidation,389423,CHEBI:15422,atp,C00002,ATP
66,1.1.1.17,Streptococcus mutans,87,3.33,"able to inhibit the forward reaction to 100%, competitive inhibition with respect to mannitol 1-phosphate, noncompetitive inhibition with respect to NAD+",389423,CHEBI:61553,f6p,C00085,D-Fructose 6-phosphate
67,1.1.1.17,Escherichia coli,62,8.0,,389418,CHEBI:44975,,C00604,"1,10-Phenanthroline"
68,1.1.1.17,Escherichia coli,1706,11.0,,389418,CHEBI:30351,,,
69,1.1.1.17,Escherichia coli,9419,12.0,,389418,CHEBI:36419,,,
70,1.1.1.B20,Klebsiella pneumoniae,63,0.52,"pH 8.0, temperature not specified in the publication",246405,CHEBI:41218,,C00928,Mercaptoethanol
71,1.1.1.21,Homo sapiens,2,-999.0,"inhibition kinetics, pH dependence of inhibition, overview",667553,,,,
72,1.1.1.21,Homo sapiens,2,-999.0,"inhibition kinetics and thermodynamic studies of inhibitors binding to the enzyme, overview",667913,,,,
73,1.1.1.21,Rattus norvegicus,2,-999.0,"inhibition kinetics, overview",722065,,,,
74,1.1.1.21,Rattus norvegicus,2376,5e-06,"pH 6.2, 30°C, isoform ALR2",685547,CHEBI:46609,,C01865,Zopolrestat
75,1.1.1.21,Homo sapiens,5034,4e-05,"mutant T113A/C303D, pH 7.0, 22°C",685200,,,,
76,1.1.1.21,Homo sapiens,2376,4.3e-05,"pH 6.2, 25°C, recombinant enzyme",667553,CHEBI:46609,,C01865,Zopolrestat
77,1.1.1.21,Homo sapiens,5034,6e-05,"mutant T113A/C303NpH 7.0, 22°C",685200,,,,
78,1.1.1.21,Homo sapiens,5034,0.00011,"mutant T113A, pH 7.0, 22°C",685200,,,,
79,1.1.1.21,Homo sapiens,5034,0.00029,"mutant S302R/C303D, pH 7.0, 22°C; mutant T113V, pH 7.0, 22°C",685200,,,,
80,1.1.1.21,Homo sapiens,3533,0.0003,"pH 6.2, temperature not specified in the publication, ALR2",722285,CHEBI:75408,,,
81,1.1.1.21,Rattus norvegicus,25294,0.00033,"pH 6.2, 37°C",685465,,,,
82,1.1.1.21,Homo sapiens,17606,0.000434,"pH 6.2, temperature not specified in the publication, ALR2",722285,CHEBI:64212,,,
83,1.1.1.21,Homo sapiens,1052,0.00045,"pH 6.2, 25°C, recombinant enzyme",667553,CHEBI:102029,,,
84,1.1.1.21,Homo sapiens,2172,0.000458,"pH 6.2, temperature not specified in the publication, ALR2",722285,CHEBI:9352,,C01531,Sulindac
85,1.1.1.21,Homo sapiens,5034,0.00051,"mutant C303D, pH 7.0, 22°C",685200,,,,
86,1.1.1.21,Homo sapiens,25294,0.00056,"pH 6.2, 37°C",685465,,,,
87,1.1.1.21,Homo sapiens,132787,0.00056,"pH 6.2, 25°C, recombinant enzyme",667553,CHEBI:5001,,C07586,Fenofibrate
88,1.1.1.21,Homo sapiens,5034,0.00062,"mutant F115Y, pH 7.0, 22°C",685200,,,,
89,1.1.1.21,Rattus norvegicus,1279,0.00063,"pH 6.2, 37°C",685465,CHEBI:4775,,C10788,Ellagic acid
90,1.1.1.21,Homo sapiens,5034,0.0008,"mutant C303N, pH 7.0, 22°C",685200,,,,
91,1.1.1.21,Rattus norvegicus,25296,0.00082,"pH 6.2, 37°C",685465,,,,
92,1.1.1.21,Homo sapiens,22677,0.00088,"pH 6.2, 25°C, recombinant enzyme",667553,CHEBI:50867,,,
93,1.1.1.21,Homo sapiens,6085,0.0011,"pH 6.2, 25°C, recombinant enzyme",667553,,,,
94,1.1.1.21,Homo sapiens,6087,0.0012,"pH 6.2, 25°C, recombinant enzyme",667553,CHEBI:5296,,,
95,1.1.1.21,Homo sapiens,8069,0.00124,"pH 6.2, 25°C, recombinant enzyme",667553,CHEBI:34648,,C13700,Clofibric acid
96,1.1.1.21,Homo sapiens,25296,0.00128,"pH 6.2, 37°C",685465,,,,
97,1.1.1.21,Homo sapiens,1279,0.00137,"pH 6.2, 37°C",685465,CHEBI:4775,,C10788,Ellagic acid
98,1.1.1.21,Homo sapiens,5034,0.002,"mutant C80N, pH 7.0, 22°C; wild-type, pH 7.0, 22°C",685200,,,,
99,1.1.1.21,Homo sapiens,68838,0.00292,"pH 6.8, 37°C",684768,,,,
100,1.1.1.21,Homo sapiens,68021,0.00297,"pH 6.8, 37°C",684768,,,,
101,1.1.1.21,Homo sapiens,68022,0.00299,"pH 6.8, 37°C",684768,,,,
102,1.1.1.21,Homo sapiens,5034,0.0039,"mutant T113Y, pH 7.0, 22°C",685200,,,,
103,1.1.1.21,Homo sapiens,5034,0.004,"mutant T113Y/S302R/C303D, pH 7.0, 22°C",685200,,,,
104,1.1.1.21,Homo sapiens,5034,0.0046,"mutant C80A, pH 7.0, 22°C",685200,,,,
105,1.1.1.21,Homo sapiens,5034,0.0078,"mutant C80N/T113Y/S302R/C303D, pH 7.0, 22°C",685200,,,,
106,1.1.1.21,Rattus norvegicus,67844,0.0088,"pH 7.0, 37°C",685456,,,,
107,1.1.1.21,Rattus norvegicus,25108,0.00935,pH and temperature not specified in the publication,722065,,,,
108,1.1.1.21,Rattus norvegicus,25107,0.01355,pH and temperature not specified in the publication,722065,CHEBI:94807,,,
109,1.1.1.21,Rattus norvegicus,67846,0.0136,"pH 7.0, 37°C",685456,CHEBI:37386,,C17670,Aurantio-obtusin
110,1.1.1.21,Rattus norvegicus,67977,0.0141,,685544,,,,
111,1.1.1.21,Rattus norvegicus,68074,0.0155,,685544,,,,
112,1.1.1.21,Rattus norvegicus,14293,0.0159,"pH 7.0, 37°C",685456,CHEBI:42223,,C10343,Emodin
113,1.1.1.21,Rattus norvegicus,25245,0.0167,"pH 6.2, 30°C, isoform ALR2",685547,,,,
114,1.1.1.21,Rattus norvegicus,25244,0.0182,"pH 6.2, 30°C, isoform ALR2",685547,,,,
115,1.1.1.21,Rattus norvegicus,15514,0.0241,"pH 7.0, 37°C",685456,,,,
116,1.1.1.21,Rattus norvegicus,68076,0.0329,,685544,,,,
117,1.1.1.21,Rattus norvegicus,68075,0.0444,,685544,,,,
118,1.1.1.21,Rattus norvegicus,25245,0.328,"pH 7.2, 37°C, isoform ALR1",685547,,,,
119,1.1.1.21,Rattus norvegicus,25244,3.081,"pH 7.2, 37°C, isoform ALR1",685547,,,,
120,1.1.1.22,Glycine max,43,0.0005,"pH 8.7, 25°C",657082,CHEBI:28420,,C03444,p-Chloromercuribenzoate
121,1.1.1.22,Saccharum spp.,1013,0.017,"pH 8.4, 25°C",654351,CHEBI:16082,udpxyl,C00190,UDP-D-xylose
122,1.1.1.22,Homo sapiens,137,0.07,with respect to NAD+,697937,CHEBI:16243,,C00389,Quercetin
123,1.1.1.22,Homo sapiens,137,0.083,with respect to UDP-glucose,697937,CHEBI:16243,,C00389,Quercetin
124,1.1.1.22,Arabidopsis thaliana,1013,0.083,"isoform Ugd2, pH 8.7, 22°C",688084,CHEBI:16082,udpxyl,C00190,UDP-D-xylose
125,1.1.1.22,Arabidopsis thaliana,1013,0.16,"isoform Ugd3, pH 8.7, 22°C",688084,CHEBI:16082,udpxyl,C00190,UDP-D-xylose
126,1.1.1.22,Arabidopsis thaliana,1013,0.22,"isoform Ugd4, pH 8.7, 22°C",688084,CHEBI:16082,udpxyl,C00190,UDP-D-xylose
127,1.1.1.22,Saccharum spp.,226,0.292,"pH 8.4, 25°C",654351,CHEBI:17200,udpglcur,C00167,UDP-glucuronate
128,1.1.1.22,Homo sapiens,764,0.744,with respect to UDP-glucose,697937,CHEBI:30778,ga,C01424,Gallate
129,1.1.1.22,Homo sapiens,764,1.804,with respect to NAD+,697937,CHEBI:30778,ga,C01424,Gallate
130,1.1.1.27,Sus scrofa,2,-999.0,inhibition kinetics,685618,,,,
131,1.1.1.27,Plasmodium falciparum,2,-999.0,substrate and product inhibition kinetics,686655,,,,
132,1.1.1.27,Homo sapiens,40803,3e-05,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
133,1.1.1.27,Homo sapiens,27722,5e-05,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
134,1.1.1.27,Plasmodium vivax,9776,7e-05,"pH 7.5, 25°C",654758,,,,
135,1.1.1.27,Homo sapiens,27721,0.0001,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
136,1.1.1.27,Plasmodium falciparum,27721,0.0001,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
137,1.1.1.27,Plasmodium falciparum,27725,0.0002,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
138,1.1.1.27,Homo sapiens,40802,0.0002,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
139,1.1.1.27,Homo sapiens,27724,0.0002,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
140,1.1.1.27,Plasmodium vivax,9777,0.00024,"pH 7.5, 25°C",654758,,,,
141,1.1.1.27,Plasmodium falciparum,27722,0.0003,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
142,1.1.1.27,Homo sapiens,27715,0.0003,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
143,1.1.1.27,Plasmodium falciparum,27715,0.0003,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
144,1.1.1.27,Plasmodium falciparum,27727,0.0004,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
145,1.1.1.27,Plasmodium falciparum,9776,0.0004,"pH 7.5, 25°C",654758,,,,
146,1.1.1.27,Homo sapiens,27719,0.0005,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
147,1.1.1.27,Plasmodium ovale,9776,0.0005,"pH 7.5, 25°C",654758,,,,
148,1.1.1.27,Homo sapiens,27727,0.0006,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
149,1.1.1.27,Homo sapiens,27714,0.0006,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
150,1.1.1.27,Plasmodium falciparum,27714,0.0006,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
151,1.1.1.27,Plasmodium falciparum,27724,0.0007,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
152,1.1.1.27,Plasmodium falciparum,9777,0.0007,"pH 7.5, 25°C",654758,,,,
153,1.1.1.27,Plasmodium ovale,9777,0.0007,"pH 7.5, 25°C",654758,,,,
154,1.1.1.27,Plasmodium falciparum,1825,0.0007,"pH 7.5, 25°C",654758,CHEBI:28584,,C07667,Gossypol
155,1.1.1.27,Plasmodium falciparum,1825,0.0007,"pH not specified in the publication, temperature not specified in the publication",711801,CHEBI:28584,,C07667,Gossypol
156,1.1.1.27,Homo sapiens,27712,0.0008,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
157,1.1.1.27,Plasmodium falciparum,27712,0.0008,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
158,1.1.1.27,Plasmodium falciparum,27723,0.001,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
159,1.1.1.27,Homo sapiens,27720,0.001,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
160,1.1.1.27,Homo sapiens,40804,0.001,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
161,1.1.1.27,Homo sapiens,27713,0.0011,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
162,1.1.1.27,Plasmodium falciparum,27713,0.0011,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
163,1.1.1.27,Plasmodium falciparum,27726,0.0012,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
164,1.1.1.27,Homo sapiens,27726,0.0013,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
165,1.1.1.27,Plasmodium vivax,1825,0.0014,"pH 7.5, 25°C",654758,CHEBI:28584,,C07667,Gossypol
166,1.1.1.27,Homo sapiens,1825,0.0014,"LDH-B, pH not specified in the publication, temperature not specified in the publication",711801,CHEBI:28584,,C07667,Gossypol
167,1.1.1.27,Plasmodium malariae,9776,0.0015,"pH 7.5, 25°C",654758,,,,
168,1.1.1.27,Plasmodium malariae,9777,0.0018,"pH 7.5, 25°C",654758,,,,
169,1.1.1.27,Plasmodium ovale,1825,0.0019,"pH 7.5, 25°C",654758,CHEBI:28584,,C07667,Gossypol
170,1.1.1.27,Homo sapiens,1825,0.0019,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,CHEBI:28584,,C07667,Gossypol
171,1.1.1.27,Homo sapiens,27723,0.002,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
172,1.1.1.27,Plasmodium falciparum,27716,0.002,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
173,1.1.1.27,Homo sapiens,27728,0.0025,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
174,1.1.1.27,Homo sapiens,27716,0.003,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
175,1.1.1.27,Homo sapiens,40801,0.003,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
176,1.1.1.27,Homo sapiens,27718,0.004,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
177,1.1.1.27,Homo sapiens,1825,0.0042,"LDH-C, pH not specified in the publication, temperature not specified in the publication",711801,CHEBI:28584,,C07667,Gossypol
178,1.1.1.27,Plasmodium falciparum,27720,0.006,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
179,1.1.1.27,Plasmodium falciparum,27719,0.008,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
180,1.1.1.27,Plasmodium malariae,1825,0.0126,"pH 7.5, 25°C",654758,CHEBI:28584,,C07667,Gossypol
181,1.1.1.27,Plasmodium falciparum,27718,0.013,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
182,1.1.1.27,Homo sapiens,27725,0.013,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
183,1.1.1.27,Plasmodium falciparum,27728,0.016,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
184,1.1.1.27,Plasmodium falciparum,27717,0.022,"pH not specified in the publication, temperature not specified in the publication",711801,,,,
185,1.1.1.27,Homo sapiens,27717,0.034,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
186,1.1.1.27,Plasmodium falciparum,31,0.14,pH 7.5,686655,CHEBI:32816,pyr,C00022,Pyruvate
187,1.1.1.27,Thermoanaerobacter ethanolicus,5,0.375,,286468,CHEBI:16474,nadph,C00005,NADPH
188,1.1.1.27,Homo sapiens,19285,0.4,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
189,1.1.1.27,Homo sapiens,27737,0.8,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
190,1.1.1.27,Homo sapiens,19289,0.9,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
191,1.1.1.27,Homo sapiens,19286,1.0,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
192,1.1.1.27,Rhizopus oryzae NRRL 395,1755,1.2,LDHA,697662,CHEBI:28013,fdp_B,C05378,"beta-D-Fructose 1,6-bisphosphate"
193,1.1.1.27,Gadus morhua,31,1.64,"pH 7.0, 4°C",655068,CHEBI:32816,pyr,C00022,Pyruvate
194,1.1.1.27,Homo sapiens,19287,2.0,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
195,1.1.1.27,Homo sapiens,15046,2.0,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
196,1.1.1.27,Rattus norvegicus,2208,3.02,enzyme from brain,670394,CHEBI:30860,mm,C02170,Methylmalonate
197,1.1.1.27,Rhizopus oryzae NRRL 395,1755,3.2,LDHB,697662,CHEBI:28013,fdp_B,C05378,"beta-D-Fructose 1,6-bisphosphate"
198,1.1.1.27,Homo sapiens,19288,7.0,"LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
199,1.1.1.27,Homo sapiens,27736,10.0,"above, LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
200,1.1.1.27,Homo sapiens,27735,10.0,"above, LDH-A, pH not specified in the publication, temperature not specified in the publication",711801,,,,
201,1.1.1.27,Geobacillus stearothermophilus,31,10.9,"pH 6.0, 25°C, recombinant wild-type enzyme in presence of fructose 1,6-bisphosphate",684519,CHEBI:32816,pyr,C00022,Pyruvate
202,1.1.1.27,Rhizopus delemar,1755,28.8,LDHB,697662,CHEBI:28013,fdp_B,C05378,"beta-D-Fructose 1,6-bisphosphate"
203,1.1.1.27,Geobacillus stearothermophilus,31,31.1,"pH 6.0, 25°C, recombinant mutant D38R in presence of fructose 1,6-bisphosphate",684519,CHEBI:32816,pyr,C00022,Pyruvate
204,1.1.1.27,Plasmodium falciparum,31,57.0,pH 7.5,656750,CHEBI:32816,pyr,C00022,Pyruvate
205,1.1.1.27,Plasmodium berghei,31,66.0,pH 7.5,656750,CHEBI:32816,pyr,C00022,Pyruvate
206,1.1.1.28,Rhodopseudomonas palustris,185,0.12,"pH 8.0, 30°C",655064,CHEBI:16995,oxa,C00209,Oxalate
207,1.1.1.28,Lactobacillus pentosus,825,2.8,"30°C, pH 5.5, wild-type enzyme",669327,CHEBI:18058,oxam,C01444,Oxamate
208,1.1.1.28,Lactobacillus pentosus,825,43.0,"30°C, pH 5.5, mutant enzyme N97D",669327,CHEBI:18058,oxam,C01444,Oxamate
209,1.1.1.28,Lactobacillus pentosus,120,44.0,"30°C, pH 5.5, wild-type enzyme",669327,CHEBI:30751,for,C00058,Formate
210,1.1.1.28,Lactobacillus pentosus,120,140.0,"30°C, pH 5.5, mutant enzyme N97D",669327,CHEBI:30751,for,C00058,Formate
211,1.1.1.30,Pseudomonas fragi,3465,0.81,,669873,CHEBI:1148,2hb,C05984,2-Hydroxybutanoic acid
212,1.1.1.30,Pseudomonas fragi,5286,0.9,,669873,CHEBI:78320,,C01432,Lactate
213,1.1.1.30,Jaculus orientalis,5092,3.38,"pH 8.0, 25°C, versus NAD+",689351,CHEBI:28854,,C03664,"2,4-Dichlorophenoxyacetate"
214,1.1.1.30,Pseudomonas fragi,392,3.8,,669873,CHEBI:30794,malon,C00383,Malonate
215,1.1.1.30,Pseudomonas fragi,5947,5.6,,669873,CHEBI:48765,,C07308,Cacodylate
216,1.1.1.30,Jaculus orientalis,5092,5.74,"pH 8.0, 25°C, versus (R)-3-hydroxybutanoate",689351,CHEBI:28854,,C03664,"2,4-Dichlorophenoxyacetate"
217,1.1.1.30,Pseudomonas fragi,60531,80.0,,669873,,,,
218,1.1.1.34,Homo sapiens,2,-999.0,steady state inhibition kinetics,654559,,,,
219,1.1.1.34,Homo sapiens,2,-999.0,"inhibition kinetics of different plant extracts, overview",712198,,,,
220,1.1.1.34,Homarus americanus,2239,4.5e-07,"pH 7.4, recombinant isozyme HMGR1",654546,,,,
221,1.1.1.34,Homo sapiens,8562,2.3e-06,"pH 6.8, 37°C",667627,CHEBI:38545,,,
222,1.1.1.34,Homo sapiens,8562,3.5e-06,,654559,CHEBI:38545,,,
223,1.1.1.34,Sulfolobus solfataricus,20381,5e-06,"pH 5.5, 50°C",286585,,,,
224,1.1.1.34,Homo sapiens,9778,5.7e-06,"pH 6.8, 37°C",667627,CHEBI:3558,,C07966,Cerivastatin
225,1.1.1.34,Homo sapiens,4365,8e-06,,654559,CHEBI:39548,,C06834,Atorvastatin
226,1.1.1.34,Homo sapiens,9778,1e-05,,654559,CHEBI:3558,,C07966,Cerivastatin
227,1.1.1.34,Homo sapiens,2311,1.1e-05,,654559,CHEBI:9150,,,
228,1.1.1.34,Homo sapiens,28807,1.2e-05,pH and temperature not specified in the publication,721267,,,,
229,1.1.1.34,Homo sapiens,4365,1.4e-05,"pH 6.8, 37°C",667627,CHEBI:39548,,C06834,Atorvastatin
230,1.1.1.34,Homo sapiens,5307,2.8e-05,,654559,CHEBI:5136,,,
231,1.1.1.34,Homo sapiens,11499,4.4e-05,,654559,CHEBI:63618,,C01844,Pravastatin
