Commentary,EC_number,KEGG_ID,KI_Value,LigandID,Literature,Mechanism,Mode,Name,Organism,Source,bigg.metabolite,chebiID,bigg.reaction
,1.6.1.1,C00002,,4,725040,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,thd2pp
,1.7.1.4,C00003,,7,392926,,+,NAD+,Escherichia coli,BRENDA,nad,CHEBI:15846,ntrir2x
,1.7.1.4,C00003,,7,392928,,+,NAD+,Escherichia coli,BRENDA,nad,CHEBI:15846,ntrir2x
,1.8.1.9,,,153,394918,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
,1.8.1.9,,,153,394933,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
,1.8.1.9,,,153,394946,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
,1.8.1.9,C00009,,16,393993,,+,Orthophosphate,Escherichia coli,BRENDA,pi,CHEBI:26078,trdr
,1.11.1.6,,,1063,439802,,+,,Escherichia coli,BRENDA,his__l,CHEBI:57595,cat
,1.14.12.17,C00032,,822,285279,,+,Heme,Escherichia coli,BRENDA,pheme,CHEBI:26355,nodox
,1.17.4.1,C00002,,4,"437913, 437918, 437937, 437938",,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
,1.17.4.1,C00002,,4,687294,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
,1.17.4.1,C00002,,4,714233,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
,1.17.4.1,C00002,,4,716317,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
,1.17.4.1,C00131,,140,437913,,+,dATP,Escherichia coli,BRENDA,datp,CHEBI:16284,rndr1
,1.17.4.1,C00131,,140,"437976, 714184",,+,dATP,Escherichia coli,BRENDA,datp,CHEBI:16284,rndr1
,1.17.4.1,C00458,,179,437918,,+,dCTP,Escherichia coli,BRENDA,dctp,CHEBI:16311,rndr1
,1.17.4.1,C00286,,219,437913,,+,dGTP,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
,1.17.4.1,C00286,,219,437918,,+,dGTP,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
,1.17.4.1,C00286,,219,437937,,+,dGTP,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
,1.17.4.1,C00286,,219,437976,,+,dGTP,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
,1.17.4.1,,,145,437913,,+,,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
,1.17.4.1,,,145,437918,,+,,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
,1.17.4.1,,,145,437937,,+,,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
,1.17.4.1,,,145,437938,,+,,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
,1.17.4.1,,,145,437976,,+,,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
,1.17.4.1,,,22,437927,,+,,Escherichia coli,BRENDA,h2o2,CHEBI:29192,rndr1
,2.1.1.10,,,153,441382,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,hcysmt
,2.1.1.10,,,747,441382,,+,,Escherichia coli,BRENDA,hcys__l,CHEBI:58199,hcysmt
,2.1.1.10,,,5553,441382,,+,,Escherichia coli,BRENDA,hom__l,CHEBI:30653,hcysmt
,2.1.1.10,,,46234,441382,,+,,Escherichia coli,BRENDA,cyst__l,CHEBI:58161,hcysmt
,2.1.1.13,C00238,,39,441179,,+,Potassium cation,Escherichia coli,BRENDA,k,CHEBI:29103,mets
,2.1.1.13,C01330,,59,441179,,+,Sodium cation,Escherichia coli,BRENDA,na1,CHEBI:29101,mets
,2.1.1.13,C00019,,24,659993,,+,S-Adenosyl-L-methionine,Escherichia coli,BRENDA,amet,CHEBI:15414,mets
,2.1.1.13,C00019,,404,441179,,+,S-Adenosyl-L-methionine,Escherichia coli,BRENDA,amet,CHEBI:15414,mets
,2.1.1.79,C01353,,1136,680343,,+,Carbonic acid,Escherichia coli,BRENDA,hco3,CHEBI:28976,cfas160e
,2.1.2.1,,,95,718984,,+,,Escherichia coli,BRENDA,ser__l,CHEBI:33384,ghmt2r
,2.1.3.2,C00212,,122,485837,,+,Adenosine,Escherichia coli,BRENDA,adn,CHEBI:16335,aspct
,2.1.3.2,C00002,,4,485838,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
,2.1.3.2,C00002,,4,662646,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
,2.1.3.2,C00002,,4,685252,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
,2.1.3.2,C00002,,4,699559,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
,2.1.3.2,C00002,,4,699578,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
,2.1.3.2,,,60,662646,,+,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
,2.1.3.2,,,60,699578,,+,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
,2.1.3.2,C00149,,247,485853,,+,(S)-Malate,Escherichia coli,BRENDA,mal__l,CHEBI:30797,aspct
,2.1.3.2,C00042,,58,485853,,+,Succinate,Escherichia coli,BRENDA,succ,CHEBI:15741,aspct
,2.1.3.2,C00075,,65,662646,,+,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
,2.2.1.1,,,1126,694217,,+,,Escherichia coli,BRENDA,h2o2,CHEBI:29192,tkt1
,2.2.1.9,,,91,685086,,+,,Escherichia coli,BRENDA,thmpp,CHEBI:45931,sephchcs
,2.3.1.8,C00022,,31,487532,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,pta2
,2.3.1.8,C00022,,31,720217,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,pta2
,2.3.1.15,C00002,,4,486381,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pat120
,2.3.1.41,C00009,,16,486864,,+,Orthophosphate,Escherichia coli,BRENDA,pi,CHEBI:26078,3oas121
,2.3.1.54,C01444,,825,487222,,+,Oxamate,Escherichia coli,BRENDA,oxam,CHEBI:18058,obtfl
,2.3.1.54,C01444,,825,"487221, 487239",,+,Oxamate,Escherichia coli,BRENDA,oxam,CHEBI:18058,obtfl
,2.3.1.54,C00022,,31,"487221, 487239",,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,obtfl
,2.3.1.54,C00019,,404,"14936, 487219, 487222, 487230",,+,S-Adenosyl-L-methionine,Escherichia coli,BRENDA,amet,CHEBI:15414,obtfl
,2.3.1.54,C00019,,404,"487218, 487221, 487239",,+,S-Adenosyl-L-methionine,Escherichia coli,BRENDA,amet,CHEBI:15414,obtfl
,2.4.1.1,C00020,,236,488238,,+,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,glcp2
,2.4.1.21,,,131,"488903, 488914",,+,,Escherichia coli,BRENDA,cit,CHEBI:76049,glcs1
,2.4.1.227,C00076,,15,488971,,+,Calcium cation,Escherichia coli,BRENDA,ca2,CHEBI:29108,uagpt3
,2.4.1.227,C11143,,1217,488978,,+,Dimethyl sulfoxide,Escherichia coli,BRENDA,dmso,CHEBI:28262,uagpt3
,2.4.1.227,C11143,,896,703764,,+,Dimethyl sulfoxide,Escherichia coli,BRENDA,dmso,CHEBI:28262,uagpt3
,2.4.1.227,C00305,,6,"488971, 488973, 488974, 488976, 488978",,+,Magnesium cation,Escherichia coli,BRENDA,mg2,CHEBI:18420,uagpt3
,2.4.2.8,C00033,,47,638391,,+,Acetate,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
,2.4.2.9,C00044,,37,638362,,+,GTP,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
,2.4.2.9,C00044,,37,638369,,+,GTP,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
,2.4.2.9,C00044,,37,638372,,+,GTP,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
,2.4.2.14,C00119,,111659,489747,,+,5-Phospho-alpha-D-ribose 1-diphosphate,Escherichia coli,BRENDA,prpp,CHEBI:17111,gluprt
,2.5.1.6,C00019,,404,639056,,+,S-Adenosyl-L-methionine,Escherichia coli,BRENDA,amet,CHEBI:15414,metat
,2.6.1.85,,,755,644230,,+,,Escherichia coli,BRENDA,gln__l,CHEBI:58359,adcs
,2.6.1.85,C00568,,45809,644230,,+,4-Aminobenzoate,Escherichia coli,BRENDA,4abz,CHEBI:30753,adcs
,2.7.1.11,C00008,,13,722736,,+,ADP,Escherichia coli,BRENDA,adp,CHEBI:16761,pfk
,2.7.1.11,C00035,,53,640489,,+,GDP,Escherichia coli,BRENDA,gdp,CHEBI:17552,pfk
,2.7.1.11,C00035,,53,"640490, 722736",,+,GDP,Escherichia coli,BRENDA,gdp,CHEBI:17552,pfk
,2.7.1.21,C00705,,1124,641132,,+,dCDP,Escherichia coli,BRENDA,dcdp,CHEBI:28846,durik1
,2.7.1.21,C00458,,179,"641123, 641132",,+,dCTP,Escherichia coli,BRENDA,dctp,CHEBI:16311,durik1
,2.7.1.21,C00044,,37,641123,,+,GTP,Escherichia coli,BRENDA,gtp,CHEBI:15996,durik1
,2.7.1.25,,,74,641217,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,adsk
,2.7.1.25,C00342,,121,641217,,+,Thioredoxin,Escherichia coli,BRENDA,trdrd,CHEBI:15033,adsk
,2.7.1.40,C00354,,106,707589,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,pyk
,2.7.1.40,C00354,,583,641557,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,pyk
,2.7.1.40,C00092,,105,641557,,+,D-Glucose 6-phosphate,Escherichia coli,BRENDA,g6p,CHEBI:4170,pyk
,2.7.1.40,C00074,,51,707589,,+,Phosphoenolpyruvate,Escherichia coli,BRENDA,pep,CHEBI:44897,pyk
,2.7.1.73,C00238,,39,641925,,+,Potassium cation,Escherichia coli,BRENDA,k,CHEBI:29103,gsnk
,2.7.1.73,C00305,,6,641925,,+,Magnesium cation,Escherichia coli,BRENDA,mg2,CHEBI:18420,gsnk
,2.7.1.89,C00002,,4,642072,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,tmk
,2.7.1.107,,,51151,640361,,+,,Escherichia coli,BRENDA,pa160,CHEBI:73246,dagk160
,2.7.1.107,C00712,,380,640361,,+,(9Z)-Octadecenoic acid,Escherichia coli,BRENDA,ocdcea,CHEBI:16196,dagk160
,2.7.1.107,C00249,,535,640361,,+,Hexadecanoic acid,Escherichia coli,BRENDA,hdca,CHEBI:15756,dagk160
,2.7.1.107,C01530,,1359,640361,,+,Octadecanoic acid,Escherichia coli,BRENDA,ocdca,CHEBI:28842,dagk160
,2.7.6.5,C00469,,69,642773,,+,Ethanol,Escherichia coli,BRENDA,etoh,CHEBI:16236,gdpdpk
,2.7.7.12,,,153,642823,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,uglt
,2.7.7.12,,,153,642834,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,uglt
,2.7.7.27,C04442,,1482,643144,,+,2-Dehydro-3-deoxy-6-phospho-D-gluconate,Escherichia coli,BRENDA,2ddg6p,CHEBI:15925,glgc
,2.7.7.27,C00109,,371,643144,,+,2-Oxobutanoate,Escherichia coli,BRENDA,2obut,CHEBI:30831,glgc
,2.7.7.27,C00597,,194,"643114, 643141",,+,Glycerate 3-phosphate,Escherichia coli,BRENDA,3pg,CHEBI:17050,glgc
,2.7.7.27,C00597,,194,643144,,+,Glycerate 3-phosphate,Escherichia coli,BRENDA,3pg,CHEBI:17050,glgc
,2.7.7.27,C00597,,194,643164,,+,Glycerate 3-phosphate,Escherichia coli,BRENDA,3pg,CHEBI:17050,glgc
,2.7.7.27,C00008,,13,643141,,+,ADP,Escherichia coli,BRENDA,adp,CHEBI:16761,glgc
,2.7.7.27,C00020,,30,643141,,+,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,glgc
,2.7.7.27,C00020,,30,643161,,+,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,glgc
,2.7.7.27,C00354,,106,643127,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,glgc
,2.7.7.27,C00354,,106,643144,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,glgc
,2.7.7.27,C00354,,106,643152,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,glgc
,2.7.7.27,C00354,,106,"643141, 643146, 643150, 643161, 643164, 661743, 663026",,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,glgc
,2.7.7.27,C00354,,106,671752,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,glgc
,2.7.7.27,C00354,,583,674737,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,glgc
,2.7.7.27,C00085,,87,"643131, 643141, 643144",,+,D-Fructose 6-phosphate,Escherichia coli,BRENDA,f6p,CHEBI:61553,glgc
,2.7.7.27,C00085,,87,643152,,+,D-Fructose 6-phosphate,Escherichia coli,BRENDA,f6p,CHEBI:61553,glgc
,2.7.7.27,C00085,,87,"643161, 643164",,+,D-Fructose 6-phosphate,Escherichia coli,BRENDA,f6p,CHEBI:61553,glgc
,2.7.7.27,C00092,,105,643141,,+,D-Glucose 6-phosphate,Escherichia coli,BRENDA,g6p,CHEBI:4170,glgc
,2.7.7.27,C00092,,105,643164,,+,D-Glucose 6-phosphate,Escherichia coli,BRENDA,g6p,CHEBI:4170,glgc
,2.7.7.27,C00673,,1398,643144,,+,2-Deoxy-D-ribose 5-phosphate,Escherichia coli,BRENDA,2dr5p,CHEBI:55513,glgc
,2.7.7.27,C00661,,574,643144,,+,Glyceraldehyde 3-phosphate,Escherichia coli,BRENDA,g3p,CHEBI:17138,glgc
,2.7.7.27,C00168,,389,643144,,+,Hydroxypyruvate,Escherichia coli,BRENDA,hpyr,CHEBI:30841,glgc
,2.7.7.27,C00006,,10,643144,,+,NADP+,Escherichia coli,BRENDA,nadp,CHEBI:18009,glgc
,2.7.7.27,C00005,,5,643144,,+,NADPH,Escherichia coli,BRENDA,nadph,CHEBI:16474,glgc
,2.7.7.27,C00074,,51,643144,,+,Phosphoenolpyruvate,Escherichia coli,BRENDA,pep,CHEBI:44897,glgc
,2.7.7.27,C00074,,51,661743,,+,Phosphoenolpyruvate,Escherichia coli,BRENDA,pep,CHEBI:44897,glgc
,2.7.7.27,C00018,,32,643141,,+,Pyridoxal phosphate,Escherichia coli,BRENDA,pydx5p,CHEBI:18405,glgc
,2.7.7.27,C00018,,32,643144,,+,Pyridoxal phosphate,Escherichia coli,BRENDA,pydx5p,CHEBI:18405,glgc
,2.7.7.27,C00018,,32,661743,,+,Pyridoxal phosphate,Escherichia coli,BRENDA,pydx5p,CHEBI:18405,glgc
,2.7.7.27,C00022,,31,643152,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,glgc
,2.7.7.27,C00447,,869,643144,,+,"Sedoheptulose 1,7-bisphosphate",Escherichia coli,BRENDA,s17bp,CHEBI:17969,glgc
,2.7.7.41,C00002,,4,643314,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,dasyn120
,3.1.3.11,,,131,680756,,+,,Escherichia coli,BRENDA,cit,CHEBI:76049,fbp
,3.1.3.11,C00074,,51,651666,,+,Phosphoenolpyruvate,Escherichia coli,BRENDA,pep,CHEBI:44897,fbp
,3.1.3.11,C00074,,51,665719,,+,Phosphoenolpyruvate,Escherichia coli,BRENDA,pep,CHEBI:44897,fbp
,3.1.3.11,C00074,,51,680756,,+,Phosphoenolpyruvate,Escherichia coli,BRENDA,pep,CHEBI:44897,fbp
,3.1.3.11,C00059,,160,665719,,+,Sulfate,Escherichia coli,BRENDA,so4,CHEBI:26836,fbp
,3.1.3.18,C01327,,141,651727,,+,Hydrochloric acid,Escherichia coli,BRENDA,cl,CHEBI:17883,pglycp
,3.1.3.25,,,11,680809,,+,,Escherichia coli,BRENDA,mn2,CHEBI:29035,mi1pp
,3.2.2.4,C00002,,4,"171818, 657368",,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,ampn
,3.5.1.10,,,692,208968,,+,,Escherichia coli,BRENDA,met__l,CHEBI:57844,fthfd
,3.5.1.16,C00009,,16,171964,,+,Orthophosphate,Escherichia coli,BRENDA,pi,CHEBI:26078,acoda
,3.5.4.1,,,164,209497,,+,,Escherichia coli,BRENDA,ala__d,CHEBI:57416,csnd
,3.5.4.1,,,6515,209497,,+,,Escherichia coli,BRENDA,hom__l,CHEBI:30653,csnd
,3.5.4.1,,,72,209497,,+,,Escherichia coli,BRENDA,gly,CHEBI:57305,csnd
,3.5.4.1,C00049,,1353,209489,,+,L-Aspartate,Escherichia coli,BRENDA,asp__l,CHEBI:17053,csnd
,3.5.4.1,C00049,,1353,209497,,+,L-Aspartate,Escherichia coli,BRENDA,asp__l,CHEBI:17053,csnd
,3.5.4.1,C00025,,1163,209489,,+,L-Glutamate,Escherichia coli,BRENDA,glu__l,CHEBI:16015,csnd
,3.5.4.1,C00025,,1163,209497,,+,L-Glutamate,Escherichia coli,BRENDA,glu__l,CHEBI:16015,csnd
,3.5.4.1,,,102,209489,,+,,Escherichia coli,BRENDA,gln__l,CHEBI:58359,csnd
,3.5.4.1,,,102,209497,,+,,Escherichia coli,BRENDA,gln__l,CHEBI:58359,csnd
,3.5.4.1,,,349,209489,,+,,Escherichia coli,BRENDA,his__l,CHEBI:57595,csnd
,3.5.4.1,,,349,209497,,+,,Escherichia coli,BRENDA,his__l,CHEBI:57595,csnd
,3.5.4.1,,,311,209497,,+,,Escherichia coli,BRENDA,ile__l,CHEBI:58045,csnd
,3.5.4.1,,,127,209497,,+,,Escherichia coli,BRENDA,leu__l,CHEBI:57427,csnd
,3.5.4.1,C00077,,192,209497,,+,L-Ornithine,Escherichia coli,BRENDA,orn,CHEBI:15729,csnd
,3.5.4.1,,,104,209497,,+,,Escherichia coli,BRENDA,phe__l,CHEBI:58095,csnd
,3.5.4.1,,,95,209497,,+,,Escherichia coli,BRENDA,ser__l,CHEBI:33384,csnd
,3.5.4.1,,,250,209497,,+,,Escherichia coli,BRENDA,thr__l,CHEBI:57926,csnd
,3.5.4.1,,,246,209497,,+,,Escherichia coli,BRENDA,val__l,CHEBI:57762,csnd
,3.5.4.5,C00475,,372,209659,,+,Cytidine,Escherichia coli,BRENDA,cytd,CHEBI:17562,cytd
,3.5.99.6,C00357,,1930,648215,,+,N-Acetyl-D-glucosamine 6-phosphate,Escherichia coli,BRENDA,acgam6p,CHEBI:15784,g6pda
,3.5.99.6,C00357,,1930,648220,,+,N-Acetyl-D-glucosamine 6-phosphate,Escherichia coli,BRENDA,acgam6p,CHEBI:15784,g6pda
,3.5.99.6,C00357,,1930,"648226, 648237, 648238, 648240, 648243",,+,N-Acetyl-D-glucosamine 6-phosphate,Escherichia coli,BRENDA,acgam6p,CHEBI:15784,g6pda
,3.5.99.6,C00357,,58095,712289,,+,N-Acetyl-D-glucosamine 6-phosphate,Escherichia coli,BRENDA,acgam6p,CHEBI:15784,g6pda
,3.6.1.1,C00002,,4,685305,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,ppa
,3.6.3.5,,,132776,667819,,+,,Escherichia coli,BRENDA,pg160,CHEBI:60724,zn2abcpp
,3.6.3.5,,,132777,667819,,+,,Escherichia coli,BRENDA,pg180,CHEBI:61056,zn2abcpp
,3.6.3.5,,,74,654606,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,zn2abcpp
,3.6.3.12,C00008,,13,289111,,+,ADP,Escherichia coli,BRENDA,adp,CHEBI:16761,kabcpp
,3.6.3.12,C00002,,4,"289111, 289116",,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,kabcpp
,3.6.3.16,C06697,,397,"210282, 210287",,+,Arsenite,Escherichia coli,BRENDA,aso3,CHEBI:49900,aso3t8pp
,3.6.3.16,C06697,,397,696278,,+,Arsenite,Escherichia coli,BRENDA,aso3,CHEBI:49900,aso3t8pp
,4.1.1.8,C00008,,13,714955,,+,ADP,Escherichia coli,BRENDA,adp,CHEBI:16761,oxcdc
,4.1.1.8,C00020,,30,714955,,+,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,oxcdc
,4.1.1.8,C00002,,4,714955,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,oxcdc
,4.1.1.15,C01327,,141,3973,,+,Hydrochloric acid,Escherichia coli,BRENDA,cl,CHEBI:17883,asp1dc
,4.1.1.31,C00354,,93409,4286,,+,"D-Fructose 1,6-bisphosphate",Escherichia coli,BRENDA,fdp,CHEBI:37736,ppc
,4.1.1.31,C00044,,37,4286,,+,GTP,Escherichia coli,BRENDA,gtp,CHEBI:15996,ppc
,4.1.1.49,C00024,,29,727382,,+,Acetyl-CoA,Escherichia coli,BRENDA,accoa,CHEBI:15351,ppck
,4.1.1.50,C00022,,31,4660,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,admdc
,4.1.1.50,C00022,,31,4662,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,admdc
,4.1.1.50,C00022,,31,"4668, 4672",,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,admdc
,4.1.1.65,C00022,,31,4780,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,psd120
,4.1.1.65,C00022,,31,4783,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,psd120
,4.1.1.65,C00022,,31,4785,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,psd120
,4.1.1.65,C00022,,31,4790,,+,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,psd120
,4.1.1.98,C00725,,3823,729319,,+,Lipoate,Escherichia coli,BRENDA,lipoate,CHEBI:30314,ophbdc
,4.1.1.98,C00132,,83,729319,,+,Methanol,Escherichia coli,BRENDA,meoh,CHEBI:17790,ophbdc
,4.1.2.13,C00026,,34,4914,,+,2-Oxoglutarate,Escherichia coli,BRENDA,akg,CHEBI:30915,fba
,4.1.2.13,,,131,4914,,+,,Escherichia coli,BRENDA,cit,CHEBI:76049,fba
,4.1.2.13,C00074,,51,4914,,+,Phosphoenolpyruvate,Escherichia coli,BRENDA,pep,CHEBI:44897,fba
,4.1.2.13,,,422,4914,,+,,Escherichia coli,BRENDA,glyc3p,CHEBI:57597,fba
,4.1.3.6,C00864,,1509,33364,,+,Pantothenate,Escherichia coli,BRENDA,pnto__r,CHEBI:46905,citl
,4.2.1.7,,,553,33957,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,altrh
,4.2.1.47,C00005,,5,5732,,+,NADPH,Escherichia coli,BRENDA,nadph,CHEBI:16474,gmand
,4.2.1.79,C00163,,312,653158,,+,Propanoate,Escherichia coli,BRENDA,ppa,CHEBI:30768,mcitd
,4.2.3.3,C00988,,1798,650248,,+,2-Phosphoglycolate,Escherichia coli,BRENDA,2pglyc,CHEBI:17150,mgsa
,4.3.1.1,C11143,,985,6001,,+,Dimethyl sulfoxide,Escherichia coli,BRENDA,dmso,CHEBI:28262,aspt
,4.3.1.1,C00116,,135,6001,,+,Glycerol,Escherichia coli,BRENDA,glyc,CHEBI:17754,aspt
,4.3.1.1,C00049,,97,6021,,+,L-Aspartate,Escherichia coli,BRENDA,asp__l,CHEBI:17053,aspt
,4.3.1.19,,,835,"210856, 210863",,+,,Escherichia coli,BRENDA,val__l,CHEBI:57762,serd_l
,5.1.1.3,C01212,,20562,"2102, 2113",,+,UDP-N-acetylmuramoyl-L-alanine,Escherichia coli,BRENDA,uama,CHEBI:84726,glur
,5.1.1.3,C01212,,20562,"2111, 2115",,+,UDP-N-acetylmuramoyl-L-alanine,Escherichia coli,BRENDA,uama,CHEBI:84726,glur
,5.1.3.2,C00015,,26,650515,,+,UDP,Escherichia coli,BRENDA,udp,CHEBI:17659,udpg4e
,5.1.3.2,C00105,,133,650515,,+,UMP,Escherichia coli,BRENDA,ump,CHEBI:16695,udpg4e
,5.1.3.14,C00043,,126,661247,,+,UDP-N-acetyl-alpha-D-glucosamine,Escherichia coli,BRENDA,uacgam,CHEBI:16264,uag2e
,5.1.3.14,C00043,,383,"2264, 2265, 2268",,+,UDP-N-acetyl-alpha-D-glucosamine,Escherichia coli,BRENDA,uacgam,CHEBI:16264,uag2e
,5.4.2.7,C01151,,44769,3340,,+,"D-Ribose 1,5-bisphosphate",Escherichia coli,BRENDA,r15bp,CHEBI:17994,ppm2
,5.4.2.7,C01151,,44769,3343,,+,"D-Ribose 1,5-bisphosphate",Escherichia coli,BRENDA,r15bp,CHEBI:17994,ppm2
,5.4.3.8,C00189,,456,3432,,+,Ethanolamine,Escherichia coli,BRENDA,etha,CHEBI:16000,g1sat
,5.4.99.9,C00005,,40,726820,,+,NADPH,Escherichia coli,BRENDA,nadph,CHEBI:16474,udpgalm
,6.1.1.5,C00315,,148,454,,+,Spermidine,Escherichia coli,BRENDA,spmd,CHEBI:16610,iletrs
,6.1.1.5,C00315,,148,462,,+,Spermidine,Escherichia coli,BRENDA,spmd,CHEBI:16610,iletrs
,6.1.1.19,C00315,,148,270,,+,Spermidine,Escherichia coli,BRENDA,spmd,CHEBI:16610,argtrs
,6.3.1.2,,,21728,667442,,+,,Escherichia coli,BRENDA,glyb,CHEBI:41139,glns
