,bigg.metabolite,subsystem
97,dgtp,Biomass and maintenance functions
98,adp,Biomass and maintenance functions
99,bmocogdp,Biomass and maintenance functions
100,leu__l,Biomass and maintenance functions
101,lys__l,Biomass and maintenance functions
102,adocbl,Biomass and maintenance functions
104,glycogen,Biomass and maintenance functions
105,dttp,Biomass and maintenance functions
106,asp__l,Biomass and maintenance functions
107,succoa,Biomass and maintenance functions
108,pheme,Biomass and maintenance functions
109,dctp,Biomass and maintenance functions
110,sheme,Biomass and maintenance functions
111,zn2,Biomass and maintenance functions
168,2ohph,Biomass and maintenance functions
509,12dgr120,"Transport, Inner Membrane"
510,12dgr140,"Transport, Inner Membrane"
512,12dgr141,"Transport, Inner Membrane"
515,12dgr160,"Transport, Inner Membrane"
517,12dgr161,"Transport, Inner Membrane"
518,12dgr180,"Transport, Inner Membrane"
520,12dgr181,"Transport, Inner Membrane"
524,12ppd__r,"Transport, Inner Membrane"
528,12ppd__s,"Transport, Inner Membrane"
531,h2o,"Transport, Inner Membrane"
532,atp,"Transport, Inner Membrane"
533,14glucan,"Transport, Inner Membrane"
534,h,"Transport, Inner Membrane"
535,adp,"Transport, Inner Membrane"
536,pi,"Transport, Inner Membrane"
547,23dappa,"Transport, Inner Membrane"
571,2ddecg3p,"Transport, Inner Membrane"
573,2tdecg3p,"Transport, Inner Membrane"
576,2tdec7eg3p,"Transport, Inner Membrane"
577,2hdecg3p,"Transport, Inner Membrane"
579,2hdec9eg3p,"Transport, Inner Membrane"
582,2odecg3p,"Transport, Inner Membrane"
584,2odec11eg3p,"Transport, Inner Membrane"
586,2agpe120,"Transport, Inner Membrane"
587,2agpe140,"Transport, Inner Membrane"
589,2agpe141,"Transport, Inner Membrane"
592,2agpe160,"Transport, Inner Membrane"
594,2agpe161,"Transport, Inner Membrane"
595,2agpe180,"Transport, Inner Membrane"
597,2agpe181,"Transport, Inner Membrane"
599,pe120,Glycerophospholipid Metabolism
600,atp,Glycerophospholipid Metabolism
601,ddca,Glycerophospholipid Metabolism
602,ppi,Glycerophospholipid Metabolism
603,amp,Glycerophospholipid Metabolism
604,2agpe120,Glycerophospholipid Metabolism
606,pe140,Glycerophospholipid Metabolism
608,2agpe140,Glycerophospholipid Metabolism
610,ttdca,Glycerophospholipid Metabolism
613,2agpe141,Glycerophospholipid Metabolism
614,ttdcea,Glycerophospholipid Metabolism
615,pe141,Glycerophospholipid Metabolism
617,2agpe160,Glycerophospholipid Metabolism
621,hdca,Glycerophospholipid Metabolism
622,pe160,Glycerophospholipid Metabolism
625,2agpe161,Glycerophospholipid Metabolism
626,hdcea,Glycerophospholipid Metabolism
627,pe161,Glycerophospholipid Metabolism
629,pe180,Glycerophospholipid Metabolism
633,ocdca,Glycerophospholipid Metabolism
634,2agpe180,Glycerophospholipid Metabolism
635,2agpe181,Glycerophospholipid Metabolism
637,ocdcea,Glycerophospholipid Metabolism
640,pe181,Glycerophospholipid Metabolism
641,2agpg120,"Transport, Inner Membrane"
644,2agpg140,"Transport, Inner Membrane"
646,2agpg141,"Transport, Inner Membrane"
647,2agpg160,"Transport, Inner Membrane"
649,2agpg161,"Transport, Inner Membrane"
652,2agpg180,"Transport, Inner Membrane"
654,2agpg181,"Transport, Inner Membrane"
659,pg120,Glycerophospholipid Metabolism
660,2agpg120,Glycerophospholipid Metabolism
663,pg140,Glycerophospholipid Metabolism
665,2agpg140,Glycerophospholipid Metabolism
667,2agpg141,Glycerophospholipid Metabolism
669,pg141,Glycerophospholipid Metabolism
673,2agpg160,Glycerophospholipid Metabolism
677,pg160,Glycerophospholipid Metabolism
680,2agpg161,Glycerophospholipid Metabolism
683,pg161,Glycerophospholipid Metabolism
685,pg180,Glycerophospholipid Metabolism
690,2agpg180,Glycerophospholipid Metabolism
693,2agpg181,Glycerophospholipid Metabolism
696,pg181,Glycerophospholipid Metabolism
697,glcn,Alternate Carbon Metabolism
698,nadh,Alternate Carbon Metabolism
699,h,Alternate Carbon Metabolism
700,nad,Alternate Carbon Metabolism
701,2dhguln,Alternate Carbon Metabolism
703,nadp,Alternate Carbon Metabolism
704,nadph,Alternate Carbon Metabolism
707,idon__l,Alternate Carbon Metabolism
717,h,Cofactor and Prosthetic Group Biosynthesis
718,4ampm,Cofactor and Prosthetic Group Biosynthesis
719,pi,Cofactor and Prosthetic Group Biosynthesis
720,h2o,Cofactor and Prosthetic Group Biosynthesis
721,2mahmp,Cofactor and Prosthetic Group Biosynthesis
724,3amac,Nucleotide Salvage Pathway
725,h2o,Nucleotide Salvage Pathway
726,nh4,Nucleotide Salvage Pathway
727,msa,Nucleotide Salvage Pathway
728,h,Nucleotide Salvage Pathway
735,tdec2eacp,Cell Envelope Biosynthesis
736,h2o,Cell Envelope Biosynthesis
737,3hdecacp,Cell Envelope Biosynthesis
739,tddec2eacp,Cell Envelope Biosynthesis
740,3hddecacp,Cell Envelope Biosynthesis
742,t3c5ddeceacp,Cell Envelope Biosynthesis
743,3hcddec5eacp,Cell Envelope Biosynthesis
745,tmrs2eacp,Cell Envelope Biosynthesis
746,3hmrsacp,Cell Envelope Biosynthesis
748,t3c7mrseacp,Cell Envelope Biosynthesis
749,3hcmrs7eacp,Cell Envelope Biosynthesis
751,3hpalmacp,Cell Envelope Biosynthesis
752,tpalm2eacp,Cell Envelope Biosynthesis
753,3hcpalm9eacp,Cell Envelope Biosynthesis
754,t3c9palmeacp,Cell Envelope Biosynthesis
756,toctd2eacp,Cell Envelope Biosynthesis
758,3hoctaacp,Cell Envelope Biosynthesis
759,t3c11vaceacp,Cell Envelope Biosynthesis
761,3hcvac11eacp,Cell Envelope Biosynthesis
762,3haacp,Cell Envelope Biosynthesis
764,but2eacp,Cell Envelope Biosynthesis
765,3hhexacp,Cell Envelope Biosynthesis
766,thex2eacp,Cell Envelope Biosynthesis
769,toct2eacp,Cell Envelope Biosynthesis
770,3hoctacp,Cell Envelope Biosynthesis
771,o2,Alternate Carbon Metabolism
772,h2o,Alternate Carbon Metabolism
773,dhcinnm,Alternate Carbon Metabolism
777,3hcinnm,Alternate Carbon Metabolism
780,3hpppn,Alternate Carbon Metabolism
783,dhpppn,Alternate Carbon Metabolism
787,3hpp,"Transport, Inner Membrane"
791,3dhgulnp,Alternate Carbon Metabolism
792,3dhguln,Alternate Carbon Metabolism
794,adp,Alternate Carbon Metabolism
795,atp,Alternate Carbon Metabolism
812,nadp,Cell Envelope Biosynthesis
813,nadph,Cell Envelope Biosynthesis
814,h,Cell Envelope Biosynthesis
815,3odecacp,Cell Envelope Biosynthesis
821,3oddecacp,Cell Envelope Biosynthesis
826,3ocddec5eacp,Cell Envelope Biosynthesis
830,3omrsacp,Cell Envelope Biosynthesis
835,3ocmrs7eacp,Cell Envelope Biosynthesis
841,3opalmacp,Cell Envelope Biosynthesis
842,3ocpalm9eacp,Cell Envelope Biosynthesis
847,3ooctdacp,Cell Envelope Biosynthesis
852,3ocvac11eacp,Cell Envelope Biosynthesis
858,actacp,Cell Envelope Biosynthesis
866,3ohexacp,Cell Envelope Biosynthesis
869,3ooctacp,Cell Envelope Biosynthesis
873,acp,Cell Envelope Biosynthesis
874,malacp,Cell Envelope Biosynthesis
875,ocacp,Cell Envelope Biosynthesis
877,co2,Cell Envelope Biosynthesis
878,dcaacp,Cell Envelope Biosynthesis
889,cdec3eacp,Cell Envelope Biosynthesis
893,ddcaacp,Cell Envelope Biosynthesis
901,cddec5eacp,Cell Envelope Biosynthesis
905,myrsacp,Cell Envelope Biosynthesis
908,tdeacp,Cell Envelope Biosynthesis
918,palmacp,Cell Envelope Biosynthesis
925,hdeacp,Cell Envelope Biosynthesis
927,butacp,Cell Envelope Biosynthesis
932,hexacp,Cell Envelope Biosynthesis
938,coa,Alternate Carbon Metabolism
939,succoa,Alternate Carbon Metabolism
940,oxadpcoa,Alternate Carbon Metabolism
941,accoa,Alternate Carbon Metabolism
942,h2o,Murein Recycling
943,laladglumdap,Murein Recycling
944,atp,Murein Recycling
945,h,Murein Recycling
946,adp,Murein Recycling
947,pi,Murein Recycling
962,phthr,Cofactor and Prosthetic Group Biosynthesis
964,4hthr,Cofactor and Prosthetic Group Biosynthesis
966,ala__d,Murein Recycling
967,laladglumdapdala,Murein Recycling
983,5dglcn,Alternate Carbon Metabolism
988,5dglcn,"Transport, Inner Membrane"
993,dad_5,Cofactor and Prosthetic Group Biosynthesis
994,ade,Cofactor and Prosthetic Group Biosynthesis
996,5drib,Cofactor and Prosthetic Group Biosynthesis
999,5mtr,"Transport, Inner Membrane"
1003,ara5p,Alternate Carbon Metabolism
1004,ru5p__d,Alternate Carbon Metabolism
1005,atp,Cell Envelope Biosynthesis
1006,ppi,Cell Envelope Biosynthesis
1008,amp,Cell Envelope Biosynthesis
1010,ttdca,Cell Envelope Biosynthesis
1016,ttdcea,Cell Envelope Biosynthesis
1022,hdca,Cell Envelope Biosynthesis
1026,hdcea,Cell Envelope Biosynthesis
1029,ocdcea,Cell Envelope Biosynthesis
1031,octeacp,Cell Envelope Biosynthesis
1039,ocdca,Cell Envelope Biosynthesis
1040,ocdcaacp,Cell Envelope Biosynthesis
1042,ddca,Cell Envelope Biosynthesis
1052,dca,Cell Envelope Biosynthesis
1056,octa,Cell Envelope Biosynthesis
1059,o2,Methylglyoxal Metabolism
1060,h2o,Methylglyoxal Metabolism
1061,aact,Methylglyoxal Metabolism
1062,h2o2,Methylglyoxal Metabolism
1063,mthgxl,Methylglyoxal Metabolism
1064,nh4,Methylglyoxal Metabolism
1065,unagamuf,Cell Envelope Biosynthesis
1066,unagamu,Cell Envelope Biosynthesis
1067,dtdp,Cell Envelope Biosynthesis
1069,dtdp4aaddg,Cell Envelope Biosynthesis
1070,14glucan,Alternate Carbon Metabolism
1071,malthx,Alternate Carbon Metabolism
1075,g6p,Alternate Carbon Metabolism
1076,hqn,Alternate Carbon Metabolism
1077,arbt6p,Alternate Carbon Metabolism
1078,akg,Arginine and Proline Metabolism
1079,glu__l,Arginine and Proline Metabolism
1080,sucsal,Arginine and Proline Metabolism
1081,4abut,Arginine and Proline Metabolism
1082,h2o,Arginine and Proline Metabolism
1083,4abutn,Arginine and Proline Metabolism
1085,h,Arginine and Proline Metabolism
1086,nad,Arginine and Proline Metabolism
1087,nadh,Arginine and Proline Metabolism
1091,4abut,"Transport, Inner Membrane"
1094,aacoa,Alternate Carbon Metabolism
1095,acac,Alternate Carbon Metabolism
1096,ac,Alternate Carbon Metabolism
1098,aacoa,Membrane Lipid Metabolism
1099,coa,Membrane Lipid Metabolism
1100,accoa,Membrane Lipid Metabolism
1101,btcoa,Membrane Lipid Metabolism
1104,3ohcoa,Membrane Lipid Metabolism
1106,3oocoa,Membrane Lipid Metabolism
1108,hxcoa,Membrane Lipid Metabolism
1109,occoa,Membrane Lipid Metabolism
1110,3odcoa,Membrane Lipid Metabolism
1113,3oddcoa,Membrane Lipid Metabolism
1115,dcacoa,Membrane Lipid Metabolism
1117,ddcacoa,Membrane Lipid Metabolism
1118,3otdcoa,Membrane Lipid Metabolism
1122,3ohdcoa,Membrane Lipid Metabolism
1123,tdcoa,Membrane Lipid Metabolism
1125,pmtcoa,Membrane Lipid Metabolism
1126,3oodcoa,Membrane Lipid Metabolism
1129,acac,"Transport, Inner Membrane"
1135,accoa,Pyruvate Metabolism
1136,acald,Pyruvate Metabolism
1137,coa,Pyruvate Metabolism
1138,h,Pyruvate Metabolism
1139,nad,Pyruvate Metabolism
1140,nadh,Pyruvate Metabolism
1143,acald,"Transport, Inner Membrane"
1145,anth,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1146,coa,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1147,accoa,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1148,acanth,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1149,adocbip,Cofactor and Prosthetic Group Biosynthesis
1150,ppi,Cofactor and Prosthetic Group Biosynthesis
1151,gtp,Cofactor and Prosthetic Group Biosynthesis
1153,agdpcbi,Cofactor and Prosthetic Group Biosynthesis
1154,malcoa,Membrane Lipid Metabolism
1155,adp,Membrane Lipid Metabolism
1156,atp,Membrane Lipid Metabolism
1157,hco3,Membrane Lipid Metabolism
1158,h,Membrane Lipid Metabolism
1160,pi,Membrane Lipid Metabolism
1161,ppcoa,Alternate Carbon Metabolism
1163,ppa,Alternate Carbon Metabolism
1166,pi,Alternate Carbon Metabolism
1181,acgam,Murein Recycling
1182,acgam6p,Murein Recycling
1186,uacgam,Cell Envelope Biosynthesis
1187,ump,Cell Envelope Biosynthesis
1188,udcpp,Cell Envelope Biosynthesis
1189,unaga,Cell Envelope Biosynthesis
1190,pep,"Transport, Inner Membrane"
1191,pyr,"Transport, Inner Membrane"
1193,acgam6p,"Transport, Inner Membrane"
1196,acg5p,Arginine and Proline Metabolism
1197,acglu,Arginine and Proline Metabolism
1198,atp,Arginine and Proline Metabolism
1199,adp,Arginine and Proline Metabolism
1202,coa,Arginine and Proline Metabolism
1204,accoa,Arginine and Proline Metabolism
1205,2ahbut,"Valine, Leucine, and Isoleucine Metabolism"
1206,pyr,"Valine, Leucine, and Isoleucine Metabolism"
1207,2obut,"Valine, Leucine, and Isoleucine Metabolism"
1208,co2,"Valine, Leucine, and Isoleucine Metabolism"
1209,h,"Valine, Leucine, and Isoleucine Metabolism"
1210,ac,Pyruvate Metabolism
1211,actp,Pyruvate Metabolism
1212,atp,Pyruvate Metabolism
1213,adp,Pyruvate Metabolism
1217,alac__s,"Valine, Leucine, and Isoleucine Metabolism"
1218,lac__d,Alternate Carbon Metabolism
1219,acmum6p,Alternate Carbon Metabolism
1220,acgam6p,Alternate Carbon Metabolism
1222,udp,Cell Envelope Biosynthesis
1225,uacmamu,Cell Envelope Biosynthesis
1230,acmanap,"Transport, Inner Membrane"
1234,acmum6p,"Transport, Inner Membrane"
1242,acnam,"Transport, Inner Membrane"
1245,pyr,Alternate Carbon Metabolism
1246,acmana,Alternate Carbon Metabolism
1247,acnam,Alternate Carbon Metabolism
1249,b2coa,Membrane Lipid Metabolism
1250,fadh2,Membrane Lipid Metabolism
1251,fad,Membrane Lipid Metabolism
1255,hx2coa,Membrane Lipid Metabolism
1256,oc2coa,Membrane Lipid Metabolism
1261,dc2coa,Membrane Lipid Metabolism
1267,dd2coa,Membrane Lipid Metabolism
1271,td2coa,Membrane Lipid Metabolism
1274,hdd2coa,Membrane Lipid Metabolism
1276,stcoa,Membrane Lipid Metabolism
1278,od2coa,Membrane Lipid Metabolism
1280,acacp,Membrane Lipid Metabolism
1281,acp,Membrane Lipid Metabolism
1284,ac,Arginine and Proline Metabolism
1285,orn,Arginine and Proline Metabolism
1287,acorn,Arginine and Proline Metabolism
1288,h2o,Lipopolysaccharide Biosynthesis / Recycling
1291,atp,Lipopolysaccharide Biosynthesis / Recycling
1292,h,Lipopolysaccharide Biosynthesis / Recycling
1293,adp,Lipopolysaccharide Biosynthesis / Recycling
1294,pi,Lipopolysaccharide Biosynthesis / Recycling
1295,acon_t,Unassigned
1296,acon_c,Unassigned
1297,amet,Unassigned
1298,ahcys,Unassigned
1300,aconm,Unassigned
1301,h2o,Citric Acid Cycle
1302,acon_c,Citric Acid Cycle
1303,cit,Citric Acid Cycle
1305,icit,Citric Acid Cycle
1309,acg5sa,Arginine and Proline Metabolism
1311,ddcap,Glycerophospholipid Metabolism
1312,pi,Glycerophospholipid Metabolism
1313,ddcaacp,Glycerophospholipid Metabolism
1314,acp,Glycerophospholipid Metabolism
1315,h,Glycerophospholipid Metabolism
1316,ttdcap,Glycerophospholipid Metabolism
1319,myrsacp,Glycerophospholipid Metabolism
1321,ttdceap,Glycerophospholipid Metabolism
1322,tdeacp,Glycerophospholipid Metabolism
1327,palmacp,Glycerophospholipid Metabolism
1329,hdcap,Glycerophospholipid Metabolism
1332,hdceap,Glycerophospholipid Metabolism
1335,hdeacp,Glycerophospholipid Metabolism
1336,ocdcaacp,Glycerophospholipid Metabolism
1338,ocdcap,Glycerophospholipid Metabolism
1341,octeacp,Glycerophospholipid Metabolism
1344,ocdceap,Glycerophospholipid Metabolism
1346,coa,Cofactor and Prosthetic Group Biosynthesis
1347,acp,Cofactor and Prosthetic Group Biosynthesis
1348,apoacp,Cofactor and Prosthetic Group Biosynthesis
1350,pap,Cofactor and Prosthetic Group Biosynthesis
1352,ppi,Pyruvate Metabolism
1354,amp,Pyruvate Metabolism
1360,acser,"Transport, Inner Membrane"
1362,ac,"Transport, Inner Membrane"
1368,na1,"Transport, Inner Membrane"
1372,ins,Nucleotide Salvage Pathway
1373,adn,Nucleotide Salvage Pathway
1376,pyr,Cofactor and Prosthetic Group Biosynthesis
1377,4adcho,Cofactor and Prosthetic Group Biosynthesis
1379,4abz,Cofactor and Prosthetic Group Biosynthesis
1380,glu__l,Cofactor and Prosthetic Group Biosynthesis
1382,chor,Cofactor and Prosthetic Group Biosynthesis
1383,gln__l,Cofactor and Prosthetic Group Biosynthesis
1386,ade,Nucleotide Salvage Pathway
1387,hxan,Nucleotide Salvage Pathway
1390,ade,"Transport, Inner Membrane"
1395,amp,Nucleotide Salvage Pathway
1396,atp,Nucleotide Salvage Pathway
1397,adp,Nucleotide Salvage Pathway
1398,gtp,Nucleotide Salvage Pathway
1399,gdp,Nucleotide Salvage Pathway
1402,idp,Nucleotide Salvage Pathway
1404,itp,Nucleotide Salvage Pathway
1406,ametam,Arginine and Proline Metabolism
1407,co2,Arginine and Proline Metabolism
1409,amet,Arginine and Proline Metabolism
1410,ppi,Nucleotide Salvage Pathway
1411,camp,Nucleotide Salvage Pathway
1419,ade,Alternate Carbon Metabolism
1420,adn,Alternate Carbon Metabolism
1421,rib__d,Alternate Carbon Metabolism
1422,adn,"Transport, Inner Membrane"
1433,adocbi,Cofactor and Prosthetic Group Biosynthesis
1434,atp,Cofactor and Prosthetic Group Biosynthesis
1435,adp,Cofactor and Prosthetic Group Biosynthesis
1437,adocbl,Cofactor and Prosthetic Group Biosynthesis
1438,gmp,Cofactor and Prosthetic Group Biosynthesis
1440,rdmbzi,Cofactor and Prosthetic Group Biosynthesis
1444,adocbl,"Transport, Inner Membrane"
1450,h,"Transport, Outer Membrane"
1455,r5p,Nucleotide Salvage Pathway
1456,adprib,Nucleotide Salvage Pathway
1461,prpp,Nucleotide Salvage Pathway
1462,adp,Cysteine Metabolism
1463,aps,Cysteine Metabolism
1464,paps,Cysteine Metabolism
1465,atp,Cysteine Metabolism
1466,h,Cysteine Metabolism
1467,fum,Purine and Pyrimidine Biosynthesis
1468,amp,Purine and Pyrimidine Biosynthesis
1469,dcamp,Purine and Pyrimidine Biosynthesis
1470,aicar,Purine and Pyrimidine Biosynthesis
1472,25aics,Purine and Pyrimidine Biosynthesis
1473,gdp,Purine and Pyrimidine Biosynthesis
1474,asp__l,Purine and Pyrimidine Biosynthesis
1475,gtp,Purine and Pyrimidine Biosynthesis
1476,h,Purine and Pyrimidine Biosynthesis
1477,pi,Purine and Pyrimidine Biosynthesis
1478,imp,Purine and Pyrimidine Biosynthesis
1483,gam6p,Alternate Carbon Metabolism
1485,anhgm3p,Murein Recycling
1487,anhgm,Murein Recycling
1495,anhm3p,Murein Recycling
1501,anhgm4p,Murein Recycling
1519,anhm4p,Murein Recycling
1525,anhm,Murein Recycling
1528,adphep_ld,Lipopolysaccharide Biosynthesis / Recycling
1529,adphep_dd,Lipopolysaccharide Biosynthesis / Recycling
1530,ptrc,Arginine and Proline Metabolism
1532,urea,Arginine and Proline Metabolism
1533,agm,Arginine and Proline Metabolism
1540,1ddecg3p,Glycerophospholipid Metabolism
1542,pa120,Glycerophospholipid Metabolism
1544,1tdecg3p,Glycerophospholipid Metabolism
1545,pa140,Glycerophospholipid Metabolism
1549,pa141,Glycerophospholipid Metabolism
1551,1tdec7eg3p,Glycerophospholipid Metabolism
1552,pa160,Glycerophospholipid Metabolism
1554,1hdecg3p,Glycerophospholipid Metabolism
1556,pa161,Glycerophospholipid Metabolism
1557,1hdec9eg3p,Glycerophospholipid Metabolism
1562,1odecg3p,Glycerophospholipid Metabolism
1563,pa180,Glycerophospholipid Metabolism
1564,1odec11eg3p,Glycerophospholipid Metabolism
1567,pa181,Glycerophospholipid Metabolism
1568,nadp,Arginine and Proline Metabolism
1569,nadph,Arginine and Proline Metabolism
1573,pi,Arginine and Proline Metabolism
1576,h,Inorganic Ion Transport and Metabolism
1577,ag,Inorganic Ion Transport and Metabolism
1578,ade,Methionine Metabolism
1579,h2o,Methionine Metabolism
1580,ahcys,Methionine Metabolism
1581,rhcys,Methionine Metabolism
1583,fprica,Purine and Pyrimidine Biosynthesis
1584,10fthf,Purine and Pyrimidine Biosynthesis
1585,thf,Purine and Pyrimidine Biosynthesis
1586,5caiz,Purine and Pyrimidine Biosynthesis
1587,atp,Purine and Pyrimidine Biosynthesis
1588,hco3,Purine and Pyrimidine Biosynthesis
1590,adp,Purine and Pyrimidine Biosynthesis
1591,air,Purine and Pyrimidine Biosynthesis
1594,5aizc,Purine and Pyrimidine Biosynthesis
1595,akg,Citric Acid Cycle
1596,nadh,Citric Acid Cycle
1597,succoa,Citric Acid Cycle
1598,coa,Citric Acid Cycle
1599,nad,Citric Acid Cycle
1600,co2,Citric Acid Cycle
1601,akg,"Transport, Inner Membrane"
1609,alaala,Murein Recycling
1616,alaala,"Transport, Inner Membrane"
1618,ala__d,Cell Envelope Biosynthesis
1620,adp,Cell Envelope Biosynthesis
1621,pi,Cell Envelope Biosynthesis
1622,alaala,Cell Envelope Biosynthesis
1625,laladglu,Murein Recycling
1626,lalalglu,Murein Recycling
1627,ala__d,Alanine and Aspartate Metabolism
1628,ala__l,Alanine and Aspartate Metabolism
1629,ala__d,Cofactor and Prosthetic Group Biosynthesis
1631,pydx5p,Cofactor and Prosthetic Group Biosynthesis
1632,pyam5p,Cofactor and Prosthetic Group Biosynthesis
1633,akg,Alanine and Aspartate Metabolism
1634,pyr,Alanine and Aspartate Metabolism
1636,glu__l,Alanine and Aspartate Metabolism
1639,ala__l,Cofactor and Prosthetic Group Biosynthesis
1641,trnaala,tRNA Charging
1642,atp,tRNA Charging
1643,ppi,tRNA Charging
1644,ala__l,tRNA Charging
1645,amp,tRNA Charging
1646,alatrna,tRNA Charging
1649,ala__l,"Transport, Inner Membrane"
1668,glyc,Alternate Carbon Metabolism
1670,glyald,Alternate Carbon Metabolism
1674,etoh,Pyruvate Metabolism
1679,pac,Alternate Carbon Metabolism
1682,pacald,Alternate Carbon Metabolism
1685,acald,Alternate Carbon Metabolism
1700,ppal,Alternate Carbon Metabolism
1703,btal,Alternate Carbon Metabolism
1704,but,Alternate Carbon Metabolism
1708,all6p,Alternate Carbon Metabolism
1709,all__d,Alternate Carbon Metabolism
1714,allul6p,Alternate Carbon Metabolism
1715,alltt,Alternate Carbon Metabolism
1716,urdglyc,Alternate Carbon Metabolism
1719,co2,Alternate Carbon Metabolism
1720,nh4,Alternate Carbon Metabolism
1721,alltt,Nitrogen Metabolism
1722,h2o,Nitrogen Metabolism
1723,h,Nitrogen Metabolism
1724,alltn,Nitrogen Metabolism
1725,alltn,"Transport, Inner Membrane"
1732,f6p,Alternate Carbon Metabolism
1734,all__d,"Transport, Inner Membrane"
1750,nadph,Methylglyoxal Metabolism
1751,nadp,Methylglyoxal Metabolism
1752,acetol,Methylglyoxal Metabolism
1753,h,Methylglyoxal Metabolism
1755,nadh,Glycerophospholipid Metabolism
1756,acetol,Glycerophospholipid Metabolism
1757,12ppd__r,Glycerophospholipid Metabolism
1758,nad,Glycerophospholipid Metabolism
1761,2ddglcn,Alternate Carbon Metabolism
1762,altrn,Alternate Carbon Metabolism
1775,glc__d,Alternate Carbon Metabolism
1776,malt,Alternate Carbon Metabolism
1777,malttr,Alternate Carbon Metabolism
1778,maltttr,Alternate Carbon Metabolism
1780,maltpt,Alternate Carbon Metabolism
1788,malthp,Alternate Carbon Metabolism
1792,acmanap,Alternate Carbon Metabolism
1798,8aonn,Cofactor and Prosthetic Group Biosynthesis
1799,dann,Cofactor and Prosthetic Group Biosynthesis
1800,amob,Cofactor and Prosthetic Group Biosynthesis
1801,amet,Cofactor and Prosthetic Group Biosynthesis
1803,mql8,Cofactor and Prosthetic Group Biosynthesis
1804,ahcys,Cofactor and Prosthetic Group Biosynthesis
1806,2dmmql8,Cofactor and Prosthetic Group Biosynthesis
1808,nad,Cofactor and Prosthetic Group Biosynthesis
1811,for,Cofactor and Prosthetic Group Biosynthesis
1812,air,Cofactor and Prosthetic Group Biosynthesis
1813,nadh,Cofactor and Prosthetic Group Biosynthesis
1818,cys__l,Cysteine Metabolism
1819,h2o,Cysteine Metabolism
1820,gly,Cysteine Metabolism
1821,cgly,Cysteine Metabolism
1823,pro__l,Arginine and Proline Metabolism
1824,gly,Arginine and Proline Metabolism
