,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,bigg.metabolite,chebiID,bigg.reaction
4874,,ATP,1.6.1.1,C00002,,4,3 ATP,725040,+,Escherichia coli,BRENDA,atp,CHEBI:15422,thd2pp
4875,,ATP,1.6.1.1,C00002,,4,4 ATP,725040,+,Escherichia coli,BRENDA,atp,CHEBI:15422,thd2pp
5528,,,1.8.1.9,,,153,cysteine,394918,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
5529,,,1.8.1.9,,,153,2 cysteine,394918,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
5534,,,1.8.1.9,,,153,cysteine,394933,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
5535,,,1.8.1.9,,,153,2 cysteine,394933,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
5546,,,1.8.1.9,,,153,cysteine,394946,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
5547,,,1.8.1.9,,,153,2 cysteine,394946,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,trdr
5569,,Orthophosphate,1.8.1.9,C00009,,16,phosphate,393993,+,Escherichia coli,BRENDA,pi,CHEBI:26078,trdr
5570,,Orthophosphate,1.8.1.9,C00009,,16,2 phosphate,393993,+,Escherichia coli,BRENDA,pi,CHEBI:26078,trdr
5571,,Orthophosphate,1.8.1.9,C00009,,16,16 phosphate,393993,+,Escherichia coli,BRENDA,pi,CHEBI:26078,trdr
5572,,Orthophosphate,1.8.1.9,C00009,,16,6 phosphate,393993,+,Escherichia coli,BRENDA,pi,CHEBI:26078,trdr
5573,,Orthophosphate,1.8.1.9,C00009,,16,3 phosphate,393993,+,Escherichia coli,BRENDA,pi,CHEBI:26078,trdr
5574,,Orthophosphate,1.8.1.9,C00009,,16,4 phosphate,393993,+,Escherichia coli,BRENDA,pi,CHEBI:26078,trdr
6120,,,1.11.1.6,,,1063,histidine,439802,+,Escherichia coli,BRENDA,his__l,CHEBI:57595,cat
7756,,Heme,1.14.12.17,C00032,,822,Hemin,285279,+,Escherichia coli,BRENDA,pheme,CHEBI:26355,nodox
9630,,ATP,1.17.4.1,C00002,,4,ATP,"437913, 437918, 437937, 437938",+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9631,,ATP,1.17.4.1,C00002,,4,2 ATP,"437913, 437918, 437937, 437938",+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9632,,ATP,1.17.4.1,C00002,,4,16 ATP,"437913, 437918, 437937, 437938",+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9633,,ATP,1.17.4.1,C00002,,4,6 ATP,"437913, 437918, 437937, 437938",+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9634,,ATP,1.17.4.1,C00002,,4,3 ATP,"437913, 437918, 437937, 437938",+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9635,,ATP,1.17.4.1,C00002,,4,4 ATP,"437913, 437918, 437937, 437938",+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9684,,ATP,1.17.4.1,C00002,,4,ATP,687294,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9685,,ATP,1.17.4.1,C00002,,4,2 ATP,687294,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9686,,ATP,1.17.4.1,C00002,,4,16 ATP,687294,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9687,,ATP,1.17.4.1,C00002,,4,6 ATP,687294,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9688,,ATP,1.17.4.1,C00002,,4,3 ATP,687294,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9689,,ATP,1.17.4.1,C00002,,4,4 ATP,687294,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9708,,ATP,1.17.4.1,C00002,,4,ATP,714233,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9709,,ATP,1.17.4.1,C00002,,4,2 ATP,714233,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9710,,ATP,1.17.4.1,C00002,,4,16 ATP,714233,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9711,,ATP,1.17.4.1,C00002,,4,6 ATP,714233,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9712,,ATP,1.17.4.1,C00002,,4,3 ATP,714233,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9713,,ATP,1.17.4.1,C00002,,4,4 ATP,714233,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9720,,ATP,1.17.4.1,C00002,,4,ATP,716317,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9721,,ATP,1.17.4.1,C00002,,4,2 ATP,716317,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9722,,ATP,1.17.4.1,C00002,,4,16 ATP,716317,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9723,,ATP,1.17.4.1,C00002,,4,6 ATP,716317,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9724,,ATP,1.17.4.1,C00002,,4,3 ATP,716317,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9725,,ATP,1.17.4.1,C00002,,4,4 ATP,716317,+,Escherichia coli,BRENDA,atp,CHEBI:15422,rndr1
9754,,dATP,1.17.4.1,C00131,,140,dATP,437913,+,Escherichia coli,BRENDA,datp,CHEBI:16284,rndr1
9755,,dATP,1.17.4.1,C00131,,140,3 dATP,437913,+,Escherichia coli,BRENDA,datp,CHEBI:16284,rndr1
9770,,dATP,1.17.4.1,C00131,,140,dATP,"437976, 714184",+,Escherichia coli,BRENDA,datp,CHEBI:16284,rndr1
9771,,dATP,1.17.4.1,C00131,,140,3 dATP,"437976, 714184",+,Escherichia coli,BRENDA,datp,CHEBI:16284,rndr1
9780,,dCTP,1.17.4.1,C00458,,179,dCTP,437918,+,Escherichia coli,BRENDA,dctp,CHEBI:16311,rndr1
9791,,dGTP,1.17.4.1,C00286,,219,dGTP,437913,+,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
9795,,dGTP,1.17.4.1,C00286,,219,dGTP,437918,+,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
9809,,dGTP,1.17.4.1,C00286,,219,dGTP,437937,+,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
9813,,dGTP,1.17.4.1,C00286,,219,dGTP,437976,+,Escherichia coli,BRENDA,dgtp,CHEBI:16497,rndr1
9839,,,1.17.4.1,,,145,dTTP,437913,+,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
9843,,,1.17.4.1,,,145,dTTP,437918,+,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
9855,,,1.17.4.1,,,145,dTTP,437937,+,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
9859,,,1.17.4.1,,,145,dTTP,437938,+,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
9860,,,1.17.4.1,,,145,dTTP,437976,+,Escherichia coli,BRENDA,dttp,CHEBI:37568,rndr1
9870,,,1.17.4.1,,,22,H2O2,437927,+,Escherichia coli,BRENDA,h2o2,CHEBI:29192,rndr1
9871,,,1.17.4.1,,,22,2 H2O2,437927,+,Escherichia coli,BRENDA,h2o2,CHEBI:29192,rndr1
9872,,,1.17.4.1,,,22,3 H2O2,437927,+,Escherichia coli,BRENDA,h2o2,CHEBI:29192,rndr1
9873,,,1.17.4.1,,,22,4 H2O2,437927,+,Escherichia coli,BRENDA,h2o2,CHEBI:29192,rndr1
10449,,,2.1.1.10,,,153,cysteine,441382,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,hcysmt
10450,,,2.1.1.10,,,153,2 cysteine,441382,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,hcysmt
10451,,,2.1.1.10,,,747,homocysteine,441382,+,Escherichia coli,BRENDA,hcys__l,CHEBI:58199,hcysmt
10452,,,2.1.1.10,,,747,2 homocysteine,441382,+,Escherichia coli,BRENDA,hcys__l,CHEBI:58199,hcysmt
10453,,,2.1.1.10,,,5553,homoserine,441382,+,Escherichia coli,BRENDA,hom__l,CHEBI:30653,hcysmt
10457,,,2.1.1.10,,,46234,S-[(2R)-2-amino-2-carboxyethyl]-L-homocysteine,441382,+,Escherichia coli,BRENDA,cyst__l,CHEBI:58161,hcysmt
10467,,Potassium cation,2.1.1.13,C00238,,39,K+,441179,+,Escherichia coli,BRENDA,k,CHEBI:29103,mets
10468,,Potassium cation,2.1.1.13,C00238,,39,2 K+,441179,+,Escherichia coli,BRENDA,k,CHEBI:29103,mets
10472,,Sodium cation,2.1.1.13,C01330,,59,Na+,441179,+,Escherichia coli,BRENDA,na1,CHEBI:29101,mets
10486,,S-Adenosyl-L-methionine,2.1.1.13,C00019,,24,S-adenosyl-L-methionine,659993,+,Escherichia coli,BRENDA,amet,CHEBI:15414,mets
10487,,S-Adenosyl-L-methionine,2.1.1.13,C00019,,24,2 S-adenosyl-L-methionine,659993,+,Escherichia coli,BRENDA,amet,CHEBI:15414,mets
10488,,S-Adenosyl-L-methionine,2.1.1.13,C00019,,24,3 S-adenosyl-L-methionine,659993,+,Escherichia coli,BRENDA,amet,CHEBI:15414,mets
10489,,S-Adenosyl-L-methionine,2.1.1.13,C00019,,24,4 S-adenosyl-L-methionine,659993,+,Escherichia coli,BRENDA,amet,CHEBI:15414,mets
10490,,S-Adenosyl-L-methionine,2.1.1.13,C00019,,404,S-adenosylmethionine,441179,+,Escherichia coli,BRENDA,amet,CHEBI:15414,mets
10702,,Carbonic acid,2.1.1.79,C01353,,1136,bicarbonate,680343,+,Escherichia coli,BRENDA,hco3,CHEBI:28976,cfas160e
10936,,,2.1.2.1,,,95,L-serine,718984,+,Escherichia coli,BRENDA,ser__l,CHEBI:33384,ghmt2r
10937,,,2.1.2.1,,,95,3 L-serine,718984,+,Escherichia coli,BRENDA,ser__l,CHEBI:33384,ghmt2r
10963,,Adenosine,2.1.3.2,C00212,,122,adenosine,485837,+,Escherichia coli,BRENDA,adn,CHEBI:16335,aspct
10964,,Adenosine,2.1.3.2,C00212,,122,3 adenosine,485837,+,Escherichia coli,BRENDA,adn,CHEBI:16335,aspct
10966,,ATP,2.1.3.2,C00002,,4,ATP,485838,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10967,,ATP,2.1.3.2,C00002,,4,2 ATP,485838,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10968,,ATP,2.1.3.2,C00002,,4,16 ATP,485838,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10969,,ATP,2.1.3.2,C00002,,4,6 ATP,485838,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10970,,ATP,2.1.3.2,C00002,,4,3 ATP,485838,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10971,,ATP,2.1.3.2,C00002,,4,4 ATP,485838,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10990,,ATP,2.1.3.2,C00002,,4,ATP,662646,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10991,,ATP,2.1.3.2,C00002,,4,2 ATP,662646,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10992,,ATP,2.1.3.2,C00002,,4,16 ATP,662646,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10993,,ATP,2.1.3.2,C00002,,4,6 ATP,662646,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10994,,ATP,2.1.3.2,C00002,,4,3 ATP,662646,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10995,,ATP,2.1.3.2,C00002,,4,4 ATP,662646,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10996,,ATP,2.1.3.2,C00002,,4,ATP,685252,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10997,,ATP,2.1.3.2,C00002,,4,2 ATP,685252,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10998,,ATP,2.1.3.2,C00002,,4,16 ATP,685252,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
10999,,ATP,2.1.3.2,C00002,,4,6 ATP,685252,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11000,,ATP,2.1.3.2,C00002,,4,3 ATP,685252,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11001,,ATP,2.1.3.2,C00002,,4,4 ATP,685252,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11008,,ATP,2.1.3.2,C00002,,4,ATP,699559,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11009,,ATP,2.1.3.2,C00002,,4,2 ATP,699559,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11010,,ATP,2.1.3.2,C00002,,4,16 ATP,699559,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11011,,ATP,2.1.3.2,C00002,,4,6 ATP,699559,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11012,,ATP,2.1.3.2,C00002,,4,3 ATP,699559,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11013,,ATP,2.1.3.2,C00002,,4,4 ATP,699559,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11014,,ATP,2.1.3.2,C00002,,4,ATP,699578,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11015,,ATP,2.1.3.2,C00002,,4,2 ATP,699578,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11016,,ATP,2.1.3.2,C00002,,4,16 ATP,699578,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11017,,ATP,2.1.3.2,C00002,,4,6 ATP,699578,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11018,,ATP,2.1.3.2,C00002,,4,3 ATP,699578,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11019,,ATP,2.1.3.2,C00002,,4,4 ATP,699578,+,Escherichia coli,BRENDA,atp,CHEBI:15422,aspct
11031,,,2.1.3.2,,,60,CTP,662646,+,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
11032,,,2.1.3.2,,,60,2 CTP,662646,+,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
11033,,,2.1.3.2,,,60,3 CTP,662646,+,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
11034,,,2.1.3.2,,,60,CTP,699578,+,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
11035,,,2.1.3.2,,,60,2 CTP,699578,+,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
11036,,,2.1.3.2,,,60,3 CTP,699578,+,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
11055,,(S)-Malate,2.1.3.2,C00149,,247,L-Malate,485853,+,Escherichia coli,BRENDA,mal__l,CHEBI:30797,aspct
11071,,Succinate,2.1.3.2,C00042,,58,succinate,485853,+,Escherichia coli,BRENDA,succ,CHEBI:15741,aspct
11072,,Succinate,2.1.3.2,C00042,,58,2 succinate,485853,+,Escherichia coli,BRENDA,succ,CHEBI:15741,aspct
11079,,UTP,2.1.3.2,C00075,,65,UTP,662646,+,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
11080,,UTP,2.1.3.2,C00075,,65,3 UTP,662646,+,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
11153,,,2.2.1.1,,,1126,hydrogen peroxide,694217,+,Escherichia coli,BRENDA,h2o2,CHEBI:29192,tkt1
11201,,,2.2.1.9,,,91,thiamine diphosphate,685086,+,Escherichia coli,BRENDA,thmpp,CHEBI:45931,sephchcs
11335,,Pyruvate,2.3.1.8,C00022,,31,pyruvate,487532,+,Escherichia coli,BRENDA,pyr,CHEBI:32816,pta2
11336,,Pyruvate,2.3.1.8,C00022,,31,2 pyruvate,487532,+,Escherichia coli,BRENDA,pyr,CHEBI:32816,pta2
11339,,Pyruvate,2.3.1.8,C00022,,31,pyruvate,720217,+,Escherichia coli,BRENDA,pyr,CHEBI:32816,pta2
11340,,Pyruvate,2.3.1.8,C00022,,31,2 pyruvate,720217,+,Escherichia coli,BRENDA,pyr,CHEBI:32816,pta2
11351,,ATP,2.3.1.15,C00002,,4,ATP,486381,+,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pat120
11352,,ATP,2.3.1.15,C00002,,4,2 ATP,486381,+,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pat120
11353,,ATP,2.3.1.15,C00002,,4,16 ATP,486381,+,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pat120
11354,,ATP,2.3.1.15,C00002,,4,6 ATP,486381,+,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pat120
11355,,ATP,2.3.1.15,C00002,,4,3 ATP,486381,+,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pat120
11356,,ATP,2.3.1.15,C00002,,4,4 ATP,486381,+,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pat120
11723,,Orthophosphate,2.3.1.41,C00009,,16,phosphate,486864,+,Escherichia coli,BRENDA,pi,CHEBI:26078,3oas121
11724,,Orthophosphate,2.3.1.41,C00009,,16,2 phosphate,486864,+,Escherichia coli,BRENDA,pi,CHEBI:26078,3oas121
11725,,Orthophosphate,2.3.1.41,C00009,,16,16 phosphate,486864,+,Escherichia coli,BRENDA,pi,CHEBI:26078,3oas121
11726,,Orthophosphate,2.3.1.41,C00009,,16,6 phosphate,486864,+,Escherichia coli,BRENDA,pi,CHEBI:26078,3oas121
11727,,Orthophosphate,2.3.1.41,C00009,,16,3 phosphate,486864,+,Escherichia coli,BRENDA,pi,CHEBI:26078,3oas121
11728,,Orthophosphate,2.3.1.41,C00009,,16,4 phosphate,486864,+,Escherichia coli,BRENDA,pi,CHEBI:26078,3oas121
11917,,Oxamate,2.3.1.54,C01444,,825,Oxamate,487222,+,Escherichia coli,BRENDA,oxam,CHEBI:18058,obtfl
11919,,Oxamate,2.3.1.54,C01444,,825,Oxamate,"487221, 487239",+,Escherichia coli,BRENDA,oxam,CHEBI:18058,obtfl
11920,,Pyruvate,2.3.1.54,C00022,,31,pyruvate,"487221, 487239",+,Escherichia coli,BRENDA,pyr,CHEBI:32816,obtfl
11921,,Pyruvate,2.3.1.54,C00022,,31,2 pyruvate,"487221, 487239",+,Escherichia coli,BRENDA,pyr,CHEBI:32816,obtfl
11927,,S-Adenosyl-L-methionine,2.3.1.54,C00019,,404,S-adenosylmethionine,"14936, 487219, 487222, 487230",+,Escherichia coli,BRENDA,amet,CHEBI:15414,obtfl
11928,,S-Adenosyl-L-methionine,2.3.1.54,C00019,,404,S-adenosylmethionine,"487218, 487221, 487239",+,Escherichia coli,BRENDA,amet,CHEBI:15414,obtfl
12463,,AMP,2.4.1.1,C00020,,236,5'-AMP,488238,+,Escherichia coli,BRENDA,amp,CHEBI:16027,glcp2
13416,,,2.4.1.21,,,131,citrate,"488903, 488914",+,Escherichia coli,BRENDA,cit,CHEBI:76049,glcs1
14454,,Calcium cation,2.4.1.227,C00076,,15,Ca2+,488971,+,Escherichia coli,BRENDA,ca2,CHEBI:29108,uagpt3
14456,,Dimethyl sulfoxide,2.4.1.227,C11143,,1217,dimethyl sulfoxide,488978,+,Escherichia coli,BRENDA,dmso,CHEBI:28262,uagpt3
14457,,Dimethyl sulfoxide,2.4.1.227,C11143,,896,DMSO,703764,+,Escherichia coli,BRENDA,dmso,CHEBI:28262,uagpt3
14458,,Magnesium cation,2.4.1.227,C00305,,6,Mg2+,"488971, 488973, 488974, 488976, 488978",+,Escherichia coli,BRENDA,mg2,CHEBI:18420,uagpt3
14627,,Acetate,2.4.2.8,C00033,,47,acetate,638391,+,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
14628,,Acetate,2.4.2.8,C00033,,47,2 acetate,638391,+,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
14629,,Acetate,2.4.2.8,C00033,,47,6 acetate,638391,+,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
14630,,Acetate,2.4.2.8,C00033,,47,3 acetate,638391,+,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
14631,,Acetate,2.4.2.8,C00033,,47,4 acetate,638391,+,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
14632,,Acetate,2.4.2.8,C00033,,47,5 acetate,638391,+,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
14633,,Acetate,2.4.2.8,C00033,,47,7 acetate,638391,+,Escherichia coli,BRENDA,ac,CHEBI:15366,adpt
14657,,GTP,2.4.2.9,C00044,,37,GTP,638362,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14658,,GTP,2.4.2.9,C00044,,37,2 GTP,638362,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14659,,GTP,2.4.2.9,C00044,,37,3 GTP,638362,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14666,,GTP,2.4.2.9,C00044,,37,GTP,638369,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14667,,GTP,2.4.2.9,C00044,,37,2 GTP,638369,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14668,,GTP,2.4.2.9,C00044,,37,3 GTP,638369,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14669,,GTP,2.4.2.9,C00044,,37,GTP,638372,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14670,,GTP,2.4.2.9,C00044,,37,2 GTP,638372,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
14671,,GTP,2.4.2.9,C00044,,37,3 GTP,638372,+,Escherichia coli,BRENDA,gtp,CHEBI:15996,upprt
