bigg.metabolite,Alanine and Aspartate Metabolism,Alternate Carbon Metabolism,Anaplerotic Reactions,Arginine and Proline Metabolism,Cell Envelope Biosynthesis,Citric Acid Cycle,Cofactor and Prosthetic Group Biosynthesis,Cysteine Metabolism,Folate Metabolism,Glutamate Metabolism,Glycerophospholipid Metabolism,Glycine and Serine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate Metabolism,Histidine Metabolism,Inorganic Ion Transport and Metabolism,Lipopolysaccharide Biosynthesis / Recycling,Membrane Lipid Metabolism,Methionine Metabolism,Methylglyoxal Metabolism,Murein Biosynthesis,Murein Recycling,Nitrogen Metabolism,Nucleotide Salvage Pathway,Oxidative Phosphorylation,Pentose Phosphate Pathway,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism,Threonine and Lysine Metabolism,"Transport, Inner Membrane","Tyrosine, Tryptophan, and Phenylalanine Metabolism",Unassigned,"Valine, Leucine, and Isoleucine Metabolism",tRNA Charging
ala_b,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
alaala,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altrn,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amet,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
ametam,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amp,1.0,2.0,,,1.0,,8.0,,,2.0,1.0,,3.0,,2.0,,,,,,,,,5.0,,1.0,4.0,2.0,,,,1.0,,3.0
anth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
ap5a,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
apoacp,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
appl,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aps,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ara5p,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
arg__l,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asn__l,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
aso3,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
aso4,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
asp__l,3.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
aspsa,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
athr__l,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
atp,1.0,8.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,4.0,,1.0,,1.0,,,,,,,6.0,,2.0,3.0,1.0,,1.0,,,,1.0
betald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
but,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca2,,5.0,4.0,,3.0,,4.0,2.0,,1.0,3.0,,3.0,,2.0,1.0,2.0,,,,,,,2.0,3.0,,1.0,,,,,1.0,,
camp,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
cbm,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
cbp,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
cd2,,5.0,,2.0,,1.0,2.0,2.0,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,,,
cdp,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
chol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
cinnm,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
cit,1.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
citr__l,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
cl,,2.0,1.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0
cmp,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
coa,,3.0,,1.0,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
cobalt2,,4.0,1.0,3.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,
ctp,,,,,,,3.0,,,2.0,1.0,,,,,,,,,,,,,5.0,,,2.0,,,,,,,
cu2,1.0,9.0,1.0,6.0,1.0,,6.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,,,,,,1.0,6.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,
cyan,,1.0,,2.0,,,,2.0,,,,,1.0,,,,,,,,,,2.0,,2.0,,,,,,1.0,3.0,,1.0
cynt,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
cys__d,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cys__l,,1.0,1.0,,1.0,,2.0,5.0,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0
cyst__l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
cytd,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
dad_2,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,
damp,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
datp,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,2.0
dcacoa,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
dcdp,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
dctp,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,1.0,,,,,,,
ddcacoa,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
dgsn,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,
dgtp,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,,1.0,,,,,,,
dha,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhap,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
dhf,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
dhpmp,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhpt,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dmso,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
dpcoa,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dtbt,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
dtdp,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dtdpglu,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
dtdprmn,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dtmp,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
dttp,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,
dump,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
duri,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
dutp,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
e4p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
etha,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
etoh,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1p,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
f6p,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
fad,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
fald,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
fe2,,4.0,,3.0,1.0,,7.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,3.0,,,
fe3,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
for,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
fruur,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fum,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
g1p,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
g3p,,2.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
g6p,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
gal,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gal1p,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galct__d,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam6p,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
gcald,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
gdp,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,5.0,,,4.0,,1.0,,,,,
gdpfuc,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gdptp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
glc__d,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
glcn,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcr,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gln__l,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
glu5sa,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
glu__d,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
glu__l,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,3.0,,,,,1.0
glx,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
gly,,,,1.0,2.0,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
glyald,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
glyc,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
glyc3p,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
glyclt,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
gmp,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,4.0,,,,,,,
gsn,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,
gthox,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
gtp,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,1.0,,,,,9.0,,,4.0,,1.0,,,,,
gua,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
h2o2,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,3.0,,1.0
h2s,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
hco3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcys__l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
hdcea,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
hg2,1.0,5.0,1.0,3.0,,1.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,,3.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,
his__l,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
histd,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
hom__l,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,
hpyr,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
iasp,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
icit,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ile__l,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,
imp,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,
indole,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ins,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
itp,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,1.0
k,,2.0,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,
kdo,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kdo2lipid4,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
kdo8p,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
lac__l,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
lald__d,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
lald__l,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leu__l,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,
lipa,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
lipidads,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
lys__l,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
mal__d,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mal__l,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
malcoa,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
man6p,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mana,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meoh,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
met__d,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
met__l,,,,1.0,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,1.0,,1.0,,,
metsox_s__l,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
mg2,1.0,2.0,2.0,1.0,2.0,,5.0,1.0,,,3.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,2.0
mlthf,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
mn2,1.0,6.0,,2.0,1.0,,4.0,3.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,
mnl1p,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
mthgxl,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na1,1.0,1.0,,1.0,,,3.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,
nad,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
nadh,1.0,4.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,
nadp,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,
nadph,1.0,2.0,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,1.0,
ni2,,4.0,,5.0,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,
nicrnt,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmn,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
no2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
no3,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,
o2,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
o2s,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
oaa,,,1.0,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
ocdcea,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
orn,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
oxa,,1.0,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
oxam,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
pacald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
pan4p,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pant__r,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pap,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
paps,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pdx5p,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
pep,,3.0,2.0,,,1.0,1.0,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,1.0,,,
phe__l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
phpyr,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
phthr,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi,,3.0,1.0,1.0,,,3.0,,,,2.0,,2.0,,,,1.0,,1.0,1.0,,,,3.0,1.0,2.0,1.0,,,,1.0,1.0,,
pmtcoa,,1.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
pnto__r,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppa,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ppal,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppcoa,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppgpp,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,
pphn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
ppi,2.0,2.0,1.0,,2.0,,7.0,,,,,,2.0,,,,1.0,,1.0,1.0,,,,3.0,1.0,1.0,2.0,1.0,,,,,,5.0
ppp9,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pppi,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
pppn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
pram,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
pro__l,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpp,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
pser__l,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ptrc,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
pyam5p,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
pydam,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
pydx,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
pydx5p,,,,,1.0,,4.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,
pydxn,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
pyr,,3.0,1.0,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
r1p,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
rib__d,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ribflv,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ru5p__d,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
s17bp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
s7p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
sarcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
sbt6p,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ser__l,,,,1.0,1.0,,,1.0,,2.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,
so3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
so4,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,1.0,,1.0
spmd,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
succ,1.0,,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,
succoa,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
tartr__d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
tartr__l,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taur,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdcoa,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
thf,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
