,EC_number,bigg.metabolite,KM_Value,growth condition,concentration,saturation,met:EC,elasticity,bigg.reaction
18,2.6.1.11,akg,2.5,Galactose,0.149,0.0562476406191,akg:2.6.1.11,0.943752359381,acota
19,2.6.1.19,akg,1.07,Galactose,0.149,0.122231337162,akg:2.6.1.19,0.877768662838,abta
20,2.6.1.29,akg,0.88,Galactose,0.149,0.144800777454,akg:2.6.1.29,0.855199222546,spmdat2
21,2.6.1.42,akg,1.02088376734,Galactose,0.149,0.127363080128,akg:2.6.1.42,0.872636919872,ileta
22,2.6.1.82,akg,19.0,Galactose,0.149,0.00778108517416,akg:2.6.1.82,0.992218914826,ptrcta
23,1.1.1.37,mal__l,2.6,Galactose,0.54,0.171974522293,mal__l:1.1.1.37,0.828025477707,mdh
24,1.1.1.40,mal__l,3.41,Galactose,0.54,0.136708860759,mal__l:1.1.1.40,0.863291139241,me2
25,4.2.1.2,mal__l,0.272864188864,Galactose,0.54,0.664317615904,mal__l:4.2.1.2,0.335682384096,fum
26,1.1.1.44,6pgc,0.093,Galactose,0.371,0.799568965517,6pgc:1.1.1.44,0.200431034483,gnd
27,1.1.1.49,g6p,0.185688522541,Galactose,,,g6p:1.1.1.49,,g6pdh2r
28,2.4.1.15,g6p,5.26782687643,Galactose,,,g6p:2.4.1.15,,tre6ps
29,2.6.1.16,g6p,16.0,Galactose,,,g6p:2.6.1.16,,gf6pta
30,5.3.1.9,g6p,0.28,Galactose,,,g6p:5.3.1.9,,pgi
31,1.1.1.94,dhap,0.17,Galactose,0.573,0.771197846568,dhap:1.1.1.94,0.228802153432,g3pd2
32,4.1.2.17,dhap,54.7,Galactose,0.573,0.0103667251642,dhap:4.1.2.17,0.989633274836,fclpa
33,4.1.2.19,dhap,0.711378660898,Galactose,0.573,0.446130115241,dhap:4.1.2.19,0.553869884759,rmpa
34,4.2.3.3,dhap,0.501816593132,Galactose,0.573,0.533114210984,dhap:4.2.3.3,0.466885789016,mgsa
35,1.1.1.94,glyc3p,0.21,Galactose,0.304,0.591439688716,glyc3p:1.1.1.94,0.408560311284,g3pd2
36,2.3.1.15,glyc3p,0.391158559217,Galactose,0.304,0.437310302764,glyc3p:2.3.1.15,0.562689697236,g3pat120
37,2.7.8.5,glyc3p,0.32,Galactose,0.304,0.487179487179,glyc3p:2.7.8.5,0.512820512821,pgsa120
38,3.1.3.21,glyc3p,2.9,Galactose,0.304,0.0948813982522,glyc3p:3.1.3.21,0.905118601748,g3pt
39,1.17.4.1,atp,0.07,Galactose,1.326,0.949856733524,atp:1.17.4.1,0.0501432664756,rndr1
40,2.1.2.2,atp,0.0774,Galactose,1.326,0.944848225737,atp:2.1.2.2,0.0551517742625,garft
41,2.5.1.6,atp,0.0778395786217,Galactose,1.326,0.944552369226,atp:2.5.1.6,0.0554476307742,metat
42,2.7.1.107,atp,1.07364350264,Galactose,1.326,0.552582080855,atp:2.7.1.107,0.447417919145,dagk160
43,2.7.1.11,atp,0.0508000513259,Galactose,1.326,0.963102811278,atp:2.7.1.11,0.0368971887218,pfk
44,2.7.1.12,atp,0.0743975806058,Galactose,1.326,0.946873958056,atp:2.7.1.12,0.0531260419442,gnk
45,2.7.1.148,atp,0.02,Galactose,1.326,0.98514115899,atp:2.7.1.148,0.0148588410104,cdpmek
46,2.7.1.16,atp,0.153845688374,Galactose,1.326,0.896039371143,atp:2.7.1.16,0.103960628857,rbk_l1
47,2.7.1.2,atp,1.37113092008,Galactose,1.326,0.491633531813,atp:2.7.1.2,0.508366468187,hex1
48,2.7.1.23,atp,0.758287544405,Galactose,1.326,0.636188612056,atp:2.7.1.23,0.363811387944,nadk
49,2.7.1.25,atp,0.01,Galactose,1.326,0.99251497006,atp:2.7.1.25,0.00748502994012,adsk
50,2.7.1.30,atp,0.0078,Galactose,1.326,0.994152046784,atp:2.7.1.30,0.00584795321637,glyk
51,2.7.1.33,atp,0.21607868937,Galactose,1.326,0.85987829878,atp:2.7.1.33,0.14012170122,pntk
52,2.7.1.39,atp,0.406201920232,Galactose,1.326,0.765499670975,atp:2.7.1.39,0.234500329025,hsk
53,2.7.1.49,atp,0.1431,Galactose,1.326,0.902593424546,atp:2.7.1.49,0.0974065754544,hmpk1
54,2.7.1.56,atp,0.293179441776,Galactose,1.326,0.818933322514,atp:2.7.1.56,0.181066677486,fruk
55,2.7.1.59,atp,0.0112249721603,Galactose,1.326,0.991605771359,atp:2.7.1.59,0.00839422864067,acgamk
56,2.7.1.6,atp,2.36643191324,Galactose,1.326,0.359112918303,atp:2.7.1.6,0.640887081697,galkr
57,2.7.1.71,atp,0.16,Galactose,1.326,0.892328398385,atp:2.7.1.71,0.107671601615,shkk
58,2.7.1.73,atp,0.601747455333,Galactose,1.326,0.687849436051,atp:2.7.1.73,0.312150563949,gsnk
59,2.7.2.11,atp,0.736806299728,Galactose,1.326,0.642813627326,atp:2.7.2.11,0.357186372674,glu5k
60,2.7.2.4,atp,1.60078067845,Galactose,1.326,0.453057521448,atp:2.7.2.4,0.546942478552,aspk
61,2.7.2.8,atp,0.683277145225,Galactose,1.326,0.659938825837,atp:2.7.2.8,0.340061174163,acgk
62,2.7.4.16,atp,0.27,Galactose,1.326,0.830827067669,atp:2.7.4.16,0.169172932331,tmpk
63,2.7.4.25,atp,0.038,Galactose,1.326,0.972140762463,atp:2.7.4.25,0.0278592375367,cytk1
64,2.7.4.3,atp,0.0850220126159,Galactose,1.326,0.939744375456,atp:2.7.4.3,0.0602556245443,adk1
65,2.7.4.7,atp,0.193,Galactose,1.326,0.872942725477,atp:2.7.4.7,0.127057274523,pmpk
66,2.7.4.9,atp,0.219089023002,Galactose,1.326,0.858202977472,atp:2.7.4.9,0.141797022528,dtmpk
67,2.7.6.1,atp,0.023,Galactose,1.326,0.98295033358,atp:2.7.6.1,0.0170496664196,prpps
68,2.7.6.3,atp,0.0156390540219,Galactose,1.326,0.988343322315,atp:2.7.6.3,0.0116566776847,hppk2
69,2.7.7.18,atp,0.0291547594742,Galactose,1.326,0.978486029532,atp:2.7.7.18,0.0215139704675,nmnat
70,2.7.7.27,atp,0.628689062868,Galactose,1.326,0.678368762167,atp:2.7.7.27,0.321631237833,glgc
71,2.7.7.3,atp,0.22,Galactose,1.326,0.857697283312,atp:2.7.7.3,0.142302716688,ptpati
72,2.7.7.58,atp,1.12,Galactose,1.326,0.542109566639,atp:2.7.7.58,0.457890433361,dhbs
73,2.7.7.63,atp,0.00547905101272,Galactose,1.326,0.995884988946,atp:2.7.7.63,0.00411501105373,lipatpt
74,2.7.9.2,atp,0.028,Galactose,1.326,0.979320531758,atp:2.7.9.2,0.0206794682422,pps
75,2.7.9.3,atp,1.03923048454,Galactose,1.326,0.560621896541,atp:2.7.9.3,0.439378103459,selnps
76,3.1.3.5,atp,0.377182051535,Galactose,1.326,0.778542727599,atp:3.1.3.5,0.221457272401,ntd10
77,3.1.4.16,atp,0.18,Galactose,1.326,0.880478087649,atp:3.1.4.16,0.119521912351,23pde2pp
78,3.6.3.14,atp,0.116000843096,Galactose,1.326,0.919555634345,atp:3.6.3.14,0.0804443656546,atps4rpp
79,3.6.3.16,atp,0.161156826931,Galactose,1.326,0.891634275543,atp:3.6.3.16,0.108365724457,aso3t8pp
80,3.6.3.19,atp,0.148398113196,Galactose,1.326,0.89935003859,atp:3.6.3.19,0.10064996141,maltabcpp
81,3.6.3.27,atp,0.0239,Galactose,1.326,0.982294984814,atp:3.6.3.27,0.0177050151863,piuabcpp
82,3.6.3.31,atp,0.356914284197,Galactose,1.326,0.787918916876,atp:3.6.3.31,0.212081083124,ptrcabcpp
83,3.6.3.33,atp,0.0638827050147,Galactose,1.326,0.95403734086,atp:3.6.3.33,0.0459626591397,cbl1abcpp
84,3.6.3.5,atp,0.0139642400438,Galactose,1.326,0.989578647231,atp:3.6.3.5,0.0104213527693,zn2abcpp
85,3.6.3.54,atp,0.5,Galactose,1.326,0.726177437021,atp:3.6.3.54,0.273822562979,cu1abcpp
86,4.1.1.49,atp,0.06,Galactose,1.326,0.95670995671,atp:4.1.1.49,0.04329004329,ppck
87,4.6.1.1,atp,0.348568501159,Galactose,1.326,0.791845779425,atp:4.6.1.1,0.208154220575,adncyc
88,6.1.1.1,atp,0.5,Galactose,1.326,0.726177437021,atp:6.1.1.1,0.273822562979,tyrtrs
89,6.1.1.10,atp,1.21224726372,Galactose,1.326,0.522407733459,atp:6.1.1.10,0.477592266541,mettrs
90,6.1.1.11,atp,6.8e-05,Galactose,1.326,0.999948720578,atp:6.1.1.11,5.12794215681e-05,sertrs
91,6.1.1.14,atp,0.0286513950266,Galactose,1.326,0.978849617598,atp:6.1.1.14,0.0211503824023,glytrs
92,6.1.1.15,atp,0.6,Galactose,1.326,0.688473520249,atp:6.1.1.15,0.311526479751,protrs
93,6.1.1.16,atp,0.266638881743,Galactose,1.326,0.832580451978,atp:6.1.1.16,0.167419548022,cystrs
94,6.1.1.18,atp,0.583589913459,Galactose,1.326,0.694389926682,atp:6.1.1.18,0.305610073318,glntrs
95,6.1.1.19,atp,1.30706525944,Galactose,1.326,0.503595569933,atp:6.1.1.19,0.496404430067,argtrs
96,6.1.1.2,atp,0.2,Galactose,1.326,0.868938401048,atp:6.1.1.2,0.131061598952,trptrs
97,6.1.1.20,atp,0.009,Galactose,1.326,0.993258426966,atp:6.1.1.20,0.00674157303371,phetrs
98,6.1.1.21,atp,0.756919929083,Galactose,1.326,0.636606324365,atp:6.1.1.21,0.363393675635,histrs
99,6.1.1.22,atp,0.142407347178,Galactose,1.326,0.903019180984,atp:6.1.1.22,0.0969808190157,asntrs
100,6.1.1.24,atp,0.62,Galactose,1.326,0.681397738952,atp:6.1.1.24,0.318602261048,glutrs
101,6.1.1.3,atp,0.267,Galactose,1.326,0.832391713748,atp:6.1.1.3,0.167608286252,thrtrs
102,6.1.1.4,atp,0.263569285988,Galactose,1.326,0.834188236832,atp:6.1.1.4,0.165811763168,leutrs
103,6.1.1.5,atp,0.0261231549777,Galactose,1.326,0.980679899696,atp:6.1.1.5,0.0193201003041,iletrs
104,6.1.1.6,atp,0.0527188146271,Galactose,1.326,0.961762460867,atp:6.1.1.6,0.0382375391326,lystrs
105,6.1.1.7,atp,0.088797522488,Galactose,1.326,0.9372365861,atp:6.1.1.7,0.0627634138995,alatrs
106,6.1.1.9,atp,9.4,Galactose,1.326,0.123624836845,atp:6.1.1.9,0.876375163155,valtrs
107,6.2.1.20,atp,0.3,Galactose,1.326,0.815498154982,atp:6.2.1.20,0.184501845018,aacps1
108,6.2.1.26,atp,0.0735,Galactose,1.326,0.947481243301,atp:6.2.1.26,0.0525187566988,sucbzl
109,6.2.1.5,atp,0.0318590646441,Galactose,1.326,0.976537281759,atp:6.2.1.5,0.0234627182406,sucoas
110,6.3.1.1,atp,0.27,Galactose,1.326,0.830827067669,atp:6.3.1.1,0.169172932331,asns2
111,6.3.1.2,atp,0.2,Galactose,1.326,0.868938401048,atp:6.3.1.2,0.131061598952,glns
112,6.3.1.5,atp,0.2,Galactose,1.326,0.868938401048,atp:6.3.1.5,0.131061598952,nads1
113,6.3.2.1,atp,0.251589867848,Galactose,1.326,0.840522639645,atp:6.3.2.1,0.159477360355,pants
114,6.3.2.13,atp,0.62,Galactose,1.326,0.681397738952,atp:6.3.2.13,0.318602261048,uaagds
115,6.3.2.17,atp,0.19455709597,Galactose,1.326,0.872048806003,atp:6.3.2.17,0.127951193997,dhfs
116,6.3.2.2,atp,0.00283283622172,Galactose,1.326,0.997868177137,atp:6.3.2.2,0.00213182286327,glucys
117,6.3.2.4,atp,1.4,Galactose,1.326,0.486426999266,atp:6.3.2.4,0.513573000734,alaalar
118,6.3.2.8,atp,0.162781373341,Galactose,1.326,0.890661331303,atp:6.3.2.8,0.109338668697,uamas
119,6.3.2.9,atp,0.100349389634,Galactose,1.326,0.929645996722,atp:6.3.2.9,0.0703540032784,uamags
120,6.3.3.1,atp,0.073,Galactose,1.326,0.947819871337,atp:6.3.3.1,0.0521801286633,prais
121,6.3.3.3,atp,0.005,Galactose,1.326,0.996243425995,atp:6.3.3.3,0.00375657400451,dbts
122,6.3.4.18,atp,0.048,Galactose,1.326,0.965065502183,atp:6.3.4.18,0.0349344978166,airc2
123,6.3.4.2,atp,0.054,Galactose,1.326,0.960869565217,atp:6.3.4.2,0.0391304347826,ctps2
124,6.3.4.21,atp,0.4,Galactose,1.326,0.768250289687,atp:6.3.4.21,0.231749710313,namnpp
125,6.3.5.2,atp,0.21135106708,Galactose,1.326,0.862522574313,atp:6.3.5.2,0.137477425687,gmps2
126,6.3.5.4,atp,0.156092561918,Galactose,1.326,0.894680962628,atp:6.3.5.4,0.105319037372,asns1
127,6.3.5.5,atp,0.103057890319,Galactose,1.326,0.927884033938,atp:6.3.5.5,0.072115966062,cbps
128,1.7.1.7,gmp,0.0229782505862,Galactose,0.032,0.582048349281,gmp:1.7.1.7,0.417951650719,gmpr
129,3.1.3.5,gmp,0.509901951359,Galactose,0.032,0.0590512728728,gmp:3.1.3.5,0.940948727127,ntd10
130,3.1.3.6,gmp,0.26,Galactose,0.032,0.109589041096,gmp:3.1.3.6,0.890410958904,3ntd2pp
131,2.1.1.144,acon_c,34.4673758792,Galactose,0.013,0.000377026052313,acon_c:2.1.1.144,0.999622973948,aconmt
132,4.2.1.3,acon_c,0.0304630924235,Galactose,0.013,0.299104349809,acon_c:4.2.1.3,0.700895650191,aconta
133,2.1.1.144,cit,17.8745629317,Galactose,0.365,0.020011444428,cit:2.1.1.144,0.979988555572,aconmt
134,4.1.3.6,cit,0.16,Galactose,0.365,0.695238095238,cit:4.1.3.6,0.304761904762,citl
135,4.2.1.3,cit,3.5721142199,Galactose,0.365,0.0927074957986,cit:4.2.1.3,0.907292504201,aconta
136,2.2.1.1,s7p,4.0,Galactose,0.088,0.0215264187867,s7p:2.2.1.1,0.978473581213,tkt1
137,2.2.1.2,s7p,0.285,Galactose,0.088,0.235924932976,s7p:2.2.1.2,0.764075067024,tala
138,5.3.1.28,s7p,0.9,Galactose,0.088,0.0890688259109,s7p:5.3.1.28,0.910931174089,s7pi
139,2.2.1.1,xu5p__d,0.16,Galactose,0.089,0.357429718876,xu5p__d:2.2.1.1,0.642570281124,tkt1
140,2.4.2.1,r1p,0.048579831206,Galactose,0.007,0.125944966872,r1p:2.4.2.1,0.874055033128,punp1
141,5.4.2.7,r1p,0.043,Galactose,0.007,0.14,r1p:5.4.2.7,0.86,ppm2
142,2.5.1.19,pep,0.073875129779,Galactose,0.199,0.729271297685,pep:2.5.1.19,0.270728702315,pscvt
143,2.5.1.54,pep,0.0492359384718,Galactose,0.199,0.80165668688,pep:2.5.1.54,0.19834331312,ddpa
144,2.5.1.55,pep,0.00556178721376,Galactose,0.199,0.972811211275,pep:2.5.1.55,0.027188788725,kdops
145,2.5.1.7,pep,0.00560062668188,Galactose,0.199,0.972626541899,pep:2.5.1.7,0.0273734581008,uagcvt
146,4.1.1.31,pep,0.6,Galactose,0.199,0.249061326658,pep:4.1.1.31,0.750938673342,ppc
147,4.1.1.49,pep,0.360020574368,Galactose,0.199,0.355979742293,pep:4.1.1.49,0.644020257707,ppck
148,2.7.1.107,adp,1.0,Galactose,0.645,0.392097264438,adp:2.7.1.107,0.607902735562,dagk160
149,2.7.4.3,adp,0.09,Galactose,0.645,0.877551020408,adp:2.7.4.3,0.122448979592,adk1
150,3.1.3.5,adp,0.745120795576,Galactose,0.645,0.463988454854,adp:3.1.3.5,0.536011545146,ntd10
151,3.1.4.16,adp,0.19,Galactose,0.645,0.77245508982,adp:3.1.4.16,0.22754491018,23pde2pp
152,3.6.3.14,adp,0.1,Galactose,0.645,0.865771812081,adp:3.6.3.14,0.134228187919,atps4rpp
153,4.1.1.49,adp,0.05,Galactose,0.645,0.928057553957,adp:4.1.1.49,0.0719424460432,ppck
154,2.7.1.107,gtp,8.7,Galactose,0.968,0.100124120811,gtp:2.7.1.107,0.899875879189,dagk160
155,2.7.1.11,gtp,4.3,Galactose,0.968,0.183750949127,gtp:2.7.1.11,0.816249050873,pfk
156,2.7.4.25,gtp,0.64,Galactose,0.968,0.601990049751,gtp:2.7.4.25,0.398009950249,cytk1
157,3.1.5.1,gtp,0.15,Galactose,0.968,0.865831842576,gtp:3.1.5.1,0.134168157424,ntptp1
158,3.5.4.25,gtp,0.329180704061,Galactose,0.968,0.746233733642,gtp:3.5.4.25,0.253766266358,gtpcii2
159,3.6.1.19,gtp,1.0,Galactose,0.968,0.491869918699,gtp:3.6.1.19,0.508130081301,ntpp1
160,3.6.5.6,gtp,0.042,Galactose,0.968,0.958415841584,gtp:3.6.5.6,0.0415841584158,ntp3
161,6.3.4.4,gtp,0.0258542191565,Galactose,0.968,0.97398590391,gtp:6.3.4.4,0.0260140960899,adss
162,2.7.1.33,pnto__r,0.0368854504518,Galactose,0.055,0.598571370435,pnto__r:2.7.1.33,0.401428629565,pntk
163,3.1.3.11,fdp,0.00888426829289,Galactose,0.571,0.984679238982,fdp:3.1.3.11,0.0153207610185,fbp
164,3.1.3.7,fdp,1.17,Galactose,0.571,0.327972429638,fdp:3.1.3.7,0.672027570362,bpnt
165,4.1.2.13,fdp,0.174713559467,Galactose,0.571,0.765709557981,fdp:4.1.2.13,0.234290442019,fba
166,3.6.1.19,gdp,0.35,Galactose,0.312,0.471299093656,gdp:3.6.1.19,0.528700906344,ntpp1
167,4.1.3.1,succ,0.59,Galactose,0.295,0.333333333333,succ:4.1.3.1,0.666666666667,icl
168,6.2.1.5,succ,0.25,Galactose,0.295,0.54128440367,succ:6.2.1.5,0.45871559633,sucoas
169,4.2.1.2,fum,0.454231562374,Galactose,0.096,0.174471997909,fum:4.2.1.2,0.825528002091,fum
170,5.3.1.13,ru5p__d,0.361073775132,Galactose,0.207,0.364389290725,ru5p__d:5.3.1.13,0.635610709275,a5piso
171,1.1.1.140,f6p,0.568,Acetate,0.379,0.400211193242,f6p:1.1.1.140,0.599788806758,sbtpd
172,2.2.1.1,f6p,1.1,Acetate,0.379,0.256254225828,f6p:2.2.1.1,0.743745774172,tkt1
173,2.2.1.2,f6p,1.15336908402,Acetate,0.379,0.247329448207,f6p:2.2.1.2,0.752670551793,tala
174,2.6.1.16,f6p,0.608829444704,Acetate,0.379,0.383669470506,f6p:2.6.1.16,0.616330529494,gf6pta
175,2.7.1.11,f6p,0.0407616378371,Acetate,0.379,0.902893370516,f6p:2.7.1.11,0.0971066294841,pfk
176,3.5.99.6,f6p,1.7,Acetate,0.379,0.182299182299,f6p:3.5.99.6,0.817700817701,g6pda
177,5.3.1.8,f6p,0.15,Acetate,0.379,0.716446124764,f6p:5.3.1.8,0.283553875236,man6pi
178,5.3.1.9,f6p,0.171464281995,Acetate,0.379,0.688509704256,f6p:5.3.1.9,0.311490295744,pgi
179,1.1.1.205,imp,0.0217548542475,Acetate,1.554,0.98619401096,imp:1.1.1.205,0.01380598904,impd
180,3.1.3.5,imp,0.66,Acetate,1.554,0.70189701897,imp:3.1.3.5,0.29810298103,ntd10
181,6.3.4.4,imp,0.0347218297492,Acetate,1.554,0.978144802256,imp:6.3.4.4,0.0218551977439,adss
182,1.1.1.290,akg,0.093,Acetate,0.232,0.713846153846,akg:1.1.1.290,0.286153846154,perd
183,1.1.1.95,akg,0.0607947366143,Acetate,0.232,0.792363970346,akg:1.1.1.95,0.207636029654,pgcd
184,1.14.11.17,akg,0.0158655010498,Acetate,0.232,0.935991491423,akg:1.14.11.17,0.0640085085766,taudo
185,1.4.1.13,akg,0.0374939158528,Acetate,0.232,0.860872867077,akg:1.4.1.13,0.139127132923,glusy
186,1.4.1.4,akg,3.55791610907,Acetate,0.232,0.0612150753006,akg:1.4.1.4,0.938784924699,gludy
187,2.2.1.9,akg,1.5,Acetate,0.232,0.133949191686,akg:2.2.1.9,0.866050808314,sephchcs
188,2.6.1.1,akg,0.215827708975,Acetate,0.232,0.518056376036,akg:2.6.1.1,0.481943623964,aspta
189,2.6.1.11,akg,2.5,Acetate,0.232,0.0849194729136,akg:2.6.1.11,0.915080527086,acota
190,2.6.1.19,akg,1.07,Acetate,0.232,0.178187403994,akg:2.6.1.19,0.821812596006,abta
191,2.6.1.29,akg,0.88,Acetate,0.232,0.208633093525,akg:2.6.1.29,0.791366906475,spmdat2
192,2.6.1.42,akg,1.02088376734,Acetate,0.232,0.185172803773,akg:2.6.1.42,0.814827196227,ileta
193,2.6.1.82,akg,19.0,Acetate,0.232,0.0120632279534,akg:2.6.1.82,0.987936772047,ptrcta
194,1.1.1.37,mal__l,2.6,Acetate,2.915,0.528558476881,mal__l:1.1.1.37,0.471441523119,mdh
195,1.1.1.40,mal__l,3.41,Acetate,2.915,0.460869565217,mal__l:1.1.1.40,0.539130434783,me2
196,4.2.1.2,mal__l,0.272864188864,Acetate,2.915,0.914405328239,mal__l:4.2.1.2,0.0855946717609,fum
197,1.1.1.44,6pgc,0.093,Acetate,0.147,0.6125,6pgc:1.1.1.44,0.3875,gnd
198,1.1.1.49,g6p,0.185688522541,Acetate,0.698,0.789871071305,g6p:1.1.1.49,0.210128928695,g6pdh2r
199,2.4.1.15,g6p,5.26782687643,Acetate,0.698,0.116999707578,g6p:2.4.1.15,0.883000292422,tre6ps
200,2.6.1.16,g6p,16.0,Acetate,0.698,0.0418014133429,g6p:2.6.1.16,0.958198586657,gf6pta
201,5.3.1.9,g6p,0.28,Acetate,0.698,0.713701431493,g6p:5.3.1.9,0.286298568507,pgi
202,1.1.1.94,dhap,0.17,Acetate,0.519,0.753265602322,dhap:1.1.1.94,0.246734397678,g3pd2
203,4.1.2.17,dhap,54.7,Acetate,0.519,0.00939893877108,dhap:4.1.2.17,0.990601061229,fclpa
204,4.1.2.19,dhap,0.711378660898,Acetate,0.519,0.421821359955,dhap:4.1.2.19,0.578178640045,rmpa
205,4.2.3.3,dhap,0.501816593132,Acetate,0.519,0.508416500566,dhap:4.2.3.3,0.491583499434,mgsa
206,1.1.1.94,glyc3p,0.21,Acetate,0.297,0.585798816568,glyc3p:1.1.1.94,0.414201183432,g3pd2
207,2.3.1.15,glyc3p,0.391158559217,Acetate,0.297,0.431586581351,glyc3p:2.3.1.15,0.568413418649,g3pat120
208,2.7.8.5,glyc3p,0.32,Acetate,0.297,0.481361426256,glyc3p:2.7.8.5,0.518638573744,pgsa120
209,3.1.3.21,glyc3p,2.9,Acetate,0.297,0.0928995933688,glyc3p:3.1.3.21,0.907100406631,g3pt
210,1.17.4.1,atp,0.07,Acetate,1.222,0.945820433437,atp:1.17.4.1,0.0541795665635,rndr1
211,2.1.2.2,atp,0.0774,Acetate,1.222,0.940434046483,atp:2.1.2.2,0.059565953517,garft
212,2.5.1.6,atp,0.0778395786217,Acetate,1.222,0.940116011313,atp:2.5.1.6,0.0598839886874,metat
213,2.7.1.107,atp,1.07364350264,Acetate,1.222,0.532312616743,atp:2.7.1.107,0.467687383257,dagk160
214,2.7.1.11,atp,0.0508000513259,Acetate,1.222,0.960087956256,atp:2.7.1.11,0.039912043744,pfk
215,2.7.1.12,atp,0.0743975806058,Acetate,1.222,0.942612064602,atp:2.7.1.12,0.0573879353979,gnk
216,2.7.1.148,atp,0.02,Acetate,1.222,0.983896940419,atp:2.7.1.148,0.0161030595813,cdpmek
217,2.7.1.16,atp,0.153845688374,Acetate,1.222,0.888181000475,atp:2.7.1.16,0.111818999525,rbk_l1
218,2.7.1.2,atp,1.37113092008,Acetate,1.222,0.471245007546,atp:2.7.1.2,0.528754992454,hex1
219,2.7.1.23,atp,0.758287544405,Acetate,1.222,0.617082101765,atp:2.7.1.23,0.382917898235,nadk
220,2.7.1.25,atp,0.01,Acetate,1.222,0.991883116883,atp:2.7.1.25,0.00811688311688,adsk
221,2.7.1.30,atp,0.0078,Acetate,1.222,0.993657505285,atp:2.7.1.30,0.00634249471459,glyk
222,2.7.1.33,atp,0.21607868937,Acetate,1.222,0.849744877685,atp:2.7.1.33,0.150255122315,pntk
223,2.7.1.39,atp,0.406201920232,Acetate,1.222,0.750521163755,atp:2.7.1.39,0.249478836245,hsk
224,2.7.1.49,atp,0.1431,Acetate,1.222,0.895172514834,atp:2.7.1.49,0.104827485166,hmpk1
225,2.7.1.56,atp,0.293179441776,Acetate,1.222,0.806505134843,atp:2.7.1.56,0.193494865157,fruk
226,2.7.1.59,atp,0.0112249721603,Acetate,1.222,0.990897871505,atp:2.7.1.59,0.00910212849539,acgamk
227,2.7.1.6,atp,2.36643191324,Acetate,1.222,0.340538717062,atp:2.7.1.6,0.659461282938,galkr
228,2.7.1.71,atp,0.16,Acetate,1.222,0.884225759768,atp:2.7.1.71,0.115774240232,shkk
229,2.7.1.73,atp,0.601747455333,Acetate,1.222,0.670048912982,atp:2.7.1.73,0.329951087018,gsnk
230,2.7.2.11,atp,0.736806299728,Acetate,1.222,0.623849331182,atp:2.7.2.11,0.376150668818,glu5k
231,2.7.2.4,atp,1.60078067845,Acetate,1.222,0.432906463237,atp:2.7.2.4,0.567093536763,aspk
232,2.7.2.8,atp,0.683277145225,Acetate,1.222,0.641376506858,atp:2.7.2.8,0.358623493142,acgk
233,2.7.4.16,atp,0.27,Acetate,1.222,0.819034852547,atp:2.7.4.16,0.180965147453,tmpk
234,2.7.4.25,atp,0.038,Acetate,1.222,0.969841269841,atp:2.7.4.25,0.0301587301587,cytk1
235,2.7.4.3,atp,0.0850220126159,Acetate,1.222,0.934949823496,atp:2.7.4.3,0.0650501765045,adk1
236,2.7.4.7,atp,0.193,Acetate,1.222,0.863604240283,atp:2.7.4.7,0.136395759717,pmpk
237,2.7.4.9,atp,0.219089023002,Acetate,1.222,0.847969820389,atp:2.7.4.9,0.152030179611,dtmpk
238,2.7.6.1,atp,0.023,Acetate,1.222,0.981526104418,atp:2.7.6.1,0.0184738955823,prpps
