,Type,Key,EC_number,LigandID,Compound,TotalEntries,Entropy,Summary,URL,NullEntropy,NullSummary,Literature,NumReferences,Organisms,DeltaEntropy
ki:1.11.1.11:161,ki,"('1.11.1.11', '161')",1.11.1.11,161,KCN,10,0.213010619883,Plantae:8;Animalia:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.11.1.11#INHIBITORS,0.186929675702,Plantae:76;Protozoa:14;Animalia:3,439855;439856;439858;439861;439865;439867;439868;439871;439875;657113,10,Glycine max;Pisum sativum;Euglena gracilis;Zea mays;Brassica rapa;Helicoverpa zea;Raphanus sativus;Chlorella vulgaris;Solanum tuberosum;Oryza sativa,0.0260809441813
ki:1.11.1.6:238,ki,"('1.11.1.6', '238')",1.11.1.6,238,NaN3,21,0.217421766612,Bacteria:14;Animalia:2;Archaea:2;Plantae:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.11.1.6#INHIBITORS,0.254177986201,Bacteria:96;Animalia:66;Plantae:32;Archaea:12;Fungi:6,439778;439779;439782;439785;439787;439790;439797;439798;439808;725606,10,Vibrio rumoiensis;Methanosarcina barkeri;Rhodobacter sphaeroides;Halobacterium salinarum;Pseudomonas syringae;Rhodobacter capsulatus;Homo sapiens;Zea mays;Bacteroides fragilis;Bordetella pertussis;Bos taurus;Escherichia coli;Helicobacter pylori;Listeria seeligeri;Micrococcus luteus;Proteus mirabilis;Pseudomonas aeruginosa;Saccharomyces cerevisiae;Serratia marcescens;Xanthomonas campestris;Vigna mungo,-0.0367562195897
ki:1.12.99.6:176,ki,"('1.12.99.6', '176')",1.12.99.6,176,CO,10,0.267272850848,Bacteria:7;Archaea:2;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.12.99.6#INHIBITORS,0.214554347043,Bacteria:29;Archaea:6;Plantae:2,439627;439642;439643;439647;658082;658138;684463;690060;702307;704013,10,Clostridium pasteurianum;Desulfovibrio desulfuricans;Methanosarcina barkeri;Anabaena variabilis;Allochromatium vinosum;Lamprobacter modestohalophilus;Lyngbya aestuarii;Methanocaldococcus jannaschii;Chlamydomonas reinhardtii;Desulfovibrio vulgaris,0.0527185038051
ki:1.14.18.1:373,ki,"('1.14.18.1', '373')",1.14.18.1,373,diethyldithiocarbamate,16,0.245207313253,Plantae:12;Animalia:2;Bacteria:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.18.1#INHIBITORS,0.332105324696,Plantae:245;Animalia:148;Bacteria:75,636347;636356;636364;636372;636375;636378;636381;636383;636393;636403;636424;636443;636450;659827;689407;697463,16,Spinacia oleracea;Metroxylon sagu;Xenopus laevis;Dioscorea bulbifera;Mucuna pruriens;Papaver somniferum;Triticum aestivum;Dioscorea rotundata;Persea americana;Olea europaea;Beta vulgaris;Thermomicrobium roseum;Vanilla planifolia;Bacillus thuringiensis;Ramonda serbica;Charybdis japonica,-0.0868980114434
ki:1.14.18.1:387,ki,"('1.14.18.1', '387')",1.14.18.1,387,ascorbic acid,11,0.302511764702,Plantae:7;Animalia:2;Bacteria:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.18.1#INHIBITORS,0.332105324696,Plantae:245;Animalia:148;Bacteria:75,673001;686484;686841;687243;688046;688438;689413;689440;697463;712619;713387,11,Beta vulgaris;Lactuca sativa;Brassica oleracea;Litchi chinensis;Anethum graveolens;Streptomyces antibioticus;Homo sapiens;Streptomyces glaucescens;Charybdis japonica;Solanum tuberosum;Musa x paradisiaca,-0.0295935599947
ki:1.14.18.1:44,ki,"('1.14.18.1', '44')",1.14.18.1,44,glutathione,10,0.299315241619,Plantae:6;Bacteria:3;Animalia:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.18.1#INHIBITORS,0.332105324696,Plantae:245;Animalia:148;Bacteria:75,636438;636443;636450;675101;686484;687243;687875;688046;695821;699628,10,Homo sapiens;Thermomicrobium roseum;Vanilla planifolia;Urtica dioica;Lactuca sativa;Litchi chinensis;Solanum tuberosum;Anethum graveolens;Aeromonas media;Bacillus megaterium,-0.0327900830774
ki:1.14.18.1:74,ki,"('1.14.18.1', '74')",1.14.18.1,74,L-cysteine,11,0.20005535772,Plantae:9;Animalia:1;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.14.18.1#INHIBITORS,0.332105324696,Plantae:245;Animalia:148;Bacteria:75,636373;636383;636391;636399;675164;686845;687243;688046;688438;712619;713387,11,Dioscorea bulbifera;Dioscorea rotundata;Solanum melongena;Theobroma cacao;Marsupenaeus japonicus;Lactuca sativa;Litchi chinensis;Anethum graveolens;Streptomyces antibioticus;Solanum tuberosum;Musa x paradisiaca,-0.132049966976
ki:1.15.1.1:159,ki,"('1.15.1.1', '159')",1.15.1.1,159,CN-,10,0.319963556458,Animalia:4;Plantae:3;Bacteria:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.15.1.1#INHIBITORS,0.209738101313,Plantae:55;Animalia:51;Bacteria:49;Archaea:13;Fungi:5;Chromista:3;Protozoa:1,438104;438108;438122;438127;438130;438143;438150;438160;438171;438176,10,Brassica oleracea;Pinus sylvestris;Bos taurus;Geobacillus stearothermophilus;Homo sapiens;Paracoccus denitrificans;Zea mays;Drosophila melanogaster;Candida albicans;Gallus gallus,0.110225455146
ki:1.15.1.1:22,ki,"('1.15.1.1', '22')",1.15.1.1,22,H2O2,28,0.228338375403,Bacteria:9;Plantae:8;Animalia:6;Archaea:2;Chromista:1;Fungi:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.15.1.1#INHIBITORS,0.209738101313,Plantae:55;Animalia:51;Bacteria:49;Archaea:13;Fungi:5;Chromista:3;Protozoa:1,438096;438101;438108;438115;438117;438173;438176;438187;658667;660069;672442;676295;678369;689984;706067;706372;727206;727588;727790;728785,20,Bacteroides fragilis;Homo sapiens;Mus musculus;Nocardia asteroides;Pseudomonas putida;Rattus norvegicus;Saccharomyces cerevisiae;Streptococcus mutans;Zea mays;Enterobacter aerogenes;Pinus sylvestris;Nuphar lutea;Solanum lycopersicum;Photobacterium damselae;Gallus gallus;Desulfovibrio gigas;Deinococcus radiophilus;Psidium guajava;Pseudoalteromonas haloplanktis;Clonorchis sinensis;Sulfolobus solfataricus;Crypthecodinium cohnii;Cryptosporidium parvum;Curcuma longa;Jatropha curcas;Cenchrus americanus;Aeropyrum pernix;Sus scrofa,0.0186002740903
ki:1.15.1.1:582,ki,"('1.15.1.1', '582')",1.15.1.1,582,N3-,24,0.268784831001,Bacteria:14;Plantae:6;Archaea:2;Animalia:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.15.1.1#INHIBITORS,0.209738101313,Plantae:55;Animalia:51;Bacteria:49;Archaea:13;Fungi:5;Chromista:3;Protozoa:1,"438096;438096,438158;438101;438103;438113;438115;438117,438157;438137;438156;438160;438177;438187",12,Bacteroides fragilis;Bacteroides thetaiotaomicron;Caulobacter vibrioides;Ginkgo biloba;Gordonia bronchialis;Halobacterium salinarum;Homo sapiens;Mycobacterium phlei;Paracoccus denitrificans;Photobacterium leiognathi;Pseudomonas putida;Thermoplasma acidophilum;Zea mays;Enterobacter aerogenes;Virgibacillus halodenitrificans;Pisum sativum;Nuphar lutea;Escherichia coli;Porphyridium purpureum;Solanum lycopersicum;Nocardia asteroides;Drosophila melanogaster;Pseudomonas carboxydohydrogena;Desulfovibrio gigas,0.0590467296888
ki:1.17.3.2:801,ki,"('1.17.3.2', '801')",1.17.3.2,801,allopurinol,10,0.250201211769,Animalia:8;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.17.3.2#INHIBITORS,0.0558629557985,Animalia:320;Bacteria:7;Plantae:4,644555;672905;685028;685983;687898;688764;690202;703310;706259;715723,10,Bos taurus;Homo sapiens;Mus musculus;Rattus norvegicus;Mesocricetus auratus;Oryctolagus cuniculus;Felis silvestris;Gallus gallus;Arabidopsis thaliana;Triticum aestivum,0.194338255971
ki:1.17.4.1:850,ki,"('1.17.4.1', '850')",1.17.4.1,850,Hydroxyurea,14,0.275815874712,Animalia:6;Bacteria:6;Fungi:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.17.4.1#INHIBITORS,0.137040361479,Animalia:246;Bacteria:57;Fungi:11;Plantae:3;Archaea:1,"437907;437909;437914;437917,437918;437918;437918,437937,437969;437918,437937,437977;437981;437988;686735;702216;703813;706308",13,Mus musculus;Escherichia coli;Homo sapiens;Bos taurus;Mesocricetus auratus;Saccharomyces cerevisiae;Rattus norvegicus;Oryctolagus cuniculus;Corynebacterium ammoniagenes;Bacteroides fragilis;Chlamydia trachomatis;Bacillus cereus;Corynebacterium glutamicum;Oryza sativa,0.138775513233
ki:1.3.1.12:109,ki,"('1.3.1.12', '109')",1.3.1.12,109,L-tyrosine,14,0.205058159144,Bacteria:12;Archaea:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.1.12#INHIBITORS,0.111859038033,Bacteria:64;Archaea:4,"33883,390513;33885;3557,390518,390522,390526,390539;390511;390512;390513,390550;390517;390518;390535,390547;390548;390549;390551;692260;726409",14,Corynebacterium glutamicum;Microtetraspora glauca;Neisseria gonorrhoeae;Cupriavidus necator;Acholeplasma laidlawii;Klebsiella pneumoniae;Escherichia coli;Pseudomonas aeruginosa;Serpens flexibilis;Azomonas insignis;Bacillus subtilis;Methanohalophilus mahii;Archaeoglobus fulgidus;Streptococcus mutans,0.0931991211113
ki:1.3.1.9:744,ki,"('1.3.1.9', '744')",1.3.1.9,744,triclosan,11,0.0,Bacteria:11,http://www.brenda-enzymes.org/enzyme.php?ecno=1.3.1.9#INHIBITORS,0.0654762308841,Bacteria:403;Plantae:12,"390505;654426;656460;661991;672553;684901,697217;685603;689970;711222;725221;726501",11,Bacillus subtilis;Rhodobacter sphaeroides;Staphylococcus aureus;Pseudomonas aeruginosa;Escherichia coli;Bacillus anthracis;Helicobacter pylori;Mycobacterium tuberculosis;Burkholderia mallei;Burkholderia pseudomallei;Yersinia pestis,-0.0654762308841
ki:1.5.1.3:241,ki,"('1.5.1.3', '241')",1.5.1.3,241,methotrexate,26,0.277101523301,Bacteria:13;Animalia:9;Fungi:2;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.5.1.3#INHIBITORS,0.171419846243,Bacteria:393;Animalia:371;Fungi:27;Plantae:25;Protozoa:20;Archaea:1,"392207;392208;392208,392210,392214;392208,392210,392224,392266,392275;392208,392210,392224,392269;392208,392210,392260;392217;392224;392244,392245;392248;392249;392250;392252;392253;392256;392272,392281;392292;392295;655633;655861;673457;673502;688027;701734",24,Bacteria;Gallus gallus;Mammalia;Mus musculus;Escherichia coli;Lactobacillus casei;Enterococcus faecalis;Glycine max;Saccharomyces cerevisiae;Candida albicans;Burkholderia cepacia;Neisseria gonorrhoeae;Mycobacterium phlei;Daucus carota;Homo sapiens;Sus scrofa;Bos taurus;Rattus norvegicus;Heliothis virescens;Thermotoga maritima;Mycobacterium tuberculosis;Moritella profunda;Drosophila melanogaster;Bacillus halodurans;Stenotrophomonas maltophilia;Bacillus anthracis,0.105681677058
ki:1.5.1.3:503,ki,"('1.5.1.3', '503')",1.5.1.3,503,trimethoprim,26,0.209974628009,Bacteria:14;Animalia:7;Fungi:2;Protozoa:1;Archaea:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.5.1.3#INHIBITORS,0.171419846243,Bacteria:393;Animalia:371;Fungi:27;Plantae:25;Protozoa:20;Archaea:1,"392207;392207,392208,392218;392207,392208,392218,392240,693567,703803,705044;392208;392244;392248;392249;392250;392252;392253;392284;392288;392292;655633;655861;671364;673502;686658;688269;701734;701742;701742,711226",22,Bacteria;Mus musculus;Bos taurus;Mammalia;Sus scrofa;Gallus gallus;Lactobacillus casei;Glycine max;Saccharomyces cerevisiae;Candida albicans;Burkholderia cepacia;Neisseria gonorrhoeae;Mycobacterium phlei;Haloferax volcanii;Homo sapiens;Heliothis virescens;Mycobacterium tuberculosis;Moritella profunda;Staphylococcus aureus;Bacillus halodurans;Mycobacterium avium;Cryptosporidium hominis;Bacillus anthracis;Streptococcus mitis;Escherichia coli;Streptococcus pneumoniae,0.0385547817661
ki:1.6.5.3:777,ki,"('1.6.5.3', '777')",1.6.5.3,777,rotenone,16,0.307026462867,Animalia:7;Bacteria:4;Plantae:4;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.3#INHIBITORS,0.179638139172,Animalia:141;Bacteria:45;Plantae:12;Fungi:7;Archaea:1,"392685;392685,392710,392717;392698;392700,392708,392709;392701;392710;658174;659106;672347;675654;690388;690713;692181;713384;724252",15,Vigna radiata var. radiata;Solanum tuberosum;Beta vulgaris;Saccharomyces cerevisiae;Thermus thermophilus;Paracoccus denitrificans;Rhodobacter capsulatus;Bos taurus;Caenorhabditis elegans;Nicotiana tabacum;Mus musculus;Homo sapiens;Rattus norvegicus;Gallus gallus;Mycobacterium tuberculosis;Sus scrofa,0.127388323695
ki:1.7.99.4:230,ki,"('1.7.99.4', '230')",1.7.99.4,230,azide,12,0.281167572309,Bacteria:9;Archaea:3,http://www.brenda-enzymes.org/enzyme.php?ecno=1.7.99.4#INHIBITORS,0.230313837795,Bacteria:34;Archaea:14;Plantae:1,"395145;395149;395151;395163,395181;395170;395172;395181;658201;661972;675812;725636;726801",12,Halomonas halodenitrificans;Enterobacter aerogenes;Escherichia coli;Bacillus licheniformis;Paracoccus pantotrophus;Paracoccus denitrificans;Pyrobaculum aerophilum;Haloferax mediterranei;Pseudomonas aeruginosa;Mycobacterium smegmatis;Gordonia alkanivorans;Haloferax denitrificans,0.0508537345145
ki:1.8.1.7:14,ki,"('1.8.1.7', '14')",1.8.1.7,14,Zn2+,13,0.26538403881,Animalia:5;Plantae:5;Fungi:1;Chromista:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.8.1.7#INHIBITORS,0.192666557825,Animalia:227;Plantae:39;Fungi:36;Bacteria:32;Protozoa:11;Chromista:6,"394708;394708,394745;394720;394732;394759;394774;688032;698440;699961;701146;712604;725617",12,Homo sapiens;Rattus norvegicus;Euglena gracilis;Pisum sativum;Spinacia oleracea;Chlamydomonas reinhardtii;Triticum aestivum;Saccharomyces cerevisiae;Ipomoea batatas;Cyprinus carpio;Phaeodactylum tricornutum;Bos taurus;Oncorhynchus mykiss,0.0727174809853
ki:1.8.1.7:44,ki,"('1.8.1.7', '44')",1.8.1.7,44,glutathione,10,0.271847340133,Animalia:5;Bacteria:2;Chromista:1;Protozoa:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.8.1.7#INHIBITORS,0.192666557825,Animalia:227;Plantae:39;Fungi:36;Bacteria:32;Protozoa:11;Chromista:6,393993;394720;394743;394745;394751;394755;660339;675954;686233;701146,10,Homo sapiens;Euglena gracilis;Mus musculus;Spinacia oleracea;Allochromatium vinosum;Rhodospirillum rubrum;Bos taurus;Trachemys scripta;Oncorhynchus mykiss;Phaeodactylum tricornutum,0.0791807823082
ki:1.9.3.1:159,ki,"('1.9.3.1', '159')",1.9.3.1,159,CN-,16,0.241288782589,Bacteria:13;Animalia:3,http://www.brenda-enzymes.org/enzyme.php?ecno=1.9.3.1#INHIBITORS,0.295591894272,Animalia:54;Bacteria:45;Plantae:7,"396007;396029;396030;396048;396051;396059,396076;396062,396079;396069;396081;396082;396086;396088;396091;396115;396129;691404",16,Bos taurus;Geobacillus stearothermophilus;Anabaena variabilis;Erythrobacter longus;Micrococcus luteus;Nitrosomonas europaea;Bacillus subtilis;Rhodobacter sphaeroides;Nitrobacter winogradskyi;Starkeya novella;Thermus thermophilus;Rattus norvegicus;Rhodopseudomonas palustris;Magnetospirillum magnetotacticum;Helicobacter pylori;Homo sapiens,-0.0543031116831
ki:1.9.3.1:230,ki,"('1.9.3.1', '230')",1.9.3.1,230,azide,10,0.250201211769,Bacteria:8;Animalia:2,http://www.brenda-enzymes.org/enzyme.php?ecno=1.9.3.1#INHIBITORS,0.295591894272,Animalia:54;Bacteria:45;Plantae:7,"396007;396029;396030;396059,396076;396062,396079;396069;396082;396086;396091;693722",10,Bos taurus;Geobacillus stearothermophilus;Anabaena variabilis;Nitrosomonas europaea;Bacillus subtilis;Rhodobacter sphaeroides;Starkeya novella;Thermus thermophilus;Rhodopseudomonas palustris;Rattus norvegicus,-0.0453906825025
ki:2.1.1.45:798,ki,"('2.1.1.45', '798')",2.1.1.45,798,5-fluoro-2'-deoxyuridylic acid,11,0.29055638623,Bacteria:5;Animalia:4;Fungi:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.1.1.45#INHIBITORS,0.159049122799,Bacteria:444;Animalia:169;Fungi:24;Protozoa:8;Plantae:1,"392255,485359,485369,485375,485383,485384,485387,485393,485400,485402,485404,485413,485427,485430;392255,485384,485393,485402,485404;392255,485394;485358;485358,485359,485369,485375,485383,485397,485402,485413,485417,485419,485423,485430;485358,485359,485375,485384,485387,485393,485400,485404,485413,485419,485423,485430;485359,485366,485369,485375,485377,485378,485379,485383,485384,485385,485387,485393,485397,485400,485411,485419,485423,485430;485369,485393,485404,485430;485402;485404;485414",11,Enterococcus faecalis;Daucus carota;Streptomyces aureofaciens;Angiostrongylus cantonensis;Saccharomyces cerevisiae;Bacillus subtilis;Escherichia coli;Homo sapiens;Lactobacillus casei;Mus musculus;Rattus norvegicus,0.131507263432
ki:2.1.3.3:16,ki,"('2.1.3.3', '16')",2.1.3.3,16,phosphate,11,0.310171072988,Bacteria:5;Animalia:3;Plantae:2;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.1.3.3#INHIBITORS,0.229942030088,Bacteria:70;Animalia:48;Plantae:15;Archaea:8;Fungi:1,"485891;485893;485898;485902,485923;485906;485916;485922;485928;485930;485934;658118",11,Enterococcus faecalis;Mycobacterium smegmatis;Escherichia coli;Pisum sativum;Daucus carota;Squalus acanthias;Rattus norvegicus;Sus scrofa;Halobacterium salinarum;Thermus thermophilus;Pseudomonas savastanoi,0.0802290429005
ki:2.2.1.6:1079,ki,"('2.2.1.6', '1079')",2.2.1.6,1079,Val,12,0.321514334219,Bacteria:4;Plantae:4;Archaea:3;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.2.1.6#INHIBITORS,0.236249398537,Bacteria:199;Plantae:111;Fungi:73;Archaea:12;Protozoa:6,395871;395875;395883;395884;395886;395892;395894;395907;395908;395916,10,Zea mays;Methanococcus aeolicus;Methanococcus maripaludis;Methanococcus voltae;Euglena gracilis;Escherichia coli;Rhodobacter sphaeroides;Pseudomonas aeruginosa;Thermus aquaticus;Brassica napus;Triticum aestivum;Hordeum vulgare,0.0852649356812
ki:2.2.1.6:1088,ki,"('2.2.1.6', '1088')",2.2.1.6,1088,Ile,11,0.310171072988,Plantae:5;Bacteria:3;Archaea:2;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.2.1.6#INHIBITORS,0.236249398537,Bacteria:199;Plantae:111;Fungi:73;Archaea:12;Protozoa:6,395871;395875;395883;395884;395892;395894;395902;395907;395908;395916,10,Zea mays;Methanococcus maripaludis;Methanococcus voltae;Euglena gracilis;Escherichia coli;Pseudomonas aeruginosa;Thermus aquaticus;Arabidopsis thaliana;Brassica napus;Triticum aestivum;Hordeum vulgare,0.073921674451
ki:2.3.1.21:76,ki,"('2.3.1.21', '76')",2.3.1.21,76,malonyl-CoA,10,0.162541486696,Animalia:9;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.21#INHIBITORS,0.0346576858505,Animalia:76;Plantae:1,"486309;486532;486533;486552;486567;486578;486583;685368,703294;703293;704705",10,Rattus norvegicus;Ovis aries;Homo sapiens;Cavia porcellus;Mus musculus;Sus scrofa;Pisum sativum;Macrobrachium borellii;Oncorhynchus mykiss;Drosophila melanogaster,0.127883800845
