,EC_number,Compound,Organism_inh,Organism_act
86,1.1.1.21,Emodin,1.0,0.0
87,1.1.1.21,Fenofibrate,1.0,0.0
88,1.1.1.21,Sulindac,1.0,0.0
89,1.1.1.21,Zopolrestat,2.0,0.0
90,1.1.1.213,"(13E)-(15S)-15-Hydroxy-9-oxoprosta-10,13-dienoate",1.0,0.0
91,1.1.1.213,Alprostadil,1.0,0.0
92,1.1.1.213,Androstenedione,2.0,0.0
93,1.1.1.213,Arachidonate,2.0,0.0
94,1.1.1.213,Aspirin,1.0,0.0
95,1.1.1.213,Cortisol,1.0,0.0
96,1.1.1.213,Cortisone,1.0,0.0
97,1.1.1.213,Dexamethasone,1.0,0.0
98,1.1.1.213,Hexestrol,2.0,0.0
99,1.1.1.213,Indomethacin,4.0,0.0
100,1.1.1.213,NADH,1.0,0.0
101,1.1.1.213,Prednisolone,1.0,0.0
102,1.1.1.213,Prednisone,1.0,0.0
103,1.1.1.213,Prostaglandin A2,1.0,0.0
104,1.1.1.213,Prostaglandin F1alpha,1.0,0.0
105,1.1.1.213,Salicylate,1.0,0.0
106,1.1.1.22,Gallate,2.0,0.0
107,1.1.1.22,Quercetin,2.0,0.0
108,1.1.1.22,UDP-D-xylose,4.0,0.0
109,1.1.1.22,UDP-glucuronate,1.0,0.0
110,1.1.1.22,p-Chloromercuribenzoate,1.0,0.0
111,1.1.1.248,Salutaridine,1.0,0.0
112,1.1.1.252,"7,4'-Dihydroxyflavone",1.0,0.0
113,1.1.1.252,Acacetin,1.0,0.0
114,1.1.1.252,Apigenin,1.0,0.0
115,1.1.1.252,Baicalein,1.0,0.0
116,1.1.1.252,Biochanin A,1.0,0.0
117,1.1.1.252,Chrysin,1.0,0.0
118,1.1.1.252,Chrysoeriol,1.0,0.0
119,1.1.1.252,Diosmetin,1.0,0.0
120,1.1.1.252,Flavone,1.0,0.0
121,1.1.1.252,Kaempferol,1.0,0.0
122,1.1.1.252,Luteolin,1.0,0.0
123,1.1.1.252,Naringenin,1.0,0.0
124,1.1.1.252,Quercetin,1.0,0.0
125,1.1.1.252,Scutellarein,1.0,0.0
126,1.1.1.267,1-Deoxy-D-xylulose 5-phosphate,1.0,0.0
127,1.1.1.267,FR 900098,2.0,0.0
128,1.1.1.268,(S)-2-Hydroxypropyl-CoM,1.0,0.0
129,1.1.1.268,Coenzyme M,1.0,0.0
130,1.1.1.268,Methanesulfonic acid,1.0,1.0
131,1.1.1.27,Gossypol,8.0,0.0
132,1.1.1.27,Methylmalonate,1.0,0.0
133,1.1.1.27,NADPH,1.0,0.0
134,1.1.1.27,Pyruvate,6.0,0.0
135,1.1.1.27,"beta-D-Fructose 1,6-bisphosphate",3.0,59.0
136,1.1.1.271,GDP,1.0,0.0
137,1.1.1.276,Hydroxymalonate,2.0,0.0
138,1.1.1.276,Malonate,2.0,0.0
139,1.1.1.276,Methylmalonate,2.0,0.0
140,1.1.1.278,"5alpha-Pregnane-3,20-dione",2.0,0.0
141,1.1.1.278,Progesterone,2.0,0.0
142,1.1.1.28,Formate,2.0,0.0
143,1.1.1.28,Oxalate,1.0,0.0
144,1.1.1.28,Oxamate,2.0,0.0
145,1.1.1.284,Decanoic acid,1.0,0.0
146,1.1.1.284,Dodecanedioic acid,1.0,0.0
147,1.1.1.284,Dodecanoic acid,5.0,0.0
148,1.1.1.284,Glutathione,1.0,0.0
149,1.1.1.284,Glutathione disulfide,1.0,0.0
150,1.1.1.284,Nonanoic acid,1.0,0.0
151,1.1.1.284,Octanoic acid,1.0,0.0
152,1.1.1.284,S-Methyl GSH,1.0,0.0
153,1.1.1.284,Sebacic acid,1.0,0.0
154,1.1.1.284,Undecanoic acid,1.0,0.0
155,1.1.1.286,Hydrochloric acid,1.0,0.0
156,1.1.1.286,NADH,1.0,0.0
157,1.1.1.286,Potassium acetate,1.0,0.0
158,1.1.1.290,(R)-2-Hydroxyglutarate,2.0,0.0
159,1.1.1.30,"2,4-Dichlorophenoxyacetate",2.0,0.0
160,1.1.1.30,2-Hydroxybutanoic acid,1.0,0.0
161,1.1.1.30,Cacodylate,1.0,0.0
162,1.1.1.30,Lactate,1.0,1.0
163,1.1.1.30,Malonate,1.0,0.0
164,1.1.1.300,9-cis-Retinoic acid,1.0,0.0
165,1.1.1.304,Diacetyl,1.0,0.0
166,1.1.1.307,ATP,1.0,0.0
167,1.1.1.307,NADH,5.0,0.0
168,1.1.1.307,NADPH,1.0,0.0
169,1.1.1.312,Reactive blue 2,2.0,0.0
170,1.1.1.316,Ascorbate,2.0,0.0
171,1.1.1.334,Ecgonine methyl ester,1.0,0.0
172,1.1.1.334,NADPH,1.0,0.0
173,1.1.1.34,Atorvastatin,2.0,0.0
174,1.1.1.34,Cerivastatin,2.0,0.0
175,1.1.1.34,Pravastatin,2.0,0.0
176,1.1.1.358,"Dihydro-4,4-dimethyl-2,3-furandione",1.0,0.0
177,1.1.1.359,NADPH,1.0,0.0
178,1.1.1.360,ATP,1.0,0.0
179,1.1.1.363,ADP,1.0,0.0
180,1.1.1.363,AMP,1.0,0.0
181,1.1.1.363,ATP,2.0,0.0
182,1.1.1.363,Acetyl-CoA,1.0,0.0
183,1.1.1.363,Adenosine,1.0,0.0
184,1.1.1.363,Adenosine 2'-phosphate,1.0,0.0
185,1.1.1.363,CoA,1.0,0.0
186,1.1.1.363,Malonyl-CoA,1.0,0.0
187,1.1.1.363,NADPH,2.0,1.0
188,1.1.1.363,Nicotinamide,1.0,0.0
189,1.1.1.363,Pyridoxal phosphate,1.0,0.0
190,1.1.1.363,ortho-Vanadate,1.0,0.0
191,1.1.1.37,(S)-Malate,3.0,2.0
192,1.1.1.37,"3',5'-Cyclic AMP",1.0,0.0
193,1.1.1.37,ADP,1.0,0.0
194,1.1.1.37,AMP,1.0,0.0
195,1.1.1.37,ATP,1.0,0.0
196,1.1.1.37,Arsenic acid,2.0,0.0
197,1.1.1.37,Oxaloacetate,10.0,0.0
198,1.1.1.37,Zinc cation,2.0,0.0
199,1.1.1.379,(S)-Mandelate,1.0,0.0
200,1.1.1.39,"(R,R)-Tartaric acid",2.0,0.0
201,1.1.1.39,AMP,2.0,1.0
202,1.1.1.39,CO2,2.0,0.0
203,1.1.1.39,D-Fructose 6-phosphate,1.0,1.0
204,1.1.1.39,L-Aspartate,2.0,1.0
205,1.1.1.39,NADH,2.0,0.0
206,1.1.1.39,Oxalate,1.0,0.0
207,1.1.1.39,Oxaloacetate,1.0,1.0
208,1.1.1.39,Pyruvate,2.0,0.0
209,1.1.1.40,(S)-Malate,2.0,0.0
210,1.1.1.40,AMP,2.0,0.0
211,1.1.1.40,ATP,10.0,1.0
212,1.1.1.40,Adenosine 2'-phosphate,2.0,0.0
213,1.1.1.40,CO2,2.0,0.0
214,1.1.1.40,NADPH,2.0,0.0
215,1.1.1.40,Oxalate,2.0,0.0
216,1.1.1.40,Pyruvate,3.0,0.0
217,1.1.1.41,NADH,2.0,0.0
218,1.1.1.41,NADPH,1.0,0.0
219,1.1.1.42,2-Oxoglutarate,4.0,0.0
220,1.1.1.42,Fe2+,1.0,0.0
221,1.1.1.42,Glutathione,1.0,0.0
222,1.1.1.42,Isocitrate,2.0,1.0
223,1.1.1.42,NADH,2.0,0.0
224,1.1.1.42,NADPH,3.0,0.0
225,1.1.1.42,Oxaloacetate,1.0,0.0
226,1.1.1.42,Phosphoenolpyruvate,1.0,0.0
227,1.1.1.43,Meloxicam,1.0,0.0
228,1.1.1.43,Methotrexate,1.0,0.0
229,1.1.1.43,Metoclopramide,1.0,0.0
230,1.1.1.43,Ritodrine,1.0,0.0
231,1.1.1.44,4-Phospho-D-erythronate,5.0,0.0
232,1.1.1.44,Amoxicillin,1.0,0.0
233,1.1.1.44,D-Arabinose 5-phosphate,2.0,0.0
234,1.1.1.44,D-Erythrose 4-phosphate,2.0,0.0
235,1.1.1.44,Dorzolamide,1.0,0.0
236,1.1.1.44,Imipenem,1.0,0.0
237,1.1.1.44,NADPH,11.0,0.0
238,1.1.1.49,6-Phospho-D-gluconate,1.0,0.0
239,1.1.1.49,ATP,2.0,0.0
240,1.1.1.49,Ammonia,1.0,0.0
241,1.1.1.49,Amoxicillin,1.0,0.0
242,1.1.1.49,Bupivacaine,1.0,0.0
243,1.1.1.49,Cadmium,1.0,0.0
244,1.1.1.49,Ciprofloxacin,1.0,0.0
245,1.1.1.49,Cobalt ion,1.0,0.0
246,1.1.1.49,Cypermethrin,1.0,0.0
247,1.1.1.49,D-Glucosamine 6-phosphate,2.0,1.0
248,1.1.1.49,D-Glucose 6-phosphate,1.0,0.0
249,1.1.1.49,Dehydroepiandrosterone,4.0,0.0
250,1.1.1.49,Deltamethrin,1.0,0.0
251,1.1.1.49,Epiandrosterone,2.0,0.0
252,1.1.1.49,Fe2+,1.0,0.0
253,1.1.1.49,Lead,1.0,0.0
254,1.1.1.49,Mercury(2+),1.0,0.0
255,1.1.1.49,NADH,1.0,0.0
256,1.1.1.49,NADPH,19.0,0.0
257,1.1.1.49,Pentobarbital sodium,1.0,0.0
258,1.1.1.49,Propoxur,1.0,0.0
259,1.1.1.49,Sulfanilamide,1.0,0.0
260,1.1.1.49,Zinc cation,2.0,0.0
261,1.1.1.50,Diazepam,3.0,0.0
262,1.1.1.50,NADH,10.0,0.0
263,1.1.1.50,Nitrazepam,2.0,0.0
264,1.1.1.50,Ursodiol,4.0,0.0
265,1.1.1.51,9-cis-Retinoic acid,1.0,0.0
266,1.1.1.51,Estradiol-17beta,1.0,0.0
267,1.1.1.51,Ethynyl estradiol,1.0,0.0
268,1.1.1.6,Glycerone,1.0,0.0
269,1.1.1.6,Hydroxyacetone,1.0,0.0
270,1.1.1.6,NADH,1.0,0.0
271,1.1.1.62,"2-(m-Chlorophenyl)-2-(p-chlorophenyl)-1,1-dichloroethane",1.0,0.0
272,1.1.1.62,3beta-Hydroxy-5-androsten-16-one,1.0,0.0
273,1.1.1.62,"5-Androstene-3beta,16beta-diol",1.0,0.0
274,1.1.1.62,Benzyl alcohol,1.0,0.0
275,1.1.1.62,Cyclohexanol,1.0,0.0
276,1.1.1.62,Cyclopentanol,1.0,0.0
277,1.1.1.62,"Estra-1,3,5(10)-triene-3,16beta-diol",1.0,0.0
278,1.1.1.62,Estradiol-17beta,1.0,0.0
279,1.1.1.62,Estrone,2.0,0.0
280,1.1.1.62,Nafoxidine,1.0,0.0
281,1.1.1.62,Phenol,1.0,0.0
282,1.1.1.64,19-Norandrostenedione,1.0,0.0
283,1.1.1.64,"5-Androstene-3,17-dione",1.0,0.0
284,1.1.1.64,Bis(2-butoxyethyl)phthalate,4.0,0.0
285,1.1.1.64,Dicyclohexyl phthalate,4.0,0.0
286,1.1.1.67,ADP,2.0,0.0
287,1.1.1.67,AMP,2.0,0.0
288,1.1.1.67,D-Fructose,1.0,0.0
289,1.1.1.67,L-Glucitol,1.0,0.0
290,1.1.1.67,Mannitol,2.0,0.0
291,1.1.1.67,NADH,3.0,0.0
292,1.1.1.72,NADPH,1.0,0.0
293,1.1.1.76,Mercaptoethanol,2.0,0.0
294,1.1.1.79,4-Hydroxybutanoic acid,2.0,0.0
295,1.1.1.79,Glycolate,2.0,0.0
296,1.1.1.8,Epigallocatechin 3-gallate,1.0,0.0
297,1.1.1.86,"2,3-Dihydroxy-3-methylbutanoate",4.0,0.0
298,1.1.1.86,Ethylene glycol,2.0,0.0
299,1.1.1.86,NADPH,5.0,0.0
300,1.1.1.88,3-Hydroxy-3-methylglutarate,1.0,0.0
301,1.1.1.88,4-Hydroxybutanoic acid,1.0,0.0
302,1.1.1.88,Acetoacetate,1.0,0.0
303,1.1.1.88,Lovastatin,4.0,0.0
304,1.1.1.90,NADH,1.0,0.0
305,1.1.1.91,4-Hydroxy-3-methoxy-benzaldehyde,1.0,0.0
306,1.1.1.91,5-Hydroxymethyl-2-furaldehyde,1.0,0.0
307,1.1.1.91,Aromatic aldehyde,1.0,0.0
308,1.1.1.91,Cinnamaldehyde,1.0,0.0
309,1.1.1.91,Veratraldehyde,1.0,0.0
310,1.1.1.94,ADP,2.0,0.0
311,1.1.1.94,AMP,2.0,0.0
312,1.1.1.94,ATP,1.0,0.0
313,1.1.1.94,DL-Glycerol 1-phosphate,2.0,0.0
314,1.1.1.95,3-Phosphonooxypyruvate,6.0,0.0
315,1.1.1.95,Potassium dibasic phosphate,2.0,1.0
316,1.1.1.B20,Mercaptoethanol,1.0,0.0
317,1.1.1.B40,Abietate,8.0,0.0
318,1.1.1.B40,Chenodeoxycholate,8.0,0.0
319,1.1.1.B40,Flavanone,8.0,0.0
320,1.1.1.B40,Glycyrrhetinate,8.0,0.0
321,1.1.1.B40,Progesterone,1.0,0.0
322,1.1.2.2,p-Benzoquinone,1.0,0.0
323,1.1.2.3,(R)-Lactate,4.0,0.0
324,1.1.2.3,(S)-Lactate,1.0,0.0
325,1.1.2.3,(S)-Mandelate,1.0,0.0
326,1.1.2.3,Acetate,1.0,0.0
327,1.1.2.3,Hydrochloric acid,1.0,0.0
328,1.1.2.3,Malate,2.0,0.0
329,1.1.2.3,Nitroethane,1.0,0.0
330,1.1.2.3,Oxalate,5.0,0.0
331,1.1.2.3,Propanoate,1.0,0.0
332,1.1.2.3,Pyruvate,8.0,0.0
333,1.1.2.3,Sulfite,1.0,0.0
334,1.1.2.4,Oxalate,2.0,0.0
335,1.1.2.4,Oxaloacetate,1.0,0.0
336,1.1.3.10,Acetate,1.0,0.0
337,1.1.3.10,Formate,1.0,0.0
338,1.1.3.10,Pentanoate,1.0,0.0
339,1.1.3.10,Propanoate,1.0,0.0
340,1.1.3.13,4-Hydroxy-2-butynal,1.0,0.0
341,1.1.3.13,Mercaptoethanol,4.0,0.0
342,1.1.3.13,Methanol,1.0,1.0
343,1.1.3.15,(R)-Lactate,1.0,0.0
344,1.1.3.15,(S)-Mandelate,2.0,0.0
345,1.1.3.15,2-Hydroxybutanoic acid,1.0,0.0
346,1.1.3.15,Acetate,3.0,0.0
347,1.1.3.15,Butanoic acid,1.0,0.0
348,1.1.3.15,Diethyldithiocarbamic acid,2.0,0.0
349,1.1.3.15,Dihydrolipoate,1.0,0.0
350,1.1.3.15,Glycolate,3.0,0.0
351,1.1.3.15,Glyoxylate,1.0,0.0
352,1.1.3.15,Heptanoic acid,1.0,0.0
353,1.1.3.15,Hexanoic acid,2.0,0.0
354,1.1.3.15,Hydrochloric acid,1.0,0.0
355,1.1.3.15,Malonate,2.0,0.0
356,1.1.3.15,Oxalate,6.0,0.0
357,1.1.3.15,Oxamate,1.0,0.0
358,1.1.3.15,Pentanoate,2.0,0.0
359,1.1.3.15,Propanoate,3.0,0.0
360,1.1.3.15,Pyruvate,2.0,0.0
361,1.1.3.15,Succinate,1.0,1.0
362,1.1.3.15,trans-Cinnamate,2.0,0.0
363,1.1.3.17,Betaine aldehyde,1.0,0.0
364,1.1.3.17,Dimethylamine,1.0,0.0
365,1.1.3.17,Ethylamine,1.0,0.0
366,1.1.3.17,Methylamine,1.0,0.0
367,1.1.3.17,Trimethylamine,1.0,0.0
368,1.1.3.38,Hydrobromic acid,1.0,0.0
369,1.1.3.38,Hydrochloric acid,1.0,0.0
370,1.1.3.38,Thiocyanate,1.0,0.0
371,1.1.3.4,Ammonium chloride,1.0,0.0
372,1.1.3.7,4-Methoxybenzoate,2.0,0.0
373,1.1.3.7,Chavicol,1.0,0.0
374,1.1.3.7,Phenol,2.0,0.0
375,1.1.3.7,Toluene,1.0,0.0
376,1.1.3.9,D-Galactosamine,1.0,0.0
377,1.1.3.9,N-Acetyl-D-galactosamine,1.0,0.0
378,1.1.99.1,Betaine aldehyde,1.0,0.0
379,1.1.99.14,Glyoxylate,1.0,0.0
380,1.1.99.18,beta-Cellobiose,9.0,0.0
381,1.1.99.2,(R)-2-Hydroxyglutarate,1.0,0.0
382,1.1.99.24,"1,10-Phenanthroline",1.0,0.0
383,1.1.99.24,Hydrogen cyanide,1.0,0.0
384,1.1.99.3,2-Keto-D-gluconic acid,2.0,0.0
385,1.1.99.3,Oxalate,2.0,0.0
386,1.1.99.3,Oxamate,3.0,0.0
387,1.1.99.3,Pyruvate,3.0,0.0
388,1.1.99.31,(R)-Mandelate,6.0,0.0
389,1.1.99.31,(S)-Lactate,1.0,0.0
390,1.1.99.31,Hexanoic acid,1.0,0.0
391,1.1.99.31,Oxalate,1.0,0.0
392,1.1.99.31,Phenylacetic acid,5.0,0.0
393,1.1.99.33,Formate,1.0,0.0
394,1.1.99.35,D-Glucose,2.0,0.0
395,1.1.99.35,beta-Lactose,1.0,0.0
396,1.1.99.36,1-Butanol,1.0,0.0
397,1.1.99.36,Ethanol,1.0,0.0
398,1.1.99.36,Propan-2-ol,1.0,0.0
399,1.1.99.36,Propane-1-ol,1.0,0.0
400,1.10.3.1,Ascorbate,3.0,0.0
401,1.10.3.1,Dopamine,1.0,0.0
402,1.10.3.1,Gallate,2.0,0.0
403,1.10.3.1,Geranial,1.0,0.0
404,1.10.3.1,Glutathione,1.0,0.0
405,1.10.3.1,Kojic acid,2.0,0.0
406,1.10.3.1,Mercaptoethanol,3.0,0.0
407,1.10.3.1,Myrcene,1.0,0.0
408,1.10.3.1,Oxalate,1.0,0.0
409,1.10.3.1,Quercetin,1.0,0.0
410,1.10.3.1,Sodium diethyldithiocarbamate,2.0,0.0
411,1.10.3.1,Sulfanilamide,1.0,0.0
412,1.10.3.1,Syringic acid,1.0,0.0
413,1.10.3.1,Tropolone,1.0,0.0
414,1.10.3.1,Tyramine,1.0,0.0
415,1.10.3.10,2-Heptyl-4-hydroxyquinoline-N-oxide,1.0,0.0
416,1.10.3.11,2-Heptyl-4-hydroxyquinoline-N-oxide,1.0,0.0
417,1.10.3.15,2-Nitrophenol,1.0,0.0
418,1.10.3.15,4-Hydroxybenzaldehyde,1.0,0.0
419,1.10.3.15,Aniline,1.0,0.0
420,1.10.3.15,Phenol,1.0,0.0
421,1.10.3.2,Hydroxylamine,2.0,0.0
422,1.10.3.2,Thioglycolate,1.0,0.0
423,1.10.3.3,4-Chlorophenol,1.0,0.0
424,1.10.3.3,4-Cresol,1.0,0.0
425,1.10.3.3,4-Nitrophenol,5.0,0.0
426,1.10.3.3,Phenol,1.0,0.0
427,1.10.3.4,2-Nitrophenol,1.0,0.0
428,1.10.3.4,4-Hydroxybenzaldehyde,1.0,0.0
429,1.10.3.4,Aniline,1.0,0.0
430,1.10.3.4,Phenol,1.0,0.0
431,1.10.5.1,Chloroquine,1.0,0.0
432,1.10.5.1,Dicumarol,2.0,0.0
433,1.10.5.1,Mefloquine,1.0,0.0
434,1.10.5.1,Melatonin,5.0,0.0
435,1.10.5.1,N-Acetylserotonin,2.0,0.0
436,1.10.5.1,Quercetin,1.0,0.0
437,1.10.5.1,Quinacrine,1.0,0.0
438,1.10.5.1,Quinine,1.0,0.0
439,1.10.5.1,Resveratrol,2.0,0.0
440,1.10.5.1,Serotonin,1.0,0.0
441,1.11.1.11,Hydroxylamine,1.0,0.0
442,1.11.1.11,Salicylate,1.0,0.0
443,1.11.1.12,alpha-Tocopherol,1.0,0.0
444,1.11.1.13,Cadmium,2.0,0.0
445,1.11.1.13,Cobalt ion,2.0,0.0
446,1.11.1.18,Arsenic acid,1.0,0.0
447,1.11.1.18,Hydrofluoric acid,1.0,0.0
448,1.11.1.18,Orthophosphate,1.0,0.0
449,1.11.1.21,Hydrogen cyanide,2.0,0.0
450,1.11.1.21,Isoniazid,1.0,0.0
451,1.11.1.3,Imidazole,1.0,0.0
452,1.11.1.5,Hydrogen cyanide,2.0,0.0
453,1.11.1.6,Amitrole,1.0,1.0
454,1.11.1.6,Formaldehyde,1.0,0.0
455,1.11.1.6,Indole-3-acetate,1.0,0.0
456,1.11.1.6,Phenol,1.0,0.0
457,1.11.1.7,Ascorbate,1.0,0.0
458,1.11.1.7,Glutathione,1.0,1.0
459,1.11.1.7,Propofol,1.0,0.0
460,1.11.1.8,Hydrogen cyanide,1.0,0.0
461,1.11.1.8,Kaempferol,1.0,0.0
462,1.11.1.8,Morin,1.0,0.0
463,1.11.1.8,Myricetin,1.0,0.0
464,1.11.1.8,Naringenin,1.0,0.0
465,1.11.1.8,Quercetin,1.0,0.0
466,1.11.1.8,n-Propyl gallate,1.0,0.0
467,1.11.1.9,Glutathione,1.0,1.0
468,1.11.1.B2,Hydroxylamine,2.0,0.0
469,1.11.1.B6,Hydroiodic acid,2.0,0.0
470,1.11.2.3,Terbufos,3.0,0.0
471,1.12.1.2,NADH,1.0,2.0
472,1.12.98.1,"7,8-Didemethyl-8-hydroxy-5-deazariboflavin",1.0,0.0
473,1.12.98.2,CO,1.0,0.0
474,1.12.98.2,Hydrogen cyanide,3.0,0.0
475,1.12.99.6,CO,3.0,0.0
476,1.13.11.1,"3,5-Dichlorocatechol",1.0,0.0
477,1.13.11.1,Tetrachlorocatechol,1.0,0.0
478,1.13.11.11,Indole,2.0,0.0
479,1.13.11.11,Tryptamine,3.0,0.0
480,1.13.11.11,beta-Carboline,1.0,0.0
481,1.13.11.12,6-Pentadecylsalicylic acid,1.0,0.0
482,1.13.11.12,Apigenin,1.0,0.0
483,1.13.11.12,Ascorbate,1.0,0.0
484,1.13.11.12,Catechin,1.0,0.0
485,1.13.11.12,Dodecanoic acid,4.0,0.0
486,1.13.11.12,Ferulate,1.0,0.0
487,1.13.11.12,Gallate,1.0,0.0
488,1.13.11.12,Nordihydroguaiaretic acid,1.0,0.0
489,1.13.11.12,Resveratrol,1.0,0.0
490,1.13.11.12,alpha-Tocopherol,1.0,0.0
491,1.13.11.12,n-Propyl gallate,1.0,0.0
492,1.13.11.14,3-Chlorocatechol,1.0,0.0
493,1.13.11.15,"3,4-Dihydroxybenzoate",1.0,0.0
494,1.13.11.15,"3,4-Dihydroxyphenylpropanoate",1.0,0.0
495,1.13.11.15,3-Hydroxyphenylacetate,1.0,0.0
496,1.13.11.15,4-Hydroxyphenylacetate,1.0,0.0
497,1.13.11.15,4-Methylcatechol,1.0,0.0
498,1.13.11.15,4-Nitrocatechol,1.0,0.0
499,1.13.11.15,Caffeate,1.0,0.0
500,1.13.11.15,Catechol,1.0,0.0
501,1.13.11.2,1-Butanol,1.0,0.0
502,1.13.11.2,1-Pentanol,1.0,0.0
503,1.13.11.2,2-Aminophenol,1.0,0.0
504,1.13.11.2,2-Chlorophenol,1.0,0.0
505,1.13.11.2,2-Hydroxyacetophenone,1.0,0.0
506,1.13.11.2,2-Nitrophenol,1.0,0.0
507,1.13.11.2,3-Chlorocatechol,2.0,0.0
508,1.13.11.2,3-Hydroxybenzoate,1.0,0.0
509,1.13.11.2,3-Nitrophenol,1.0,0.0
510,1.13.11.2,4-Chlorocatechol,2.0,0.0
511,1.13.11.2,4-Nitrophenol,1.0,0.0
512,1.13.11.2,Acetophenone,1.0,0.0
513,1.13.11.2,Benzoate,1.0,0.0
514,1.13.11.2,Benzyl alcohol,1.0,0.0
515,1.13.11.2,Ethanol,1.0,0.0
516,1.13.11.2,Methanol,1.0,0.0
517,1.13.11.2,Methyl ethyl ketone,1.0,0.0
518,1.13.11.2,Nitrobenzene,1.0,0.0
519,1.13.11.2,Pentan-2-one,1.0,0.0
520,1.13.11.2,Phenol,2.0,0.0
521,1.13.11.2,Propan-2-ol,1.0,0.0
